Date,NodeID,FrameID,MeasurementCounter,PlantTemp1,PlantTemp2,PlantTemp3,PlantTemp4,PlantTemp5,PlantTemp6,AirTempLoc,Humidity,AirTemp,AirTemp_1
2020-02-27 15-00-15,11,16,40673,-1.3799999999999955,0.55,0.29,0.63,0.25,-0.6800000000000637,,-2.0462,0.25,-1.562
2020-02-27 15-01-15,11,16,40674,-0.9200000000000728,0.55,0.51,0.43,0.67,-0.5600000000000591,,-2.0462,0.25,-1.625
2020-02-27 15-03-15,11,16,40676,-1.4200000000000728,0.47,0.63,0.41,0.59,-0.32000000000005,,-2.0462,0.187,-1.687
2020-02-27 15-04-15,11,16,40677,-1.2799999999999727,0.43,0.25,0.29,0.55,-0.5199999999999818,,-2.0462,0.187,-1.75
2020-02-27 15-05-15,11,16,40678,-1.0400000000000773,0.63,0.41,0.43,0.91,-0.7599999999999909,,-2.0462,0.187,-1.75
2020-02-27 15-06-15,11,16,40679,-1.0400000000000773,0.25,0.37,0.17,0.55,-0.5199999999999818,,-2.0462,0.187,-1.687
2020-02-27 15-07-14,11,16,40680,-1.240000000000009,0.63,0.51,0.67,0.71,-0.36000000000001364,,-2.0462,0.125,-1.75
2020-02-27 15-08-14,11,16,40681,-1.3400000000000318,0.47,0.25,0.55,0.51,-0.44000000000005457,,-2.0462,0.125,-1.75
2020-02-27 15-09-15,11,16,40682,-0.7599999999999909,0.91,0.79,0.37,0.43,-0.5199999999999818,,-2.0462,0.125,-1.75
2020-02-27 15-10-15,11,16,40683,-1.32000000000005,0.41,0.79,0.67,0.43,-0.5199999999999818,,-2.0462,0.125,-1.687
2020-02-27 15-11-15,11,16,40684,-1.2000000000000455,0.25,0.55,0.47,0.59,-0.6399999999999864,,-2.0462,0.187,-1.625
2020-02-27 15-12-15,11,16,40685,-1.3799999999999955,0.41,0.55,0.29,0.47,-0.8400000000000318,,-2.0462,0.187,-1.687
2020-02-27 15-13-15,11,16,40686,-1.240000000000009,0.79,0.55,0.59,0.51,-0.4800000000000182,,-2.0462,0.187,-1.687
2020-02-27 15-15-15,11,16,40687,-1.080000000000041,0.51,0.59,0.51,0.51,-0.36000000000001364,,-2.0462,0.187,-1.625
2020-02-27 15-16-15,11,16,40688,-0.8400000000000318,0.51,0.97,0.47,0.51,-0.5600000000000591,,-2.0462,0.187,-1.687
2020-02-27 15-18-15,11,16,40689,-1.3799999999999955,0.67,0.71,0.47,0.51,-0.44000000000005457,,-2.0462,0.187,-1.562
2020-02-27 15-19-15,11,16,40690,-0.9200000000000728,0.79,0.43,0.21,0.47,-0.36000000000001364,,-2.0462,0.187,-1.562
