Date,NodeID,FrameID,MeasurementCounter,PlantTemp1,PlantTemp2,PlantTemp3,PlantTemp4,PlantTemp5,PlantTemp6,AirTempLoc,Humidity,AirTemp,AirTemp_1
2020-02-27 15-00-18,17,16,41928,-0.44000000000005457,0.21,0.41,-0.13999999999998636,0.41,0.01,-0.05000000000006821,91.5413094845,0.25,-1.562
2020-02-27 15-01-18,17,16,41929,-0.2799999999999727,-0.13999999999998636,-0.10000000000002274,0.29,0.79,0.29,-0.07000000000005002,90.91074641800002,0.25,-1.625
2020-02-27 15-02-18,17,16,41930,-0.2599999999999909,0.87,0.43,0.21,0.29,-0.01999999999998181,-0.10000000000002274,91.48654492450001,0.25,-1.625
2020-02-27 15-03-18,17,16,41931,-0.6000000000000227,0.41,-0.22000000000002728,-0.4800000000000182,0.71,0.09,-0.14999999999997726,91.7055265805,0.187,-1.687
2020-02-27 15-04-18,17,16,41932,-0.13999999999998636,0.71,-0.18000000000006366,0.01,0.05,-0.06000000000005912,-0.17000000000007276,92.4158065405,0.187,-1.75
2020-02-27 15-05-18,17,16,41933,-0.10000000000002274,0.51,0.21,0.01,0.79,0.13,-0.11000000000001364,93.1239293845,0.187,-1.75
2020-02-27 15-06-18,17,16,41934,-0.32000000000005,-0.2599999999999909,0.63,0.05,0.41,0.01,-0.12000000000000455,92.8518297245,0.187,-1.687
2020-02-27 15-07-17,17,16,41935,-0.22000000000002728,0.01,0.41,-0.2799999999999727,0.51,0.17,-0.17000000000007276,92.82460220800002,0.125,-1.75
2020-02-27 15-08-17,17,16,41936,-0.10000000000002274,1.01,0.01,-0.18000000000006366,0.51,0.21,-0.17000000000007276,92.87905405000001,0.125,-1.75
2020-02-27 15-09-18,17,16,41937,0.01,-0.10000000000002274,0.71,0.01,0.47,-0.10000000000002274,-0.14999999999997726,93.368546248,0.125,-1.75
2020-02-27 15-10-18,17,16,41938,-0.2599999999999909,0.87,-0.10000000000002274,-0.13999999999998636,0.59,0.13,-0.10000000000002274,93.205497058,0.125,-1.687
2020-02-27 15-11-18,17,16,41939,-0.22000000000002728,0.47,0.01,0.01,0.59,0.13,-0.05000000000006821,93.34137936050001,0.187,-1.625
2020-02-27 15-12-18,17,16,41940,-0.5600000000000591,0.55,0.01,-0.13999999999998636,0.63,0.21,-0.11000000000001364,92.5794109645,0.187,-1.687
2020-02-27 15-13-18,17,16,41941,-0.06000000000005912,0.43,0.21,0.13,0.51,0.05,-0.12999999999999545,93.34137936050001,0.187,-1.687
2020-02-27 15-15-18,17,16,41942,-0.13999999999998636,0.55,-0.18000000000006366,-0.18000000000006366,0.37,0.09,-0.19000000000005457,92.443081922,0.187,-1.625
2020-02-27 15-16-18,17,16,41943,-0.36000000000001364,-0.06000000000005912,0.91,-0.06000000000005912,0.17,0.05,-0.18000000000006366,92.8518297245,0.187,-1.687
2020-02-27 15-18-18,17,16,41944,-0.36000000000001364,0.55,-0.01999999999998181,-0.06000000000005912,0.37,0.01,-0.11000000000001364,93.23267990050002,0.187,-1.562
