Date,NodeID,FrameID,MeasurementCounter,PlantTemp1,PlantTemp2,PlantTemp3,PlantTemp4,PlantTemp5,PlantTemp6,AirTempLoc,Humidity,AirTemp,AirTemp_1
2020-02-27 15-00-20,21,16,44395,-0.8000000000000682,0.13,-0.9600000000000364,0.09,0.25,-2.3799999999999955,-0.6700000000000728,90.9930895045,0.25,-1.562
2020-02-27 15-01-20,21,16,44396,-0.6399999999999864,0.13,-0.2599999999999909,0.09,0.51,-1.8600000000000136,-0.7000000000000455,90.82837461250001,0.25,-1.625
2020-02-27 15-02-20,21,16,44397,-0.9600000000000364,0.33,0.09,0.05,0.25,-1.8999999999999773,-0.6499999999999773,91.10283561250002,0.25,-1.625
2020-02-27 15-03-20,21,16,44398,-0.7200000000000273,-0.01999999999998181,0.29,0.01,0.05,-2.4600000000000364,-0.57000000000005,91.32217466050001,0.187,-1.687
2020-02-27 15-04-20,21,16,44399,-0.6800000000000637,0.29,-0.22000000000002728,-0.2599999999999909,0.37,-1.9800000000000182,-0.6100000000000136,91.65080031250001,0.187,-1.75
2020-02-27 15-05-20,21,16,44400,-0.9200000000000728,-0.01999999999998181,0.05,-0.32000000000005,0.33,-1.9400000000000546,-0.5800000000000409,91.9789664605,0.187,-1.75
2020-02-27 15-06-20,21,16,44401,-0.6800000000000637,0.05,0.33,-0.36000000000001364,0.67,-1.9800000000000182,-0.5900000000000318,92.006292898,0.187,-1.687
2020-02-27 15-07-19,21,16,44402,-1.080000000000041,0.13,-0.2799999999999727,-0.01999999999998181,0.05,-2.4200000000000728,-0.57000000000005,91.89696800200001,0.125,-1.75
2020-02-27 15-08-19,21,16,44403,-1.0400000000000773,-0.18000000000006366,0.09,0.01,0.41,-2.5400000000000773,-0.5800000000000409,91.951636832,0.125,-1.75
2020-02-27 15-09-20,21,16,44404,-1.1200000000000045,0.01,0.29,0.21,0.37,-2.1800000000000637,-0.5099999999999909,92.03361614450002,0.125,-1.75
2020-02-27 15-10-20,21,16,44405,-1.0400000000000773,0.05,0.21,-0.2799999999999727,0.41,-2.019999999999982,-0.4600000000000364,91.9789664605,0.125,-1.687
2020-02-27 15-11-20,21,16,44406,-1,0.25,0.05,0.29,0.43,-1.9800000000000182,-0.4700000000000273,92.08825306450001,0.187,-1.625
2020-02-27 15-12-20,21,16,44407,-0.9200000000000728,0.41,0.17,0.17,0.01,-2.1800000000000637,-0.5099999999999909,91.78759205,0.187,-1.687
2020-02-27 15-13-20,21,16,44408,-0.7200000000000273,0.25,0.21,0.01,0.33,-2.1800000000000637,-0.5099999999999909,91.92430401250002,0.187,-1.687
2020-02-27 15-15-20,21,16,44409,-1.0400000000000773,-0.01999999999998181,-0.2599999999999909,-0.18000000000006366,0.21,-2.2200000000000273,-0.5299999999999727,91.678165042,0.187,-1.625
2020-02-27 15-16-20,21,16,44410,-0.9600000000000364,0.05,-0.18000000000006366,0.09,0.37,-2.1800000000000637,-0.57000000000005,91.65080031250001,0.187,-1.687
2020-02-27 15-18-20,21,16,44411,-1.0400000000000773,0.25,-0.10000000000002274,-0.01999999999998181,0.25,-2.060000000000059,-0.5800000000000409,91.9789664605,0.187,-1.562
2020-02-27 15-19-20,21,16,44412,-0.9600000000000364,-0.2799999999999727,0.21,0.05,0.21,-2.060000000000059,-0.5400000000000773,91.78759205,0.187,-1.562
2020-02-27 15-20-20,21,16,44413,-1.080000000000041,0.05,-0.39999999999997726,-0.32000000000005,0.41,-2.340000000000032,-0.5299999999999727,91.86962880050001,0.187,-1.562
2020-02-27 15-21-20,21,16,44414,-0.6800000000000637,0.41,-0.10000000000002274,-0.06000000000005912,0.17,-1.6200000000000045,-0.5,92.14287722050001,0.187,-1.562
2020-02-27 15-22-20,21,16,44415,-0.9200000000000728,0.13,0.01,0.21,0.33,-1.9400000000000546,-0.4700000000000273,92.2520872405,0.187,-1.562
2020-02-27 15-23-20,21,16,44416,-0.9600000000000364,0.21,-0.13999999999998636,0.01,0.29,-1.5400000000000773,-0.4700000000000273,92.170184512,0.187,-1.5
2020-02-27 15-24-20,21,16,44417,-0.8799999999999955,0.25,0.13,-0.01999999999998181,0.21,-1.9400000000000546,-0.4900000000000091,91.92430401250002,0.25,-1.562
2020-02-27 15-25-20,21,16,44418,-1,0.09,-0.2799999999999727,0.17,0.09,-1.9400000000000546,-0.5099999999999909,92.14287722050001,0.25,-1.562
2020-02-27 15-26-20,21,16,44419,-0.8799999999999955,0.05,-0.10000000000002274,0.01,0.29,-1.740000000000009,-0.43000000000006366,92.27938176800001,0.25,-1.562
2020-02-27 15-28-20,21,16,44421,-0.7200000000000273,0.21,0.01,0.37,0.17,-2.3799999999999955,-0.43000000000006366,92.3066731045,0.187,-1.687
2020-02-27 15-29-20,21,16,44422,-1,-0.01999999999998181,0.01,0.05,-0.13999999999998636,-2.5,-0.4800000000000182,92.388527968,0.25,-1.75
2020-02-27 15-30-20,21,16,44423,-0.8799999999999955,0.09,0.43,-0.32000000000005,0.29,-2.1399999999999864,-0.4500000000000455,92.03361614450002,0.25,-1.75
2020-02-27 15-31-20,21,16,44424,-1.1200000000000045,0.25,0.21,-0.06000000000005912,0.47,-2.340000000000032,-0.4500000000000455,92.11556673800001,0.25,-1.75
2020-02-27 15-32-20,21,16,44425,-0.8000000000000682,-0.06000000000005912,0.29,0.01,-0.10000000000002274,-2.3799999999999955,-0.5299999999999727,91.92430401250002,0.187,-1.75
2020-02-27 15-33-19,21,16,44426,-1.080000000000041,-0.18000000000006366,-0.36000000000001364,0.13,0.33,-2.1000000000000227,-0.5299999999999727,92.03361614450002,0.187,-1.75
2020-02-27 15-35-20,21,16,44427,-0.8000000000000682,0.33,-0.10000000000002274,-0.01999999999998181,-0.10000000000002274,-2.060000000000059,-0.5199999999999818,92.3612462045,0.187,-1.687
2020-02-27 15-36-20,21,16,44428,-0.8000000000000682,0.09,-0.22000000000002728,0.09,0.01,-2.340000000000032,-0.57000000000005,92.388527968,0.187,-1.75
