Date,NodeID,FrameID,MeasurementCounter,PlantTemp1,PlantTemp2,PlantTemp3,PlantTemp4,PlantTemp5,PlantTemp6,AirTempLoc,Humidity,AirTemp
2020-02-28 16-00-14,10,16,6876,,,,,,,,,0.937
2020-02-28 16-00-14,10,17,,65.59,112.72,120.36,,,,,,0.937
2020-02-28 16-00-14,10,18,,65.59,112.72,120.36,40.08,40.95,40.96,,,2.5
2020-02-28 16-00-14,11,16,42149,,,,,,,,,0.937
2020-02-28 16-00-14,11,17,,2.39,3.55,2.73,,,,,,0.937
2020-02-28 16-00-14,11,18,,2.39,3.55,2.73,3.07,3.81,3.29,,,2.5
2020-02-28 16-00-14,11,19,,2.39,3.55,2.73,3.07,3.81,3.29,-39.389999999999986,-2.0462,2.5
2020-02-28 16-00-15,12,16,48433,,,,,,,,,0.937
2020-02-28 16-00-15,12,17,,3.81,2.31,1.97,,,,,,0.937
2020-02-28 16-00-15,12,18,,3.81,2.31,1.97,2.31,3.11,2.91,,,2.5
2020-02-28 16-00-15,12,19,,3.81,2.31,1.97,2.31,3.11,2.91,3.15,91.568686978,2.5
2020-02-28 16-00-15,13,16,48702,,,,,,,,,0.937
2020-02-28 16-00-15,13,17,,1.93,3.03,3.07,,,,,,0.937
2020-02-28 16-00-15,13,18,,1.93,3.03,3.07,2.77,3.23,3.11,,,2.5
2020-02-28 16-00-15,13,19,,1.93,3.03,3.07,2.77,3.23,3.11,2.38,97.033515592,2.5
2020-02-28 16-00-16,14,16,48772,,,,,,,,,0.937
2020-02-28 16-00-16,14,17,,3.45,3.67,3.15,,,,,,0.937
2020-02-28 16-00-16,14,18,,3.45,3.67,3.15,4.19,3.41,2.05,,,2.5
2020-02-28 16-00-16,14,19,,3.45,3.67,3.15,4.19,3.41,2.05,3.02,94.5337037245,2.5
2020-02-28 16-00-16,15,16,0,,,,,,,,,0.937
2020-02-28 16-00-16,15,17,,0.0,0.0,0.0,,,,,,0.937
2020-02-28 16-00-16,15,18,,0.0,0.0,0.0,0.0,0.0,0.0,,,2.5
2020-02-28 16-00-16,15,19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0462,2.5
2020-02-28 16-00-17,16,16,43024,,,,,,,,,0.937
2020-02-28 16-00-17,16,17,,2.09,1.89,1.17,,,,,,0.937
2020-02-28 16-00-17,16,18,,2.09,1.89,1.17,1.43,2.35,1.85,,,2.5
2020-02-28 16-00-17,16,19,,2.09,1.89,1.17,1.43,2.35,1.85,-39.389999999999986,-2.0462,2.5
2020-02-28 16-00-17,17,16,43320,,,,,,,,,0.937
2020-02-28 16-00-17,17,17,,2.61,2.77,1.71,,,,,,0.937
2020-02-28 16-00-17,17,18,,2.61,2.77,1.71,2.95,3.55,2.43,,,2.5
2020-02-28 16-00-17,17,19,,2.61,2.77,1.71,2.95,3.55,2.43,2.88,96.5250446125,2.5
2020-02-28 16-00-18,18,16,0,,,,,,,,,0.937
2020-02-28 16-00-18,18,17,,0.0,0.0,0.0,,,,,,0.937
2020-02-28 16-00-18,18,18,,0.0,0.0,0.0,0.0,0.0,0.0,,,2.5
2020-02-28 16-00-18,18,19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0462,2.5
2020-02-28 16-00-18,19,16,46665,,,,,,,,,0.937
2020-02-28 16-00-18,19,17,,0.71,2.47,1.75,,,,,,0.937
2020-02-28 16-00-18,19,18,,0.71,2.47,1.75,0.43,0.91,0.95,,,2.5
2020-02-28 16-00-18,19,19,,0.71,2.47,1.75,0.43,0.91,0.95,2.26,66.5741722405,2.5
2020-02-28 16-00-19,20,16,1303,,,,,,,,,0.937
2020-02-28 16-00-19,20,17,,1.59,1.01,0.33,,,,,,0.937
2020-02-28 16-00-19,20,18,,1.59,1.01,0.33,1.85,1.59,1.93,,,2.5
2020-02-28 16-00-19,20,19,,1.59,1.01,0.33,1.85,1.59,1.93,2.77,97.3273670125,2.5
2020-02-28 16-00-19,21,16,45787,,,,,,,,,0.937
2020-02-28 16-00-19,21,17,,0.91,1.29,2.25,,,,,,0.937
2020-02-28 16-00-19,21,18,,0.91,1.29,2.25,2.31,0.79,1.21,,,2.5
2020-02-28 16-00-19,21,19,,0.91,1.29,2.25,2.31,0.79,1.21,2.35,93.06953498050001,2.5
2020-02-28 16-00-20,22,16,47610,,,,,,,,,0.937
2020-02-28 16-00-20,22,17,,1.21,1.63,1.41,,,,,,0.937
2020-02-28 16-00-20,22,18,,1.21,1.63,1.41,1.41,2.05,1.89,,,2.5
2020-02-28 16-00-20,22,19,,1.21,1.63,1.41,1.41,2.05,1.89,1.96,93.8298951125,2.5
2020-02-28 16-00-20,23,16,39701,,,,,,,,,0.937
2020-02-28 16-00-20,23,17,,3.19,2.27,0.87,,,,,,0.937
2020-02-28 16-00-20,23,18,,3.19,2.27,0.87,-0.06000000000005912,2.27,2.05,,,2.5
2020-02-28 16-00-20,23,19,,3.19,2.27,0.87,-0.06000000000005912,2.27,2.05,2.62,97.75409800450001,2.5
2020-02-28 16-00-21,25,16,39720,,,,,,,,,0.937
2020-02-28 16-00-21,25,17,,2.09,2.09,1.97,,,,,,0.937
2020-02-28 16-00-21,25,18,,2.09,2.09,1.97,2.51,2.21,1.89,,,2.5
2020-02-28 16-00-21,25,19,,2.09,2.09,1.97,2.51,2.21,1.89,-39.389999999999986,-2.0462,2.5
2020-02-28 16-01-15,10,16,6877,,,,,,,,,0.937
2020-02-28 16-01-15,10,17,,83.53,119.88,123.45,,,,,,0.937
2020-02-28 16-01-15,10,18,,83.53,119.88,123.45,40.17,40.95,40.96,,,2.5
2020-02-28 16-01-15,11,16,42150,,,,,,,,,0.937
2020-02-28 16-01-15,11,17,,2.31,2.99,2.47,,,,,,0.937
2020-02-28 16-01-15,11,18,,2.31,2.99,2.47,3.59,3.85,3.29,,,2.5
2020-02-28 16-01-15,11,19,,2.31,2.99,2.47,3.59,3.85,3.29,-39.389999999999986,-2.0462,2.5
2020-02-28 16-01-16,12,16,48434,,,,,,,,,0.937
2020-02-28 16-01-16,12,17,,4.07,2.47,1.85,,,,,,0.937
2020-02-28 16-01-16,12,18,,4.07,2.47,1.85,2.91,3.29,3.07,,,2.5
2020-02-28 16-01-16,12,19,,4.07,2.47,1.85,2.91,3.29,3.07,3.1,91.9789664605,2.5
2020-02-28 16-01-16,13,16,48703,,,,,,,,,0.937
2020-02-28 16-01-16,13,17,,2.05,3.23,3.07,,,,,,0.937
2020-02-28 16-01-16,13,18,,2.05,3.23,3.07,2.85,3.23,3.11,,,2.5
2020-02-28 16-01-16,13,19,,2.05,3.23,3.07,2.85,3.23,3.11,2.36,97.2205566245,2.5
2020-02-28 16-01-17,14,16,48773,,,,,,,,,0.937
2020-02-28 16-01-17,14,17,,3.53,3.89,3.07,,,,,,0.937
2020-02-28 16-01-17,14,18,,3.53,3.89,3.07,3.53,3.29,2.31,,,2.5
2020-02-28 16-01-17,14,19,,3.53,3.89,3.07,3.53,3.29,2.31,3.02,94.58775350050001,2.5
2020-02-28 16-01-17,15,16,0,,,,,,,,,0.937
2020-02-28 16-01-17,15,17,,0.0,0.0,0.0,,,,,,0.937
2020-02-28 16-01-17,15,18,,0.0,0.0,0.0,0.0,0.0,0.0,,,2.5
2020-02-28 16-01-17,15,19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0462,2.5
2020-02-28 16-01-18,16,16,43025,,,,,,,,,0.937
2020-02-28 16-01-18,16,17,,1.75,2.69,1.63,,,,,,0.937
2020-02-28 16-01-18,16,18,,1.75,2.69,1.63,1.67,2.05,1.25,,,2.5
2020-02-28 16-01-18,16,19,,1.75,2.69,1.63,1.67,2.05,1.25,-39.389999999999986,-2.0462,2.5
2020-02-28 16-01-18,17,16,43321,,,,,,,,,0.937
2020-02-28 16-01-18,17,17,,2.61,2.05,2.65,,,,,,0.937
