Date,NodeID,FrameID,MeasurementCounter,PlantTemp1,PlantTemp2,PlantTemp3,PlantTemp4,PlantTemp5,PlantTemp6,AirTempLoc,Humidity,AirTemp,AirTemp_1
2020-02-14 23-00-19,20,16,50565,5.27,6.39,5.93,5.63,6.17,5.55,5.8,100.1392387645,7.062,4.75
2020-02-14 23-01-19,20,16,50566,5.45,6.17,6.25,5.81,6.07,5.59,5.8,100.1392387645,7.062,4.75
2020-02-14 23-02-19,20,16,50567,5.71,5.85,6.03,5.71,6.11,5.55,5.83,100.19194832050002,7.062,4.75
2020-02-14 23-03-19,20,16,50568,5.67,5.73,6.25,5.49,6.35,5.59,5.88,100.24464511250001,7.062,4.875
2020-02-14 23-04-19,20,16,50569,5.73,5.81,6.33,5.51,6.17,5.59,5.9,100.24464511250001,7.062,4.875
2020-02-14 23-05-20,20,16,50570,5.49,5.63,6.21,5.49,6.29,5.63,5.86,100.24464511250001,7.125,4.875
2020-02-14 23-06-20,20,16,50571,5.37,6.29,5.71,5.67,6.17,5.81,5.85,100.19194832050002,7.125,4.875
2020-02-14 23-07-19,20,16,50572,5.27,5.55,6.25,5.71,6.29,5.45,5.86,100.21829831200002,7.125,4.875
2020-02-14 23-08-19,20,16,50573,5.45,5.63,6.07,5.29,6.25,5.29,5.85,100.24464511250001,7.125,4.875
2020-02-14 23-09-19,20,16,50574,5.55,6.11,6.13,5.41,6.25,5.63,5.83,100.24464511250001,7.125,4.875
2020-02-14 23-10-19,20,16,50575,5.45,6.13,6.03,5.55,6.17,5.41,5.82,100.29732914050001,7.125,4.812
2020-02-14 23-12-20,20,16,50577,5.41,5.95,6.33,5.49,6.25,5.41,5.83,100.35000040450001,7.125,4.875
2020-02-14 23-13-20,20,16,50578,5.55,5.67,5.99,5.41,6.17,5.51,5.84,100.4553046405,7.187,4.875
2020-02-14 23-14-19,20,16,50579,5.37,5.85,6.51,5.71,5.99,5.29,5.85,100.50793761250002,7.187,4.875
2020-02-14 23-15-19,20,16,50580,5.23,5.67,6.11,5.63,6.25,5.71,5.89,100.56055782050001,7.187,4.937
2020-02-14 23-16-19,20,16,50581,5.59,5.81,6.17,5.29,6.29,5.59,5.92,100.61316526450001,7.187,5
2020-02-14 23-17-19,20,16,50582,5.77,5.77,5.99,5.73,6.35,5.73,5.94,100.7183418605,7.187,5
2020-02-14 23-18-20,20,16,50583,5.29,5.59,5.99,5.67,5.81,5.63,5.96,100.7709110125,7.187,5
2020-02-14 23-19-20,20,16,50584,5.41,5.93,5.71,5.85,6.07,5.49,5.96,100.82346740050001,7.187,5.062
2020-02-14 23-20-20,20,16,50585,5.29,5.67,6.21,5.49,6.39,5.37,6,100.87601102450002,7.187,5.125
2020-02-14 23-21-19,20,16,50586,5.41,6.03,6.03,5.51,6.21,5.85,6.02,100.9285418845,7.187,5.125
2020-02-14 23-23-19,20,16,50587,5.49,5.93,5.81,5.51,6.13,5.37,6.02,101.0335653125,7.187,5.187
2020-02-14 23-24-19,20,16,50588,5.71,5.49,6.25,5.51,6.17,5.85,6.05,101.08605788050001,7.125,5.187
2020-02-14 23-25-20,20,16,50589,5.51,5.85,6.29,5.41,6.39,5.27,6.08,101.13853768450001,7.187,5.187
2020-02-14 23-26-19,20,16,50590,5.45,5.73,5.99,5.71,6.03,5.45,6.08,101.16477280000001,7.187,5.25
2020-02-14 23-27-19,20,16,50591,5.67,6.13,5.99,5.71,6.11,5.63,6.1,101.1910047245,7.187,5.25
2020-02-14 23-28-19,20,16,50592,5.73,5.89,6.03,5.77,6.17,5.71,6.1,101.2434590005,7.25,5.25
2020-02-14 23-29-19,20,16,50593,5.29,6.13,6.39,5.33,6.13,5.81,6.09,101.2434590005,7.25,5.25
2020-02-14 23-30-19,20,16,50594,5.27,5.49,6.35,5.29,6.43,5.67,6.08,101.29590051250001,7.312,5.25
2020-02-14 23-31-20,20,16,50595,5.45,6.11,6.13,5.77,6.51,5.49,6.08,101.32211648200001,7.312,5.25
2020-02-14 23-32-20,20,16,50596,5.71,5.81,6.53,5.49,6.61,5.73,6.08,101.34832926050001,7.375,5.25
2020-02-14 23-33-19,20,16,50597,5.85,5.67,6.11,5.41,6.47,5.81,6.08,101.4007452445,7.375,5.25
2020-02-14 23-34-19,20,16,50598,5.77,5.67,6.25,5.41,6.33,5.67,6.08,101.4007452445,7.437,5.25
2020-02-14 23-35-19,20,16,50599,5.55,6.03,6.33,5.71,6.29,5.81,6.1,101.42694845,7.437,5.25
2020-02-14 23-36-19,20,16,50600,5.55,6.11,6.33,5.41,6.25,5.63,6.12,101.42694845,7.5,5.312
2020-02-14 23-37-20,20,16,50601,5.77,6.11,6.57,5.77,6.13,5.71,6.19,101.4531484645,7.562,5.312
2020-02-14 23-38-20,20,16,50602,5.99,5.93,6.93,5.89,6.25,5.63,6.29,101.4531484645,7.562,5.5
2020-02-14 23-39-20,20,16,50603,5.85,5.81,6.35,5.67,6.79,6.07,6.41,101.4531484645,7.562,5.625
2020-02-14 23-40-19,20,16,50604,6.07,5.99,6.53,6.03,6.61,6.17,6.48,101.34832926050001,7.562,5.75
2020-02-14 23-41-19,20,16,50605,5.71,6.13,6.53,5.99,6.57,6.07,6.54,101.13853768450001,7.562,5.875
2020-02-14 23-42-19,20,16,50606,5.73,6.11,6.39,5.73,6.73,5.77,6.55,101.05981319200001,7.562,5.937
2020-02-14 23-43-19,20,16,50607,5.85,5.93,6.17,6.21,6.43,6.11,6.56,101.007314242,7.562,6
2020-02-14 23-44-20,20,16,50608,5.85,5.89,6.43,5.99,6.25,5.67,6.54,100.9285418845,7.562,6
2020-02-14 23-45-20,20,16,50609,5.89,6.07,6.25,6.03,6.93,5.73,6.54,100.98105998050002,7.562,6
2020-02-14 23-46-19,20,16,50610,5.81,6.39,6.47,5.89,6.93,6.03,6.48,100.98105998050002,7.562,5.937
2020-02-14 23-47-19,20,16,50611,5.99,6.07,6.75,5.71,6.35,5.85,6.43,101.0335653125,7.562,5.875
2020-02-14 23-48-19,20,16,50612,5.95,5.89,6.47,5.73,6.35,6.11,6.34,101.007314242,7.562,5.75
2020-02-14 23-49-19,20,16,50613,5.77,6.07,6.43,6.11,6.39,6.03,6.33,101.05981319200001,7.562,5.75
2020-02-14 23-50-20,20,16,50614,5.95,6.43,6.51,5.93,6.33,5.95,6.35,101.08605788050001,7.562,5.75
