TempPlant2,TempPlant3,TempPlant5,Ambient_1_5
5.29,5.19,5.55,4.75
5.19,4.93,5.85,4.75
5.33,5.59,5.81,4.75
5.55,5.49,5.59,4.875
5.41,5.33,5.71,4.875
5.55,5.63,5.71,4.875
5.51,5.19,5.73,4.875
5.27,5.41,5.85,4.875
5.51,5.29,5.81,4.875
5.49,5.51,5.49,4.875
5.45,5.05,5.51,4.812
5.51,5.89,5.63,4.812
5.33,5.19,5.37,4.875
5.41,5.19,5.45,4.875
5.51,4.93,5.59,4.875
5.29,5.99,5.59,4.937
5.45,5.59,5.77,5
5.45,5.27,5.67,5
5.55,5.29,5.85,5
5.45,5.27,5.77,5.062
5.51,5.49,5.77,5.125
5.51,5.27,5.73,5.125
5.45,4.93,5.29,5.187
5.51,5.11,5.81,5.187
5.59,5.51,5.85,5.187
5.77,5.37,5.77,5.187
5.55,5.11,5.85,5.25
5.77,5.23,5.63,5.25
5.85,5.15,5.45,5.25
5.51,5.77,5.67,5.25
5.67,5.37,5.81,5.25
5.55,5.41,5.71,5.25
5.59,5.51,5.77,5.25
5.77,5.63,5.73,5.25
5.81,5.63,5.73,5.25
5.59,5.85,6.17,5.25
6.03,5.45,5.67,5.312
6.07,5.77,5.81,5.312
5.85,5.55,6.17,5.5
6.21,5.63,6.11,5.625
5.93,5.67,5.81,5.75
5.77,5.59,6.17,5.875
6.07,6.07,6.33,5.937
6.07,5.63,6.07,6
6.17,5.67,5.99,6
6.03,5.63,6.43,6
5.63,5.37,5.99,5.937
5.55,5.73,6.13,5.875
5.85,5.37,5.99,5.75
5.67,5.85,5.89,5.75
5.99,5.63,6.25,5.75
5.73,5.71,6.07,5.812
5.67,5.71,5.77,5.75
5.89,5.41,5.99,5.937
5.89,5.41,5.99,5.937
5.45,5.81,5.45,5.937
5.85,5.33,6.17,5.75
5.55,5.37,5.89,5.687
5.81,5.49,5.73,5.687
5.81,5.37,5.93,5.562
5.71,5.77,5.73,5.5
5.63,5.45,5.85,5.312
5.45,5.19,6.03,5.125
5.41,5.11,5.59,4.875
5.27,5.23,5.41,4.812
5.45,5.27,5.45,4.75
5.27,4.75,5.27,4.75
5.11,4.79,5.33,4.625
4.97,5.23,5.29,4.562
5.07,4.49,5.41,4.562
4.97,4.93,5.71,4.562
5.01,4.97,5.45,4.5
5.55,4.75,5.29,4.5
5.29,5.37,5.27,4.625
5.19,5.01,5.59,4.687
5.23,4.85,5.41,4.75
4.89,5.51,5.63,4.75
5.01,4.89,5.37,4.75
4.93,5.07,5.27,4.625
5.29,4.89,5.27,4.562
4.85,5.05,5.15,4.5
5.19,4.85,5.29,4.5
5.01,4.93,5.15,4.5
