Date,NodeID,FrameID,MeasurementCounter,PlantTemp1,PlantTemp2,PlantTemp3,PlantTemp4,PlantTemp5,PlantTemp6,AirTempLoc,Humidity,AirTemp,AirTemp_1
2020-02-14 23-00-20,22,16,28710,5.01,5.29,5.19,5.29,5.55,5.73,5.56,15.483441248000002,7.062,4.75
2020-02-14 23-01-20,22,16,28711,5.07,5.19,4.93,5.23,5.85,5.45,5.54,15.483441248000002,7.062,4.75
2020-02-14 23-02-20,22,16,28712,5.23,5.33,5.59,5.01,5.81,5.59,5.62,14.216232968000002,7.062,4.75
2020-02-14 23-03-20,22,16,28713,5.23,5.55,5.49,5.01,5.59,5.71,5.64,13.369129928,7.062,4.875
2020-02-14 23-04-20,22,16,28714,5.19,5.41,5.33,5.15,5.71,5.89,5.66,13.157066978000001,7.062,4.875
2020-02-14 23-05-21,22,16,28715,5.15,5.55,5.63,4.81,5.71,5.89,5.63,13.439792050000003,7.125,4.875
2020-02-14 23-06-21,22,16,28716,5.45,5.51,5.19,4.89,5.73,5.41,5.62,13.439792050000003,7.125,4.875
2020-02-14 23-07-20,22,16,28717,5.05,5.27,5.41,5.05,5.85,5.59,5.64,13.227767392,7.125,4.875
2020-02-14 23-08-20,22,16,28718,5.19,5.51,5.29,4.81,5.81,5.51,5.62,13.227767392,7.125,4.875
2020-02-14 23-09-20,22,16,28719,4.89,5.49,5.51,4.57,5.49,5.41,5.6,12.874137682,7.125,4.875
2020-02-14 23-10-20,22,16,28720,5.05,5.45,5.05,5.19,5.51,5.77,5.59,12.37852,7.125,4.812
2020-02-14 23-11-21,22,16,28721,5.29,5.51,5.89,5.05,5.63,5.71,5.59,11.669409800000002,7.125,4.812
2020-02-14 23-12-21,22,16,28722,4.93,5.33,5.19,4.81,5.37,5.63,5.58,10.710086340500002,7.125,4.875
2020-02-14 23-13-21,22,16,28723,5.07,5.41,5.19,4.89,5.45,5.45,5.6,9.391679752000002,7.187,4.875
2020-02-14 23-14-20,22,16,28724,4.81,5.51,4.93,4.89,5.59,5.89,5.61,8.462618450000003,7.187,4.875
2020-02-14 23-15-20,22,16,28725,4.89,5.29,5.99,5.01,5.59,5.81,5.61,7.244437312000001,7.187,4.937
2020-02-14 23-16-20,22,16,28726,5.19,5.45,5.59,5.45,5.77,5.81,5.54,3.2779903220000004,7.187,5
2020-02-14 23-17-21,22,16,28727,5.15,5.45,5.27,5.15,5.67,5.71,5.54,-2.0462,7.187,5
2020-02-14 23-18-21,22,16,28728,5.45,5.55,5.29,4.89,5.85,5.93,5.56,-2.0462,7.187,5
2020-02-14 23-19-21,22,16,28729,5.19,5.45,5.27,5.23,5.77,5.59,5.56,-2.0462,7.187,5.062
2020-02-14 23-20-21,22,16,28730,5.55,5.51,5.49,5.19,5.77,6.17,5.58,-2.0462,7.187,5.125
2020-02-14 23-21-20,22,16,28731,5.45,5.51,5.27,5.19,5.73,5.51,5.56,-2.0462,7.187,5.125
2020-02-14 23-22-18,22,16,28732,5.07,5.45,4.93,5.23,5.29,5.41,5.56,-2.0462,7.125,5.187
2020-02-14 23-23-20,22,16,28733,5.51,5.51,5.11,5.15,5.81,5.99,5.54,-2.0462,7.187,5.187
2020-02-14 23-24-21,22,16,28734,5.19,5.59,5.51,5.11,5.85,5.89,5.55,-2.0462,7.125,5.187
2020-02-14 23-25-21,22,16,28735,5.41,5.77,5.37,4.85,5.77,5.33,5.6,-2.0462,7.187,5.187
2020-02-14 23-26-20,22,16,28736,5.19,5.55,5.11,4.89,5.85,6.21,5.61,-2.0462,7.187,5.25
2020-02-14 23-27-20,22,16,28737,5.45,5.77,5.23,4.97,5.63,5.89,5.62,-2.0462,7.187,5.25
2020-02-14 23-28-20,22,16,28738,5.51,5.85,5.15,5.19,5.45,6.29,5.62,-2.0462,7.25,5.25
2020-02-14 23-29-20,22,16,28739,5.29,5.51,5.77,5.15,5.67,5.77,5.63,-2.0462,7.25,5.25
2020-02-14 23-30-21,22,16,28740,5.23,5.67,5.37,5.27,5.81,5.77,5.64,-2.0462,7.312,5.25
2020-02-14 23-31-21,22,16,28741,5.51,5.55,5.41,5.15,5.71,5.85,5.65,-2.0462,7.312,5.25
2020-02-14 23-32-21,22,16,28742,5.29,5.59,5.51,4.89,5.77,5.81,5.66,-2.0462,7.375,5.25
2020-02-14 23-33-20,22,16,28743,5.33,5.77,5.63,5.37,5.73,5.51,5.68,-2.0462,7.375,5.25
2020-02-14 23-34-20,22,16,28744,5.45,5.81,5.63,5.15,5.73,5.93,5.71,-2.0462,7.437,5.25
2020-02-14 23-35-20,22,16,28745,5.49,5.59,5.85,5.23,6.17,5.99,5.76,-2.0462,7.437,5.25
2020-02-14 23-36-20,22,16,28746,5.29,6.03,5.45,5.27,5.67,5.85,5.78,-2.0462,7.5,5.312
2020-02-14 23-37-21,22,16,28747,5.73,6.07,5.77,5.29,5.81,6.03,5.85,-2.0462,7.562,5.312
2020-02-14 23-38-21,22,16,28748,5.59,5.85,5.55,5.49,6.17,6.03,5.94,-2.0462,7.562,5.5
2020-02-14 23-39-21,22,16,28749,5.67,6.21,5.63,5.81,6.11,6.25,6.01,-2.0462,7.562,5.625
2020-02-14 23-40-20,22,16,28750,5.77,5.93,5.67,5.33,5.81,6.13,6.04,-2.0462,7.562,5.75
2020-02-14 23-41-20,22,16,28751,5.71,5.77,5.59,5.41,6.17,6.33,6.08,-2.0462,7.562,5.875
2020-02-14 23-42-20,22,16,28752,5.71,6.07,6.07,5.41,6.33,5.85,6.12,-2.0462,7.562,5.937
2020-02-14 23-43-20,22,16,28753,5.41,6.07,5.63,5.05,6.07,6.17,6.13,-2.0462,7.562,6
2020-02-14 23-44-21,22,16,28754,5.59,6.17,5.67,5.49,5.99,6.03,6.13,-2.0462,7.562,6
2020-02-14 23-45-21,22,16,28755,5.33,6.03,5.63,5.45,6.43,6.07,6.12,-2.0462,7.562,6
2020-02-14 23-46-20,22,16,28756,5.73,5.63,5.37,5.33,5.99,6.03,6.08,-2.0462,7.562,5.937
2020-02-14 23-47-20,22,16,28757,5.59,5.55,5.73,5.51,6.13,5.89,6.03,-2.0462,7.562,5.875
2020-02-14 23-48-20,22,16,28758,5.71,5.85,5.37,5.19,5.99,6.29,5.97,-2.0462,7.562,5.75
2020-02-14 23-49-20,22,16,28759,5.49,5.67,5.85,5.19,5.89,6.07,6,-2.0462,7.562,5.75
2020-02-14 23-50-21,22,16,28760,5.59,5.99,5.63,5.23,6.25,6.03,6.03,-2.0462,7.562,5.75
2020-02-14 23-51-21,22,16,28761,5.63,5.73,5.71,5.45,6.07,6.13,5.98,-2.0462,7.562,5.812
2020-02-14 23-52-20,22,16,28762,5.29,5.67,5.71,5.23,5.77,5.85,5.96,-2.0462,7.562,5.75
2020-02-14 23-55-19,22,16,28764,5.49,5.89,5.41,5.11,5.99,5.73,6.05,-2.0462,7.562,5.937
2020-02-14 23-55-20,22,16,28764,5.49,5.89,5.41,5.11,5.99,5.73,6.05,-2.0462,7.562,5.937
2020-02-14 23-56-21,22,16,28765,5.05,5.45,5.81,4.81,5.45,5.67,5.99,-2.0462,7.5,5.937
2020-02-14 23-57-21,22,16,28766,5.37,5.85,5.33,5.15,6.17,5.71,5.94,-2.0462,7.5,5.75
2020-02-14 23-58-21,22,16,28767,5.59,5.55,5.37,5.27,5.89,5.77,5.88,-2.0462,7.5,5.687
2020-02-14 23-59-20,22,16,28768,5.51,5.81,5.49,4.89,5.73,5.67,5.87,-2.0462,7.437,5.687
2020-02-15 00-00-20,22,16,28769,5.45,5.81,5.37,5.15,5.93,5.67,5.84,-2.0462,7.437,5.562
2020-02-15 00-01-20,22,16,28770,5.27,5.71,5.77,5.23,5.73,5.85,5.79,-2.0462,7.437,5.5
2020-02-15 00-02-21,22,16,28771,5.15,5.63,5.45,4.97,5.85,5.45,5.6,-2.0462,7.375,5.312
2020-02-15 00-03-21,22,16,28772,5.11,5.45,5.19,4.93,6.03,5.51,5.48,-2.0462,7.375,5.125
2020-02-15 00-04-21,22,16,28773,4.79,5.41,5.11,4.57,5.59,5.29,5.37,-2.0462,7.312,4.875
2020-02-15 00-05-19,22,16,28774,4.85,5.27,5.23,4.97,5.41,5.55,5.26,-2.0462,7.187,4.812
