Date,NodeID,FrameID,MeasurementCounter,PlantTemp1,PlantTemp2,PlantTemp3,PlantTemp4,PlantTemp5,PlantTemp6,AirTempLoc,Humidity,AirTemp
2020-02-26 11-00-14,10,16,3740,,,,,,,,,3.875
2020-02-26 11-00-14,10,17,,64.72,113.06,120.17,,,,,,3.875
2020-02-26 11-00-14,10,18,,64.72,113.06,120.17,44.89,40.95,40.96,,,20.625
2020-02-26 11-00-14,11,16,39926,,,,,,,,,3.875
2020-02-26 11-00-14,11,17,,4.37,8.05,11.85,,,,,,3.875
2020-02-26 11-00-14,11,18,,4.37,8.05,11.85,9.71,13.79,15.51,,,20.625
2020-02-26 11-00-14,11,19,,4.37,8.05,11.85,9.71,13.79,15.51,-39.389999999999986,-2.0462,20.625
2020-02-26 11-00-15,12,16,46288,,,,,,,,,3.875
2020-02-26 11-00-15,12,17,,18.27,14.41,21.11,,,,,,3.875
2020-02-26 11-00-15,12,18,,18.27,14.41,21.11,17.27,17.67,19.73,,,20.625
2020-02-26 11-00-15,12,19,,18.27,14.41,21.11,17.27,17.67,19.73,17.23,37.784406338000004,20.625
2020-02-26 11-00-15,13,16,46559,,,,,,,,,3.875
2020-02-26 11-00-15,13,17,,17.31,18.95,17.17,,,,,,3.875
2020-02-26 11-00-15,13,18,,17.31,18.95,17.17,8.75,15.81,14.35,,,20.625
2020-02-26 11-00-15,13,19,,17.31,18.95,17.17,8.75,15.81,14.35,20.11,32.253164992,20.625
2020-02-26 11-00-16,14,16,46546,,,,,,,,,3.875
2020-02-26 11-00-16,14,17,,16.89,17.85,18.31,,,,,,3.875
2020-02-26 11-00-16,14,18,,16.89,17.85,18.31,18.43,19.03,20.55,,,20.625
2020-02-26 11-00-16,14,19,,16.89,17.85,18.31,18.43,19.03,20.55,17.95,43.065045740500004,20.625
2020-02-26 11-00-16,15,16,0,,,,,,,,,3.875
2020-02-26 11-00-16,15,17,,0.0,0.0,0.0,,,,,,3.875
2020-02-26 11-00-16,15,18,,0.0,0.0,0.0,0.0,0.0,0.0,,,20.625
2020-02-26 11-00-16,15,19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0462,20.625
2020-02-26 11-00-17,16,16,40810,,,,,,,,,3.875
2020-02-26 11-00-17,16,17,,16.43,14.71,15.47,,,,,,3.875
2020-02-26 11-00-17,16,18,,16.43,14.71,15.47,14.91,15.71,16.75,,,20.625
2020-02-26 11-00-17,16,19,,16.43,14.71,15.47,14.91,15.71,16.75,-39.389999999999986,-2.0462,20.625
2020-02-26 11-00-17,17,16,41181,,,,,,,,,3.875
2020-02-26 11-00-17,17,17,,11.95,5.05,13.79,,,,,,3.875
2020-02-26 11-00-17,17,18,,11.95,5.05,13.79,15.35,19.25,13.17,,,20.625
2020-02-26 11-00-17,17,19,,11.95,5.05,13.79,15.35,19.25,13.17,18.04,40.156158482,20.625
2020-02-26 11-00-18,18,16,0,,,,,,,,,3.875
2020-02-26 11-00-18,18,17,,0.0,0.0,0.0,,,,,,3.875
2020-02-26 11-00-18,18,18,,0.0,0.0,0.0,0.0,0.0,0.0,,,20.625
2020-02-26 11-00-18,18,19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0462,20.625
2020-02-26 11-00-18,19,16,44526,,,,,,,,,3.875
2020-02-26 11-00-18,19,17,,1.05,1.25,0.25,,,,,,3.875
2020-02-26 11-00-18,19,18,,1.05,1.25,0.25,0.33,0.59,0.21,,,20.625
2020-02-26 11-00-18,19,19,,1.05,1.25,0.25,0.33,0.59,0.21,15.24,39.959144288000005,20.625
2020-02-26 11-00-19,20,16,64700,,,,,,,,,3.875
2020-02-26 11-00-19,20,17,,-0.8000000000000682,1.17,-0.10000000000002274,,,,,,3.875
2020-02-26 11-00-19,20,18,,-0.8000000000000682,1.17,-0.10000000000002274,1.01,-0.10000000000002274,-1.580000000000041,,,20.625
2020-02-26 11-00-19,20,19,,-0.8000000000000682,1.17,-0.10000000000002274,1.01,-0.10000000000002274,-1.580000000000041,11.14,67.44714785800001,20.625
2020-02-26 11-00-19,21,16,43648,,,,,,,,,3.875
2020-02-26 11-00-19,21,17,,-1.1599999999999682,-0.5600000000000591,-1.32000000000005,,,,,,3.875
2020-02-26 11-00-19,21,18,,-1.1599999999999682,-0.5600000000000591,-1.32000000000005,-1.3400000000000318,-1.1599999999999682,-1.1200000000000045,,,20.625
2020-02-26 11-00-19,21,19,,-1.1599999999999682,-0.5600000000000591,-1.32000000000005,-1.3400000000000318,-1.1599999999999682,-1.1200000000000045,4.61,88.3993582205,20.625
2020-02-26 11-00-20,22,16,44666,,,,,,,,,3.875
2020-02-26 11-00-20,22,17,,17.27,16.21,14.35,,,,,,3.875
2020-02-26 11-00-20,22,18,,17.27,16.21,14.35,13.79,12.19,15.81,,,20.625
2020-02-26 11-00-20,22,19,,17.27,16.21,14.35,13.79,12.19,15.81,9.9,69.423916168,20.625
2020-02-26 11-00-20,23,16,37562,,,,,,,,,3.875
2020-02-26 11-00-20,23,17,,7.59,0.79,0.43,,,,,,3.875
2020-02-26 11-00-20,23,18,,7.59,0.79,0.43,0.29,-0.2599999999999909,0.59,,,20.625
2020-02-26 11-00-20,23,19,,7.59,0.79,0.43,0.29,-0.2599999999999909,0.59,7.92,95.1275492405,20.625
2020-02-26 11-00-21,25,16,36710,,,,,,,,,3.875
2020-02-26 11-00-22,25,17,,14.89,14.51,13.69,,,,,,3.875
2020-02-26 11-00-22,25,18,,14.89,14.51,13.69,15.05,17.95,16.57,,,20.625
2020-02-26 11-00-22,25,19,,14.89,14.51,13.69,15.05,17.95,16.57,-39.389999999999986,-2.0462,20.625
2020-02-26 11-01-14,10,16,3741,,,,,,,,,4.0
2020-02-26 11-01-14,10,17,,81.35,119.3,123.36,,,,,,4.0
2020-02-26 11-01-14,10,18,,81.35,119.3,123.36,44.97,40.95,40.96,,,20.562
2020-02-26 11-01-14,11,16,39927,,,,,,,,,4.0
2020-02-26 11-01-15,11,17,,4.15,8.13,10.69,,,,,,4.0
2020-02-26 11-01-15,11,18,,4.15,8.13,10.69,10.41,13.95,14.91,,,20.562
2020-02-26 11-01-15,11,19,,4.15,8.13,10.69,10.41,13.95,14.91,-39.389999999999986,-2.0462,20.562
2020-02-26 11-01-15,12,16,46289,,,,,,,,,4.0
2020-02-26 11-01-15,12,17,,17.57,14.91,21.05,,,,,,4.0
2020-02-26 11-01-15,12,18,,17.57,14.91,21.05,16.99,17.31,19.09,,,20.562
2020-02-26 11-01-15,12,19,,17.57,14.91,21.05,16.99,17.31,19.09,17.98,37.7182882,20.562
2020-02-26 11-01-15,13,16,46560,,,,,,,,,4.0
2020-02-26 11-01-16,13,17,,16.99,18.71,16.75,,,,,,4.0
2020-02-26 11-01-16,13,18,,16.99,18.71,16.75,8.37,15.09,13.55,,,20.562
2020-02-26 11-01-16,13,19,,16.99,18.71,16.75,8.37,15.09,13.55,20.74,36.82444406050001,20.562
2020-02-26 11-01-16,14,16,46547,,,,,,,,,4.0
2020-02-26 11-01-16,14,17,,15.85,17.83,17.59,,,,,,4.0
2020-02-26 11-01-16,14,18,,15.85,17.83,17.59,17.75,19.19,20.45,,,20.562
2020-02-26 11-01-16,14,19,,15.85,17.83,17.59,17.75,19.19,20.45,18.2,41.335831250000005,20.562
2020-02-26 11-01-17,15,16,0,,,,,,,,,4.0
2020-02-26 11-01-17,15,17,,0.0,0.0,0.0,,,,,,4.0
