TempPlant2,TempPlant3,TempPlant4,Air_temp_loc,Humedity,air_temp,Ambient_1_4,Date
6.17,5.63,6.29,,-2.0462,0.812,-0.437,2020-02-25 00-00-25
5.59,6.07,5.81,,-2.0462,0.812,-0.437,2020-02-25 00-01-25
5.71,5.73,5.67,,-2.0462,0.812,-0.5,2020-02-25 00-02-25
5.81,5.63,5.73,,-2.0462,0.812,-0.5,2020-02-25 00-03-25
5.55,5.95,5.81,,-2.0462,0.812,-0.5,2020-02-25 00-04-25
5.59,5.93,5.51,,-2.0462,0.812,-0.5,2020-02-25 00-05-25
5.85,5.99,5.51,,-2.0462,0.812,-0.5,2020-02-25 00-06-25
5.89,5.63,5.85,,-2.0462,0.875,-0.5,2020-02-25 00-07-25
5.73,6.11,5.23,,-2.0462,0.875,-0.5,2020-02-25 00-08-25
5.93,5.93,5.27,,-2.0462,0.875,-0.437,2020-02-25 00-09-25
5.95,5.99,5.67,,-2.0462,0.875,-0.437,2020-02-25 00-10-25
5.67,5.95,6.03,,-2.0462,0.937,-0.437,2020-02-25 00-11-25
5.95,5.85,5.77,,-2.0462,0.937,-0.437,2020-02-25 00-12-25
5.95,5.55,5.85,,-2.0462,0.937,-0.437,2020-02-25 00-13-25
6.03,6.13,5.95,,-2.0462,1,-0.437,2020-02-25 00-14-25
5.85,5.95,5.55,,-2.0462,1.062,-0.437,2020-02-25 00-15-25
5.71,5.99,5.89,,-2.0462,1.062,-0.5,2020-02-25 00-16-25
6.03,5.93,6.03,,-2.0462,1.062,-0.437,2020-02-25 00-17-25
5.81,5.71,6.07,,-2.0462,1.062,-0.5,2020-02-25 00-18-25
5.95,5.89,6.13,,-2.0462,1.125,-0.5,2020-02-25 00-19-25
5.49,5.77,5.81,,-2.0462,1.125,-0.5,2020-02-25 00-20-25
5.89,5.81,5.63,,-2.0462,1.125,-0.5,2020-02-25 00-21-25
5.95,6.13,5.67,,-2.0462,1.187,-0.5,2020-02-25 00-22-25
5.51,5.93,5.49,,-2.0462,1.187,-0.5,2020-02-25 00-23-25
5.73,5.99,5.67,,-2.0462,1.187,-0.5,2020-02-25 00-24-25
5.89,5.49,5.55,,-2.0462,1.25,-0.5,2020-02-25 00-25-25
5.89,5.99,5.93,,-2.0462,1.25,-0.5,2020-02-25 00-26-25
6.13,6.07,5.73,,-2.0462,1.25,-0.5,2020-02-25 00-27-25
5.67,5.55,5.95,,-2.0462,1.312,-0.5,2020-02-25 00-28-25
5.51,5.89,5.49,,-2.0462,1.312,-0.437,2020-02-25 00-29-25
5.71,5.59,5.71,,-2.0462,1.312,-0.5,2020-02-25 00-30-25
5.71,5.49,5.81,,-2.0462,1.312,-0.5,2020-02-25 00-31-25
5.77,5.95,5.55,,-2.0462,1.312,-0.5,2020-02-25 00-32-25
5.73,5.89,5.67,,-2.0462,1.312,-0.5,2020-02-25 00-33-25
5.93,5.63,5.85,,-2.0462,1.312,-0.5,2020-02-25 00-34-25
5.93,6.03,5.77,,-2.0462,1.312,-0.5,2020-02-25 00-35-25
6.13,5.59,5.85,,-2.0462,1.312,-0.562,2020-02-25 00-36-25
5.85,5.55,5.51,,-2.0462,1.312,-0.562,2020-02-25 00-37-25
5.51,5.93,5.95,,-2.0462,1.312,-0.562,2020-02-25 00-38-25
5.81,6.21,5.71,,-2.0462,1.312,-0.625,2020-02-25 00-39-25
5.85,6.11,5.85,,-2.0462,1.312,-0.625,2020-02-25 00-40-25
5.81,5.49,5.71,,-2.0462,1.25,-0.562,2020-02-25 00-41-25
5.49,6.17,5.59,,-2.0462,1.25,-0.562,2020-02-25 00-42-25
5.59,5.59,5.89,,-2.0462,1.25,-0.562,2020-02-25 00-43-25
5.95,5.71,5.63,,-2.0462,1.25,-0.625,2020-02-25 00-44-25
6.03,5.95,5.85,,-2.0462,1.312,-0.625,2020-02-25 00-45-25
6.21,5.71,5.71,,-2.0462,1.312,-0.625,2020-02-25 00-46-25
5.73,5.67,5.67,,-2.0462,1.312,-0.562,2020-02-25 00-47-25
5.73,5.63,5.93,,-2.0462,1.312,-0.625,2020-02-25 00-48-25
5.73,5.67,5.63,,-2.0462,1.312,-0.625,2020-02-25 00-49-25
5.67,5.89,5.77,,-2.0462,1.312,-0.625,2020-02-25 00-50-25
5.71,5.71,5.41,,-2.0462,1.312,-0.562,2020-02-25 00-51-25
5.85,6.17,5.81,,-2.0462,1.312,-0.562,2020-02-25 00-52-25
5.67,6.03,5.49,,-2.0462,1.312,-0.562,2020-02-25 00-53-25
5.89,5.63,5.49,,-2.0462,1.312,-0.562,2020-02-25 00-54-25
5.99,5.51,5.59,,-2.0462,1.375,-0.562,2020-02-25 00-55-25
5.73,6.07,5.71,,-2.0462,1.375,-0.562,2020-02-25 00-56-25
5.59,5.85,5.55,,-2.0462,1.375,-0.562,2020-02-25 00-57-25
5.77,5.93,5.85,,-2.0462,1.375,-0.562,2020-02-25 00-58-25
5.73,5.85,5.73,,-2.0462,1.437,-0.562,2020-02-25 00-59-25
5.85,5.55,5.89,,-2.0462,1.437,-0.562,2020-02-25 01-00-25
5.67,5.77,5.41,,-2.0462,1.437,-0.562,2020-02-25 01-01-25
5.73,5.99,5.67,,-2.0462,1.437,-0.562,2020-02-25 01-02-25
6.13,6.07,5.41,,-2.0462,1.375,-0.562,2020-02-25 01-03-25
5.93,5.77,5.59,,-2.0462,1.375,-0.562,2020-02-25 01-04-25
5.55,5.85,5.59,,-2.0462,1.375,-0.562,2020-02-25 01-05-25
5.63,6.03,6.07,,-2.0462,1.437,-0.562,2020-02-25 01-06-25
5.85,5.89,5.71,,-2.0462,1.437,-0.562,2020-02-25 01-07-25
5.67,5.77,5.73,,-2.0462,1.437,-0.562,2020-02-25 01-08-25
5.67,5.95,6.17,,-2.0462,1.437,-0.562,2020-02-25 01-09-25
6.03,5.77,5.81,,-2.0462,1.437,-0.562,2020-02-25 01-10-25
5.67,5.85,5.77,,-2.0462,1.437,-0.562,2020-02-25 01-11-25
5.73,5.95,5.71,,-2.0462,1.437,-0.5,2020-02-25 01-12-25
6.11,5.71,5.51,,-2.0462,1.437,-0.5,2020-02-25 01-13-25
5.99,5.73,5.71,,-2.0462,1.437,-0.5,2020-02-25 01-14-25
5.73,5.73,5.71,,-2.0462,1.5,-0.5,2020-02-25 01-15-25
5.81,5.77,6.13,,-2.0462,1.5,-0.5,2020-02-25 01-16-25
