TempPlant1,TempPlant2,TempPlant4,Air_temp_loc,Humedity,air_temp,Ambient_1_4,Date
6.39,6.75,6.73,2.86,89.4512831125,4.312,1.437,2020-02-04 00-00-16
6.43,6.25,6.73,2.84,89.81009433800001,4.25,1.437,2020-02-04 00-01-16
6.57,6.91,6.25,2.76,89.81009433800001,4.312,1.437,2020-02-04 00-02-15
6.51,6.93,6.91,2.81,89.8652482,4.312,1.375,2020-02-04 00-03-16
6.53,6.53,6.51,2.78,89.97551763200002,4.375,1.375,2020-02-04 00-04-15
6.33,6.43,6.35,2.76,90.2784953125,4.375,1.375,2020-02-04 00-05-16
6.51,5.99,6.39,2.74,90.63606204800001,4.375,1.437,2020-02-04 00-06-16
6.75,6.69,6.47,2.68,90.93819730450001,4.375,1.375,2020-02-04 00-07-16
6.47,6.53,6.43,2.71,90.93819730450001,4.375,1.375,2020-02-04 00-08-15
6.29,6.13,6.73,2.75,90.44359312450001,4.437,1.375,2020-02-04 00-10-16
6.57,6.57,6.61,2.8,90.38857328450001,4.375,1.375,2020-02-04 00-11-16
6.61,6.69,6.75,2.72,90.11328262450002,4.437,1.375,2020-02-04 00-12-16
6.75,6.69,6.93,2.7,89.97551763200002,4.375,1.375,2020-02-04 00-13-16
6.43,6.73,6.65,2.74,89.94795506050001,4.375,1.437,2020-02-04 00-14-16
6.87,6.51,6.79,2.79,90.1683662845,4.375,1.375,2020-02-04 00-15-16
6.43,6.07,6.73,2.77,90.41608480000001,4.437,1.437,2020-02-04 00-16-16
6.83,6.43,6.21,2.84,90.08573600800001,4.437,1.437,2020-02-04 00-17-16
6.69,6.57,6.69,2.9,89.3407711645,4.437,1.437,2020-02-04 00-18-16
6.53,6.53,6.73,2.91,89.0089289845,4.5,1.437,2020-02-04 00-19-16
6.79,6.87,6.69,2.9,88.5103041445,4.5,1.437,2020-02-04 00-20-16
6.29,6.65,6.53,2.94,88.12177004050001,4.5,1.437,2020-02-04 00-21-15
6.79,6.69,6.13,2.92,88.12177004050001,4.5,1.437,2020-02-04 00-22-16
6.53,6.75,6.29,2.89,88.23284360450002,4.5,1.5,2020-02-04 00-23-16
6.61,6.57,6.75,2.86,88.45483756450001,4.5,1.5,2020-02-04 00-24-16
6.47,6.93,6.51,2.93,88.64891475200001,4.437,1.5,2020-02-04 00-25-16
6.83,6.69,6.65,2.94,88.75974580000002,4.437,1.562,2020-02-04 00-26-16
6.79,6.47,6.39,2.9,89.3131352,4.437,1.5,2020-02-04 00-27-15
6.93,7.09,7.05,2.8,89.7273396125,4.437,1.5,2020-02-04 00-29-16
6.75,7.19,6.69,2.84,89.67215384050002,4.5,1.437,2020-02-04 00-30-16
6.57,6.51,5.67,2.82,89.64455616800001,4.437,1.437,2020-02-04 00-31-16
6.43,6.53,6.25,2.75,89.7273396125,4.437,1.437,2020-02-04 00-32-16
6.39,6.69,6.61,2.78,90.00307701250001,4.437,1.437,2020-02-04 00-33-16
6.65,6.83,6.65,2.78,90.00307701250001,4.437,1.437,2020-02-04 00-34-15
6.65,6.21,6.33,2.66,90.38857328450001,4.437,1.437,2020-02-04 00-35-16
6.33,6.87,6.17,2.72,90.361058578,4.437,1.437,2020-02-04 00-36-16
6.69,6.73,6.47,2.7,90.1683662845,4.437,1.437,2020-02-04 00-37-16
6.33,6.65,6.73,2.78,89.4512831125,4.437,1.437,2020-02-04 00-38-16
6.25,6.57,6.75,2.78,89.17490751250001,4.437,1.437,2020-02-04 00-39-16
6.69,6.51,6.73,2.82,89.17490751250001,4.5,1.437,2020-02-04 00-40-16
6.91,6.43,6.87,2.82,88.75974580000002,4.437,1.437,2020-02-04 00-41-16
6.39,6.75,6.57,2.84,88.6766273005,4.5,1.437,2020-02-04 00-42-16
6.87,7.05,6.47,2.94,88.7320428245,4.5,1.437,2020-02-04 00-43-16
6.33,6.53,7.05,2.88,88.815142178,4.5,1.437,2020-02-04 00-44-16
6.51,6.43,6.57,2.97,88.84283558050001,4.562,1.5,2020-02-04 00-45-16
6.35,6.87,6.69,3,88.84283558050001,4.5,1.437,2020-02-04 00-46-15
6.61,6.65,6.47,2.96,88.7874455845,4.562,1.5,2020-02-04 00-47-16
6.91,6.87,6.61,2.9,89.06426792450002,4.5,1.437,2020-02-04 00-48-16
6.53,6.65,6.39,2.84,89.25785369800002,4.5,1.437,2020-02-04 00-49-16
6.47,6.61,6.25,2.84,89.58935125,4.562,1.437,2020-02-04 00-50-16
6.57,6.53,6.21,2.86,89.478903122,4.5,1.5,2020-02-04 00-51-16
6.73,6.69,6.43,2.88,89.28549604450001,4.5,1.437,2020-02-04 00-52-15
6.73,6.65,6.35,2.86,89.39603352050001,4.5,1.437,2020-02-04 00-53-15
6.65,7.11,6.93,2.8,89.7273396125,4.437,1.437,2020-02-04 00-54-16
6.69,6.75,6.93,2.78,89.97551763200002,4.5,1.437,2020-02-04 00-55-16
6.57,6.35,6.33,2.72,90.2784953125,4.437,1.437,2020-02-04 00-56-16
6.57,6.39,6.69,2.66,90.55359451250001,4.437,1.437,2020-02-04 00-57-16
6.87,6.51,6.57,2.68,90.8832923405,4.437,1.437,2020-02-04 00-58-16
6.65,7.05,6.51,2.7,90.8832923405,4.437,1.437,2020-02-04 00-59-15
