TempPlant2,TempPlant4,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1_6,Date
3.29,2.39,2.43,2.44,107.5471123805,4.062,1.5,2020-01-27 00-00-18
3.29,2.01,2.81,2.45,107.5471123805,4.062,1.5,2020-01-27 00-01-18
3.29,2.39,2.65,2.44,107.5471123805,4.062,1.5,2020-01-27 00-02-18
3.19,2.39,2.39,2.44,107.5471123805,4.062,1.5,2020-01-27 00-03-18
3.03,2.39,2.61,2.44,107.521665442,4.125,1.5,2020-01-27 00-04-18
3.25,2.17,2.65,2.44,107.4962153125,4.125,1.5,2020-01-27 00-05-18
3.67,2.35,2.95,2.46,107.5471123805,4.187,1.5,2020-01-27 00-06-18
3.07,2.43,2.91,2.46,107.5471123805,4.187,1.5,2020-01-27 00-07-18
3.37,2.43,2.59,2.44,107.5471123805,4.25,1.5,2020-01-27 00-08-17
3.03,2.39,2.81,2.46,107.5471123805,4.25,1.5,2020-01-27 00-09-18
3.11,1.89,2.95,2.48,107.5471123805,4.25,1.5,2020-01-27 00-10-18
3.25,2.47,2.77,2.49,107.5471123805,4.25,1.5,2020-01-27 00-11-18
3.37,2.31,2.65,2.46,107.57255612800002,4.25,1.5,2020-01-27 00-12-18
2.69,2.35,2.65,2.46,107.5471123805,4.25,1.5,2020-01-27 00-13-18
3.19,2.35,2.77,2.44,107.5471123805,4.25,1.5,2020-01-27 00-14-18
3.33,2.09,2.81,2.44,107.5471123805,4.25,1.5,2020-01-27 00-15-18
3.07,1.93,2.81,2.46,107.5471123805,4.25,1.5,2020-01-27 00-16-18
2.85,2.27,2.73,2.46,107.5471123805,4.25,1.5,2020-01-27 00-17-18
2.85,2.31,2.73,2.44,107.5471123805,4.187,1.5,2020-01-27 00-18-18
2.55,2.21,2.39,2.46,107.59799668450002,4.187,1.562,2020-01-27 00-19-18
3.67,1.63,2.69,2.47,107.5471123805,4.25,1.562,2020-01-27 00-20-18
3.63,2.09,2.73,2.44,107.57255612800002,4.187,1.5,2020-01-27 00-22-18
3.29,2.61,2.35,2.44,107.5471123805,4.187,1.5,2020-01-27 00-23-18
2.99,2.13,2.65,2.42,107.57255612800002,4.187,1.5,2020-01-27 00-24-18
2.25,2.31,2.69,2.42,107.57255612800002,4.187,1.5,2020-01-27 00-25-18
2.43,1.93,2.69,2.42,107.59799668450002,4.187,1.5,2020-01-27 00-26-18
3.33,2.39,2.35,2.42,107.59799668450002,4.187,1.5,2020-01-27 00-28-18
2.85,2.27,2.47,2.42,107.59799668450002,4.187,1.5,2020-01-27 00-29-18
2.89,2.25,2.65,2.44,107.59799668450002,4.25,1.5,2020-01-27 00-30-18
3.29,2.17,2.61,2.44,107.59799668450002,4.25,1.5,2020-01-27 00-31-18
2.91,2.25,2.65,2.44,107.59799668450002,4.25,1.562,2020-01-27 00-32-18
3.33,2.13,2.69,2.46,107.59799668450002,4.25,1.5,2020-01-27 00-33-17
3.15,1.79,2.39,2.45,107.6488682245,4.25,1.5,2020-01-27 00-34-17
2.95,2.05,2.61,2.46,107.59799668450002,4.312,1.5,2020-01-27 00-35-18
2.43,2.01,2.59,2.46,107.59799668450002,4.312,1.562,2020-01-27 00-36-18
3.11,2.09,2.89,2.46,107.59799668450002,4.312,1.562,2020-01-27 00-37-18
3.33,1.93,2.43,2.46,107.59799668450002,4.312,1.562,2020-01-27 00-38-18
3.03,2.59,2.55,2.46,107.59799668450002,4.312,1.562,2020-01-27 00-39-18
3.23,1.97,2.77,2.45,107.59799668450002,4.312,1.562,2020-01-27 00-40-17
3.53,1.93,2.69,2.46,107.59799668450002,4.312,1.562,2020-01-27 00-41-17
2.61,2.01,2.59,2.45,107.59799668450002,4.312,1.562,2020-01-27 00-42-18
3.19,2.13,2.61,2.46,107.59799668450002,4.312,1.5,2020-01-27 00-43-18
2.73,1.93,2.39,2.46,107.59799668450002,4.312,1.5,2020-01-27 00-44-18
2.81,2.09,2.73,2.46,107.59799668450002,4.312,1.5,2020-01-27 00-45-18
2.77,2.43,2.81,2.46,107.59799668450002,4.312,1.5,2020-01-27 00-46-17
3.29,2.31,2.61,2.46,107.59799668450002,4.312,1.5,2020-01-27 00-47-18
2.47,2.25,2.59,2.45,107.59799668450002,4.375,1.5,2020-01-27 00-48-18
2.99,2.35,2.51,2.46,107.59799668450002,4.375,1.5,2020-01-27 00-49-18
2.95,1.97,2.91,2.48,107.59799668450002,4.375,1.5,2020-01-27 00-50-18
3.15,2.31,2.69,2.46,107.59799668450002,4.375,1.5,2020-01-27 00-51-18
2.31,2.09,2.51,2.48,107.59799668450002,4.375,1.5,2020-01-27 00-52-17
3.25,2.17,2.51,2.47,107.59799668450002,4.375,1.5,2020-01-27 00-53-16
2.89,2.13,2.77,2.46,107.59799668450002,4.437,1.5,2020-01-27 00-55-18
3.41,2.21,2.47,2.46,107.59799668450002,4.437,1.5,2020-01-27 00-56-18
3.11,2.21,2.43,2.44,107.59799668450002,4.5,1.5,2020-01-27 00-57-18
2.95,2.39,2.81,2.43,107.62343405000001,4.562,1.5,2020-01-27 00-58-18
3.11,2.27,2.59,2.42,107.59799668450002,4.562,1.5,2020-01-27 00-59-17
3.59,2.35,2.47,2.42,107.62343405000001,4.562,1.5,2020-01-27 01-00-17
3.11,1.75,2.77,2.43,107.6488682245,4.625,1.5,2020-01-27 01-01-17
2.95,2.31,2.89,2.44,107.6488682245,4.625,1.5,2020-01-27 01-02-18
3.29,2.01,2.91,2.44,107.6488682245,4.625,1.5,2020-01-27 01-03-18
2.55,2.43,2.55,2.45,107.59799668450002,4.625,1.5,2020-01-27 01-04-17
2.81,2.17,2.61,2.46,107.6488682245,4.625,1.5,2020-01-27 01-05-18
2.51,2.43,2.55,2.46,107.62343405000001,4.687,1.5,2020-01-27 01-06-18
3.11,2.09,2.55,2.46,107.62343405000001,4.625,1.5,2020-01-27 01-07-18
3.07,2.27,2.85,2.48,107.67429920800001,4.687,1.5,2020-01-27 01-08-18
3.19,2.51,2.73,2.5,107.6488682245,4.687,1.5,2020-01-27 01-09-18
3.63,2.27,2.99,2.52,107.6488682245,4.687,1.5,2020-01-27 01-10-18
2.91,2.17,2.73,2.52,107.6488682245,4.75,1.562,2020-01-27 01-11-18
3.23,2.13,2.77,2.54,107.6488682245,4.687,1.5,2020-01-27 01-12-18
3.25,2.55,2.61,2.53,107.6488682245,4.687,1.5,2020-01-27 01-13-18
3.71,2.27,2.81,2.54,107.62343405000001,4.75,1.5,2020-01-27 01-14-18
2.55,2.21,2.61,2.52,107.6488682245,4.687,1.5,2020-01-27 01-15-18
3.23,2.39,2.65,2.53,107.6488682245,4.687,1.5,2020-01-27 01-16-17
3.45,2.27,2.69,2.54,107.62343405000001,4.687,1.5,2020-01-27 01-17-18
3.37,2.25,2.69,2.52,107.6488682245,4.625,1.5,2020-01-27 01-19-18
3.25,2.39,2.73,2.5,107.6488682245,4.687,1.5,2020-01-27 01-20-18
2.55,2.51,2.81,2.52,107.6488682245,4.687,1.5,2020-01-27 01-21-18
3.55,1.93,2.77,2.53,107.6488682245,4.687,1.5,2020-01-27 01-23-18
