TempPlant3,TempPlant4,TempPlant5,Air_temp_loc,Humedity,air_temp,Ambient_1_5,Date
3.19,2.27,2.77,3.12,87.92726845000001,3.437,2.312,2020-02-06 00-00-19
2.91,2.43,3.29,3.08,88.0662141125,3.5,2.375,2020-02-06 00-01-19
2.95,2.39,2.89,3.08,88.34386611250001,3.5,2.312,2020-02-06 00-02-18
3.11,2.47,2.89,3.08,88.37161376200001,3.5,2.375,2020-02-06 00-03-18
2.99,2.27,3.15,3.1,88.3993582205,3.5,2.312,2020-02-06 00-04-19
3.03,2.35,3.19,3.08,88.59348008200001,3.5,2.312,2020-02-06 00-05-19
2.99,2.21,2.69,3.07,88.3993582205,3.5,2.312,2020-02-06 00-06-18
2.91,2.47,2.51,3.08,88.56575796050001,3.5,2.312,2020-02-06 00-07-18
3.03,2.25,3.03,3.06,88.75974580000002,3.5,2.312,2020-02-06 00-08-18
2.81,2.47,2.51,3.06,89.147252402,3.5,2.312,2020-02-06 00-09-18
2.59,2.27,3.29,3.04,89.17490751250001,3.5,2.312,2020-02-06 00-10-19
2.89,2.47,2.59,3.06,89.423659912,3.5,2.312,2020-02-06 00-11-19
2.81,2.17,2.89,3,89.64455616800001,3.5,2.312,2020-02-06 00-12-18
2.47,2.13,2.95,3.02,89.7273396125,3.5,2.25,2020-02-06 00-13-18
2.81,2.43,2.89,3.02,89.50651994050001,3.5,2.25,2020-02-06 00-14-18
2.95,2.47,2.81,3.03,89.3407711645,3.5,2.312,2020-02-06 00-15-18
2.81,2.13,3.03,3.03,89.3131352,3.5,2.312,2020-02-06 00-16-18
2.85,2.39,2.95,3.04,89.06426792450002,3.5,2.312,2020-02-06 00-17-19
2.65,2.25,3.07,3.06,88.6766273005,3.5,2.375,2020-02-06 00-18-19
2.81,2.39,3.11,3.06,88.7320428245,3.562,2.312,2020-02-06 00-19-18
2.77,2.73,2.89,3.06,88.34386611250001,3.562,2.375,2020-02-06 00-20-18
2.85,2.27,2.99,3.12,87.95506396450001,3.625,2.375,2020-02-06 00-21-18
3.03,2.27,2.77,3.12,87.98285628800001,3.562,2.437,2020-02-06 00-22-18
2.81,2.27,2.99,3.12,87.62130718450001,3.562,2.437,2020-02-06 00-23-19
