TempPlant1,TempPlant4,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1_6,Date
5.81,5.59,5.37,,-2.0462,7.437,5.562,2020-02-15 00-00-21
5.85,5.73,5.11,,-2.0462,7.437,5.5,2020-02-15 00-01-21
5.23,5.51,4.97,,-2.0462,7.375,5.312,2020-02-15 00-02-22
5.63,5.73,4.33,,-2.0462,7.375,5.125,2020-02-15 00-03-22
5.11,5.63,5.11,,-2.0462,7.312,4.875,2020-02-15 00-04-22
5.15,5.05,5.01,,-2.0462,7.187,4.812,2020-02-15 00-05-21
5.37,5.81,5.05,,-2.0462,7.125,4.75,2020-02-15 00-06-22
5.11,5.05,4.93,,-2.0462,7.062,4.75,2020-02-15 00-07-22
5.23,5.07,4.75,,-2.0462,7,4.625,2020-02-15 00-08-22
5.27,5.45,4.93,,-2.0462,6.937,4.562,2020-02-15 00-09-22
5.15,5.37,4.97,,-2.0462,6.875,4.562,2020-02-15 00-10-22
4.89,4.33,4.85,,-2.0462,6.812,4.562,2020-02-15 00-11-22
5.19,5.01,4.97,,-2.0462,6.75,4.5,2020-02-15 00-12-22
5.33,5.23,5.01,,-2.0462,6.687,4.5,2020-02-15 00-13-22
5.27,5.27,5.01,,-2.0462,6.687,4.625,2020-02-15 00-14-22
5.41,5.37,5.29,,-2.0462,6.625,4.687,2020-02-15 00-15-22
5.41,5.29,5.11,,-2.0462,6.625,4.75,2020-02-15 00-16-21
5.33,5.15,4.93,,-2.0462,6.625,4.75,2020-02-15 00-17-22
5.05,5.51,5.01,,-2.0462,6.625,4.75,2020-02-15 00-18-22
5.19,5.15,4.97,,-2.0462,6.625,4.625,2020-02-15 00-19-22
5.05,5.59,4.85,,-2.0462,6.562,4.562,2020-02-15 00-20-21
5.41,5.89,4.67,,-2.0462,6.562,4.5,2020-02-15 00-21-22
5.05,5.07,5.23,,-2.0462,6.562,4.5,2020-02-15 00-22-22
4.93,5.37,4.97,,-2.0462,6.562,4.5,2020-02-15 00-23-21
5.33,5.27,5.01,,-2.0462,6.5,4.562,2020-02-15 00-24-22
5.01,5.07,4.81,,-2.0462,6.5,4.562,2020-02-15 00-25-22
5.15,5.33,5.05,,-2.0462,6.5,4.625,2020-02-15 00-26-22
5.19,5.15,4.89,,-2.0462,6.5,4.687,2020-02-15 00-27-20
5.15,5.41,4.75,,-2.0462,6.5,4.687,2020-02-15 00-28-22
5.45,4.81,4.81,,-2.0462,6.5,4.687,2020-02-15 00-29-21
5.19,5.45,4.93,,-2.0462,6.5,4.75,2020-02-15 00-30-22
5.29,5.71,5.07,,-2.0462,6.5,4.75,2020-02-15 00-31-22
5.45,5.37,5.05,,-2.0462,6.562,4.812,2020-02-15 00-32-22
5.33,5.19,4.97,,-2.0462,6.562,4.875,2020-02-15 00-33-22
5.51,5.11,5.05,,-2.0462,6.625,4.875,2020-02-15 00-34-22
5.33,5.63,5.11,,-2.0462,6.625,4.875,2020-02-15 00-35-22
5.27,5.27,5.05,,-2.0462,6.687,4.875,2020-02-15 00-36-22
5.49,5.55,5.07,,-2.0462,6.687,4.812,2020-02-15 00-37-22
5.07,5.41,4.93,,-2.0462,6.687,4.75,2020-02-15 00-38-22
5.07,5.33,5.15,,-2.0462,6.75,4.75,2020-02-15 00-39-22
5.49,5.29,4.89,,-2.0462,6.75,4.875,2020-02-15 00-40-22
5.29,5.49,5.07,,-2.0462,6.75,4.937,2020-02-15 00-41-22
5.11,5.45,4.75,,-2.0462,6.75,4.937,2020-02-15 00-42-22
5.19,5.37,4.93,,-2.0462,6.75,4.937,2020-02-15 00-43-22
5.41,5.59,5.23,,-2.0462,6.75,5,2020-02-15 00-44-22
5.55,5.37,5.05,,-2.0462,6.812,5.125,2020-02-15 00-45-21
5.45,5.77,5.11,,-2.0462,6.875,5.125,2020-02-15 00-46-22
4.97,5.23,5.11,,-2.0462,6.875,5.062,2020-02-15 00-47-22
5.19,5.01,5.29,,-2.0462,6.937,5.062,2020-02-15 00-48-21
5.59,4.79,4.93,,-2.0462,7,5.062,2020-02-15 00-49-22
5.05,4.85,5.23,,-2.0462,7,4.937,2020-02-15 00-50-22
5.29,5.23,4.81,,-2.0462,7,4.937,2020-02-15 00-51-22
5.15,5.59,5.15,,-2.0462,7,4.875,2020-02-15 00-52-22
5.51,5.29,4.81,,-2.0462,7,4.937,2020-02-15 00-53-22
5.59,5.23,5.15,,-2.0462,7,4.937,2020-02-15 00-54-22
5.27,4.97,5.19,,-2.0462,7,4.937,2020-02-15 00-55-22
5.27,5.93,4.93,,-2.0462,7,5.062,2020-02-15 00-56-22
5.51,5.67,5.05,,-2.0462,7,5.125,2020-02-15 00-57-22
5.85,5.45,5.15,,-2.0462,7.062,5.187,2020-02-15 00-58-22
5.63,6.07,5.11,,-2.0462,7.125,5.25,2020-02-15 00-59-22
5.95,5.93,5.49,,-2.0462,7.125,5.437,2020-02-15 01-00-22
5.71,5.55,5.51,,-2.0462,7.125,5.5,2020-02-15 01-01-22
6.03,5.93,5.67,,-2.0462,7.187,5.687,2020-02-15 01-02-22
6.35,6.17,5.89,,-2.0462,7.187,6,2020-02-15 01-03-22
6.03,5.77,5.95,,-2.0462,7.25,6.125,2020-02-15 01-04-22
5.67,5.77,5.45,,-2.0462,7.25,5.812,2020-02-15 01-05-22
5.67,5.67,5.27,,-2.0462,7.25,5.625,2020-02-15 01-06-22
5.49,5.45,5.29,,-2.0462,7.187,5.5,2020-02-15 01-07-21
5.37,5.85,5.23,,-2.0462,7.187,5.375,2020-02-15 01-08-22
5.45,5.11,5.11,,-2.0462,7.187,5.312,2020-02-15 01-09-22
5.15,5.63,5.11,,-2.0462,7.125,5.25,2020-02-15 01-10-22
5.23,6.13,4.45,,-2.0462,7.062,5.187,2020-02-15 01-11-22
5.27,5.07,5.11,,-2.0462,7.062,5.125,2020-02-15 01-12-22
5.11,5.29,4.85,,-2.0462,7,5,2020-02-15 01-13-22
5.11,5.05,4.93,,-2.0462,6.937,4.937,2020-02-15 01-14-21
5.29,5.29,4.89,,-2.0462,6.812,4.937,2020-02-15 01-15-21
5.41,5.41,5.01,,-2.0462,6.812,4.875,2020-02-15 01-16-22
5.15,5.55,5.05,,-2.0462,6.75,4.812,2020-02-15 01-17-22
5.45,5.41,4.93,,-2.0462,6.687,4.812,2020-02-15 01-18-22
5.33,5.15,5.33,,-2.0462,6.625,4.875,2020-02-15 01-19-22
5.41,5.27,4.85,,-2.0462,6.562,4.875,2020-02-15 01-20-22
5.49,5.95,4.89,,-2.0462,6.562,4.812,2020-02-15 01-21-22
5.59,6.07,5.11,,-2.0462,6.562,4.875,2020-02-15 01-22-22
5.15,5.63,5.23,,-2.0462,6.5,4.937,2020-02-15 01-23-22
5.37,5.51,4.97,,-2.0462,6.5,4.937,2020-02-15 01-24-22
5.59,4.81,5.15,,-2.0462,6.5,5,2020-02-15 01-25-22
5.59,5.77,5.19,,-2.0462,6.5,5.062,2020-02-15 01-26-22
0,0,0,0,-2.0462,6.5,5.187,2020-02-15 01-27-22
5.73,5.41,5.73,,-2.0462,6.5,5.25,2020-02-15 01-28-05
5.37,5.05,5.19,,-2.0462,6.5,5.25,2020-02-15 01-28-22
5.41,5.55,5.37,,-2.0462,6.5,5.25,2020-02-15 01-29-22
5.67,5.81,5.33,,-2.0462,6.5,5.25,2020-02-15 01-30-22
5.23,5.49,5.33,,-2.0462,6.562,5.187,2020-02-15 01-31-22
5.49,5.55,,,-2.0462,6.562,5.062,2020-02-15 01-32-23
0,0,0,0,-2.0462,6.562,4.937,2020-02-15 01-33-21
0,0,0,0,-2.0462,6.5,4.875,2020-02-15 01-34-22
0,0,0,0,-2.0462,6.5,4.75,2020-02-15 01-35-22
0,0,0,0,-2.0462,6.5,4.687,2020-02-15 01-36-22
0,0,0,0,-2.0462,6.5,4.75,2020-02-15 01-37-22
