TempPlant2,TempPlant3,TempPlant5,Air_temp_loc,Humedity,air_temp,Ambient_1_5,Date
3.53,2.95,2.89,,-2.0462,4.25,3.312,2020-03-01 00-00-22
3.71,3.19,2.59,,-2.0462,4.25,3.312,2020-03-01 00-01-22
3.81,2.81,2.69,,-2.0462,4.25,3.312,2020-03-01 00-02-22
4.01,3.15,3.45,,-2.0462,4.187,3.375,2020-03-01 00-03-22
3.81,3.25,3.07,,-2.0462,4.25,3.375,2020-03-01 00-04-22
3.75,3.15,2.69,,-2.0462,4.25,3.375,2020-03-01 00-05-21
3.59,3.45,2.65,,-2.0462,4.25,3.437,2020-03-01 00-06-22
3.79,3.11,3.19,,-2.0462,4.312,3.437,2020-03-01 00-07-21
3.71,3.41,2.81,,-2.0462,4.312,3.437,2020-03-01 00-08-22
3.59,2.91,3.37,,-2.0462,4.312,3.437,2020-03-01 00-09-22
3.67,3.55,2.31,,-2.0462,4.312,3.375,2020-03-01 00-10-22
3.93,3.25,3.29,,-2.0462,4.25,3.375,2020-03-01 00-11-22
3.41,3.19,2.77,,-2.0462,4.312,3.312,2020-03-01 00-12-22
3.85,3.15,2.99,,-2.0462,4.312,3.312,2020-03-01 00-13-22
3.41,3.19,2.73,,-2.0462,4.312,3.312,2020-03-01 00-14-21
3.29,2.85,2.65,,-2.0462,4.25,3.312,2020-03-01 00-15-22
3.79,3.29,2.55,,-2.0462,4.312,3.312,2020-03-01 00-16-22
3.55,3.25,2.47,,-2.0462,4.312,3.312,2020-03-01 00-17-22
3.71,3.53,2.69,,-2.0462,4.25,3.25,2020-03-01 00-18-22
3.75,3.33,2.61,,-2.0462,4.25,3.187,2020-03-01 00-19-22
3.63,3.11,2.81,,-2.0462,4.25,3.25,2020-03-01 00-20-22
3.49,3.23,3.11,,-2.0462,4.312,3.25,2020-03-01 00-21-22
3.85,3.25,2.81,,-2.0462,4.25,3.25,2020-03-01 00-22-22
3.79,3.29,2.89,,-2.0462,4.25,3.25,2020-03-01 00-23-22
3.97,3.53,2.89,,-2.0462,4.312,3.25,2020-03-01 00-24-22
3.63,3.15,3.07,,-2.0462,4.312,3.187,2020-03-01 00-25-22
3.53,3.25,2.89,,-2.0462,4.25,3.187,2020-03-01 00-26-22
3.81,3.19,2.59,,-2.0462,4.25,3.187,2020-03-01 00-27-22
3.55,2.99,2.59,,-2.0462,4.187,3.187,2020-03-01 00-28-22
3.59,3.03,2.21,,-2.0462,4.187,3.125,2020-03-01 00-29-22
3.49,2.95,2.77,,-2.0462,4.187,3.125,2020-03-01 00-30-22
3.63,3.23,2.55,,-2.0462,4.187,3.125,2020-03-01 00-31-22
3.67,2.81,2.59,,-2.0462,4.187,3.125,2020-03-01 00-32-22
3.19,2.99,1.63,,-2.0462,4.125,3.062,2020-03-01 00-33-21
3.11,3.07,2.35,,-2.0462,4.125,3.062,2020-03-01 00-34-22
3.67,2.85,2.65,,-2.0462,4.125,3,2020-03-01 00-35-22
3.53,2.85,2.27,,-2.0462,4.125,3,2020-03-01 00-36-22
3.25,2.85,2.95,,-2.0462,4.062,2.937,2020-03-01 00-37-22
3.37,2.59,2.73,,-2.0462,4.062,3,2020-03-01 00-38-22
3.33,3.23,2.81,,-2.0462,4.062,2.937,2020-03-01 00-39-22
3.37,2.91,2.39,,-2.0462,4.062,3,2020-03-01 00-40-22
3.71,3.19,2.39,,-2.0462,4.062,3,2020-03-01 00-41-22
3.41,3.07,1.97,,-2.0462,4.062,3,2020-03-01 00-42-22
3.63,3.15,3.15,,-2.0462,4.062,3.062,2020-03-01 00-43-22
3.41,2.89,2.89,,-2.0462,4.062,3.062,2020-03-01 00-44-22
3.55,3.23,2.25,,-2.0462,4.062,3.062,2020-03-01 00-45-22
3.19,2.77,2.59,,-2.0462,4.062,3.125,2020-03-01 00-46-20
3.63,3.03,2.81,,-2.0462,4.062,3.062,2020-03-01 00-47-22
3.55,3.33,2.55,,-2.0462,4.125,3.125,2020-03-01 00-48-22
3.45,3.15,2.95,,-2.0462,4.125,3.062,2020-03-01 00-49-22
3.19,3.25,2.59,,-2.0462,4.125,3.062,2020-03-01 00-50-22
3.55,3.07,2.69,,-2.0462,4.125,3.062,2020-03-01 00-51-22
3.19,3.03,2.99,,-2.0462,4.125,3.062,2020-03-01 00-52-21
3.49,3.23,2.59,,-2.0462,4.125,3.125,2020-03-01 00-53-22
3.79,3.11,2.81,,-2.0462,4.187,3.125,2020-03-01 00-54-22
3.63,3.25,2.61,,-2.0462,4.187,3.125,2020-03-01 00-55-22
3.71,3.15,2.81,,-2.0462,4.187,3.125,2020-03-01 00-56-22
3.33,3.33,2.89,,-2.0462,4.187,3.187,2020-03-01 00-57-22
3.55,3.41,2.89,,-2.0462,4.187,3.125,2020-03-01 00-58-22
3.55,2.99,3.03,,-2.0462,4.187,3.187,2020-03-01 00-59-21
3.23,3.41,3.37,,-2.0462,4.25,3.187,2020-03-01 01-00-21
3.25,3.41,2.95,,-2.0462,4.25,3.25,2020-03-01 01-02-22
3.85,3.25,2.85,,-2.0462,4.25,3.25,2020-03-01 01-03-22
3.33,3.63,3.03,,-2.0462,4.25,3.25,2020-03-01 01-04-22
3.67,3.37,2.81,,-2.0462,4.25,3.25,2020-03-01 01-05-22
3.59,2.99,3.19,,-2.0462,4.312,3.187,2020-03-01 01-06-22
3.89,3.49,2.85,,-2.0462,4.25,3.25,2020-03-01 01-07-22
3.19,3.23,2.91,,-2.0462,4.312,3.187,2020-03-01 01-08-22
3.49,3.33,2.91,,-2.0462,4.312,3.125,2020-03-01 01-09-22
3.53,3.59,2.99,,-2.0462,4.25,3.062,2020-03-01 01-10-22
3.55,3.49,2.61,,-2.0462,4.25,3,2020-03-01 01-11-22
3.41,3.15,2.27,,-2.0462,4.187,2.875,2020-03-01 01-13-22
3.53,3.23,2.73,,-2.0462,4.187,2.875,2020-03-01 01-14-22
3.41,3.33,2.59,,-2.0462,4.187,2.812,2020-03-01 01-15-22
