time,TempPlant1,TempPlant5,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-02-13T06:05:00.0,2.17,6.65,6.51,2.71,7.495540860500001,3,1.875
2020-02-13T06:06:00.0,2.51,5.99,5.73,2.8,5.950577800000001,3,1.937
2020-02-13T06:07:00.0,2.31,5.15,5.23,2.8,8.176319458,3,1.937
2020-02-13T06:08:00.0,2.25,4.67,4.37,2.71,7.746488050000001,3,1.937
2020-02-13T06:09:00.0,2.05,3.79,3.85,2.66,7.961461192000002,3,1.937
2020-02-13T06:10:00.0,2.35,3.41,3.23,2.6,9.784094780500002,3,1.937
2020-02-13T06:11:00.0,2.05,3.29,3.07,2.62,8.748713217999999,3,1.937
2020-02-13T06:12:00.0,2.13,2.99,2.81,2.56,9.855401484500002,2.875,1.937
2020-02-13T06:13:00.0,2.21,2.99,2.65,2.52,8.534161288000002,2.875,1.937
2020-02-13T06:14:00.0,2.51,2.55,2.59,2.54,9.248887648000004,2.812,1.937
2020-02-13T06:15:00.0,1.89,2.73,2.31,2.59,8.247913352,2.812,2
2020-02-13T06:16:00.0,2.21,2.55,2.31,2.58,10.033612402000001,2.812,2
2020-02-13T06:17:00.0,2.05,2.65,2.25,2.62,8.462618450000003,2.75,1.937
2020-02-13T06:18:00.0,2.31,2.51,2.39,2.63,10.816792712000002,2.75,2
2020-02-13T06:19:00.0,2.51,2.21,2.17,2.62,10.532178568,2.812,2
2020-02-13T06:20:00.0,2.27,2.21,1.93,2.68,10.60335125,2.75,2.062
2020-02-13T06:21:00.0,2.27,2.27,1.97,2.72,9.534420800000001,2.75,2.125
2020-02-13T06:22:00.0,2.27,2.27,1.89,2.83,9.463056658000001,2.75,2.125
2020-02-13T06:23:00.0,2.59,2.25,1.85,2.87,8.319494482000003,2.75,2.125
2020-02-13T06:24:00.0,2.59,2.69,2.47,2.86,8.748713217999999,2.812,2.125
2020-02-13T06:25:00.0,,,,,,,
2020-02-13T06:26:00.0,,,,,,,
2020-02-13T06:27:00.0,2.21,2.27,2.17,2.86,9.677110792,2.812,2.062
2020-02-13T06:28:00.0,2.35,2.05,1.97,2.8,8.963150272000002,2.812,2.062
2020-02-13T06:29:00.0,2.55,2.13,2.13,2.84,9.034603762000001,2.812,2.062
2020-02-13T06:30:00.0,,,,,,,
2020-02-13T06:31:00.0,2.51,2.05,2.17,2.87,7.8181585280000006,2.812,2
2020-02-13T06:32:00.0,2.09,2.21,1.97,2.84,7.8181585280000006,2.812,1.937
2020-02-13T06:33:00.0,,,,,,,
2020-02-13T06:34:00.0,2.65,2.43,1.93,2.9,7.603108802000002,2.75,1.937
2020-02-13T06:35:00.0,2.81,2.09,2.05,2.94,8.2121180005,2.812,1.937
2020-02-13T06:36:00.0,2.85,2.59,2.31,3.02,7.8181585280000006,2.812,1.937
2020-02-13T06:37:00.0,2.69,2.51,2.27,3.08,8.963150272000002,2.812,2
2020-02-13T06:38:00.0,3.23,2.55,2.55,3.25,9.605772178,2.812,2
2020-02-13T06:39:00.0,3.33,2.73,2.73,3.35,9.17747245,2.875,2
2020-02-13T06:40:00.0,3.23,3.25,3.15,3.52,7.100879368,2.875,2.062
2020-02-13T06:41:00.0,3.41,3.49,3.23,3.72,8.534161288000002,3,2.125
