time,TempPlant2,TempPlant3,TempPlant4,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-02-21T06:05:00.0,8.47,8.65,8.69,5.56,91.130264162,5.812,3.5
2020-02-21T06:06:00.0,7.83,7.91,7.97,5.61,91.185111688,5.875,3.5
2020-02-21T06:07:00.0,7.33,7.23,7.37,5.6,91.1576895205,5.875,3.562
2020-02-21T06:08:00.0,7.01,7.01,7.33,5.57,91.130264162,5.937,3.562
2020-02-21T06:09:00.0,6.69,6.57,6.75,5.6,91.1576895205,5.937,3.625
2020-02-21T06:10:00.0,6.17,6.17,6.35,5.56,91.21253066450001,6,3.625
2020-02-21T06:11:00.0,6.07,6.03,6.39,5.57,91.185111688,6,3.687
2020-02-21T06:12:00.0,6.03,6.03,6.35,5.64,91.21253066450001,6,3.75
2020-02-21T06:13:00.0,6.03,5.95,6.29,5.68,91.1576895205,6.062,3.812
2020-02-21T06:14:00.0,5.55,5.93,5.73,5.72,91.07540387200001,6.062,3.875
2020-02-21T06:15:00.0,5.77,5.93,5.89,5.68,91.04796894050001,6.062,3.875
2020-02-21T06:16:00.0,5.99,5.51,5.73,5.78,90.96564500000001,6.125,4
2020-02-21T06:17:00.0,5.71,5.55,5.85,5.87,91.10283561250002,6.125,4.125
2020-02-21T06:18:00.0,5.67,5.81,6.13,6.01,90.93819730450001,6.187,4.25
2020-02-21T06:19:00.0,5.49,5.81,5.77,6.11,90.9930895045,6.187,4.437
2020-02-21T06:20:00.0,6.03,5.67,5.85,6.13,90.74597408800001,6.25,4.437
2020-02-21T06:21:00.0,5.63,5.67,5.55,5.94,90.581086882,6.312,4.312
2020-02-21T06:22:00.0,5.33,5.59,5.59,5.8,90.7734441205,6.312,4.125
2020-02-21T06:23:00.0,5.51,5.63,5.67,5.81,91.10283561250002,6.312,4.187
2020-02-21T06:24:00.0,5.27,5.63,5.77,5.71,90.8832923405,6.312,4.125
2020-02-21T06:25:00.0,5.29,5.15,5.59,5.64,91.10283561250002,6.312,4.125
2020-02-21T06:26:00.0,,,,,,,
2020-02-21T06:27:00.0,5.45,5.59,5.59,5.8,91.130264162,6.312,4.25
2020-02-21T06:28:00.0,5.59,5.85,5.89,6.02,90.9930895045,6.312,4.437
2020-02-21T06:29:00.0,5.51,5.85,5.81,6.11,90.9930895045,6.312,4.562
2020-02-21T06:30:00.0,5.59,5.77,5.55,6.08,90.93819730450001,6.437,4.562
2020-02-21T06:31:00.0,5.55,5.93,6.03,6.15,90.91074641800002,6.437,4.625
2020-02-21T06:32:00.0,5.63,5.93,5.59,6.16,90.71850086450002,6.437,4.625
2020-02-21T06:33:00.0,5.49,5.81,5.93,6.21,90.69102445000001,6.5,4.625
2020-02-21T06:34:00.0,5.59,5.67,5.77,6.17,90.71850086450002,6.5,4.625
2020-02-21T06:35:00.0,5.55,5.89,5.89,6.23,90.74597408800001,6.562,4.625
2020-02-21T06:36:00.0,6.03,6.03,5.77,6.27,90.71850086450002,6.562,4.625
2020-02-21T06:37:00.0,5.85,5.95,5.93,6.42,90.66354484450001,6.625,4.687
