time,TempPlant1,TempPlant2,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-01-29T00:00:00.0,,,,,,,
2020-01-29T00:01:00.0,,,,,,,
2020-01-29T00:02:00.0,,,,,,,
2020-01-29T00:03:00.0,,,,,,,
2020-01-29T00:04:00.0,,,,,,,
2020-01-29T00:05:00.0,,,,,,,
2020-01-29T00:06:00.0,,,,,,,
2020-01-29T00:07:00.0,,,,,,,
2020-01-29T00:08:00.0,,,,,,,
2020-01-29T00:09:00.0,,,,,,,
2020-01-29T00:10:00.0,,,,,,,
2020-01-29T00:11:00.0,,,,,,,
2020-01-29T00:12:00.0,,,,,,,
2020-01-29T00:13:00.0,,,,,,,
2020-01-29T00:14:00.0,,,,,,,
2020-01-29T00:15:00.0,,,,,,,
2020-01-29T00:16:00.0,,,,,,,
2020-01-29T00:17:00.0,,,,,,,
2020-01-29T00:18:00.0,,,,,,,
2020-01-29T00:19:00.0,,,,,,,
2020-01-29T00:20:00.0,,,,,,,
2020-01-29T00:21:00.0,,,,,,,
2020-01-29T00:22:00.0,,,,,,,
2020-01-29T00:23:00.0,,,,,,,
2020-01-29T00:24:00.0,,,,,,,
2020-01-29T00:25:00.0,,,,,,,
2020-01-29T00:26:00.0,,,,,,,
2020-01-29T00:27:00.0,,,,,,,
2020-01-29T00:28:00.0,,,,,,,
2020-01-29T00:29:00.0,,,,,,,
2020-01-29T00:30:00.0,,,,,,,
2020-01-29T00:31:00.0,,,,,,,
2020-01-29T00:32:00.0,,,,,,,
2020-01-29T00:33:00.0,,,,,,,
2020-01-29T00:34:00.0,,,,,,,
2020-01-29T00:35:00.0,,,,,,,
2020-01-29T00:36:00.0,,,,,,,
2020-01-29T00:37:00.0,,,,,,,
2020-01-29T00:38:00.0,,,,,,,
2020-01-29T00:39:00.0,,,,,,,
2020-01-29T00:40:00.0,,,,,,,
2020-01-29T00:41:00.0,,,,,,,
2020-01-29T00:42:00.0,,,,,,,
2020-01-29T00:43:00.0,,,,,,,
2020-01-29T00:44:00.0,3.07,3.25,3.25,3.11,106.85892500000001,4.375,3.125
2020-01-29T00:45:00.0,3.15,3.37,3.07,3.2,106.4244284005,4.375,3.187
2020-01-29T00:46:00.0,2.99,2.85,3.15,3.17,106.450012552,4.375,3.187
2020-01-29T00:47:00.0,2.73,3.71,3.03,3.14,106.5778854445,4.375,3.187
2020-01-29T00:48:00.0,2.73,2.95,3.29,3.12,106.68012632050001,4.312,3.187
2020-01-29T00:49:00.0,3.07,3.15,2.95,3.11,106.705678562,4.312,3.125
2020-01-29T00:50:00.0,2.85,2.89,3.11,3.15,106.7312276125,4.312,3.125
2020-01-29T00:51:00.0,3.25,3.11,2.89,3.18,106.62901226450002,4.312,3.125
2020-01-29T00:52:00.0,2.61,3.23,3.11,3.27,106.5267458605,4.312,3.187
2020-01-29T00:53:00.0,3.03,3.07,3.07,3.23,106.47559351250001,4.25,3.187
2020-01-29T00:54:00.0,2.99,3.41,3.15,3.27,106.5267458605,4.25,3.187
2020-01-29T00:55:00.0,3.07,3.23,3.11,3.3,106.2708564805,4.25,3.25
2020-01-29T00:56:00.0,2.91,2.81,2.73,3.26,106.2196403125,4.25,3.25
2020-01-29T00:57:00.0,3.07,3.19,3.25,3.24,106.3220598845,4.25,3.187
2020-01-29T00:58:00.0,2.77,3.37,2.99,3.18,106.5267458605,4.25,3.125
2020-01-29T00:59:00.0,2.65,3.15,2.73,3.22,106.5267458605,4.25,3.125
2020-01-29T01:00:00.0,2.91,3.37,2.99,3.24,106.60345045,4.25,3.062
2020-01-29T01:01:00.0,2.91,3.11,2.99,3.22,106.62901226450002,4.187,3.062
2020-01-29T01:02:00.0,2.91,3.03,3.03,3.28,106.62901226450002,4.187,3.187
2020-01-29T01:03:00.0,2.89,3.59,3.15,3.28,106.62901226450002,4.25,3.187
2020-01-29T01:04:00.0,3.19,3.03,3.23,3.25,106.5778854445,4.25,3.125
2020-01-29T01:05:00.0,2.89,3.53,3.11,3.28,106.5778854445,4.187,3.125
2020-01-29T01:06:00.0,3.03,3.15,2.99,3.33,106.5778854445,4.25,3.187
2020-01-29T01:07:00.0,2.85,3.75,2.95,3.3,106.5267458605,4.187,3.187
