time,TempPlant1,TempPlant2,TempPlant4,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-03-06T00:00:00.0,4.75,4.81,4.49,4.66,47.974586612500005,5.562,4.312
2020-03-06T00:01:00.0,4.63,5.59,4.41,4.66,47.942527922000004,5.625,4.312
2020-03-06T00:02:00.0,4.81,5.33,4.31,4.66,48.006642112,5.562,4.312
2020-03-06T00:03:00.0,5.29,5.07,4.27,4.65,48.07074353800001,5.562,4.312
2020-03-06T00:04:00.0,4.71,5.05,4.37,4.6,48.262971232000005,5.562,4.312
2020-03-06T00:05:00.0,5.05,5.29,4.23,4.62,48.07074353800001,5.562,4.312
2020-03-06T00:06:00.0,4.89,4.85,4.45,4.6,48.198908098000004,5.562,4.312
2020-03-06T00:07:00.0,5.11,5.23,4.41,4.62,48.198908098000004,5.562,4.25
2020-03-06T00:08:00.0,4.97,4.67,4.33,4.6,48.198908098000004,5.562,4.312
2020-03-06T00:09:00.0,5.23,5.11,4.57,4.62,48.134832200000005,5.562,4.312
2020-03-06T00:10:00.0,5.11,5.27,4.45,4.65,48.07074353800001,5.562,4.375
2020-03-06T00:11:00.0,4.81,5.01,4.37,4.62,48.134832200000005,5.625,4.375
2020-03-06T00:12:00.0,4.75,4.97,4.49,4.62,48.102789464500006,5.562,4.375
2020-03-06T00:13:00.0,4.79,5.05,4.37,4.66,48.07074353800001,5.562,4.437
2020-03-06T00:14:00.0,4.71,5.05,4.31,4.62,48.102789464500006,5.562,4.375
2020-03-06T00:15:00.0,4.67,4.71,4.53,4.65,48.006642112,5.562,4.375
2020-03-06T00:16:00.0,4.63,5.41,4.53,4.64,48.134832200000005,5.562,4.437
2020-03-06T00:17:00.0,4.97,5.71,4.31,4.67,47.878400968,5.562,4.437
2020-03-06T00:18:00.0,4.67,5.07,4.37,4.72,47.942527922000004,5.625,4.437
2020-03-06T00:19:00.0,4.89,4.97,4.49,4.72,47.81426125,5.625,4.5
2020-03-06T00:20:00.0,5.15,5.49,4.41,4.72,47.685943522,5.625,4.5
2020-03-06T00:21:00.0,5.19,5.07,4.45,4.72,47.685943522,5.687,4.5
2020-03-06T00:22:00.0,5.01,5.27,4.53,4.71,47.718027740500006,5.625,4.5
2020-03-06T00:23:00.0,,,,,,,
2020-03-06T00:24:00.0,5.19,4.75,4.59,4.76,47.493371200000006,5.687,4.562
2020-03-06T00:25:00.0,5.15,4.97,4.33,4.72,47.42915489800001,5.687,4.562
2020-03-06T00:26:00.0,4.79,4.93,4.27,4.71,47.493371200000006,5.687,4.562
2020-03-06T00:27:00.0,4.97,5.05,4.59,4.72,47.33280651250001,5.687,4.5
2020-03-06T00:28:00.0,5.33,4.89,4.49,4.68,47.30068400200001,5.687,4.5
2020-03-06T00:29:00.0,4.59,4.71,4.31,4.68,47.397041960500005,5.75,4.5
2020-03-06T00:30:00.0,4.71,4.75,4.31,4.68,47.236429408000006,5.687,4.5
2020-03-06T00:31:00.0,4.97,4.89,4.53,4.7,47.172162050000004,5.687,4.5
2020-03-06T00:32:00.0,4.81,5.07,4.41,4.68,47.075737080500005,5.687,4.5
2020-03-06T00:33:00.0,4.81,4.63,4.49,4.68,47.204297324500004,5.687,4.5
2020-03-06T00:34:00.0,4.75,4.67,4.33,4.68,47.14002358450001,5.687,4.437
2020-03-06T00:35:00.0,,,,,,,
2020-03-06T00:36:00.0,4.23,4.49,4.45,4.56,47.364925832000004,5.687,4.375
2020-03-06T00:37:00.0,4.71,4.67,4.49,4.51,47.42915489800001,5.687,4.312
2020-03-06T00:38:00.0,4.93,4.81,4.27,4.5,47.364925832000004,5.687,4.312
2020-03-06T00:39:00.0,,,,,,,
2020-03-06T00:40:00.0,4.85,4.97,4.53,4.54,47.461264644500005,5.687,4.25
2020-03-06T00:41:00.0,5.01,5.15,4.49,4.55,47.397041960500005,5.625,4.25
2020-03-06T00:42:00.0,4.37,4.97,4.49,4.56,47.33280651250001,5.625,4.25
2020-03-06T00:43:00.0,4.49,4.93,4.41,4.54,47.493371200000006,5.562,4.187
2020-03-06T00:44:00.0,4.79,5.05,4.27,4.5,47.5254745645,5.562,4.187
2020-03-06T00:45:00.0,4.63,4.33,4.59,4.5,47.621765512,5.562,4.187
2020-03-06T00:46:00.0,4.71,4.85,4.23,4.48,47.55757473800001,5.562,4.187
2020-03-06T00:47:00.0,4.93,4.85,4.41,4.51,47.65385611250001,5.5,4.125
2020-03-06T00:48:00.0,,,,,,,
2020-03-06T00:49:00.0,4.97,4.41,4.63,4.52,47.685943522,5.5,4.125
2020-03-06T00:50:00.0,4.57,4.71,4.41,4.52,47.685943522,5.5,4.187
2020-03-06T00:51:00.0,4.57,4.75,4.31,4.51,47.65385611250001,5.5,4.187
2020-03-06T00:52:00.0,5.11,5.41,4.27,4.46,47.750108768000004,5.5,4.187
2020-03-06T00:53:00.0,5.01,5.23,4.33,4.45,47.878400968,5.5,4.125
2020-03-06T00:54:00.0,4.27,4.93,4.57,4.39,47.974586612500005,5.5,4.062
2020-03-06T00:55:00.0,4.63,4.81,4.05,4.39,47.878400968,5.5,4.062
2020-03-06T00:56:00.0,4.97,5.23,4.41,4.43,47.942527922000004,5.5,4.062
2020-03-06T00:57:00.0,4.67,4.75,4.33,4.48,47.84633270450001,5.437,4.125
2020-03-06T00:58:00.0,4.49,4.67,4.27,4.45,47.942527922000004,5.437,4.125
