time,TempPlant3,TempPlant5,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-02-16T00:00:00.0,3.97,4.23,4.23,3.6,38.741684984500004,5.812,2.625
2020-02-16T00:01:00.0,4.11,4.01,3.93,3.53,39.36741245,5.875,2.687
2020-02-16T00:02:00.0,3.49,4.07,4.15,3.59,39.36741245,5.875,2.625
2020-02-16T00:03:00.0,4.27,4.49,3.93,3.62,39.433211488000005,5.875,2.625
2020-02-16T00:04:00.0,4.19,4.01,3.97,3.53,39.531886112500004,5.937,2.562
2020-02-16T00:05:00.0,4.05,4.15,4.23,3.62,39.4661062205,5.937,2.625
2020-02-16T00:06:00.0,3.85,4.33,3.75,3.6,39.498997762,5.937,2.625
2020-02-16T00:07:00.0,3.89,4.05,4.23,3.64,39.498997762,6,2.687
2020-02-16T00:08:00.0,4.23,4.31,3.89,3.66,39.498997762,6,2.687
2020-02-16T00:09:00.0,4.01,4.19,3.97,3.6,39.498997762,6,2.687
2020-02-16T00:10:00.0,3.93,4.23,4.07,3.63,39.36741245,5.937,2.687
2020-02-16T00:11:00.0,4.05,3.71,4.05,3.59,39.433211488000005,5.937,2.687
2020-02-16T00:12:00.0,4.01,4.11,3.97,3.61,39.531886112500004,5.875,2.687
2020-02-16T00:13:00.0,4.11,4.33,3.63,3.59,39.498997762,5.875,2.625
2020-02-16T00:14:00.0,3.71,4.07,4.19,3.58,39.5976532405,5.875,2.625
2020-02-16T00:15:00.0,4.15,4.33,4.01,3.62,39.63053201800001,5.875,2.625
2020-02-16T00:16:00.0,4.11,3.89,3.89,3.58,39.56477127200001,5.937,2.625
2020-02-16T00:17:00.0,3.85,4.23,3.89,3.61,39.531886112500004,5.875,2.625
2020-02-16T00:18:00.0,4.01,4.05,4.27,3.47,39.69628000000001,5.875,2.625
2020-02-16T00:19:00.0,3.85,4.19,4.05,3.55,39.69628000000001,5.937,2.562
2020-02-16T00:20:00.0,4.19,4.45,4.05,3.46,39.959144288000005,5.937,2.562
2020-02-16T00:21:00.0,3.89,4.33,4.31,3.42,40.02482845,5.937,2.562
2020-02-16T00:22:00.0,3.97,3.93,4.07,3.43,40.02482845,5.937,2.562
2020-02-16T00:23:00.0,4.01,4.23,4.01,3.48,39.991987964500005,5.937,2.562
2020-02-16T00:24:00.0,4.05,4.27,3.93,3.36,40.02482845,5.937,2.562
2020-02-16T00:25:00.0,3.81,4.07,3.85,3.51,40.05766574450001,5.937,2.562
2020-02-16T00:26:00.0,4.01,4.31,3.93,3.4,40.74651180800001,5.937,2.5
2020-02-16T00:27:00.0,4.33,4.59,4.01,3.4,40.156158482,5.937,2.5
2020-02-16T00:28:00.0,3.63,4.31,3.93,3.47,40.090499848,6,2.5
2020-02-16T00:29:00.0,3.67,4.53,3.49,3.5,40.02482845,5.937,2.5
2020-02-16T00:30:00.0,4.01,3.97,3.89,3.48,39.959144288000005,5.937,2.5
2020-02-16T00:31:00.0,4.15,3.89,3.79,3.48,40.02482845,5.937,2.562
2020-02-16T00:32:00.0,3.93,4.15,4.05,3.46,40.02482845,5.937,2.562
2020-02-16T00:33:00.0,,,,,,,
2020-02-16T00:34:00.0,3.79,4.23,4.05,3.48,40.02482845,5.937,2.562
2020-02-16T00:35:00.0,4.37,4.05,4.19,3.49,40.090499848,6,2.5
2020-02-16T00:36:00.0,4.19,4.59,3.75,3.46,40.02482845,6,2.5
2020-02-16T00:37:00.0,4.23,4.27,4.19,3.58,39.893447362,6,2.562
2020-02-16T00:38:00.0,4.05,4.07,4.19,3.56,39.991987964500005,6.062,2.562
2020-02-16T00:39:00.0,4.57,4.15,4.11,3.46,39.959144288000005,6.062,2.562
2020-02-16T00:40:00.0,3.79,4.37,4.19,3.52,39.7948780405,6.062,2.562
2020-02-16T00:41:00.0,4.15,4.27,3.67,3.49,39.991987964500005,6.062,2.562
2020-02-16T00:42:00.0,4.31,4.31,3.79,3.64,40.090499848,6.062,2.562
2020-02-16T00:43:00.0,4.01,3.89,4.23,3.72,39.893447362,6.062,2.562
