time,TempPlant1,TempPlant2,TempPlant4,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-02-24T07:05:00.0,0.83,0.75,0.21,0.7,57.012410264500005,2.5,0.125
2020-02-24T07:06:00.0,1.01,0.59,0.37,0.7,56.82548601250001,2.437,0.062
2020-02-24T07:07:00.0,0.63,1.05,0.17,0.65,56.79432080200001,2.437,0.062
2020-02-24T07:08:00.0,0.05,1.13,0.13,0.68,56.95011494450001,2.437,0.062
2020-02-24T07:09:00.0,0.41,1.41,0.37,0.62,56.88780686050001,2.375,0.125
2020-02-24T07:10:00.0,0.55,1.25,0.37,0.67,56.731980808,2.375,0.125
2020-02-24T07:11:00.0,0.59,0.51,0.63,0.64,56.66962805000001,2.375,0.125
2020-02-24T07:12:00.0,0.67,0.75,0.41,0.7,56.79432080200001,2.312,0.125
2020-02-24T07:13:00.0,0.59,0.95,0.21,0.82,56.5760749805,2.25,0.125
2020-02-24T07:14:00.0,0.87,0.95,0.13,0.7,56.856648032,2.187,0.125
2020-02-24T07:15:00.0,0.95,1.05,0.41,0.66,56.79432080200001,2.187,0.187
2020-02-24T07:16:00.0,,,,,,,
2020-02-24T07:17:00.0,0.71,1.37,0.25,0.68,56.79432080200001,2.125,0.125
2020-02-24T07:18:00.0,0.75,1.01,0.17,0.64,56.76315240050001,2.062,0.125
2020-02-24T07:19:00.0,0.95,0.83,-0.10000000000002274,0.7,56.79432080200001,2.062,0.125
2020-02-24T07:20:00.0,0.51,0.63,0.01,0.72,56.76315240050001,2,0.125
2020-02-24T07:21:00.0,0.51,0.55,0.41,0.72,56.700806024500004,2,0.125
2020-02-24T07:22:00.0,0.97,0.97,0.29,0.66,56.731980808,2,0.125
2020-02-24T07:23:00.0,0.97,0.71,0.59,0.74,56.66962805000001,1.937,0.187
2020-02-24T07:24:00.0,0.87,0.79,0.17,0.72,56.76315240050001,1.937,0.125
2020-02-24T07:25:00.0,0.41,1.21,0.33,0.72,56.5136903125,1.875,0.125
2020-02-24T07:26:00.0,0.59,1.01,0.33,0.72,56.731980808,1.875,0.187
2020-02-24T07:27:00.0,,,,,,,
2020-02-24T07:28:00.0,0.63,1.09,0.51,0.76,56.76315240050001,1.875,0.187
2020-02-24T07:29:00.0,0.91,1.05,0.75,0.74,56.76315240050001,1.937,0.187
2020-02-24T07:30:00.0,,,,,,,
2020-02-24T07:31:00.0,0.87,1.21,0.05,0.55,56.5136903125,1.875,0.187
2020-02-24T07:32:00.0,0.87,0.97,0.25,0.77,56.48249319200001,1.875,0.187
2020-02-24T07:33:00.0,0.83,1.67,0.25,0.72,56.638446884500006,1.875,0.187
2020-02-24T07:34:00.0,,,,,,,
2020-02-24T07:35:00.0,0.71,0.75,0.29,0.84,56.60726252800001,1.875,0.187
2020-02-24T07:36:00.0,0.87,1.13,0.47,0.84,56.5136903125,1.875,0.187
2020-02-24T07:37:00.0,1.05,0.21,0.41,0.84,56.5136903125,1.875,0.187
2020-02-24T07:38:00.0,0.43,1.21,0.21,0.78,56.5760749805,1.812,0.187
2020-02-24T07:39:00.0,0.75,0.79,0.33,0.78,56.5136903125,1.812,0.187
2020-02-24T07:40:00.0,1.09,1.01,0.37,0.79,56.5760749805,1.812,0.187
2020-02-24T07:41:00.0,0.63,1.25,0.09,0.78,56.451292880500006,1.812,0.187
2020-02-24T07:42:00.0,0.87,1.01,0.47,0.8,56.60726252800001,1.812,0.187
2020-02-24T07:43:00.0,0.83,0.75,0.43,0.72,56.5136903125,1.812,0.187
2020-02-24T07:44:00.0,0.75,1.09,0.33,0.78,56.48249319200001,1.812,0.187
2020-02-24T07:45:00.0,0.41,0.71,0.13,0.74,56.48249319200001,1.812,0.187
2020-02-24T07:46:00.0,0.71,0.95,0.47,0.74,56.42008937800001,1.812,0.187
2020-02-24T07:47:00.0,0.87,0.75,0.55,0.82,56.60726252800001,1.812,0.187
2020-02-24T07:48:00.0,0.43,0.75,0.59,0.8,56.48249319200001,1.812,0.187
2020-02-24T07:49:00.0,0.95,0.83,0.37,0.78,56.451292880500006,1.75,0.187
2020-02-24T07:50:00.0,0.97,0.33,-0.01999999999998181,0.72,56.856648032,1.75,0.187
2020-02-24T07:51:00.0,0.97,1.51,0.55,0.7,56.79432080200001,1.687,0.187
2020-02-24T07:52:00.0,1.13,0.97,0.25,0.74,56.731980808,1.75,0.187
2020-02-24T07:53:00.0,,,,,,,
2020-02-24T07:54:00.0,0.47,1.01,0.41,0.77,56.638446884500006,1.687,0.187
2020-02-24T07:55:00.0,0.75,0.83,0.47,0.8,56.388882684500004,1.687,0.187
2020-02-24T07:56:00.0,0.83,0.87,0.29,0.81,56.54488424200001,1.687,0.187
2020-02-24T07:57:00.0,0.55,1.29,0.05,0.78,56.638446884500006,1.625,0.187
2020-02-24T07:58:00.0,1.37,0.87,0.43,0.84,56.700806024500004,1.625,0.187
2020-02-24T07:59:00.0,0.71,1.01,0.33,0.79,56.66962805000001,1.687,0.187
2020-02-24T08:00:00.0,0.83,1.47,0.09,0.78,56.48249319200001,1.625,0.187
2020-02-24T08:01:00.0,0.67,0.87,0.55,0.74,56.638446884500006,1.625,0.187
2020-02-24T08:02:00.0,0.63,0.83,-0.01999999999998181,0.7,56.731980808,1.625,0.187
2020-02-24T08:03:00.0,0.87,1.29,0.33,0.73,56.700806024500004,1.625,0.187
2020-02-24T08:04:00.0,0.87,0.83,0.51,0.74,56.918962498000006,1.562,0.187
2020-02-24T08:05:00.0,0.91,0.87,0.41,0.64,56.79432080200001,1.562,0.125
2020-02-24T08:06:00.0,0.95,1.47,0.01,0.72,56.856648032,1.562,0.187
2020-02-24T08:07:00.0,1.05,1.25,-0.01999999999998181,0.73,56.88780686050001,1.562,0.187
2020-02-24T08:08:00.0,0.43,0.83,0.43,0.75,56.88780686050001,1.5,0.187
2020-02-24T08:09:00.0,1.09,1.13,0.41,0.8,56.981264200000005,1.562,0.187
2020-02-24T08:10:00.0,0.67,0.41,0.17,0.76,57.012410264500005,1.562,0.187
2020-02-24T08:11:00.0,1.17,0.83,0.43,0.78,56.981264200000005,1.562,0.187
2020-02-24T08:12:00.0,0.67,0.83,-0.18000000000006366,0.72,57.074692820500005,1.5,0.25
2020-02-24T08:13:00.0,0.75,0.91,0.41,0.8,57.074692820500005,1.5,0.187
2020-02-24T08:14:00.0,0.43,1.29,-0.18000000000006366,0.7,57.105829312000004,1.5,0.187
2020-02-24T08:15:00.0,0.43,1.37,0.51,0.7,57.074692820500005,1.5,0.187
2020-02-24T08:16:00.0,0.59,0.97,0.13,0.81,57.012410264500005,1.437,0.187
2020-02-24T08:17:00.0,1.25,0.79,0.51,0.64,57.105829312000004,1.437,0.187
2020-02-24T08:18:00.0,0.63,1.01,0.09,0.68,57.230343368,1.437,0.187
2020-02-24T08:19:00.0,0.33,1.21,0.13,0.64,57.354806368,1.437,0.187
2020-02-24T08:20:00.0,0.83,1.17,0.17,0.64,56.88780686050001,1.437,0.187
2020-02-24T08:21:00.0,1.09,1.21,0.43,0.77,57.230343368,1.437,0.187
2020-02-24T08:22:00.0,1.01,0.75,0.21,0.65,57.012410264500005,1.375,0.187
2020-02-24T08:23:00.0,1.17,1.29,0.33,0.6,57.230343368,1.375,0.187
2020-02-24T08:24:00.0,1.01,1.25,0.09,0.68,57.26146390450001,1.375,0.187
2020-02-24T08:25:00.0,0.75,0.95,0.43,0.56,56.79432080200001,1.375,0.187
2020-02-24T08:26:00.0,0.79,0.97,0.25,0.64,56.918962498000006,1.312,0.187
2020-02-24T08:27:00.0,0.47,0.51,0.21,0.6,57.1369626125,1.312,0.187
2020-02-24T08:28:00.0,0.67,0.75,0.09,0.58,57.074692820500005,1.25,0.187
2020-02-24T08:29:00.0,0.63,1.13,-0.01999999999998181,0.53,56.79432080200001,1.187,0.125
2020-02-24T08:30:00.0,0.91,0.95,0.09,0.54,57.1369626125,1.187,0.125
2020-02-24T08:31:00.0,0.59,0.91,0.43,0.62,57.04355313800001,1.187,0.125
2020-02-24T08:32:00.0,0.83,0.71,0.21,0.58,57.230343368,1.125,0.125
2020-02-24T08:33:00.0,0.59,0.59,0.01,0.59,57.790024802000005,1.062,0.125
2020-02-24T08:34:00.0,0.59,0.97,0.05,0.64,57.51031332050001,1.062,0.187
2020-02-24T08:35:00.0,0.63,0.59,0.41,0.54,57.54140513800001,1.062,0.187
2020-02-24T08:36:00.0,0.79,1.01,0.17,0.56,57.51031332050001,1.062,0.187
2020-02-24T08:37:00.0,0.67,1.21,0.29,0.57,57.44812011250001,1.062,0.187
2020-02-24T08:38:00.0,0.43,1.37,0.51,0.62,57.790024802000005,1.062,0.187
2020-02-24T08:39:00.0,0.83,0.97,0.51,0.58,57.60357920000001,1.062,0.187
2020-02-24T08:40:00.0,0.59,1.09,0.13,0.62,57.6968163605,1.062,0.187
2020-02-24T08:41:00.0,0.91,1.05,0.25,0.59,57.665740498000005,1.062,0.187
2020-02-24T08:42:00.0,0.67,0.97,0.25,0.58,57.665740498000005,1.062,0.187
2020-02-24T08:43:00.0,0.21,0.87,0.63,0.6,57.6968163605,1.062,0.187
2020-02-24T08:44:00.0,0.51,0.71,0.13,0.6,57.727889032000014,1,0.187
2020-02-24T08:45:00.0,0.59,0.95,0.63,0.6,57.60357920000001,1,0.187
2020-02-24T08:46:00.0,,,,,,,
2020-02-24T08:47:00.0,0.83,0.97,0.33,0.6,57.665740498000005,1,0.187
2020-02-24T08:48:00.0,0.75,1.09,0.37,0.71,57.727889032000014,1,0.187
2020-02-24T08:49:00.0,0.55,1.29,0.47,0.64,57.727889032000014,1,0.187
2020-02-24T08:50:00.0,0.43,0.91,0.59,0.62,57.665740498000005,1,0.187
2020-02-24T08:51:00.0,0.51,1.01,0.29,0.6,57.665740498000005,0.937,0.187
2020-02-24T08:52:00.0,0.43,1.05,0.51,0.62,57.727889032000014,0.937,0.125
2020-02-24T08:53:00.0,0.63,0.97,0.37,0.62,57.60357920000001,0.937,0.187
2020-02-24T08:54:00.0,0.55,0.83,0.59,0.58,57.51031332050001,0.937,0.187
2020-02-24T08:55:00.0,,,,,,,
2020-02-24T08:56:00.0,0.83,1.41,0.17,0.71,57.479218312,0.937,0.187
2020-02-24T08:57:00.0,0.59,0.41,0.21,0.66,57.727889032000014,0.937,0.187
2020-02-24T08:58:00.0,0.63,0.71,0.41,0.66,57.63466144450001,0.937,0.187
2020-02-24T08:59:00.0,0.87,0.75,0.29,0.6,57.63466144450001,0.937,0.25
2020-02-24T09:00:00.0,0.59,0.63,0.41,0.6,57.665740498000005,0.937,0.187
2020-02-24T09:01:00.0,0.43,1.01,0.33,0.68,57.63466144450001,0.937,0.25
2020-02-24T09:02:00.0,0.95,0.87,0.41,0.65,57.727889032000014,0.937,0.25
2020-02-24T09:03:00.0,0.91,0.71,0.47,0.61,57.6968163605,0.937,0.25
2020-02-24T09:04:00.0,0.83,0.91,0.33,0.62,57.727889032000014,1,0.25
2020-02-24T09:05:00.0,1.17,1.17,0.21,0.64,57.727889032000014,1,0.25
2020-02-24T09:06:00.0,0.51,1.01,0.33,0.65,57.6968163605,0.937,0.25
2020-02-24T09:07:00.0,0.95,1.05,0.47,0.62,57.790024802000005,1,0.25
2020-02-24T09:08:00.0,0.63,0.95,0.41,0.64,57.85214780800001,1,0.25
2020-02-24T09:09:00.0,0.95,0.71,0.51,0.62,57.790024802000005,1,0.25
2020-02-24T09:10:00.0,1.05,0.87,0.47,0.64,57.821087900500004,1,0.312
2020-02-24T09:11:00.0,0.83,1.05,0.33,0.62,57.88320452450001,1,0.312
2020-02-24T09:12:00.0,0.67,0.91,0.37,0.67,57.91425805,1,0.312
2020-02-24T09:13:00.0,0.95,1.67,0.29,0.69,57.85214780800001,1,0.312
2020-02-24T09:14:00.0,0.83,1.09,0.37,0.68,57.91425805,1,0.312
2020-02-24T09:15:00.0,0.51,0.67,0.55,0.66,58.007399480500005,1,0.312
2020-02-24T09:16:00.0,0.63,0.97,0.01,0.62,57.91425805,1.062,0.312
2020-02-24T09:17:00.0,0.63,0.95,0.29,0.65,57.88320452450001,1,0.312
2020-02-24T09:18:00.0,1.21,1.13,0.47,0.72,57.91425805,1.062,0.312
2020-02-24T09:19:00.0,0.67,0.87,0.41,0.68,57.97635552800001,1.062,0.312
2020-02-24T09:20:00.0,0.51,0.95,0.41,0.72,58.038440242,1,0.312
2020-02-24T09:21:00.0,0.71,0.97,0.09,0.69,58.06947781250001,1.062,0.375
2020-02-24T09:22:00.0,0.59,1.43,0.25,0.72,58.06947781250001,1.062,0.375
2020-02-24T09:23:00.0,1.09,1.13,0.33,0.74,58.06947781250001,1.062,0.437
2020-02-24T09:24:00.0,0.47,1.05,0.21,0.76,57.88320452450001,1.125,0.375
2020-02-24T09:25:00.0,0.75,0.91,0.47,0.76,58.007399480500005,1.125,0.437
