time,TempPlant1,TempPlant5,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-03-02T07:05:00.0,2.35,2.31,1.51,2.63,93.7756666405,3.562,2.125
2020-03-02T07:06:00.0,2.09,2.43,1.93,2.62,93.7756666405,3.625,2.125
2020-03-02T07:07:00.0,,,,,,,
2020-03-02T07:08:00.0,2.25,2.31,1.93,2.72,93.7214254045,3.625,2.125
2020-03-02T07:09:00.0,2.13,2.13,2.05,2.77,93.6129046405,3.625,2.187
2020-03-02T07:10:00.0,1.89,2.39,2.17,2.8,93.53148056200001,3.625,2.125
2020-03-02T07:11:00.0,2.27,2.39,2.17,2.82,93.42287045,3.625,2.187
2020-03-02T07:12:00.0,1.93,2.51,2.09,2.86,93.28703601250001,3.562,2.187
2020-03-02T07:13:00.0,2.21,2.39,2.01,2.86,93.15112180000001,3.625,2.25
2020-03-02T07:14:00.0,2.43,2.39,2.01,2.88,93.0151278125,3.625,2.25
2020-03-02T07:15:00.0,2.31,2.73,2.13,2.9,92.8518297245,3.562,2.312
2020-03-02T07:16:00.0,2.43,2.59,2.05,2.9,92.770137602,3.625,2.25
2020-03-02T07:17:00.0,2.05,2.05,2.39,2.98,92.6884167605,3.562,2.187
2020-03-02T07:18:00.0,2.51,1.21,2.25,3,92.52488892050002,3.562,2.187
2020-03-02T07:19:00.0,2.35,2.17,2.39,3.04,92.443081922,3.562,2.187
2020-03-02T07:20:00.0,2.25,2.55,2.43,3,92.388527968,3.5,2.187
2020-03-02T07:21:00.0,2.39,2.65,2.59,3.08,92.33396125000002,3.5,2.25
2020-03-02T07:22:00.0,2.69,2.55,2.51,3.08,92.3612462045,3.5,2.187
2020-03-02T07:23:00.0,2.43,1.47,2.69,3.14,92.3066731045,3.562,2.187
2020-03-02T07:24:00.0,2.61,2.65,2.39,3.16,92.27938176800001,3.5,2.187
2020-03-02T07:25:00.0,2.51,2.65,2.61,3.11,92.2520872405,3.5,2.187
2020-03-02T07:26:00.0,,,,,,,
2020-03-02T07:27:00.0,2.47,2.65,2.35,3.14,92.14287722050001,3.5,2.187
2020-03-02T07:28:00.0,2.69,2.85,2.55,3.18,91.9789664605,3.562,2.187
2020-03-02T07:29:00.0,2.85,2.69,2.95,3.18,91.86962880050001,3.5,2.187
2020-03-02T07:30:00.0,2.85,2.91,2.39,3.26,91.76024008450001,3.5,2.187
2020-03-02T07:31:00.0,2.51,2.55,2.65,3.28,91.65080031250001,3.5,2.25
2020-03-02T07:32:00.0,3.07,2.85,2.39,3.29,91.5413094845,3.562,2.25
2020-03-02T07:33:00.0,2.69,2.77,2.59,3.38,91.349577682,3.562,2.25
2020-03-02T07:34:00.0,2.85,3.03,2.89,3.43,91.1576895205,3.625,2.25
2020-03-02T07:35:00.0,2.95,2.95,2.65,3.42,91.02053081800001,3.625,2.25
2020-03-02T07:36:00.0,3.03,2.25,2.73,3.4,90.93819730450001,3.625,2.25
2020-03-02T07:37:00.0,3.03,2.85,2.73,3.36,90.82837461250001,3.625,2.187
2020-03-02T07:38:00.0,,,,,,,
2020-03-02T07:39:00.0,3.11,2.89,2.59,3.31,90.8832923405,3.562,2.25
2020-03-02T07:40:00.0,3.07,3.23,2.95,3.34,90.8832923405,3.562,2.187
2020-03-02T07:41:00.0,2.47,3.03,2.73,3.4,90.9930895045,3.562,2.187
2020-03-02T07:42:00.0,2.99,3.11,2.61,3.37,91.02053081800001,3.562,2.187
2020-03-02T07:43:00.0,3.15,2.89,2.81,3.44,91.04796894050001,3.562,2.187
2020-03-02T07:44:00.0,3.03,3.15,1.75,3.46,91.10283561250002,3.562,2.125
2020-03-02T07:45:00.0,3.11,3.23,2.77,3.58,91.04796894050001,3.562,2.187
2020-03-02T07:46:00.0,3.45,3.19,3.33,3.56,90.91074641800002,3.562,2.187
2020-03-02T07:47:00.0,3.29,3.23,3.37,3.66,90.74597408800001,3.625,2.187
2020-03-02T07:48:00.0,3.37,3.59,3.15,3.72,90.49860020050001,3.625,2.187
2020-03-02T07:49:00.0,3.71,3.23,3.59,4.18,90.11328262450002,3.687,2.25
2020-03-02T07:50:00.0,3.97,4.01,4.23,4.72,89.25785369800002,3.75,2.312
2020-03-02T07:51:00.0,3.75,4.15,4.11,4.74,88.17731320450001,3.875,2.312
2020-03-02T07:52:00.0,4.05,4.23,4.19,5.25,86.92450472200001,4,2.375
2020-03-02T07:53:00.0,4.27,3.97,4.19,5.35,85.49684354050001,4.062,2.437
2020-03-02T07:54:00.0,4.31,4.15,4.49,5.3,84.7658220805,4.187,2.437
2020-03-02T07:55:00.0,4.63,4.41,4.97,5.49,84.08911844050002,4.312,2.437
2020-03-02T07:56:00.0,4.63,4.49,5.33,5.77,83.29730781250001,4.375,2.5
2020-03-02T07:57:00.0,4.89,4.71,5.41,6.18,82.3324601645,4.5,2.562
2020-03-02T07:58:00.0,4.85,4.57,5.01,6.05,81.620660002,4.687,2.562
2020-03-02T07:59:00.0,5.27,4.57,4.67,5.85,81.30683611250001,4.812,2.625
2020-03-02T08:00:00.0,4.85,4.71,5.41,5.71,81.620660002,4.875,2.562
2020-03-02T08:01:00.0,5.27,4.41,5.11,5.64,81.9340977805,4.937,2.562
2020-03-02T08:02:00.0,5.55,4.97,4.89,5.4,82.27558954450001,5,2.562
2020-03-02T08:03:00.0,4.85,4.31,4.19,5.2,82.9571945605,4.937,2.5
2020-03-02T08:04:00.0,5.05,4.67,4.71,5.06,83.608674632,4.937,2.5
2020-03-02T08:05:00.0,5.29,4.81,4.85,5.38,83.9196553405,4.937,2.437
2020-03-02T08:06:00.0,5.29,5.23,5.07,6.02,83.41057678450001,4.937,2.562
2020-03-02T08:07:00.0,5.51,5.55,6.13,6.5,82.1618100125,5.062,2.562
2020-03-02T08:08:00.0,5.49,5.89,6.13,6.88,81.049783922,5.125,2.625
2020-03-02T08:09:00.0,5.55,6.21,5.89,6.84,80.133727282,5.25,2.687
2020-03-02T08:10:00.0,5.49,6.11,5.77,6.84,79.84678947200001,5.375,2.687
2020-03-02T08:11:00.0,5.71,6.21,6.35,7.07,79.78936361800001,5.437,2.687
2020-03-02T08:12:00.0,5.63,6.03,5.81,7,79.41578444450002,5.5,2.687
2020-03-02T08:13:00.0,6.03,6.17,6.17,6.9,79.2431814005,5.625,2.687
2020-03-02T08:14:00.0,5.67,5.81,5.49,6.54,79.617009472,5.625,2.687
2020-03-02T08:15:00.0,,,,,,,
2020-03-02T08:16:00.0,5.89,5.71,6.13,6.46,80.27707652450002,5.625,2.625
2020-03-02T08:17:00.0,,,,,,,
2020-03-02T08:18:00.0,5.85,5.95,6.03,7.06,78.86881405000001,5.687,2.75
2020-03-02T08:19:00.0,6.17,6.29,6.17,7.1,78.23404076800001,5.75,2.75
2020-03-02T08:20:00.0,6.17,5.45,5.93,7.17,77.7424763245,5.812,2.812
2020-03-02T08:21:00.0,6.33,6.33,6.13,7.19,77.3369661005,5.875,2.812
2020-03-02T08:22:00.0,6.33,6.25,5.81,7.06,77.539799392,5.875,2.812
2020-03-02T08:23:00.0,6.25,5.99,6.25,7.03,77.97391564450001,5.937,2.875
2020-03-02T08:24:00.0,6.65,6.51,6.65,6.96,78.2051507405,5.937,2.812
2020-03-02T08:25:00.0,7.11,6.83,6.75,7.16,78.34956896800001,5.937,2.875
2020-03-02T08:26:00.0,6.69,6.65,6.61,7.3,77.7424763245,6,2.937
