time,TempPlant1,TempPlant4,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-02-17T00:00:00.0,0.21,0.47,0.37,0.22,-2.0462,2,-0.062
2020-02-17T00:01:00.0,0.51,0.37,0.83,0.23,-2.0462,2,-0.062
2020-02-17T00:02:00.0,0.33,0.21,0.97,0.25,-2.0462,2,-0.062
2020-02-17T00:03:00.0,0.71,-0.18000000000006366,0.97,0.27,-2.0462,2,0
2020-02-17T00:04:00.0,0.51,0.05,1.29,0.26,-2.0462,2.062,-0.062
2020-02-17T00:05:00.0,0.43,0.25,0.79,0.25,-2.0462,2.062,-0.062
2020-02-17T00:06:00.0,0.17,-0.06000000000005912,0.79,0.24,-2.0462,2.062,-0.062
2020-02-17T00:07:00.0,0.33,0.13,0.97,0.24,-2.0462,2.062,-0.125
2020-02-17T00:08:00.0,0.47,0.17,0.75,0.24,-2.0462,2.062,-0.125
2020-02-17T00:09:00.0,0.41,-0.2599999999999909,0.95,0.24,-2.0462,2,-0.125
2020-02-17T00:10:00.0,0.25,0.25,1.05,0.24,-2.0462,2,-0.062
2020-02-17T00:11:00.0,0.47,0.21,0.87,0.24,-2.0462,2,-0.062
2020-02-17T00:12:00.0,0.43,-0.01999999999998181,0.71,0.25,-2.0462,2.062,-0.125
2020-02-17T00:13:00.0,0.13,-0.06000000000005912,1.05,0.26,-2.0462,2,-0.062
2020-02-17T00:14:00.0,0.91,0.09,1.13,0.26,-2.0462,2.062,-0.062
2020-02-17T00:15:00.0,0.21,-0.01999999999998181,1.13,0.26,-2.0462,2,-0.062
2020-02-17T00:16:00.0,0.09,-0.13999999999998636,0.95,0.26,-2.0462,2,-0.062
2020-02-17T00:17:00.0,0.43,0.17,0.97,0.26,-2.0462,2.062,-0.062
2020-02-17T00:18:00.0,0.21,-0.22000000000002728,0.97,0.28,-2.0462,2.062,-0.062
2020-02-17T00:19:00.0,0.41,-0.32000000000005,1.33,0.26,-2.0462,2,-0.062
2020-02-17T00:20:00.0,0.37,0.01,1.09,0.26,-2.0462,2.062,-0.125
2020-02-17T00:21:00.0,0.63,0.09,1.29,0.28,-2.0462,2,-0.062
2020-02-17T00:22:00.0,0.51,0.43,0.75,0.26,-2.0462,2.062,-0.062
2020-02-17T00:23:00.0,0.59,0.05,0.91,0.26,-2.0462,2.062,0
2020-02-17T00:24:00.0,0.41,0.17,0.71,0.26,-2.0462,2.062,-0.062
2020-02-17T00:25:00.0,0.33,0.05,0.95,0.26,-2.0462,2.062,-0.062
2020-02-17T00:26:00.0,0.29,0.71,1.01,0.28,-2.0462,2.062,-0.062
2020-02-17T00:27:00.0,0.33,-0.22000000000002728,0.63,0.27,-2.0462,2.062,-0.062
2020-02-17T00:28:00.0,0.51,0.29,0.91,0.27,-2.0462,2.062,-0.125
2020-02-17T00:29:00.0,0.59,-0.32000000000005,0.79,0.26,-2.0462,2.062,-0.062
2020-02-17T00:30:00.0,0.37,-0.22000000000002728,1.01,0.27,-2.0462,2.062,-0.062
2020-02-17T00:31:00.0,0.29,0.63,0.55,0.25,-2.0462,2.062,-0.062
2020-02-17T00:32:00.0,0.17,-0.01999999999998181,0.87,0.27,-2.0462,2.062,-0.062
2020-02-17T00:33:00.0,0.43,0.33,0.87,0.26,-2.0462,2.062,-0.062
2020-02-17T00:34:00.0,0.83,0.13,1.29,0.26,-2.0462,2.062,-0.062
2020-02-17T00:35:00.0,0.33,0.51,1.01,0.24,-2.0462,2.062,-0.125
2020-02-17T00:36:00.0,0.17,0.17,0.67,0.26,-2.0462,2,-0.125
2020-02-17T00:37:00.0,0.37,0.05,0.75,0.26,-2.0462,2,-0.125
2020-02-17T00:38:00.0,0.67,0.09,0.95,0.26,-2.0462,2,-0.125
2020-02-17T00:39:00.0,,,,,,,
2020-02-17T00:40:00.0,0.25,-0.10000000000002274,1.13,0.27,-2.0462,1.937,-0.125
2020-02-17T00:41:00.0,0.41,-0.10000000000002274,0.87,0.26,-2.0462,2,-0.062
2020-02-17T00:42:00.0,0.47,-0.13999999999998636,0.79,0.28,-2.0462,2,-0.125
2020-02-17T00:43:00.0,0.33,0.13,0.87,0.29,-2.0462,1.937,-0.187
2020-02-17T00:44:00.0,0.43,0.05,0.63,0.26,-2.0462,1.937,-0.187
2020-02-17T00:45:00.0,0.47,0.47,1.01,0.28,-2.0462,1.937,-0.125
2020-02-17T00:46:00.0,0.33,0.41,1.17,0.27,-2.0462,1.937,-0.125
2020-02-17T00:47:00.0,0.47,-0.06000000000005912,0.51,0.28,-2.0462,1.937,-0.125
2020-02-17T00:48:00.0,0.43,0.55,1.01,0.27,-2.0462,1.937,-0.125
2020-02-17T00:49:00.0,0.37,0.21,0.91,0.27,-2.0462,1.937,-0.125
2020-02-17T00:50:00.0,0.47,-0.22000000000002728,1.05,0.26,-2.0462,1.875,-0.125
2020-02-17T00:51:00.0,0.47,-0.18000000000006366,1.17,0.27,-2.0462,1.875,-0.125
2020-02-17T00:52:00.0,0.43,0.63,0.97,0.28,-2.0462,1.875,-0.125
2020-02-17T00:53:00.0,0.29,-0.13999999999998636,0.97,0.29,-2.0462,1.937,-0.125
2020-02-17T00:54:00.0,0.47,0.47,0.71,0.28,-2.0462,1.937,-0.125
2020-02-17T00:55:00.0,0.67,0.33,0.71,0.28,-2.0462,1.937,-0.187
2020-02-17T00:56:00.0,0.13,0.05,1.01,0.28,-2.0462,1.937,-0.187
2020-02-17T00:57:00.0,0.51,-0.22000000000002728,0.87,0.28,-2.0462,2,-0.187
2020-02-17T00:58:00.0,0.43,-0.18000000000006366,0.87,0.27,-2.0462,1.937,-0.125
2020-02-17T00:59:00.0,0.43,0.17,0.79,0.29,-2.0462,2,-0.125
2020-02-17T01:00:00.0,0.21,0.09,0.67,0.28,-2.0462,1.937,-0.125
2020-02-17T01:01:00.0,0.59,-0.10000000000002274,0.87,0.28,-1.972806382,1.937,-0.125
2020-02-17T01:02:00.0,0.51,0.01,0.71,0.27,-0.4344888879999996,1.937,-0.187
2020-02-17T01:03:00.0,0.13,0.51,1.13,0.3,1.3166956880000005,1.937,-0.125
2020-02-17T01:04:00.0,0.33,0.09,0.37,0.28,3.5677611220000007,1.937,-0.125
2020-02-17T01:05:00.0,0.29,-0.18000000000006366,0.71,0.28,5.806560352000001,1.937,-0.187
2020-02-17T01:06:00.0,0.43,0.51,0.87,0.28,7.244437312000001,1.937,-0.187
2020-02-17T01:07:00.0,0.43,-0.13999999999998636,0.79,0.28,8.176319458,1.937,-0.187
2020-02-17T01:08:00.0,0.33,-0.13999999999998636,0.63,0.3,8.677208672,1.937,-0.187
2020-02-17T01:09:00.0,0.25,0.17,0.43,0.29,8.963150272000002,1.937,-0.187
2020-02-17T01:10:00.0,0.25,0.67,0.33,0.28,9.748436642000003,1.937,-0.187
2020-02-17T01:11:00.0,0.09,0.05,0.79,0.28,10.532178568,1.937,-0.187
2020-02-17T01:12:00.0,0.21,0.33,0.91,0.28,10.816792712000002,1.937,-0.125
2020-02-17T01:13:00.0,0.21,0.17,0.87,0.26,11.740378258000002,1.937,-0.125
2020-02-17T01:14:00.0,0.33,0.21,0.47,0.26,11.882276882000001,1.937,-0.125
2020-02-17T01:15:00.0,0.21,0.55,0.59,0.26,12.236800072000001,1.937,-0.125
2020-02-17T01:16:00.0,0.21,-0.01999999999998181,0.43,0.28,12.591004162000003,1.937,-0.125
2020-02-17T01:17:00.0,0.09,-0.10000000000002274,0.83,0.28,12.73259645,1.875,-0.125
2020-02-17T01:18:00.0,-0.06000000000005912,0.63,0.71,0.27,13.369129928,1.875,-0.125
2020-02-17T01:19:00.0,0.33,-0.10000000000002274,0.95,0.26,13.722312898000002,1.875,-0.062
2020-02-17T01:20:00.0,0.37,0.05,0.59,0.26,14.357238112000003,1.875,-0.062
2020-02-17T01:21:00.0,0.09,0.01,0.67,0.26,15.307687400500004,1.875,-0.062
2020-02-17T01:22:00.0,0.43,0.21,0.79,0.28,17.026635208000005,1.875,-0.062
2020-02-17T01:23:00.0,0.09,0.21,0.67,0.26,18.912111682000003,1.875,-0.125
2020-02-17T01:24:00.0,0.29,0.17,0.43,0.26,21.4808002,1.937,-0.125
2020-02-17T01:25:00.0,0.25,0.01,1.13,0.26,22.482682644500002,1.937,-0.125
2020-02-17T01:26:00.0,0.17,0.25,0.55,0.26,22.655149762000004,1.937,-0.125
2020-02-17T01:27:00.0,-0.01999999999998181,-0.01999999999998181,0.59,0.26,22.310135752000004,1.937,-0.187
2020-02-17T01:28:00.0,-0.01999999999998181,0.67,0.43,0.24,22.448179648,2,-0.125
2020-02-17T01:29:00.0,0.25,0.51,0.79,0.24,22.102974178000004,2,-0.187
2020-02-17T01:30:00.0,0.51,0.09,0.79,0.23,22.241094658000005,2.062,-0.125
2020-02-17T01:31:00.0,0.33,0.41,0.41,0.23,21.411605938,2.062,-0.125
2020-02-17T01:32:00.0,0.43,0.09,0.59,0.22,20.163926578,2.062,-0.125
2020-02-17T01:33:00.0,0.21,-0.13999999999998636,0.51,0.2,19.468984418000005,2.062,-0.125
2020-02-17T01:34:00.0,0.29,0.01,0.75,0.18,18.528787812500003,2.062,-0.187
2020-02-17T01:35:00.0,0.13,-0.10000000000002274,0.63,0.17,17.726044768,2.062,-0.187
2020-02-17T01:36:00.0,0.21,0.01,0.87,0.16,16.816563442000003,2.062,-0.187
2020-02-17T01:37:00.0,0.55,-0.06000000000005912,0.55,0.17,15.764481472000003,2.062,-0.187
2020-02-17T01:38:00.0,0.43,-0.01999999999998181,1.05,0.14,14.991129442000002,2.062,-0.187
2020-02-17T01:39:00.0,0.13,0.01,0.83,0.14,14.216232968000002,2.062,-0.187
2020-02-17T01:40:00.0,0.13,-0.01999999999998181,0.71,0.14,13.651701832000002,2.125,-0.187
2020-02-17T01:41:00.0,0.17,-0.6800000000000637,0.29,0.13,13.121711984500003,2.125,-0.187
2020-02-17T01:42:00.0,0.33,0.09,1.09,0.12,12.520188872000004,2.125,-0.187
2020-02-17T01:43:00.0,0.21,0.09,0.55,0.12,12.095029088000002,2.125,-0.25
2020-02-17T01:44:00.0,0.29,-0.32000000000005,0.01,0.1,11.669409800000002,2.125,-0.25
2020-02-17T01:45:00.0,0.37,0.29,0.95,0.12,11.172273202000003,2.125,-0.25
2020-02-17T01:46:00.0,0.29,-0.2799999999999727,0.71,0.1,10.745658322000002,2.062,-0.25
2020-02-17T01:47:00.0,0.41,0.33,0.59,0.08,10.532178568,2.125,-0.312
2020-02-17T01:48:00.0,0.25,-0.6000000000000227,1.13,0.08,10.176123698,2.125,-0.25
2020-02-17T01:49:00.0,0.21,-0.32000000000005,0.75,0.09,9.819749728000001,2.125,-0.312
2020-02-17T01:50:00.0,0.33,-0.36000000000001364,1.01,0.08,9.463056658000001,2.062,-0.25
2020-02-17T01:51:00.0,0.21,-0.2799999999999727,0.83,0.09,8.963150272000002,2.062,-0.25
2020-02-17T01:52:00.0,0.05,-0.44000000000005457,0.59,0.1,8.605691362,2.062,-0.187
2020-02-17T01:53:00.0,0.37,-0.13999999999998636,0.71,0.08,8.462618450000003,2.125,-0.25
2020-02-17T01:54:00.0,0.09,-0.13999999999998636,0.75,0.08,8.426842244500001,2.125,-0.25
2020-02-17T01:55:00.0,0.21,-0.2599999999999909,0.55,0.07,8.247913352,2.062,-0.187
2020-02-17T01:56:00.0,0.17,-0.01999999999998181,0.51,0.08,8.033093378000002,2.125,-0.25
2020-02-17T01:57:00.0,0.01,-0.44000000000005457,0.67,0.08,7.746488050000001,2.062,-0.187
2020-02-17T01:58:00.0,0.41,-0.2799999999999727,0.55,0.06,7.4596784980000015,2.062,-0.187
