time,TempPlant1,TempPlant4,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-02-29T07:05:00.0,1.47,0.51,0.95,2.46,92.08825306450001,2.437,1.437
2020-02-29T07:06:00.0,1.63,0.13,1.05,2.71,91.76024008450001,2.5,1.5
2020-02-29T07:07:00.0,1.59,0.05,0.71,2.98,90.93819730450001,2.562,1.5
2020-02-29T07:08:00.0,1.55,-0.06000000000005912,0.71,3.1,90.2784953125,2.625,1.5
2020-02-29T07:09:00.0,1.55,-0.01999999999998181,0.97,3.08,89.423659912,2.687,1.5
2020-02-29T07:10:00.0,1.67,-0.06000000000005912,0.75,2.77,89.50651994050001,2.687,1.5
2020-02-29T07:11:00.0,1.75,0.13,0.97,2.63,90.49860020050001,2.687,1.562
2020-02-29T07:12:00.0,1.71,0.21,1.47,2.47,91.23994645,2.687,1.562
2020-02-29T07:13:00.0,2.13,0.33,1.17,2.38,91.7055265805,2.687,1.562
2020-02-29T07:14:00.0,1.75,0.51,1.33,2.38,92.06093620000001,2.625,1.625
2020-02-29T07:15:00.0,1.93,0.25,0.83,2.46,92.3066731045,2.687,1.562
2020-02-29T07:16:00.0,2.13,-0.13999999999998636,1.37,2.5,92.3612462045,2.687,1.625
2020-02-29T07:17:00.0,1.71,0.21,1.25,2.45,92.4703541125,2.75,1.562
2020-02-29T07:18:00.0,1.97,0.01,0.21,2.46,92.4703541125,2.75,1.625
2020-02-29T07:19:00.0,2.13,0.13,1.25,2.48,92.5794109645,2.75,1.625
2020-02-29T07:20:00.0,2.05,0.25,0.97,2.48,92.63392024450002,2.75,1.625
2020-02-29T07:21:00.0,1.71,0.13,1.29,2.54,92.497623112,2.812,1.687
2020-02-29T07:22:00.0,1.89,0.43,1.41,2.62,92.27938176800001,2.812,1.687
2020-02-29T07:23:00.0,,,,,,,
2020-02-29T07:24:00.0,1.79,0.29,1.51,5.31,87.73261050050002,3.062,1.875
2020-02-29T07:25:00.0,1.59,-0.18000000000006366,1.71,5.66,81.99104498450001,3.062,1.937
2020-02-29T07:26:00.0,1.79,0.95,1.41,6.35,78.66700826050001,3.625,1.937
2020-02-29T07:27:00.0,1.75,0.87,1.75,6.84,76.2331427845,3.937,2
2020-02-29T07:28:00.0,1.51,0.17,1.43,6.42,75.3584485045,4.187,2.062
2020-02-29T07:29:00.0,1.75,0.97,1.93,6.85,75.7669965605,4.312,2.125
2020-02-29T07:30:00.0,1.71,0.43,2.17,7.35,73.10025452800001,4.5,2.125
2020-02-29T07:31:00.0,2.09,1.17,2.21,7.78,71.53492022450001,4.75,2.312
2020-02-29T07:32:00.0,1.75,0.83,1.97,8.08,68.646848578,4.75,2.375
2020-02-29T07:33:00.0,1.97,0.63,2.01,7.94,68.04763641800001,5.062,2.375
2020-02-29T07:34:00.0,1.67,0.87,1.71,7.79,68.3773610605,5.187,2.375
2020-02-29T07:35:00.0,,,,,,,
2020-02-29T07:36:00.0,2.05,0.67,1.97,7.98,67.44714785800001,5.312,2.312
2020-02-29T07:37:00.0,2.05,0.71,2.17,8.24,67.4170899245,5.312,2.312
2020-02-29T07:38:00.0,1.71,0.43,2.21,8.24,66.302703112,5.5,2.312
2020-02-29T07:39:00.0,1.71,0.95,1.79,7.74,66.363051922,5.5,2.312
2020-02-29T07:40:00.0,1.59,0.79,1.67,7.2,67.5973896605,5.437,2.312
2020-02-29T07:41:00.0,1.63,0.55,1.17,7.31,69.8116410445,5.375,2.375
2020-02-29T07:42:00.0,,,,,,,
2020-02-29T07:43:00.0,1.43,0.13,1.21,6.14,71.06060504050001,5.312,2.25
2020-02-29T07:44:00.0,1.37,0.21,1.01,5.1,75.3000334405,5.125,2.125
2020-02-29T07:45:00.0,1.43,0.43,1.43,4.74,78.522765538,4.875,2.125
2020-02-29T07:46:00.0,1.25,0.75,1.43,4.26,80.01899045,4.687,2.125
2020-02-29T07:47:00.0,0.95,0.55,1.37,3.92,81.4209985645,4.5,2.187
2020-02-29T07:48:00.0,1.21,0.75,1.67,3.71,82.50299544050002,4.312,2.125
2020-02-29T07:49:00.0,1.25,1.05,1.43,3.64,83.35394868050001,4.187,2.125
2020-02-29T07:50:00.0,1.37,0.43,1.51,3.49,84.5404584245,4.062,2.125
2020-02-29T07:51:00.0,1.29,0.59,1.47,3.5,84.9909815125,4,2.125
2020-02-29T07:52:00.0,2.05,1.43,2.31,5.26,83.72180320000001,3.937,2.187
2020-02-29T07:53:00.0,1.41,0.83,1.67,5.12,78.43618161250001,4.125,2.375
2020-02-29T07:54:00.0,1.21,0.59,1.71,4.15,81.1926226045,4.312,2.375
2020-02-29T07:55:00.0,1.29,0.95,1.47,3.77,83.5237947005,4.25,2.25
2020-02-29T07:56:00.0,1.13,0.63,1.55,3.52,85.019112082,4.125,2.187
2020-02-29T07:57:00.0,1.33,1.01,1.55,3.38,85.8335105125,4,2.125
2020-02-29T07:58:00.0,1.29,0.79,2.21,3.51,86.67316761250001,3.937,2.125
2020-02-29T07:59:00.0,1.25,1.09,1.67,3.41,86.78490490450001,3.875,2.125
2020-02-29T08:00:00.0,0.87,0.75,1.67,3.32,87.482106242,3.875,2.062
2020-02-29T08:01:00.0,1.05,1.17,1.37,3.35,87.760428352,3.812,2.062
2020-02-29T08:02:00.0,1.67,1.13,2.35,4,87.3428255245,3.875,2.187
2020-02-29T08:03:00.0,1.93,1.51,2.69,4.84,84.17380691200002,3.937,2.375
2020-02-29T08:04:00.0,1.59,0.95,2.25,4.54,82.133357152,4.125,2.5
2020-02-29T08:05:00.0,1.59,0.51,1.55,4.19,83.41057678450001,4.25,2.5
2020-02-29T08:06:00.0,,,,,,,
2020-02-29T08:07:00.0,1.55,1.43,2.27,4.11,85.6652344645,4.312,2.375
2020-02-29T08:08:00.0,1.33,0.83,1.71,3.78,85.86154535200001,4.25,2.312
2020-02-29T08:09:00.0,1.59,0.87,1.71,3.64,86.8965911405,4.25,2.312
2020-02-29T08:10:00.0,1.41,1.25,1.89,3.57,87.482106242,4.187,2.187
2020-02-29T08:11:00.0,1.67,0.63,1.97,3.48,87.95506396450001,4.125,2.187
2020-02-29T08:12:00.0,1.43,0.87,2.01,3.5,88.3993582205,4.062,2.187
2020-02-29T08:13:00.0,1.71,0.95,2.01,3.5,88.6766273005,4.062,2.187
2020-02-29T08:14:00.0,1.51,0.41,2.13,3.55,88.98125472800001,4,2.187
2020-02-29T08:15:00.0,1.41,1.01,2.39,3.52,89.20255943200002,4,2.187
2020-02-29T08:16:00.0,2.01,1.09,1.93,3.52,89.3407711645,3.937,2.25
2020-02-29T08:17:00.0,1.29,1.13,2.05,3.56,89.17490751250001,3.937,2.312
2020-02-29T08:18:00.0,1.93,1.47,2.05,3.61,89.28549604450001,3.875,2.312
2020-02-29T08:19:00.0,1.63,1.33,2.21,3.64,89.20255943200002,3.875,2.312
2020-02-29T08:20:00.0,1.89,1.37,2.35,3.68,89.11959410050001,3.937,2.375
2020-02-29T08:21:00.0,,,,,,,
2020-02-29T08:22:00.0,,,,,,,
2020-02-29T08:23:00.0,,,,,,,
2020-02-29T08:24:00.0,,,,,,,
2020-02-29T08:25:00.0,2.01,1.21,2.65,3.48,90.22343718050001,3.937,2.375
2020-02-29T08:26:00.0,2.09,1.47,2.21,3.6,90.1683662845,3.937,2.375
2020-02-29T08:27:00.0,1.93,1.59,2.65,3.64,89.94795506050001,3.937,2.437
2020-02-29T08:28:00.0,1.89,1.33,2.25,3.62,90.00307701250001,3.937,2.437
2020-02-29T08:29:00.0,1.67,1.09,2.43,3.65,90.00307701250001,3.937,2.437
2020-02-29T08:30:00.0,2.21,1.17,2.43,3.67,89.94795506050001,4,2.437
2020-02-29T08:31:00.0,1.89,1.13,2.09,3.6,89.83767286450001,4.062,2.437
2020-02-29T08:32:00.0,2.05,1.79,2.43,3.56,89.83767286450001,4.062,2.5
2020-02-29T08:33:00.0,2.51,1.63,2.31,3.67,89.754927712,4,2.625
2020-02-29T08:34:00.0,2.35,1.67,2.59,3.71,89.3407711645,4.062,2.687
2020-02-29T08:35:00.0,1.89,1.63,2.51,3.72,89.534133568,4.062,2.687
2020-02-29T08:36:00.0,2.01,1.25,2.77,3.62,89.754927712,4.062,2.687
2020-02-29T08:37:00.0,2.05,1.17,2.21,3.56,90.1683662845,4.062,2.562
2020-02-29T08:38:00.0,2.05,1.47,2.05,3.58,90.55359451250001,4.062,2.437
2020-02-29T08:39:00.0,2.17,1.89,2.59,3.64,90.44359312450001,4,2.5
2020-02-29T08:40:00.0,2.05,1.17,2.35,3.72,90.471098258,4,2.5
2020-02-29T08:41:00.0,2.05,1.93,2.43,3.8,90.00307701250001,4.062,2.562
2020-02-29T08:42:00.0,2.13,0.97,2.01,3.82,89.67215384050002,4.062,2.625
2020-02-29T08:43:00.0,2.25,1.67,2.39,3.78,89.7273396125,4.125,2.625
2020-02-29T08:44:00.0,2.55,1.79,2.61,3.75,89.83767286450001,4.125,2.625
2020-02-29T08:45:00.0,2.01,1.55,2.73,3.74,90.1683662845,4.125,2.625
2020-02-29T08:46:00.0,1.75,1.29,2.35,3.7,90.471098258,4.125,2.562
2020-02-29T08:47:00.0,2.21,0.97,2.27,3.68,90.7734441205,4.062,2.5
2020-02-29T08:48:00.0,1.85,1.51,2.13,3.68,90.96564500000001,4.062,2.5
2020-02-29T08:49:00.0,2.01,1.43,2.55,3.69,91.07540387200001,4.062,2.437
2020-02-29T08:50:00.0,2.21,1.25,2.25,3.74,91.26735904450001,4.062,2.375
2020-02-29T08:51:00.0,1.59,1.29,2.39,3.66,91.40437415200002,4,2.312
2020-02-29T08:52:00.0,2.21,1.85,2.65,3.58,91.732884928,4,2.25
2020-02-29T08:53:00.0,1.93,1.29,2.51,3.56,91.92430401250002,4,2.312
2020-02-29T08:54:00.0,2.43,1.55,2.27,3.51,92.03361614450002,4,2.5
2020-02-29T08:55:00.0,2.01,1.43,2.31,3.47,92.08825306450001,4.062,2.5
2020-02-29T08:56:00.0,2.27,1.33,1.93,3.51,92.2520872405,4.062,2.437
2020-02-29T08:57:00.0,,,,,,,
2020-02-29T08:58:00.0,2.21,1.21,2.65,3.46,92.552151538,4,2.437
2020-02-29T08:59:00.0,1.89,1.29,2.25,3.47,92.6884167605,4.062,2.437
2020-02-29T09:00:00.0,2.31,1.83,2.91,3.44,92.74290051250001,4.062,2.562
2020-02-29T09:01:00.0,2.17,1.71,2.05,3.48,92.9062751845,4.062,2.625
2020-02-29T09:02:00.0,,,,,,,
2020-02-29T09:03:00.0,2.65,1.63,2.85,3.67,93.04233299200001,4.062,2.625
2020-02-29T09:04:00.0,2.43,2.09,2.81,3.75,92.9062751845,4.125,2.625
2020-02-29T09:05:00.0,2.69,2.17,2.69,3.8,92.63392024450002,4.187,2.625
2020-02-29T09:06:00.0,2.69,2.17,3.23,3.76,92.3612462045,4.25,2.687
2020-02-29T09:07:00.0,2.51,1.79,3.11,3.78,92.4158065405,4.312,2.75
2020-02-29T09:08:00.0,2.47,1.75,3.07,3.88,92.63392024450002,4.375,2.75
2020-02-29T09:09:00.0,2.55,2.31,2.89,3.87,92.8518297245,4.437,2.687
2020-02-29T09:10:00.0,2.85,1.89,3.33,3.93,92.497623112,4.5,2.687
2020-02-29T09:11:00.0,3.07,2.27,3.29,3.96,92.5794109645,4.5,2.812
2020-02-29T09:12:00.0,2.91,2.35,3.59,4.01,92.5794109645,4.625,2.75
2020-02-29T09:13:00.0,3.25,2.25,3.63,4.1,92.6884167605,4.687,2.812
2020-02-29T09:14:00.0,3.45,2.27,3.53,4.26,92.74290051250001,4.75,2.875
2020-02-29T09:15:00.0,3.33,2.77,4.15,4.32,92.6066672,4.875,3
2020-02-29T09:16:00.0,3.55,2.77,3.79,4.46,92.52488892050002,5,3.125
2020-02-29T09:17:00.0,4.01,3.37,4.23,4.6,92.08825306450001,5.125,3.25
2020-02-29T09:18:00.0,4.33,2.81,4.27,4.76,91.76024008450001,5.25,3.25
2020-02-29T09:19:00.0,4.49,4.05,4.63,4.93,91.5960612805,5.375,3.312
2020-02-29T09:20:00.0,4.57,3.79,5.29,5.19,91.23994645,5.5,3.375
2020-02-29T09:21:00.0,,,,,,,
