time,TempPlant1,TempPlant2,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-01-27T00:00:00.0,2.69,3.07,2.01,2.3,106.1684113805,4.062,1.5
2020-01-27T00:01:00.0,2.77,3.37,2.47,2.28,106.19402744200002,4.062,1.5
2020-01-27T00:02:00.0,2.69,2.99,2.31,2.3,106.1684113805,4.062,1.5
2020-01-27T00:03:00.0,2.61,3.19,2.39,2.28,106.19402744200002,4.062,1.5
2020-01-27T00:04:00.0,2.89,2.95,2.25,2.3,106.1684113805,4.125,1.5
2020-01-27T00:05:00.0,3.03,3.19,2.13,2.3,106.1684113805,4.125,1.5
2020-01-27T00:06:00.0,2.77,3.03,2.47,2.28,106.1684113805,4.187,1.5
2020-01-27T00:07:00.0,2.81,2.99,2.25,2.3,106.2196403125,4.187,1.5
2020-01-27T00:08:00.0,2.95,3.23,2.47,2.3,106.2196403125,4.25,1.5
2020-01-27T00:09:00.0,2.89,3.25,2.35,2.32,106.2196403125,4.25,1.5
2020-01-27T00:10:00.0,2.91,3.19,2.47,2.32,106.19402744200002,4.25,1.5
2020-01-27T00:11:00.0,2.77,3.03,2.43,2.31,106.2196403125,4.25,1.5
2020-01-27T00:12:00.0,2.81,3.37,2.55,2.31,106.2196403125,4.25,1.5
2020-01-27T00:13:00.0,2.69,3.19,2.09,2.3,106.2196403125,4.25,1.5
2020-01-27T00:14:00.0,2.81,2.99,2.47,2.29,106.2196403125,4.25,1.5
2020-01-27T00:15:00.0,2.81,2.99,2.27,2.3,106.2708564805,4.25,1.5
2020-01-27T00:16:00.0,3.03,3.33,1.97,2.3,106.2196403125,4.25,1.5
2020-01-27T00:17:00.0,3.15,3.03,2.35,2.28,106.245249992,4.25,1.5
2020-01-27T00:18:00.0,2.91,2.95,2.21,2.29,106.2196403125,4.187,1.5
2020-01-27T00:19:00.0,2.99,3.19,2.25,2.32,106.2196403125,4.187,1.562
2020-01-27T00:20:00.0,2.99,3.15,2.39,2.3,106.2196403125,4.25,1.562
2020-01-27T00:21:00.0,2.85,3.11,2.27,2.29,106.2708564805,4.187,1.562
2020-01-27T00:22:00.0,2.61,3.11,2.39,2.28,106.2708564805,4.187,1.5
2020-01-27T00:23:00.0,2.61,3.33,2.21,2.26,106.2708564805,4.187,1.5
2020-01-27T00:24:00.0,2.77,3.03,2.09,2.28,106.2708564805,4.187,1.5
2020-01-27T00:25:00.0,2.65,2.99,2.21,2.29,106.2196403125,4.187,1.5
2020-01-27T00:26:00.0,2.73,2.99,2.21,2.28,106.2708564805,4.187,1.5
2020-01-27T00:27:00.0,2.35,3.41,2.69,2.27,106.2708564805,4.187,1.5
2020-01-27T00:28:00.0,2.81,3.07,2.55,2.26,106.2708564805,4.187,1.5
2020-01-27T00:29:00.0,2.51,3.23,2.21,2.26,106.2708564805,4.187,1.5
2020-01-27T00:30:00.0,3.11,3.11,2.35,2.29,106.2708564805,4.25,1.5
2020-01-27T00:31:00.0,2.59,2.91,2.31,2.31,106.2708564805,4.25,1.5
2020-01-27T00:32:00.0,2.89,3.29,2.39,2.31,106.2708564805,4.25,1.562
2020-01-27T00:33:00.0,2.81,3.23,2.27,2.32,106.2708564805,4.25,1.5
2020-01-27T00:34:00.0,2.77,3.37,2.47,2.34,106.2708564805,4.25,1.5
2020-01-27T00:35:00.0,2.69,3.25,2.55,2.32,106.2708564805,4.312,1.5
2020-01-27T00:36:00.0,2.59,3.19,2.21,2.34,106.2708564805,4.312,1.562
2020-01-27T00:37:00.0,2.73,3.41,2.09,2.34,106.2708564805,4.312,1.562
2020-01-27T00:38:00.0,3.11,3.15,2.59,2.32,106.2708564805,4.312,1.562
