time,TempPlant1,TempPlant2,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-02-14T00:00:00.0,3.15,3.79,2.69,3.79,101.50553892050002,4.437,3.625
2020-02-14T00:01:00.0,3.55,3.75,2.81,3.76,101.42694845,4.437,3.625
2020-02-14T00:02:00.0,3.23,3.85,2.65,3.76,101.34832926050001,4.5,3.562
2020-02-14T00:03:00.0,3.53,3.79,2.55,3.76,101.29590051250001,4.437,3.562
2020-02-14T00:04:00.0,3.59,3.85,2.85,3.78,101.16477280000001,4.437,3.562
2020-02-14T00:05:00.0,3.49,3.85,2.99,3.8,101.08605788050001,4.437,3.562
2020-02-14T00:06:00.0,3.41,3.71,2.81,3.84,100.954802528,4.5,3.625
2020-02-14T00:07:00.0,3.67,3.75,3.29,3.92,100.82346740050001,4.5,3.687
2020-02-14T00:08:00.0,3.55,3.63,2.01,3.92,100.6657599445,4.5,3.75
2020-02-14T00:09:00.0,3.85,4.01,3.07,3.96,100.56055782050001,4.562,3.75
2020-02-14T00:10:00.0,3.49,4.07,3.11,4,100.40265890450002,4.562,3.75
2020-02-14T00:11:00.0,3.53,4.01,2.77,4.02,100.19194832050002,4.625,3.812
2020-02-14T00:12:00.0,3.37,3.97,3.15,4.04,100.0337813605,4.625,3.812
2020-02-14T00:13:00.0,3.63,4.05,3.45,4.03,99.8754995245,4.625,3.812
2020-02-14T00:14:00.0,3.59,4.23,3.59,4.05,99.82271338450002,4.625,3.75
2020-02-14T00:15:00.0,3.79,4.19,3.41,4.06,99.7699144805,4.625,3.812
2020-02-14T00:16:00.0,,,,,,,
2020-02-14T00:17:00.0,3.81,4.45,3.49,4.12,99.5850178,4.687,3.812
2020-02-14T00:18:00.0,3.71,4.15,3.37,4.14,99.50572850050001,4.687,3.812
2020-02-14T00:19:00.0,3.81,4.31,3.49,4.16,99.3999647605,4.687,3.812
2020-02-14T00:20:00.0,3.81,4.07,3.37,4.14,99.267688288,4.75,3.812
2020-02-14T00:21:00.0,3.75,4.31,3.29,4.16,99.1882841125,4.687,3.812
2020-02-14T00:22:00.0,4.07,4.57,3.59,4.18,99.1882841125,4.687,3.875
2020-02-14T00:23:00.0,3.67,4.31,3.59,4.22,99.161809672,4.75,3.875
2020-02-14T00:24:00.0,4.15,4.41,3.67,4.26,99.0823672045,4.75,3.875
2020-02-14T00:25:00.0,4.05,4.53,3.63,4.25,99.05588,4.75,3.875
2020-02-14T00:26:00.0,4.07,4.49,3.85,4.26,99.02938960450001,4.812,3.875
2020-02-14T00:27:00.0,3.93,4.19,3.41,4.27,99.02938960450001,4.812,3.875
2020-02-14T00:28:00.0,4.01,4.57,3.71,4.28,98.9763992405,4.812,3.875
2020-02-14T00:29:00.0,4.07,4.01,3.63,4.29,98.9763992405,4.812,3.875
2020-02-14T00:30:00.0,3.81,4.45,3.67,4.29,98.94989927200001,4.812,3.937
2020-02-14T00:31:00.0,4.05,4.15,3.41,4.3,98.92339611250001,4.812,3.875
2020-02-14T00:32:00.0,3.93,4.37,3.71,4.28,98.94989927200001,4.812,3.875
2020-02-14T00:33:00.0,4.07,4.27,3.63,4.23,99.02938960450001,4.875,3.875
2020-02-14T00:34:00.0,3.93,4.37,3.45,4.24,99.02938960450001,4.812,3.875
2020-02-14T00:35:00.0,4.07,4.23,3.45,4.25,99.0823672045,4.812,3.875
2020-02-14T00:36:00.0,3.97,4.31,3.23,4.26,99.02938960450001,4.875,3.875
2020-02-14T00:37:00.0,4.19,4.53,3.45,4.25,99.002896018,4.875,3.875
2020-02-14T00:38:00.0,4.07,4.27,3.55,4.23,99.002896018,4.812,3.875
2020-02-14T00:39:00.0,4.01,4.33,3.33,4.2,98.92339611250001,4.812,3.875
2020-02-14T00:40:00.0,3.85,4.11,3.29,4.19,99.02938960450001,4.812,3.812
2020-02-14T00:41:00.0,3.85,4.19,3.59,4.18,99.02938960450001,4.875,3.812
2020-02-14T00:42:00.0,3.97,4.49,3.59,4.2,99.108851218,4.812,3.875
2020-02-14T00:43:00.0,4.23,4.75,3.37,4.22,99.1353320405,4.812,3.875
2020-02-14T00:44:00.0,3.75,4.49,3.71,4.22,99.108851218,4.812,3.875
2020-02-14T00:45:00.0,3.97,4.49,3.25,4.22,99.0823672045,4.812,3.875
2020-02-14T00:46:00.0,4.01,4.37,3.55,4.24,99.108851218,4.812,3.875
2020-02-14T00:47:00.0,3.93,4.63,3.19,4.22,99.0823672045,4.812,3.875
2020-02-14T00:48:00.0,4.05,4.37,3.41,4.2,99.1353320405,4.812,3.875
2020-02-14T00:49:00.0,3.85,4.31,3.25,4.2,99.02938960450001,4.812,3.875
2020-02-14T00:50:00.0,4.27,4.59,3.49,4.23,99.02938960450001,4.812,3.875
2020-02-14T00:51:00.0,3.89,4.53,3.49,4.24,99.02938960450001,4.812,3.875
2020-02-14T00:52:00.0,3.89,4.45,3.49,4.29,99.0823672045,4.812,3.937
2020-02-14T00:53:00.0,3.89,4.63,3.81,4.34,98.9763992405,4.812,3.937
2020-02-14T00:54:00.0,3.97,4.49,3.63,4.33,98.92339611250001,4.812,3.937
2020-02-14T00:55:00.0,4.19,4.67,3.85,4.37,99.0823672045,4.875,3.937
2020-02-14T00:56:00.0,3.97,4.57,3.49,4.38,99.02938960450001,4.875,3.937
2020-02-14T00:57:00.0,4.23,4.71,3.63,4.39,99.02938960450001,4.875,3.937
2020-02-14T00:58:00.0,4.01,4.75,3.55,4.34,99.1353320405,4.875,3.937
2020-02-14T00:59:00.0,4.31,4.75,4.05,4.38,99.1882841125,4.875,3.937
2020-02-14T01:00:00.0,4.19,4.57,3.55,4.34,99.214755362,4.875,3.937
2020-02-14T01:01:00.0,4.07,4.37,3.45,4.31,99.1882841125,4.875,3.937
2020-02-14T01:02:00.0,4.05,4.57,3.49,4.23,99.2412234205,4.875,3.875
2020-02-14T01:03:00.0,4.01,4.37,3.45,4.2,99.37351584800001,4.875,3.875
2020-02-14T01:04:00.0,4.15,4.33,3.15,4.18,99.42641048200001,4.875,3.875
2020-02-14T01:05:00.0,3.85,4.27,3.29,4.18,99.50572850050001,4.875,3.875
2020-02-14T01:06:00.0,4.01,4.07,3.03,4.16,99.5585912245,4.812,3.875
2020-02-14T01:07:00.0,4.11,4.41,3.41,4.18,99.66427838050001,4.812,3.812
2020-02-14T01:08:00.0,3.59,4.11,3.55,4.16,99.82271338450002,4.812,3.812
2020-02-14T01:09:00.0,4.11,4.33,3.25,4.16,99.8754995245,4.812,3.812
2020-02-14T01:10:00.0,4.19,4.49,3.23,4.14,99.9810335125,4.812,3.812
2020-02-14T01:11:00.0,3.81,4.45,3.33,4.15,100.0337813605,4.75,3.75
2020-02-14T01:12:00.0,3.97,4.33,3.23,4.1,100.0337813605,4.75,3.75
2020-02-14T01:13:00.0,3.67,4.33,2.91,4.06,100.11287920000001,4.75,3.687
2020-02-14T01:14:00.0,3.59,4.27,3.19,4.01,100.1392387645,4.75,3.687
2020-02-14T01:15:00.0,3.71,4.23,3.41,4.02,100.24464511250001,4.687,3.687
2020-02-14T01:16:00.0,3.93,4.23,3.37,4.06,100.29732914050001,4.687,3.75
