time,TempPlant1,TempPlant4,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-02-18T00:00:00.0,0.51,-0.2599999999999909,-0.18000000000006366,,-2.0462,2.5,0.187
2020-02-18T00:01:00.0,0.47,0.25,-0.10000000000002274,,-2.0462,2.437,0.187
2020-02-18T00:02:00.0,0.47,0.43,-0.06000000000005912,,-2.0462,2.437,0.187
2020-02-18T00:03:00.0,0.67,0.47,0.13,,-2.0462,2.437,0.187
2020-02-18T00:04:00.0,0.43,0.41,-0.13999999999998636,,-2.0462,2.437,0.187
2020-02-18T00:05:00.0,0.43,0.37,-0.18000000000006366,,-2.0462,2.437,0.25
2020-02-18T00:06:00.0,0.47,0.21,0.01,,-2.0462,2.437,0.25
2020-02-18T00:07:00.0,0.63,0.55,0.13,,-2.0462,2.375,0.25
2020-02-18T00:08:00.0,0.67,0.33,0.17,,-2.0462,2.375,0.25
2020-02-18T00:09:00.0,0.21,0.63,0.17,,-2.0462,2.437,0.25
2020-02-18T00:10:00.0,0.55,-0.2599999999999909,-0.22000000000002728,,-2.0462,2.375,0.187
2020-02-18T00:11:00.0,0.51,0.17,0.17,,-2.0462,2.375,0.187
2020-02-18T00:12:00.0,0.51,0.43,0.21,,-2.0462,2.375,0.187
2020-02-18T00:13:00.0,0.37,0.01,-0.10000000000002274,,-2.0462,2.375,0.187
2020-02-18T00:14:00.0,0.67,0.05,-0.39999999999997726,,-2.0462,2.375,0.187
2020-02-18T00:15:00.0,0.55,0.09,0.17,,-2.0462,2.375,0.187
2020-02-18T00:16:00.0,0.67,0.37,-0.22000000000002728,,-2.0462,2.375,0.187
2020-02-18T00:17:00.0,0.55,0.63,0.33,,-2.0462,2.375,0.187
2020-02-18T00:18:00.0,,,,,,,
2020-02-18T00:19:00.0,0.51,0.25,0.37,,-2.0462,2.312,0.187
2020-02-18T00:20:00.0,0.51,0.29,0.51,,-2.0462,2.312,0.187
2020-02-18T00:21:00.0,0.41,-0.13999999999998636,0.17,,-2.0462,2.312,0.25
2020-02-18T00:22:00.0,0.37,0.33,0.05,,-2.0462,2.312,0.25
2020-02-18T00:23:00.0,0.43,0.71,-0.06000000000005912,,-2.0462,2.312,0.187
2020-02-18T00:24:00.0,,,,,,,
2020-02-18T00:25:00.0,0.97,0.63,0.05,,-2.0462,2.312,0.25
2020-02-18T00:26:00.0,0.79,0.17,0.29,,-2.0462,2.312,0.25
2020-02-18T00:27:00.0,0.55,0.59,0.17,,-2.0462,2.312,0.25
2020-02-18T00:28:00.0,0.51,-0.01999999999998181,0.21,,-2.0462,2.312,0.187
2020-02-18T00:29:00.0,0.59,0.05,-0.10000000000002274,,-2.0462,2.312,0.187
2020-02-18T00:30:00.0,0.63,0.43,0.29,,-2.0462,2.25,0.187
2020-02-18T00:31:00.0,,,,,,,
2020-02-18T00:32:00.0,0.71,0.05,0.41,,-2.0462,2.25,0.187
2020-02-18T00:33:00.0,0.59,0.05,0.05,,-2.0462,2.25,0.187
2020-02-18T00:34:00.0,0.51,0.43,-0.06000000000005912,,-2.0462,2.25,0.187
2020-02-18T00:35:00.0,0.43,-0.18000000000006366,0.21,,-2.0462,2.25,0.187
2020-02-18T00:36:00.0,0.43,0.33,0.21,,-2.0462,2.312,0.187
2020-02-18T00:37:00.0,0.37,-0.06000000000005912,-0.01999999999998181,,-2.0462,2.25,0.187
