time,TempPlant1,TempPlant4,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-02-22T07:05:00.0,3.67,2.69,3.49,,-2.0462,5.562,3.125
2020-02-22T07:06:00.0,3.93,3.97,3.67,,-2.0462,5.562,3.125
2020-02-22T07:07:00.0,4.11,3.81,3.89,,-2.0462,5.687,3.125
2020-02-22T07:08:00.0,3.89,3.97,3.93,,-2.0462,5.875,3.25
2020-02-22T07:09:00.0,3.59,3.71,3.81,,-2.0462,6,3.25
2020-02-22T07:10:00.0,4.33,3.53,3.75,,-2.0462,6.125,3.25
2020-02-22T07:11:00.0,3.85,2.69,3.53,,-2.0462,6.25,3.25
2020-02-22T07:12:00.0,3.71,3.49,3.67,,-2.0462,6.187,3.25
2020-02-22T07:13:00.0,3.53,3.15,3.55,,-2.0462,6.187,3.187
2020-02-22T07:14:00.0,3.81,4.23,3.97,,-2.0462,6.062,3.125
2020-02-22T07:15:00.0,4.31,4.49,4.27,,-2.0462,6.062,3.187
2020-02-22T07:16:00.0,4.41,3.29,4.81,,-2.0462,6.125,3.312
2020-02-22T07:17:00.0,3.97,3.63,4.31,,-2.0462,6.25,3.437
2020-02-22T07:18:00.0,4.27,3.63,4.53,,-2.0462,6.312,3.437
2020-02-22T07:19:00.0,4.11,3.45,4.19,,-2.0462,6.375,3.312
2020-02-22T07:20:00.0,4.23,3.71,4.05,,-2.0462,6.437,3.312
2020-02-22T07:21:00.0,4.31,3.97,4.19,,-2.0462,6.312,3.312
2020-02-22T07:22:00.0,4.11,3.59,4.19,,-2.0462,6.187,3.187
2020-02-22T07:23:00.0,3.85,2.95,3.67,,-2.0462,6.062,3.062
2020-02-22T07:24:00.0,3.97,3.71,3.89,,-2.0462,5.875,3
2020-02-22T07:25:00.0,3.79,3.29,4.41,,-2.0462,5.687,2.937
2020-02-22T07:26:00.0,3.63,3.25,3.63,,-2.0462,5.562,2.937
2020-02-22T07:27:00.0,4.05,3.63,4.05,,-2.0462,5.375,2.875
2020-02-22T07:28:00.0,4.23,3.59,3.85,,-2.0462,5.312,2.875
2020-02-22T07:29:00.0,4.11,3.33,3.89,,-2.0462,5.187,2.812
2020-02-22T07:30:00.0,4.01,3.55,3.79,,-2.0462,5.062,2.812
2020-02-22T07:31:00.0,3.75,3.37,4.01,,-2.0462,4.937,2.812
2020-02-22T07:32:00.0,3.79,3.93,3.71,,-2.0462,4.812,2.75
2020-02-22T07:33:00.0,3.79,3.55,3.29,,-2.0462,4.687,2.75
2020-02-22T07:34:00.0,3.63,3.45,3.45,,-2.0462,4.625,2.687
2020-02-22T07:35:00.0,3.37,3.37,3.33,,-2.0462,4.5,2.687
2020-02-22T07:36:00.0,3.89,3.59,3.33,,-2.0462,4.437,2.625
2020-02-22T07:37:00.0,3.29,3.45,2.61,,-2.0462,4.312,2.625
2020-02-22T07:38:00.0,3.25,3.59,3.41,,-2.0462,4.25,2.625
2020-02-22T07:39:00.0,3.71,3.53,3.33,,-2.0462,4.187,2.625
2020-02-22T07:40:00.0,3.53,3.23,3.25,,-2.0462,4.125,2.625
2020-02-22T07:41:00.0,3.49,3.53,3.49,,-2.0462,4.125,2.625
2020-02-22T07:42:00.0,3.33,3.45,2.91,,-2.0462,4.125,2.625
2020-02-22T07:43:00.0,3.63,3.45,3.11,,-2.0462,4.125,2.625
2020-02-22T07:44:00.0,3.41,3.67,3.49,,-2.0462,4.062,2.562
2020-02-22T07:45:00.0,3.63,3.41,3.03,,-2.0462,4.062,2.562
2020-02-22T07:46:00.0,3.53,3.81,3.11,,-2.0462,4.062,2.562
2020-02-22T07:47:00.0,3.63,3.53,3.71,,-2.0462,4.125,2.625
2020-02-22T07:48:00.0,4.07,3.79,3.29,,-2.0462,4.125,2.625
2020-02-22T07:49:00.0,4.23,3.63,3.71,,-2.0462,4.125,2.625
2020-02-22T07:50:00.0,3.67,2.85,3.29,,-2.0462,4.187,2.625
2020-02-22T07:51:00.0,4.05,3.53,3.63,,-2.0462,4.125,2.625
2020-02-22T07:52:00.0,3.79,3.59,3.75,,-2.0462,4.187,2.625
2020-02-22T07:53:00.0,3.89,3.71,3.93,,-2.0462,4.187,2.687
2020-02-22T07:54:00.0,4.45,3.81,4.41,,-2.0462,4.25,2.75
2020-02-22T07:55:00.0,4.37,3.71,3.85,,-2.0462,4.375,2.812
2020-02-22T07:56:00.0,4.41,4.05,4.11,,-2.0462,4.437,2.812
2020-02-22T07:57:00.0,4.67,4.27,4.89,,-2.0462,4.5,2.812
2020-02-22T07:58:00.0,4.71,4.75,4.45,,-2.0462,4.562,2.937
2020-02-22T07:59:00.0,4.49,4.01,4.49,,-2.0462,4.562,2.875
2020-02-22T08:00:00.0,5.23,4.37,4.79,,-2.0462,4.625,2.812
2020-02-22T08:01:00.0,4.85,4.71,4.75,,-2.0462,4.687,2.875
2020-02-22T08:02:00.0,,,,,,,
2020-02-22T08:03:00.0,4.15,3.75,4.33,,-2.0462,4.75,2.937
2020-02-22T08:04:00.0,4.53,4.07,3.79,,-2.0462,4.75,2.875
2020-02-22T08:05:00.0,4.11,4.71,4.63,,-2.0462,4.75,2.875
2020-02-22T08:06:00.0,4.23,3.79,4.15,,-2.0462,4.75,2.875
2020-02-22T08:07:00.0,4.01,4.05,3.93,,-2.0462,4.75,2.812
2020-02-22T08:08:00.0,3.71,3.41,3.97,,-2.0462,4.75,2.75
2020-02-22T08:09:00.0,,,,,,,
2020-02-22T08:10:00.0,4.15,4.01,3.89,,-2.0462,4.687,2.75
2020-02-22T08:11:00.0,4.45,3.29,4.23,,-2.0462,4.687,2.75
2020-02-22T08:12:00.0,3.63,3.55,3.79,,-2.0462,4.75,2.687
2020-02-22T08:13:00.0,3.55,3.41,3.33,,-2.0462,4.75,2.687
2020-02-22T08:14:00.0,3.49,3.23,2.81,,-2.0462,4.75,2.687
2020-02-22T08:15:00.0,3.11,2.69,3.19,,-2.0462,4.625,2.687
2020-02-22T08:16:00.0,3.33,2.89,3.07,,-2.0462,4.625,2.625
2020-02-22T08:17:00.0,3.45,3.07,3.19,,-2.0462,4.5,2.562
2020-02-22T08:18:00.0,2.99,3.03,3.29,,-2.0462,4.437,2.562
2020-02-22T08:19:00.0,3.23,2.77,2.89,,-2.0462,4.437,2.562
2020-02-22T08:20:00.0,3.23,3.49,2.99,,-2.0462,4.375,2.562
2020-02-22T08:21:00.0,3.45,2.99,3.19,,-2.0462,4.312,2.625
2020-02-22T08:22:00.0,3.63,3.59,3.15,,-2.0462,4.25,2.625
2020-02-22T08:23:00.0,3.41,3.07,3.19,,-2.0462,4.312,2.625
2020-02-22T08:24:00.0,3.41,2.81,3.37,,-2.0462,4.25,2.625
2020-02-22T08:25:00.0,3.25,2.31,3.11,,-2.0462,4.187,2.625
2020-02-22T08:26:00.0,3.25,2.77,3.19,,-2.0462,4.187,2.625
2020-02-22T08:27:00.0,3.59,3.85,3.15,,-2.0462,4.125,2.625
2020-02-22T08:28:00.0,3.29,2.99,2.91,,-2.0462,4.187,2.687
2020-02-22T08:29:00.0,3.23,2.73,2.77,,-2.0462,4.187,2.625
2020-02-22T08:30:00.0,3.33,2.65,2.81,,-2.0462,4.187,2.625
2020-02-22T08:31:00.0,3.59,3.53,3.11,,-2.0462,4.187,2.625
2020-02-22T08:32:00.0,3.71,3.63,3.45,,-2.0462,4.25,2.625
2020-02-22T08:33:00.0,3.29,3.03,3.23,,-2.0462,4.25,2.625
