time,TempPlant3,TempPlant4,TempPlant5,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-02-02T00:00:00.0,4.31,4.37,4.71,4.52,104.909315392,5.312,4
2020-02-02T00:01:00.0,4.45,4.57,4.63,4.57,104.9350878125,5.312,4
2020-02-02T00:02:00.0,4.75,4.85,4.79,4.64,104.96085704200001,5.312,4.125
2020-02-02T00:03:00.0,4.75,4.49,4.81,4.56,104.98662308050001,5.312,4.062
2020-02-02T00:04:00.0,4.19,4.53,4.59,4.58,105.03814558450001,5.25,4.062
2020-02-02T00:05:00.0,4.49,4.59,4.71,4.58,105.0896553245,5.25,4.062
2020-02-02T00:06:00.0,4.37,4.27,4.81,4.52,105.0896553245,5.25,4
2020-02-02T00:07:00.0,4.81,4.11,4.45,4.51,105.14115230050001,5.25,4
2020-02-02T00:08:00.0,4.49,4.75,5.01,4.44,105.2955666445,5.25,3.937
2020-02-02T00:09:00.0,4.59,4.33,4.67,4.44,105.372730738,5.25,3.875
2020-02-02T00:10:00.0,4.45,4.41,4.89,4.43,105.44986611250002,5.25,3.875
2020-02-02T00:11:00.0,4.57,4.67,3.15,4.37,105.6040507045,5.25,3.812
2020-02-02T00:12:00.0,4.37,4.31,4.49,4.44,105.70677661250002,5.25,3.812
2020-02-02T00:13:00.0,,,,,,,
2020-02-02T00:14:00.0,4.45,4.45,4.57,4.51,105.7581204205,5.25,3.875
2020-02-02T00:15:00.0,4.41,4.45,4.75,4.48,105.7581204205,5.25,3.875
2020-02-02T00:16:00.0,4.59,4.75,4.71,4.6,105.80945146450001,5.312,3.875
2020-02-02T00:17:00.0,4.57,4.45,4.59,4.57,105.80945146450001,5.312,3.875
2020-02-02T00:18:00.0,4.33,4.23,5.05,4.54,105.8607697445,5.312,4
2020-02-02T00:19:00.0,4.59,4.31,4.75,4.48,105.8607697445,5.312,3.937
2020-02-02T00:20:00.0,4.71,4.57,4.63,4.52,105.91207526050002,5.25,3.937
2020-02-02T00:21:00.0,4.15,4.23,4.75,4.48,105.8607697445,5.312,3.937
2020-02-02T00:22:00.0,5.01,4.71,4.97,4.68,105.96336801250001,5.312,4.062
2020-02-02T00:23:00.0,4.53,4.45,4.85,4.74,105.8607697445,5.312,4.25
2020-02-02T00:24:00.0,4.79,4.53,4.81,4.71,105.8607697445,5.312,4.25
2020-02-02T00:25:00.0,4.67,4.79,4.63,4.74,105.886424098,5.312,4.25
2020-02-02T00:26:00.0,4.63,4.67,4.93,4.74,105.91207526050002,5.312,4.312
2020-02-02T00:27:00.0,4.37,4.71,5.05,4.65,105.91207526050002,5.375,4.25
2020-02-02T00:28:00.0,4.23,4.31,4.75,4.61,105.91207526050002,5.375,4.125
2020-02-02T00:29:00.0,4.71,4.81,4.85,4.69,105.96336801250001,5.375,4.187
2020-02-02T00:30:00.0,4.59,4.71,4.75,4.74,105.91207526050002,5.437,4.25
2020-02-02T00:31:00.0,4.23,4.33,5.01,4.82,105.91207526050002,5.437,4.375
2020-02-02T00:32:00.0,,,,,,,
2020-02-02T00:33:00.0,5.01,4.63,4.97,5.01,105.91207526050002,5.437,4.5
2020-02-02T00:34:00.0,4.67,4.85,4.75,4.98,105.80945146450001,5.5,4.687
2020-02-02T00:35:00.0,4.93,4.75,5.01,4.86,105.886424098,5.5,4.562
2020-02-02T00:36:00.0,4.89,4.41,4.71,5.02,105.91207526050002,5.5,4.625
2020-02-02T00:37:00.0,4.59,4.45,4.67,5,105.8607697445,5.562,4.625
2020-02-02T00:38:00.0,4.81,4.49,4.67,4.9,105.91207526050002,5.562,4.687
2020-02-02T00:39:00.0,,,,,,,
2020-02-02T00:40:00.0,4.59,4.79,4.89,4.74,105.96336801250001,5.562,4.5
2020-02-02T00:41:00.0,4.49,4.41,4.75,4.67,105.96336801250001,5.562,4.375
2020-02-02T00:42:00.0,4.71,4.53,4.57,4.68,106.0659152245,5.5,4.375
2020-02-02T00:43:00.0,4.41,4.41,4.53,4.57,106.040283208,5.562,4.187
2020-02-02T00:44:00.0,4.33,4.53,4.59,4.52,106.11716968450001,5.5,4.125
2020-02-02T00:45:00.0,4.71,4.59,4.57,4.48,106.2196403125,5.437,4.062
2020-02-02T00:46:00.0,4.53,4.67,4.49,4.55,106.1684113805,5.437,4.062
2020-02-02T00:47:00.0,4.59,4.53,4.57,4.5,106.1684113805,5.437,4.062
2020-02-02T00:48:00.0,4.71,4.85,4.59,4.55,106.2196403125,5.375,4.062
2020-02-02T00:49:00.0,4.59,3.37,5.01,4.46,106.19402744200002,5.375,4
2020-02-02T00:50:00.0,4.37,4.11,4.75,4.46,106.2708564805,5.375,4
2020-02-02T00:51:00.0,4.85,4.19,4.81,4.48,106.2708564805,5.375,4
2020-02-02T00:52:00.0,4.33,5.11,4.79,4.5,106.245249992,5.375,4
2020-02-02T00:53:00.0,4.53,4.27,4.63,4.54,106.245249992,5.375,4.125
2020-02-02T00:54:00.0,4.23,4.57,4.57,4.48,106.2708564805,5.375,4.062
2020-02-02T00:55:00.0,4.45,4.49,4.49,4.4,106.245249992,5.375,4
2020-02-02T00:56:00.0,4.31,4.27,4.59,4.39,106.2708564805,5.375,3.937
2020-02-02T00:57:00.0,4.59,3.89,4.71,4.22,106.39884105800002,5.312,3.812
2020-02-02T00:58:00.0,4.27,4.01,4.53,4.07,106.47559351250001,5.312,3.625
2020-02-02T00:59:00.0,4.53,4.37,4.59,4.27,106.4244284005,5.25,3.75
2020-02-02T01:00:00.0,4.23,4.23,4.85,4.38,106.37325052450001,5.25,3.937
2020-02-02T01:01:00.0,4.33,3.93,4.67,4.31,106.4244284005,5.25,3.875
2020-02-02T01:02:00.0,4.59,4.57,4.27,4.53,106.37325052450001,5.25,4
2020-02-02T01:03:00.0,4.27,4.75,4.59,4.53,106.37325052450001,5.25,4.062
2020-02-02T01:04:00.0,4.49,4.49,4.63,4.51,106.3220598845,5.25,4.062
2020-02-02T01:05:00.0,4.41,4.23,4.15,4.54,106.2708564805,5.312,4.062
2020-02-02T01:06:00.0,4.33,4.33,4.45,4.49,106.3220598845,5.312,4.062
2020-02-02T01:07:00.0,4.63,4.31,4.37,4.48,106.3220598845,5.312,4.062
2020-02-02T01:08:00.0,4.31,4.15,4.53,4.44,106.3220598845,5.312,4.062
2020-02-02T01:09:00.0,4.27,4.53,4.71,4.32,106.4244284005,5.312,3.937
2020-02-02T01:10:00.0,4.33,4.23,4.57,4.26,106.4244284005,5.312,3.937
2020-02-02T01:11:00.0,4.45,3.97,4.63,4.3,106.4244284005,5.375,3.875
2020-02-02T01:12:00.0,4.57,4.33,4.53,4.42,106.4244284005,5.312,3.937
2020-02-02T01:13:00.0,4.53,4.31,4.41,4.53,106.3220598845,5.375,4.062
2020-02-02T01:14:00.0,4.45,4.37,4.57,4.52,106.3220598845,5.312,4.062
2020-02-02T01:15:00.0,4.45,4.23,4.59,4.52,106.3220598845,5.375,4.062
2020-02-02T01:16:00.0,4.19,4.05,4.75,4.42,106.3220598845,5.375,4.062
2020-02-02T01:17:00.0,4.15,4.19,4.75,4.39,106.4244284005,5.375,4
2020-02-02T01:18:00.0,4.71,4.07,4.37,4.34,106.47559351250001,5.312,3.937
2020-02-02T01:19:00.0,4.63,4.45,4.45,4.46,106.37325052450001,5.312,4
2020-02-02T01:20:00.0,4.45,4.57,4.27,4.49,106.37325052450001,5.375,4.125
2020-02-02T01:21:00.0,4.71,4.27,4.59,4.6,106.3220598845,5.375,4.125
2020-02-02T01:22:00.0,4.59,4.33,4.33,4.68,106.37325052450001,5.375,4.187
2020-02-02T01:23:00.0,4.45,3.97,4.45,4.66,106.3220598845,5.375,4.25
2020-02-02T01:24:00.0,4.41,4.31,4.63,4.7,106.3220598845,5.375,4.312
2020-02-02T01:25:00.0,4.53,4.33,4.57,4.58,106.3220598845,5.375,4.25
2020-02-02T01:26:00.0,4.75,4.57,4.79,4.62,106.34765680000001,5.437,4.25
2020-02-02T01:27:00.0,4.59,4.41,4.63,4.66,106.3220598845,5.437,4.312
2020-02-02T01:28:00.0,4.71,4.59,4.81,4.72,106.3220598845,5.437,4.375
2020-02-02T01:29:00.0,4.27,4.31,4.57,4.7,106.3220598845,5.437,4.375
2020-02-02T01:30:00.0,4.85,4.59,4.57,4.71,106.3220598845,5.437,4.375
2020-02-02T01:31:00.0,4.53,3.41,4.67,4.76,106.3220598845,5.437,4.437
2020-02-02T01:32:00.0,4.79,4.75,5.23,4.74,106.3220598845,5.437,4.437
2020-02-02T01:33:00.0,,,,,,,
2020-02-02T01:34:00.0,4.89,4.37,4.85,4.61,106.37325052450001,5.437,4.25
