time,TempPlant2,TempPlant5,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-03-08T00:00:00.0,0.97,0.67,0.43,0.18,101.87191472050002,2.562,-0.875
2020-03-08T00:01:00.0,1.29,0.83,0.43,0.2,101.8196136125,2.625,-0.875
2020-03-08T00:02:00.0,0.47,0.41,0.37,0.2,101.7149731045,2.625,-0.937
2020-03-08T00:03:00.0,0.95,0.79,0.37,0.23,101.76729974050001,2.625,-0.875
2020-03-08T00:04:00.0,0.43,0.63,0.05,0.24,101.7149731045,2.625,-0.875
2020-03-08T00:05:00.0,0.63,1.01,0.17,0.26,101.7149731045,2.687,-0.812
2020-03-08T00:06:00.0,0.21,0.79,0.37,0.27,101.66263370450001,2.625,-0.812
2020-03-08T00:07:00.0,0.51,0.63,0.37,0.3,101.636459218,2.625,-0.812
2020-03-08T00:08:00.0,0.51,0.75,0.33,0.31,101.7149731045,2.625,-0.75
2020-03-08T00:09:00.0,1.51,0.63,0.05,0.3,101.7149731045,2.625,-0.75
2020-03-08T00:10:00.0,1.25,0.83,0.47,0.26,101.61028154050001,2.625,-0.75
2020-03-08T00:11:00.0,,,,,,,
2020-03-08T00:12:00.0,0.51,0.87,0.33,0.22,101.61028154050001,2.5,-0.75
2020-03-08T00:13:00.0,0.25,0.55,-0.8000000000000682,0.17,101.55791661250001,2.5,-0.875
2020-03-08T00:14:00.0,0.91,0.37,0.43,0.12,101.50553892050002,2.437,-0.812
2020-03-08T00:15:00.0,0.87,0.47,0.01,0.07,101.61028154050001,2.375,-0.812
2020-03-08T00:16:00.0,0.87,0.41,0.55,0.04,101.584100672,2.375,-0.875
2020-03-08T00:17:00.0,0.97,0.33,0.01,0.02,101.66263370450001,2.375,-0.875
2020-03-08T00:18:00.0,0.17,0.33,0.37,0,101.7149731045,2.312,-0.875
2020-03-08T00:19:00.0,0.75,0.91,0.17,-0.029999999999972715,101.76729974050001,2.312,-0.875
2020-03-08T00:20:00.0,0.41,0.21,-0.2799999999999727,-0.09000000000003183,101.8196136125,2.25,-0.875
