time,TempPlant1,TempPlant4,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-02-18T06:05:00.0,0.87,0.55,0.91,1.42,94.1549979005,3.562,0.75
2020-02-18T06:06:00.0,,,,,,,
2020-02-18T06:07:00.0,0.75,0.05,1.47,1.41,94.56073020800001,3.562,0.687
2020-02-18T06:08:00.0,0.55,0.67,1.41,1.44,94.34442899200002,3.562,0.75
2020-02-18T06:09:00.0,0.87,0.41,1.43,1.46,93.8298951125,3.562,0.75
2020-02-18T06:10:00.0,,,,,,,
2020-02-18T06:11:00.0,0.75,0.67,1.01,1.5,94.1549979005,3.625,0.75
2020-02-18T06:12:00.0,0.63,0.37,0.95,1.53,93.85700456200001,3.625,0.75
2020-02-18T06:13:00.0,0.55,-0.13999999999998636,1.01,1.55,93.88411082050001,3.562,0.812
2020-02-18T06:14:00.0,0.87,0.33,1.83,1.54,93.66717140450001,3.625,0.812
2020-02-18T06:15:00.0,0.83,0.51,1.25,1.57,94.3173769805,3.625,0.812
2020-02-18T06:16:00.0,0.91,0.63,0.91,1.56,94.4255658805,3.625,0.812
2020-02-18T06:17:00.0,1.05,0.25,1.59,1.56,94.56073020800001,3.687,0.812
2020-02-18T06:18:00.0,1.01,0.63,1.25,1.58,94.58775350050001,3.687,0.812
2020-02-18T06:19:00.0,0.91,0.17,1.25,1.58,95.0736271045,3.687,0.812
2020-02-18T06:20:00.0,0.97,0.47,1.41,1.56,95.37004089800001,3.687,0.812
2020-02-18T06:21:00.0,1.13,0.63,1.43,1.56,95.2353552205,3.687,0.875
2020-02-18T06:22:00.0,1.21,0.83,1.43,1.58,95.18145861250001,3.687,0.812
2020-02-18T06:23:00.0,0.87,0.67,1.09,1.61,95.34311014450002,3.687,0.812
2020-02-18T06:24:00.0,0.97,0.83,1.43,1.61,94.85781092050001,3.687,0.812
2020-02-18T06:25:00.0,0.91,0.17,1.47,1.62,95.0736271045,3.687,0.812
2020-02-18T06:26:00.0,1.01,0.71,1.21,1.63,94.9117841125,3.687,0.812
2020-02-18T06:27:00.0,0.97,0.79,1.51,1.62,94.80382496450001,3.687,0.812
2020-02-18T06:28:00.0,1.05,0.71,1.71,1.68,94.614773602,3.75,0.812
2020-02-18T06:29:00.0,1.33,0.67,1.89,1.68,94.80382496450001,3.75,0.875
2020-02-18T06:30:00.0,1.09,0.79,1.93,1.7,94.58775350050001,3.812,0.812
