TempPlant3,TempPlant5,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1,time
12.37,9.25,11.09,12.07,64.51667101250001,8.75,7.562,2020-02-09T06:05:00.0
11.55,8.79,10.47,12.16,63.48238720450001,8.875,7.687,2020-02-09T06:06:00.0
10.65,8.59,9.61,11.75,63.93914360200001,9,7.625,2020-02-09T06:07:00.0
10.33,8.33,9.35,11.12,65.06273964050001,9.062,7.562,2020-02-09T06:08:00.0
9.879999999999999,8.1,8.809999999999999,10.52,67.37756908050001,9.1245,7.6245,2020-02-09T06:09:00.0
9.43,7.87,8.27,9.92,69.6923985205,9.187,7.687,2020-02-09T06:10:00.0
9.07,7.69,7.87,9.48,71.1199391125,9.187,7.625,2020-02-09T06:11:00.0
9.03,7.91,8.27,9.28,72.5401276405,9.25,7.562,2020-02-09T06:12:00.0
9.53,7.77,8.61,9.7,73.218029192,9.312,7.937,2020-02-09T06:13:00.0
9.25,7.87,8.71,9.93,72.3039401125,9.375,8.312,2020-02-09T06:14:00.0
9.01,7.77,8.23,9.7,71.83095238450001,9.5,8.25,2020-02-09T06:15:00.0
9.43,8.01,8.51,9.73,72.5401276405,9.562,8.187,2020-02-09T06:16:00.0
8.65,7.83,8.51,9.85,72.215317138,9.687,8.437,2020-02-09T06:17:00.0
9.47,8.33,8.71,10.21,72.333474722,9.75,8.812,2020-02-09T06:18:00.0
9.11,8.47,9.21,10.44,71.7717714805,9.875,9.062,2020-02-09T06:19:00.0
9.71,8.89,9.39,10.67,71.32750784800001,10.062,9.312,2020-02-09T06:20:00.0
9.63,8.97,9.21,10.93,70.5854729605,10.25,9.625,2020-02-09T06:21:00.0
9.53,8.69,9.47,11.2,69.901039432,10.5,9.812,2020-02-09T06:22:00.0
9.57,9.11,9.67,11.42,69.0356520125,10.687,10.062,2020-02-09T06:23:00.0
9.95,9.11,9.71,11.6,68.2575058645,10.812,10.187,2020-02-09T06:24:00.0
10.023333333333333,9.216666666666667,9.770000000000001,11.686666666666666,67.967346843,10.999666666666666,10.270333333333333,2020-02-09T06:25:00.0
10.096666666666668,9.323333333333334,9.830000000000002,11.773333333333332,67.6771878215,11.187333333333333,10.353666666666667,2020-02-09T06:26:00.0
10.17,9.43,9.89,11.86,67.38702880000001,11.375,10.437,2020-02-09T06:27:00.0
10.47,9.81,9.75,12.08,66.63446361250001,11.5,10.437,2020-02-09T06:28:00.0
10.43,9.67,9.75,12.32,65.5775218,11.687,10.437,2020-02-09T06:29:00.0
10.17,9.75,9.85,12.55,64.425559058,11.75,10.437,2020-02-09T06:30:00.0
9.49,9.61,9.35,12.46,63.207988738,11.75,9.75,2020-02-09T06:31:00.0
9.39,9.19,8.93,12.62,62.6278542805,11.687,9.375,2020-02-09T06:32:00.0
9.57,9.19,8.69,12.57,62.199649664500015,11.562,8.937,2020-02-09T06:33:00.0
9.35,9.53,8.33,12.52,61.770819612500006,11.375,8.687,2020-02-09T06:34:00.0
9.25,9.33,8.29,12.58,61.61751445,11.25,8.437,2020-02-09T06:35:00.0
9.01,9.19,8.55,12.62,61.556170048000006,11.125,8.312,2020-02-09T06:36:00.0
9.29,9.33,8.75,12.69,61.31066480000001,11.062,8.437,2020-02-09T06:37:00.0
9.15,9.53,8.71,12.84,60.9112832005,10.937,8.687,2020-02-09T06:38:00.0
8.89,9.35,8.29,12.42,60.7882880605,10.937,8.5,2020-02-09T06:39:00.0
8.79,9.15,8.29,11.98,61.67884608800001,10.875,8.125,2020-02-09T06:40:00.0
8.71,9.21,8.05,11.86,62.169039688,10.687,7.875,2020-02-09T06:41:00.0
9.15,9.15,8.29,11.84,62.44441460050001,10.625,7.687,2020-02-09T06:42:00.0
9.25,9.53,7.91,11.95,62.383242512500004,10.437,7.687,2020-02-09T06:43:00.0
