TempPlant1,TempPlant2,TempPlant4,Air_temp_loc,Humedity,air_temp,Ambient_1,time
12.09,12.39,11.85,12.07,64.51667101250001,8.75,7.562,2020-02-09T06:05:00.0
11.13,11.65,11.31,12.16,63.48238720450001,8.875,7.687,2020-02-09T06:06:00.0
9.95,11.09,10.83,11.75,63.93914360200001,9,7.625,2020-02-09T06:07:00.0
10.23,10.95,9.95,11.12,65.06273964050001,9.062,7.562,2020-02-09T06:08:00.0
9.629999999999999,10.66,9.71,10.52,67.37756908050001,9.1245,7.6245,2020-02-09T06:09:00.0
9.03,10.37,9.47,9.92,69.6923985205,9.187,7.687,2020-02-09T06:10:00.0
9.29,10.09,9.11,9.48,71.1199391125,9.187,7.625,2020-02-09T06:11:00.0
9.39,10.55,9.35,9.28,72.5401276405,9.25,7.562,2020-02-09T06:12:00.0
9.35,10.47,9.19,9.7,73.218029192,9.312,7.937,2020-02-09T06:13:00.0
9.19,10.71,9.49,9.93,72.3039401125,9.375,8.312,2020-02-09T06:14:00.0
9.47,10.83,9.43,9.7,71.83095238450001,9.5,8.25,2020-02-09T06:15:00.0
9.35,10.37,9.67,9.73,72.5401276405,9.562,8.187,2020-02-09T06:16:00.0
9.29,10.71,9.75,9.85,72.215317138,9.687,8.437,2020-02-09T06:17:00.0
9.33,11.21,9.81,10.21,72.333474722,9.75,8.812,2020-02-09T06:18:00.0
9.61,11.33,10.23,10.44,71.7717714805,9.875,9.062,2020-02-09T06:19:00.0
9.99,11.57,10.27,10.67,71.32750784800001,10.062,9.312,2020-02-09T06:20:00.0
10.05,11.93,10.55,10.93,70.5854729605,10.25,9.625,2020-02-09T06:21:00.0
9.91,11.99,10.65,11.2,69.901039432,10.5,9.812,2020-02-09T06:22:00.0
10.13,12.09,10.47,11.42,69.0356520125,10.687,10.062,2020-02-09T06:23:00.0
9.95,12.37,10.89,11.6,68.2575058645,10.812,10.187,2020-02-09T06:24:00.0
10.136666666666667,12.416666666666666,10.903333333333334,11.686666666666666,67.967346843,10.999666666666666,10.270333333333333,2020-02-09T06:25:00.0
10.323333333333334,12.463333333333333,10.916666666666668,11.773333333333332,67.6771878215,11.187333333333333,10.353666666666667,2020-02-09T06:26:00.0
10.51,12.51,10.93,11.86,67.38702880000001,11.375,10.437,2020-02-09T06:27:00.0
10.43,12.27,11.07,12.08,66.63446361250001,11.5,10.437,2020-02-09T06:28:00.0
10.47,11.81,10.99,12.32,65.5775218,11.687,10.437,2020-02-09T06:29:00.0
10.75,11.85,10.89,12.55,64.425559058,11.75,10.437,2020-02-09T06:30:00.0
9.57,11.31,10.27,12.46,63.207988738,11.75,9.75,2020-02-09T06:31:00.0
9.53,10.95,10.17,12.62,62.6278542805,11.687,9.375,2020-02-09T06:32:00.0
9.75,10.79,10.23,12.57,62.199649664500015,11.562,8.937,2020-02-09T06:33:00.0
9.61,10.33,9.61,12.52,61.770819612500006,11.375,8.687,2020-02-09T06:34:00.0
9.07,10.37,9.75,12.58,61.61751445,11.25,8.437,2020-02-09T06:35:00.0
9.21,10.19,9.75,12.62,61.556170048000006,11.125,8.312,2020-02-09T06:36:00.0
9.47,10.31,10.23,12.69,61.31066480000001,11.062,8.437,2020-02-09T06:37:00.0
9.57,10.31,10.33,12.84,60.9112832005,10.937,8.687,2020-02-09T06:38:00.0
8.79,9.71,9.99,12.42,60.7882880605,10.937,8.5,2020-02-09T06:39:00.0
8.87,9.61,8.89,11.98,61.67884608800001,10.875,8.125,2020-02-09T06:40:00.0
8.65,9.77,9.57,11.86,62.169039688,10.687,7.875,2020-02-09T06:41:00.0
