TempPlant1,TempPlant4,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1,time
3.75,3.25,3.07,3.76,96.79280451250001,5.062,3.875,2020-02-09T00:00:00.0
3.55,3.23,2.95,3.8,96.79280451250001,5.062,3.937,2020-02-09T00:01:00.0
3.81,3.55,2.81,3.78,96.84631820050001,5.062,3.937,2020-02-09T00:02:00.0
3.63,3.41,2.73,3.73,96.819562952,5.062,3.937,2020-02-09T00:03:00.0
3.85,3.79,2.65,3.76,96.8998191245,5.062,3.937,2020-02-09T00:04:00.0
4.01,3.03,2.89,3.81,96.95330728450001,5.062,3.937,2020-02-09T00:05:00.0
3.59,3.71,2.81,3.81,96.84631820050001,5.062,3.937,2020-02-09T00:06:00.0
3.53,3.75,2.85,3.84,96.819562952,5.062,3.937,2020-02-09T00:07:00.0
3.67,3.23,3.11,3.84,96.79280451250001,5.062,3.937,2020-02-09T00:08:00.0
4.05,3.53,2.95,3.83,96.76604288200001,5.062,3.937,2020-02-09T00:09:00.0
3.63,3.55,2.91,3.84,96.76604288200001,5,3.875,2020-02-09T00:10:00.0
3.81,3.15,3.19,3.84,96.79280451250001,5.062,3.875,2020-02-09T00:11:00.0
4.01,3.85,2.95,3.86,96.84631820050001,5.062,3.875,2020-02-09T00:12:00.0
3.63,3.33,3.29,3.88,96.6321868645,5.062,3.875,2020-02-09T00:13:00.0
3.67,3.11,3.19,3.88,96.57862212050001,5.062,3.875,2020-02-09T00:14:00.0
3.71,3.29,3.23,3.86,96.5250446125,5.062,3.812,2020-02-09T00:15:00.0
3.89,2.89,3.41,3.88,96.73927806050001,5,3.812,2020-02-09T00:16:00.0
4.01,3.85,3.19,3.86,96.73927806050001,5,3.812,2020-02-09T00:17:00.0
3.9699999999999998,3.6100000000000003,3.26,3.84,96.77942050625,5,3.7495,2020-02-09T00:18:00.0
3.93,3.37,3.33,3.82,96.819562952,5,3.687,2020-02-09T00:19:00.0
3.97,3.93,3.03,3.81,96.819562952,4.937,3.687,2020-02-09T00:20:00.0
3.45,3.41,2.95,3.78,96.84631820050001,4.937,3.687,2020-02-09T00:21:00.0
3.45,3.71,2.39,3.76,96.8998191245,4.875,3.625,2020-02-09T00:22:00.0
3.59,2.61,2.73,3.69,97.1136951805,4.875,3.562,2020-02-09T00:23:00.0
3.19,3.07,2.27,3.64,97.1136951805,4.812,3.5,2020-02-09T00:24:00.0
3.26,2.92,2.41,3.6,97.27391076250001,4.781000000000001,3.5,2020-02-09T00:25:00.0
3.33,2.77,2.55,3.56,97.43412634450002,4.75,3.5,2020-02-09T00:26:00.0
3.29,2.6,2.28,3.54,97.44746727225001,4.75,3.5,2020-02-09T00:27:00.0
3.25,2.43,2.01,3.52,97.46080820000002,4.75,3.5,2020-02-09T00:28:00.0
3.11,3.11,2.43,3.51,97.35406163200001,4.687,3.5,2020-02-09T00:29:00.0
2.99,2.59,1.83,3.48,97.38075306050001,4.687,3.5,2020-02-09T00:30:00.0
3.07,2.77,2.31,3.45,97.4874868645,4.687,3.437,2020-02-09T00:31:00.0
2.85,3.23,2.21,3.4,97.43412634450002,4.687,3.375,2020-02-09T00:32:00.0
3.11,2.51,2.39,3.38,97.54083462050001,4.687,3.375,2020-02-09T00:33:00.0
2.85,2.21,2.17,3.35,97.64749184050001,4.687,3.375,2020-02-09T00:34:00.0
2.59,1.55,1.89,3.34,97.75409800450001,4.687,3.437,2020-02-09T00:35:00.0
2.91,2.35,1.93,3.34,97.80738194050001,4.687,3.5,2020-02-09T00:36:00.0
3.41,3.11,2.09,3.3,97.887283912,4.687,3.5,2020-02-09T00:37:00.0
2.69,2.65,2.05,3.26,97.96715716450001,4.687,3.562,2020-02-09T00:38:00.0
2.91,2.35,2.09,3.26,97.96715716450001,4.687,3.625,2020-02-09T00:39:00.0
2.9699999999999998,2.58,2.3,3.2699999999999996,98.0735846325,4.718500000000001,3.6559999999999997,2020-02-09T00:40:00.0
3.03,2.81,2.51,3.28,98.18001210050001,4.75,3.687,2020-02-09T00:41:00.0
2.39,2.51,1.97,3.3,97.80738194050001,4.75,3.75,2020-02-09T00:42:00.0
2.89,2.61,1.79,3.3,97.80738194050001,4.812,3.812,2020-02-09T00:43:00.0
3.15,2.09,1.79,3.29,97.80738194050001,4.812,3.812,2020-02-09T00:44:00.0
3.25,2.55,2.25,3.3,97.86065311250002,4.875,3.812,2020-02-09T00:45:00.0
2.95,2.17,2.09,3.32,97.86065311250002,4.875,3.812,2020-02-09T00:46:00.0
2.73,2.43,1.71,3.34,97.7008013045,4.875,3.812,2020-02-09T00:47:00.0
3.15,2.55,2.13,3.38,97.4874868645,4.937,3.875,2020-02-09T00:48:00.0
3.11,2.43,1.67,3.46,97.1136951805,4.937,3.937,2020-02-09T00:49:00.0
2.55,2.35,1.71,3.45,96.68573884450001,5,3.937,2020-02-09T00:50:00.0
2.77,1.97,1.55,3.44,96.68573884450001,5.062,3.937,2020-02-09T00:51:00.0
2.21,1.93,1.01,3.48,96.79280451250001,5.062,4,2020-02-09T00:52:00.0
2.13,2.55,1.63,3.43,96.55183496200002,5.125,4,2020-02-09T00:53:00.0
