TempPlant2,TempPlant5,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1,time
3.67,3.79,3.53,4.16,97.514162338,5.062,3.875,2020-02-09T00:00:00.0
3.41,3.55,3.25,4.24,97.43412634450002,5.062,3.937,2020-02-09T00:01:00.0
3.29,3.81,3.25,4.23,97.27396820050001,5.062,3.937,2020-02-09T00:02:00.0
3.63,3.81,3.45,4.17,97.2205566245,5.062,3.937,2020-02-09T00:03:00.0
3.49,3.89,3.11,4.15,97.35406163200001,5.062,3.937,2020-02-09T00:04:00.0
3.79,3.93,3.23,4.22,97.4874868645,5.062,3.937,2020-02-09T00:05:00.0
3.37,3.71,3.25,4.23,97.38075306050001,5.062,3.937,2020-02-09T00:06:00.0
3.79,3.79,2.99,4.26,97.38075306050001,5.062,3.937,2020-02-09T00:07:00.0
3.81,3.97,3.11,4.28,97.35406163200001,5.062,3.937,2020-02-09T00:08:00.0
3.53,4.23,3.33,4.28,97.27396820050001,5.062,3.937,2020-02-09T00:09:00.0
3.19,3.89,3.49,4.26,97.27396820050001,5,3.875,2020-02-09T00:10:00.0
3.53,3.89,3.19,4.23,97.3273670125,5.062,3.875,2020-02-09T00:11:00.0
3.89,4.01,3.49,4.3,97.43412634450002,5.062,3.875,2020-02-09T00:12:00.0
3.79,3.75,3.29,4.3,97.27396820050001,5.062,3.875,2020-02-09T00:13:00.0
3.85,4.05,3.11,4.27,97.27396820050001,5.062,3.875,2020-02-09T00:14:00.0
3.49,4.01,3.19,4.24,97.27396820050001,5.062,3.812,2020-02-09T00:15:00.0
3.63,3.63,3.45,4.24,97.38075306050001,5,3.812,2020-02-09T00:16:00.0
3.67,4.07,3.67,4.24,97.38075306050001,5,3.812,2020-02-09T00:17:00.0
3.85,4.15,2.73,4.21,97.40744129800001,5,3.75,2020-02-09T00:18:00.0
3.79,3.55,3.25,4.19,97.4874868645,5,3.687,2020-02-09T00:19:00.0
3.79,4.07,3.23,4.14,97.54083462050001,4.937,3.687,2020-02-09T00:20:00.0
3.63,3.33,3.33,4.1,97.54083462050001,4.937,3.687,2020-02-09T00:21:00.0
3.53,3.63,3.55,4.01,97.80738194050001,4.875,3.625,2020-02-09T00:22:00.0
3.25,3.71,3.07,3.95,97.9937752,4.875,3.562,2020-02-09T00:23:00.0
3.25,3.63,3.23,3.88,98.18001210050001,4.812,3.5,2020-02-09T00:24:00.0
3.35,3.48,3.3,3.84,98.33946184250001,4.781000000000001,3.5,2020-02-09T00:25:00.0
3.45,3.33,3.37,3.8,98.49891158450001,4.75,3.5,2020-02-09T00:26:00.0
3.15,3.55,3.23,3.81,98.55201682450001,4.75,3.5,2020-02-09T00:27:00.0
3.59,3.37,3.41,3.78,98.5254658,4.75,3.5,2020-02-09T00:28:00.0
2.95,3.37,2.95,3.78,98.578564658,4.687,3.5,2020-02-09T00:29:00.0
2.65,3.53,2.95,3.75,98.55201682450001,4.687,3.5,2020-02-09T00:30:00.0
2.85,3.45,3.03,3.65,98.55201682450001,4.687,3.437,2020-02-09T00:31:00.0
2.77,2.85,2.99,3.58,98.7643101445,4.687,3.375,2020-02-09T00:32:00.0
2.95,2.99,2.91,3.56,98.92339611250001,4.687,3.375,2020-02-09T00:33:00.0
3.23,2.95,2.95,3.54,99.002896018,4.687,3.375,2020-02-09T00:34:00.0
3.23,2.95,2.85,3.56,99.02938960450001,4.687,3.437,2020-02-09T00:35:00.0
2.73,3.19,2.89,3.62,99.05588,4.687,3.5,2020-02-09T00:36:00.0
2.96,3.13,2.98,3.6,98.93661578225002,4.687,3.5309999999999997,2020-02-09T00:37:00.0
3.19,3.07,3.07,3.58,98.81735156450002,4.687,3.562,2020-02-09T00:38:00.0
3.19,2.91,2.85,3.57,98.79083245000001,4.687,3.625,2020-02-09T00:39:00.0
3.15,2.89,2.89,3.58,98.87038022050001,4.687,3.625,2020-02-09T00:40:00.0
2.85,2.77,3.25,3.68,98.92339611250001,4.75,3.687,2020-02-09T00:41:00.0
3.11,3.03,3.15,3.67,98.6581890125,4.75,3.75,2020-02-09T00:42:00.0
2.85,2.95,2.73,3.66,98.6051093005,4.812,3.812,2020-02-09T00:43:00.0
3.41,3.23,2.77,3.66,98.6051093005,4.812,3.812,2020-02-09T00:44:00.0
3.45,3.03,2.73,3.62,98.6051093005,4.875,3.812,2020-02-09T00:45:00.0
3.11,3.03,2.89,3.64,98.6581890125,4.875,3.812,2020-02-09T00:46:00.0
3.45,2.95,3.19,3.7,98.6581890125,4.875,3.812,2020-02-09T00:47:00.0
3.19,2.89,3.19,3.76,98.578564658,4.937,3.875,2020-02-09T00:48:00.0
3.25,3.03,2.95,3.77,98.3926628125,4.937,3.937,2020-02-09T00:49:00.0
2.91,2.85,2.61,3.75,98.2863629845,5,3.937,2020-02-09T00:50:00.0
2.95,2.85,2.95,3.72,98.23319392450001,5.062,3.937,2020-02-09T00:51:00.0
3.03,2.65,2.95,3.73,98.18001210050001,5.062,4,2020-02-09T00:52:00.0
2.99,2.61,2.65,3.64,98.12681751250001,5.125,4,2020-02-09T00:53:00.0
3.11,2.95,2.89,3.68,98.36609264200001,5.187,4,2020-02-09T00:54:00.0
3.15,3.07,3.41,3.8,98.419229792,5.187,4,2020-02-09T00:55:00.0
2.95,3.07,3.11,3.84,98.18001210050001,5.187,4,2020-02-09T00:56:00.0
3.11,2.61,2.91,3.83,98.07361016050001,5.187,3.937,2020-02-09T00:57:00.0
2.77,3.15,2.81,3.88,98.0203900445,5.25,4,2020-02-09T00:58:00.0
3.07,2.85,3.07,3.9,97.96715716450001,5.25,4,2020-02-09T00:59:00.0
3.07,2.91,3.15,3.86,97.80738194050001,5.312,4,2020-02-09T01:00:00.0
2.73,2.77,3.03,3.78,97.91391152050001,5.312,4,2020-02-09T01:01:00.0
2.99,2.89,3.03,3.74,98.23319392450001,5.312,3.875,2020-02-09T01:02:00.0
2.85,3.45,3.19,3.76,98.49891158450001,5.25,3.875,2020-02-09T01:03:00.0
3.41,3.23,2.77,3.79,98.6051093005,5.187,3.812,2020-02-09T01:04:00.0
3.37,3.41,2.99,3.84,98.684724082,5.187,3.812,2020-02-09T01:05:00.0
3.11,3.29,2.91,3.84,98.55201682450001,5.187,3.812,2020-02-09T01:06:00.0
3.15,2.91,2.81,3.7,98.3926628125,5.125,3.812,2020-02-09T01:07:00.0
2.91,3.19,2.81,3.74,98.7112559605,5.125,3.75,2020-02-09T01:08:00.0
2.85,2.89,2.47,3.79,98.73778464800002,5.125,3.75,2020-02-09T01:09:00.0
3.23,2.69,2.99,3.79,98.6581890125,5.062,3.75,2020-02-09T01:10:00.0
3.15,3.55,2.73,3.78,98.63165075200001,5.062,3.687,2020-02-09T01:11:00.0
3.23,2.99,3.03,3.8,98.6581890125,5.062,3.75,2020-02-09T01:12:00.0
3.25,3.19,2.95,3.83,98.55201682450001,5.062,3.812,2020-02-09T01:13:00.0
3.25,3.29,2.81,3.89,98.44579358050001,5.062,3.875,2020-02-09T01:14:00.0
2.95,3.11,2.95,3.83,98.312942728,5.062,3.875,2020-02-09T01:15:00.0
3.33,3.25,2.69,3.82,98.312942728,5.062,3.812,2020-02-09T01:16:00.0
3.03,3.15,2.73,3.84,98.36609264200001,5.062,3.812,2020-02-09T01:17:00.0
3.07,3.19,2.89,3.9,98.33951928050001,5.062,3.875,2020-02-09T01:18:00.0
3.15,3.41,2.77,4.02,98.100215432,5,3.937,2020-02-09T01:19:00.0
3.25,3.11,3.11,4.1,97.86065311250002,5.062,4.062,2020-02-09T01:20:00.0
3.85,3.67,3.15,4.21,97.54083462050001,5.125,4.125,2020-02-09T01:21:00.0
3.49,3.53,3.25,4.32,97.1136951805,5.125,4.312,2020-02-09T01:22:00.0
3.71,3.55,3.07,4.3,96.65896445000001,5.187,4.312,2020-02-09T01:23:00.0
3.79,2.95,3.23,4.25,96.498251072,5.187,4.25,2020-02-09T01:24:00.0
3.49,3.59,3.23,4.41,96.4714543405,5.187,4.375,2020-02-09T01:25:00.0
