TempPlant2,TempPlant3,TempPlant5,Air_temp_loc,Humedity,air_temp,Ambient_1,time
7.45,5.93,6.75,9.85,72.274402312,8.75,7.562,2020-02-09T06:05:00.0
7.05,6.07,6.69,10.06,71.0012582045,8.875,7.687,2020-02-09T06:06:00.0
7.01,5.89,6.47,10.35,70.16906228050001,9,7.625,2020-02-09T06:07:00.0
7.17,5.96,6.54,10.68,69.31814061625,9.0625,7.531000000000001,2020-02-09T06:08:00.0
7.33,6.03,6.61,11.01,68.467218952,9.125,7.437,2020-02-09T06:09:00.0
6.97,5.93,6.47,11.22,67.0561458245,9.187,7.687,2020-02-09T06:10:00.0
6.87,6.17,6.39,11.3,66.000767602,9.187,7.625,2020-02-09T06:11:00.0
7.15,6.25,6.75,11.52,66.1819672,9.25,7.562,2020-02-09T06:12:00.0
7.95,6.87,7.29,11.9,65.8496801845,9.312,7.937,2020-02-09T06:13:00.0
7.87,6.87,7.41,12.16,64.6381089445,9.375,8.312,2020-02-09T06:14:00.0
7.77,6.29,7.15,12.22,63.6042591125,9.5,8.25,2020-02-09T06:15:00.0
8.29,6.69,7.37,12.2,63.6042591125,9.562,8.187,2020-02-09T06:16:00.0
8.29,7.05,7.91,12.4,63.4214321045,9.687,8.437,2020-02-09T06:17:00.0
8.51,7.37,8.13,12.91,62.597288978,9.75,8.812,2020-02-09T06:18:00.0
8.61,7.69,8.19,13.26,61.556170048000006,9.875,9.062,2020-02-09T06:19:00.0
8.79,8.15,8.61,13.48,61.00349605,10.062,9.312,2020-02-09T06:20:00.0
9.21,7.97,8.29,13.84,59.92589251250001,10.25,9.625,2020-02-09T06:21:00.0
9.39,8.23,8.83,13.93,59.58640979200001,10.5,9.812,2020-02-09T06:22:00.0
9.35,8.19,9.01,14.18,58.937234240500004,10.687,10.062,2020-02-09T06:23:00.0
9.25,7.95,8.87,14.49,58.131543380500005,10.812,10.187,2020-02-09T06:24:00.0
9.47,8.23,8.71,14.55,57.354806368,-0.062,-0.062,2020-02-09T06:25:00.0
9.25,8.45,8.89,14.88,56.79432080200001,11.187,10.25,2020-02-09T06:26:00.0
9.63,8.45,9.35,14.92,56.66962805000001,11.375,10.437,2020-02-09T06:27:00.0
9.33,8.59,9.39,15.02,55.982905288000005,11.5,10.437,2020-02-09T06:28:00.0
9.19,8.55,8.87,14.92,55.419892450000006,11.687,10.437,2020-02-09T06:29:00.0
9.03,7.87,8.93,14.86,55.451198064500005,11.75,10.437,2020-02-09T06:30:00.0
8.71,7.65,8.41,14.52,55.0753200845,11.75,9.75,2020-02-09T06:31:00.0
8.01,7.05,7.97,14.32,54.981278792000005,11.687,9.375,2020-02-09T06:32:00.0
8.09,6.79,8.23,13.94,56.076640244500005,11.562,8.937,2020-02-09T06:33:00.0
8.05,6.83,7.51,13.72,56.295243458,11.375,8.687,2020-02-09T06:34:00.0
8.13,6.91,7.69,13.74,56.388882684500004,11.25,8.437,2020-02-09T06:35:00.0
8.27,7.19,7.97,13.64,56.731980808,11.125,8.312,2020-02-09T06:36:00.0
8.83,7.23,7.97,13.62,56.95011494450001,11.062,8.437,2020-02-09T06:37:00.0
8.59,7.29,8.23,13.69,56.82548601250001,10.937,8.687,2020-02-09T06:38:00.0
7.73,7.09,7.61,13.23,57.16809272200001,10.937,8.5,2020-02-09T06:39:00.0
7.61,6.83,7.65,12.9,58.06947781250001,10.875,8.125,2020-02-09T06:40:00.0
7.69,6.83,7.45,12.76,58.68955911250001,10.687,7.875,2020-02-09T06:41:00.0
7.77,6.79,7.61,12.69,59.246540960500006,10.625,7.687,2020-02-09T06:42:00.0
8.15,6.79,7.45,12.76,59.1847051445,10.437,7.687,2020-02-09T06:43:00.0
8.45,6.73,8.15,12.67,59.3083640125,10.375,7.75,2020-02-09T06:44:00.0
8.15,7.77,7.95,12.82,59.58640979200001,10.312,7.937,2020-02-09T06:45:00.0
8.37,7.23,7.65,12.79,58.65858536200001,10.312,7.937,2020-02-09T06:46:00.0
8.13,7.11,7.29,12.4,59.277454082000006,10.312,7.75,2020-02-09T06:47:00.0
