time,TempPlant1,TempPlant2,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-02-09T00:00:00.0,4.37,4.07,3.55,4.24,94.77682720000001,5.062,3.875
2020-02-09T00:01:00.0,4.53,4.45,3.29,4.3,94.80382496450001,5.062,3.937
2020-02-09T00:02:00.0,3.81,4.41,3.29,4.31,94.64179051250001,5.062,3.937
2020-02-09T00:03:00.0,3.85,4.45,3.49,4.26,94.58775350050001,5.062,3.937
2020-02-09T00:04:00.0,4.05,4.23,3.37,4.25,94.64179051250001,5.062,3.937
2020-02-09T00:05:00.0,4.19,4.37,2.89,4.28,94.80382496450001,5.062,3.937
2020-02-09T00:06:00.0,4.05,4.37,3.55,4.28,94.74982624450001,5.062,3.937
2020-02-09T00:07:00.0,4.53,4.41,3.37,4.3,94.80382496450001,5.062,3.937
2020-02-09T00:08:00.0,4.15,4.41,3.15,4.32,94.80382496450001,5.062,3.937
2020-02-09T00:09:00.0,4.05,4.23,3.53,4.34,94.80382496450001,5.062,3.937
2020-02-09T00:10:00.0,4.41,4.31,3.11,4.32,94.74982624450001,5,3.875
2020-02-09T00:11:00.0,4.11,4.33,3.33,4.32,94.74982624450001,5.062,3.875
2020-02-09T00:12:00.0,4.23,4.67,3.59,4.34,94.85781092050001,5.062,3.875
2020-02-09T00:13:00.0,4.45,4.23,3.25,4.33,94.80382496450001,5.062,3.875
2020-02-09T00:14:00.0,4.23,4.49,3.53,4.32,94.74982624450001,5.062,3.875
2020-02-09T00:15:00.0,4.27,4.33,3.33,4.3,94.74982624450001,5.062,3.812
2020-02-09T00:16:00.0,3.97,4.37,3.41,4.27,94.9117841125,5,3.812
2020-02-09T00:17:00.0,4.19,4.59,3.11,4.28,94.992719968,5,3.812
2020-02-09T00:18:00.0,3.97,4.33,3.29,4.24,95.100589768,5,3.75
2020-02-09T00:19:00.0,4.53,4.33,3.63,4.22,95.18145861250001,5,3.687
2020-02-09T00:20:00.0,4.45,4.41,3.23,4.2,95.208408512,4.937,3.687
2020-02-09T00:21:00.0,4.19,4.27,3.25,4.17,95.1275492405,4.937,3.687
2020-02-09T00:22:00.0,4.31,4.33,3.19,4.08,95.34311014450002,4.875,3.625
2020-02-09T00:23:00.0,4.01,4.11,3.37,4.01,95.6122740845,4.875,3.562
2020-02-09T00:24:00.0,3.85,4.23,3.25,3.94,95.66606858050001,4.812,3.5
2020-02-09T00:25:00.0,,,,,,,
2020-02-09T00:26:00.0,3.93,3.89,3.23,3.87,96.0959650445,4.75,3.5
2020-02-09T00:27:00.0,,,,,,,
2020-02-09T00:28:00.0,3.81,4.23,3.11,3.86,95.98856751250001,4.75,3.5
2020-02-09T00:29:00.0,4.05,4.07,3.33,3.86,95.98856751250001,4.687,3.5
2020-02-09T00:30:00.0,4.11,3.85,2.95,3.82,95.9348496005,4.687,3.5
2020-02-09T00:31:00.0,3.89,4.19,2.61,3.76,95.85424880000001,4.687,3.437
2020-02-09T00:32:00.0,3.79,3.71,2.77,3.72,95.98856751250001,4.687,3.375
2020-02-09T00:33:00.0,3.89,3.67,2.17,3.68,96.0959650445,4.687,3.375
2020-02-09T00:34:00.0,3.55,4.07,2.59,3.67,96.230140162,4.687,3.375
2020-02-09T00:35:00.0,3.71,3.97,2.77,3.68,96.31060694050001,4.687,3.437
2020-02-09T00:36:00.0,3.67,3.97,2.99,3.7,96.31060694050001,4.687,3.5
2020-02-09T00:37:00.0,3.71,3.85,2.59,3.72,96.12280645,4.687,3.5
2020-02-09T00:38:00.0,3.63,4.01,2.55,3.71,95.98856751250001,4.687,3.562
2020-02-09T00:39:00.0,3.53,4.01,2.91,3.72,95.82737548450001,4.687,3.625
2020-02-09T00:40:00.0,,,,,,,
2020-02-09T00:41:00.0,3.55,4.15,3.07,3.8,95.9348496005,4.75,3.687
2020-02-09T00:42:00.0,3.71,3.81,2.77,3.81,95.58537205,4.75,3.75
2020-02-09T00:43:00.0,3.85,3.81,2.65,3.84,95.50464680050001,4.812,3.812
2020-02-09T00:44:00.0,3.79,3.67,2.61,3.8,95.45081401250002,4.812,3.812
2020-02-09T00:45:00.0,3.67,4.01,2.81,3.8,95.47773200200001,4.875,3.812
2020-02-09T00:46:00.0,3.67,3.89,2.65,3.84,95.3969684605,4.875,3.812
2020-02-09T00:47:00.0,3.55,3.63,2.95,3.84,95.28923906450001,4.875,3.812
2020-02-09T00:48:00.0,3.71,3.85,2.99,3.85,95.28923906450001,4.937,3.875
2020-02-09T00:49:00.0,3.63,3.67,2.81,3.83,95.28923906450001,4.937,3.937
2020-02-09T00:50:00.0,3.55,3.81,2.47,3.79,95.2353552205,5,3.937
2020-02-09T00:51:00.0,3.55,3.67,2.61,3.76,95.2353552205,5.062,3.937
2020-02-09T00:52:00.0,3.67,3.67,2.65,3.78,95.423892832,5.062,4
2020-02-09T00:53:00.0,,,,,,,
2020-02-09T00:54:00.0,3.67,3.75,2.69,3.79,95.2353552205,5.187,4
2020-02-09T00:55:00.0,3.49,3.67,2.59,3.87,95.45081401250002,5.187,4
2020-02-09T00:56:00.0,3.33,3.75,2.51,3.86,95.3969684605,5.187,4
2020-02-09T00:57:00.0,3.33,3.85,2.55,3.84,95.208408512,5.187,3.937
2020-02-09T00:58:00.0,3.85,3.63,2.51,3.86,95.34311014450002,5.25,4
2020-02-09T00:59:00.0,3.53,3.71,2.91,3.9,95.28923906450001,5.25,4
2020-02-09T01:00:00.0,3.59,3.49,2.43,3.92,95.28923906450001,5.312,4
2020-02-09T01:01:00.0,3.45,3.59,2.55,3.85,95.2353552205,5.312,4
2020-02-09T01:02:00.0,3.67,3.67,2.73,3.77,95.423892832,5.312,3.875
2020-02-09T01:03:00.0,3.79,3.85,2.69,3.82,95.88111892450002,5.25,3.875
2020-02-09T01:04:00.0,3.85,4.19,2.99,3.87,96.04227266050002,5.187,3.812
2020-02-09T01:05:00.0,3.63,4.05,3.19,3.9,95.98856751250001,5.187,3.812
2020-02-09T01:06:00.0,3.53,3.71,2.89,3.92,95.82737548450001,5.187,3.812
2020-02-09T01:07:00.0,3.67,3.75,2.85,3.83,95.639172928,5.125,3.812
2020-02-09T01:08:00.0,3.71,3.67,2.61,3.82,95.82737548450001,5.125,3.75
2020-02-09T01:09:00.0,3.59,3.75,2.73,3.87,95.88111892450002,5.125,3.75
2020-02-09T01:10:00.0,3.85,4.01,2.65,3.89,95.88111892450002,5.062,3.75
2020-02-09T01:11:00.0,4.05,3.79,2.85,3.88,95.82737548450001,5.062,3.687
2020-02-09T01:12:00.0,3.85,3.71,2.95,3.92,95.80049897800001,5.062,3.75
2020-02-09T01:13:00.0,3.75,3.75,3.11,3.94,95.74673639200002,5.062,3.812
2020-02-09T01:14:00.0,3.89,4.15,2.77,4.01,95.6122740845,5.062,3.875
2020-02-09T01:15:00.0,3.89,4.05,3.07,3.94,95.3969684605,5.062,3.875
2020-02-09T01:16:00.0,3.85,4.15,3.07,3.94,95.50464680050001,5.062,3.812
2020-02-09T01:17:00.0,3.89,3.75,3.11,3.96,95.50464680050001,5.062,3.812
2020-02-09T01:18:00.0,3.71,3.85,2.99,3.98,95.45081401250002,5.062,3.875
2020-02-09T01:19:00.0,3.63,4.23,3.03,4.08,95.3969684605,5,3.937
2020-02-09T01:20:00.0,3.85,4.19,3.23,4.15,95.18145861250001,5.062,4.062
2020-02-09T01:21:00.0,3.81,4.37,3.07,4.26,94.85781092050001,5.125,4.125
2020-02-09T01:22:00.0,4.23,4.59,3.29,4.37,94.3714778125,5.125,4.312
2020-02-09T01:23:00.0,3.81,4.27,3.37,4.36,93.88411082050001,5.187,4.312
2020-02-09T01:24:00.0,4.59,4.19,3.15,4.34,93.74854761800002,5.187,4.25
2020-02-09T01:25:00.0,3.97,4.49,3.37,4.48,93.66717140450001,5.187,4.375
2020-02-09T01:26:00.0,4.27,4.41,3.71,4.54,93.28703601250001,5.25,4.437
2020-02-09T01:27:00.0,4.53,4.33,3.71,4.57,92.8518297245,5.312,4.5
2020-02-09T01:28:00.0,4.57,4.33,3.67,4.62,92.8518297245,5.375,4.5
2020-02-09T01:29:00.0,4.33,4.49,3.37,4.66,92.63392024450002,5.375,4.625
2020-02-09T01:30:00.0,4.31,4.45,3.19,4.62,92.4703541125,5.437,4.562
2020-02-09T01:31:00.0,4.81,4.41,3.79,4.74,92.63392024450002,5.437,4.625
2020-02-09T01:32:00.0,4.79,4.67,3.67,4.8,92.3066731045,5.5,4.687
2020-02-09T01:33:00.0,4.15,4.59,3.55,4.77,91.9789664605,5.562,4.75
2020-02-09T01:34:00.0,4.37,4.71,3.59,4.85,91.9789664605,5.562,4.75
2020-02-09T01:35:00.0,4.37,4.49,3.63,4.91,91.78759205,5.625,4.812
2020-02-09T01:36:00.0,4.49,4.67,3.85,4.97,91.7055265805,5.687,4.875
2020-02-09T01:37:00.0,4.59,4.81,3.75,4.94,91.43176760050001,5.75,4.937
2020-02-09T01:38:00.0,4.53,4.53,3.79,5,91.43176760050001,5.75,4.937
2020-02-09T01:39:00.0,4.53,4.63,3.67,5.08,91.1576895205,5.75,4.937
2020-02-09T01:40:00.0,4.37,4.57,3.71,5.06,91.04796894050001,5.812,5
2020-02-09T01:41:00.0,4.85,4.85,4.19,5.12,90.9930895045,5.812,5.125
2020-02-09T01:42:00.0,4.67,4.75,4.05,5.2,90.66354484450001,5.875,5.187
2020-02-09T01:43:00.0,4.93,4.97,3.89,5.28,90.49860020050001,5.937,5.187
2020-02-09T01:44:00.0,4.37,4.57,3.63,5.25,90.33354068050001,5.937,5.187
2020-02-09T01:45:00.0,4.85,4.79,3.97,5.24,90.25096784200001,6,5.187
2020-02-09T01:46:00.0,4.53,5.29,4.05,5.23,90.1683662845,6.062,5.187
2020-02-09T01:47:00.0,4.85,5.19,4.11,5.26,90.08573600800001,6.062,5.187
2020-02-09T01:48:00.0,5.07,4.67,4.07,5.24,89.83767286450001,6.062,5.187
2020-02-09T01:49:00.0,4.53,4.53,4.11,5.18,90.030633202,6.062,5.062
2020-02-09T01:50:00.0,4.97,4.67,3.45,5.07,90.19590332800001,6.062,4.937
2020-02-09T01:51:00.0,4.67,4.81,3.93,4.96,90.49860020050001,6,4.75
2020-02-09T01:52:00.0,4.45,4.63,3.79,4.98,90.93819730450001,5.937,4.75
2020-02-09T01:53:00.0,4.53,4.53,3.55,4.94,90.82837461250001,5.875,4.75
2020-02-09T01:54:00.0,4.33,4.59,3.41,4.86,90.93819730450001,5.812,4.625
2020-02-09T01:55:00.0,4.23,4.75,3.71,4.81,91.21253066450001,5.812,4.562
2020-02-09T01:56:00.0,4.75,4.49,4.05,4.79,91.23994645,5.75,4.562
2020-02-09T01:57:00.0,4.33,4.57,3.41,4.76,91.48654492450001,5.75,4.562
2020-02-09T01:58:00.0,4.79,4.71,3.49,4.76,91.65080031250001,5.687,4.5
2020-02-09T01:59:00.0,4.53,4.67,3.63,4.82,91.62343239200001,5.687,4.562
2020-02-09T02:00:00.0,4.49,4.53,3.75,4.76,91.3769775125,5.687,4.5
2020-02-09T02:01:00.0,4.31,4.67,4.07,4.72,91.51392880000002,5.625,4.5
2020-02-09T02:02:00.0,4.57,4.71,3.75,4.72,91.78759205,5.625,4.5
2020-02-09T02:03:00.0,4.57,4.31,3.29,4.78,91.678165042,5.625,4.562
2020-02-09T02:04:00.0,4.67,4.33,3.55,4.74,91.5960612805,5.625,4.5
2020-02-09T02:05:00.0,4.49,4.31,3.63,4.76,91.7055265805,5.562,4.5
2020-02-09T02:06:00.0,4.45,4.27,3.45,4.8,91.86962880050001,5.625,4.562
2020-02-09T02:07:00.0,4.49,4.49,3.55,4.81,91.5960612805,5.625,4.625
2020-02-09T02:08:00.0,4.71,4.71,3.93,4.8,91.43176760050001,5.625,4.625
2020-02-09T02:09:00.0,4.79,4.45,3.63,4.8,91.21253066450001,5.625,4.562
2020-02-09T02:10:00.0,4.37,4.59,3.49,4.82,91.349577682,5.625,4.562
2020-02-09T02:11:00.0,4.67,4.63,3.49,4.78,91.26735904450001,5.625,4.562
2020-02-09T02:12:00.0,4.71,4.19,3.63,4.8,91.26735904450001,5.625,4.562
2020-02-09T02:13:00.0,4.53,4.57,3.59,4.85,91.43176760050001,5.562,4.625
2020-02-09T02:14:00.0,4.57,4.75,3.85,4.9,91.23994645,5.625,4.687
2020-02-09T02:15:00.0,4.81,4.71,3.89,4.98,91.1576895205,5.687,4.75
2020-02-09T02:16:00.0,4.75,4.57,3.85,5,91.02053081800001,5.687,4.875
2020-02-09T02:17:00.0,4.59,4.79,3.89,5.03,90.82837461250001,5.687,4.937
2020-02-09T02:18:00.0,4.53,4.71,3.63,5,90.855835072,5.75,4.875
2020-02-09T02:19:00.0,4.93,4.63,3.81,5.02,91.1576895205,5.75,4.937
2020-02-09T02:20:00.0,4.97,4.89,4.11,5.3,92.08825306450001,5.812,5.187
2020-02-09T02:21:00.0,5.15,5.11,4.33,5.39,91.21253066450001,5.937,5.437
2020-02-09T02:22:00.0,5.11,5.37,4.59,5.46,90.9930895045,6,5.437
2020-02-09T02:23:00.0,5.27,5.33,4.53,5.75,91.5960612805,6.125,5.75
2020-02-09T02:24:00.0,5.45,5.85,4.71,5.96,91.51392880000002,6.187,6
2020-02-09T02:25:00.0,5.33,5.73,4.85,6.13,91.130264162,6.375,6.187
2020-02-09T02:26:00.0,5.67,5.95,5.01,6.24,90.52609895200001,6.5,6.312
2020-02-09T02:27:00.0,5.67,5.49,4.53,6.3,89.97551763200002,6.687,6.375
2020-02-09T02:28:00.0,5.85,5.41,4.75,6.34,89.67215384050002,6.75,6.375
2020-02-09T02:29:00.0,5.95,5.77,5.27,6.4,89.56174400450001,6.875,6.437
2020-02-09T02:30:00.0,5.51,5.67,4.97,6.44,89.06426792450002,6.937,6.5
2020-02-09T02:31:00.0,5.93,5.71,5.05,6.45,88.815142178,7,6.437
2020-02-09T02:32:00.0,,,,,,,
2020-02-09T02:33:00.0,5.71,5.51,4.81,6.32,88.427099488,7.062,6.437
2020-02-09T02:34:00.0,5.37,5.37,4.41,6.16,88.427099488,7.062,6.187
2020-02-09T02:35:00.0,5.63,5.49,4.41,6.09,88.7874455845,7.062,6.062
2020-02-09T02:36:00.0,5.11,5.05,4.33,5.94,88.64891475200001,7.062,5.875
2020-02-09T02:37:00.0,5.11,5.01,4.07,5.76,88.7874455845,7,5.687
2020-02-09T02:38:00.0,5.07,5.15,4.05,5.6,88.8982128125,6.937,5.562
2020-02-09T02:39:00.0,5.05,5.19,3.93,5.44,89.28549604450001,6.812,5.312
2020-02-09T02:40:00.0,5.01,5.07,4.01,5.43,89.83767286450001,6.687,5.312
2020-02-09T02:41:00.0,5.01,5.05,4.15,5.35,89.78251262050001,6.687,5.312
