TempPlant1,TempPlant5,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1,time
9.33,8.79,8.93,5.66,97.9937752,6.437,3.75,2020-01-24T00:00:00.0
8.79,8.97,9.01,5.66,98.12681751250001,6.437,3.75,2020-01-24T00:01:00.0
8.83,8.69,8.87,5.64,98.18001210050001,6.437,3.75,2020-01-24T00:02:00.0
8.79,8.69,8.93,5.6,98.23319392450001,6.437,3.75,2020-01-24T00:03:00.0
9.11,8.79,8.01,5.58,98.23319392450001,6.437,3.75,2020-01-24T00:04:00.0
8.79,8.87,9.01,5.58,98.33951928050001,6.437,3.75,2020-01-24T00:05:00.0
8.79,8.97,8.89,5.62,98.44579358050001,6.5,3.75,2020-01-24T00:06:00.0
8.75,9.11,8.93,5.63,98.55201682450001,6.5,3.75,2020-01-24T00:07:00.0
8.71,8.97,9.07,5.59,98.55201682450001,6.5,3.75,2020-01-24T00:08:00.0
8.79,9.15,9.03,5.59,98.55201682450001,6.5,3.75,2020-01-24T00:09:00.0
8.79,8.97,8.97,5.58,98.63165075200001,6.5,3.75,2020-01-24T00:10:00.0
9.19,8.69,8.71,5.58,98.7112559605,6.562,3.687,2020-01-24T00:11:00.0
8.71,8.89,8.83,5.58,98.7643101445,6.562,3.687,2020-01-24T00:12:00.0
8.75,9.15,8.83,5.56,98.7643101445,6.562,3.687,2020-01-24T00:13:00.0
9.21,9.01,8.89,5.48,98.7643101445,6.625,3.687,2020-01-24T00:14:00.0
8.89,8.97,8.89,5.48,98.81735156450002,6.625,3.625,2020-01-24T00:15:00.0
8.59,8.79,9.01,5.54,98.87038022050001,6.625,3.687,2020-01-24T00:16:00.0
8.87,8.69,8.97,5.54,98.92339611250001,6.625,3.687,2020-01-24T00:17:00.0
8.83,8.87,8.97,5.6,98.9763992405,6.625,3.687,2020-01-24T00:18:00.0
8.89,8.97,8.71,5.63,99.0823672045,6.625,3.625,2020-01-24T00:19:00.0
8.71,8.89,8.47,5.65,99.1353320405,6.625,3.687,2020-01-24T00:20:00.0
8.41,8.87,7.95,5.63,99.161809672,6.625,3.687,2020-01-24T00:21:00.0
8.97,8.89,8.79,5.62,99.2412234205,6.687,3.687,2020-01-24T00:22:00.0
8.79,8.87,8.61,5.64,99.29414996450001,6.625,3.687,2020-01-24T00:23:00.0
8.97,8.93,8.87,5.64,99.3470637445,6.625,3.687,2020-01-24T00:24:00.0
8.83,8.83,8.75,5.64,99.37351584800001,6.625,3.625,2020-01-24T00:25:00.0
8.65,8.55,8.93,5.63,99.42641048200001,6.625,3.687,2020-01-24T00:26:00.0
8.69,8.61,8.75,5.63,99.50572850050001,6.625,3.625,2020-01-24T00:27:00.0
9.03,9.01,7.97,5.65,99.50572850050001,6.625,3.625,2020-01-24T00:28:00.0
8.69,8.87,8.47,5.64,99.5585912245,6.625,3.625,2020-01-24T00:29:00.0
8.65,8.93,8.83,5.64,99.5850178,6.625,3.625,2020-01-24T00:30:00.0
8.79,8.79,8.79,5.59,99.61144118450001,6.625,3.625,2020-01-24T00:31:00.0
8.55,8.61,9.29,5.54,99.66427838050001,6.562,3.625,2020-01-24T00:32:00.0
8.93,8.55,8.75,5.5,99.71710281250002,6.562,3.562,2020-01-24T00:33:00.0
8.71,8.69,8.59,5.46,99.7699144805,6.562,3.5,2020-01-24T00:34:00.0
8.33,8.15,8.55,5.43,99.82271338450002,6.5,3.5,2020-01-24T00:35:00.0
8.58,8.24,8.55,5.369999999999999,99.8754931425,6.468500000000001,3.4375,2020-01-24T00:36:00.0
8.83,8.33,8.55,5.31,99.9282729005,6.437,3.375,2020-01-24T00:37:00.0
8.41,8.51,8.59,5.3,99.95465480200001,6.5,3.375,2020-01-24T00:38:00.0
8.37,8.41,8.41,5.28,99.9810335125,6.437,3.312,2020-01-24T00:39:00.0
8.41,8.37,8.45,5.29,100.00740903200001,6.437,3.312,2020-01-24T00:40:00.0
8.15,8.79,7.61,5.3,100.0337813605,6.437,3.312,2020-01-24T00:41:00.0
8.61,8.33,8.47,5.3,100.0865164445,6.437,3.312,2020-01-24T00:42:00.0
8.45,8.47,8.71,5.3,100.11287920000001,6.437,3.312,2020-01-24T00:43:00.0
8.45,8.55,8.27,5.31,100.11287920000001,6.437,3.375,2020-01-24T00:44:00.0
8.27,8.61,8.19,5.32,100.1392387645,6.437,3.375,2020-01-24T00:45:00.0
9.01,8.83,8.61,5.32,100.1392387645,6.375,3.375,2020-01-24T00:46:00.0
8.59,8.65,8.55,5.36,100.165595138,6.375,3.375,2020-01-24T00:47:00.0
8.47,8.65,8.61,5.37,100.165595138,6.375,3.375,2020-01-24T00:48:00.0
8.19,8.47,8.51,5.4,100.19194832050002,6.375,3.312,2020-01-24T00:49:00.0
8.59,8.29,8.45,5.42,100.19194832050002,6.437,3.375,2020-01-24T00:50:00.0
8.13,8.59,8.47,5.43,100.165595138,6.437,3.375,2020-01-24T00:51:00.0
8.71,8.59,7.45,5.38,100.19194832050002,6.437,3.375,2020-01-24T00:52:00.0
8.37,8.83,8.79,5.38,100.21829831200002,6.5,3.375,2020-01-24T00:53:00.0
8.51,8.59,8.65,5.42,100.21829831200002,6.5,3.375,2020-01-24T00:54:00.0
8.42,8.52,8.46,5.4399999999999995,100.23147171225001,6.531000000000001,3.4059999999999997,2020-01-24T00:55:00.0
8.33,8.45,8.27,5.46,100.24464511250001,6.562,3.437,2020-01-24T00:56:00.0
8.41,8.59,8.71,5.48,100.270988722,6.562,3.437,2020-01-24T00:57:00.0
8.65,8.45,8.69,5.46,100.24464511250001,6.562,3.437,2020-01-24T00:58:00.0
8.37,8.47,8.23,5.42,100.270988722,6.625,3.437,2020-01-24T00:59:00.0
8.37,8.71,8.51,5.4,100.29732914050001,6.625,3.5,2020-01-24T01:00:00.0
8.45,8.75,8.69,5.38,100.270988722,6.625,3.5,2020-01-24T01:01:00.0
8.97,8.87,8.87,5.36,100.24464511250001,6.625,3.562,2020-01-24T01:02:00.0
8.93,8.69,9.03,5.36,100.24464511250001,6.625,3.562,2020-01-24T01:03:00.0
9.91,9.61,9.67,5.38,100.21829831200002,6.687,3.562,2020-01-24T01:04:00.0
9.95,9.53,9.57,5.47,100.165595138,6.687,3.562,2020-01-24T01:05:00.0
9.6,9.39,9.379999999999999,5.525,100.12605579125,6.687,3.5934999999999997,2020-01-24T01:06:00.0
9.25,9.25,9.19,5.58,100.0865164445,6.687,3.625,2020-01-24T01:07:00.0
8.79,9.01,8.89,5.56,100.0337813605,6.687,3.687,2020-01-24T01:08:00.0
9.33,8.87,8.87,5.53,100.0337813605,6.687,3.687,2020-01-24T01:09:00.0
8.65,8.59,8.65,5.54,100.00740903200001,6.625,3.687,2020-01-24T01:10:00.0
8.65,8.71,8.51,5.51,100.0337813605,6.625,3.75,2020-01-24T01:11:00.0
9.03,9.11,9.01,5.52,100.06015049800001,6.625,3.812,2020-01-24T01:12:00.0
8.79,8.93,8.93,5.56,100.0865164445,6.625,3.812,2020-01-24T01:13:00.0
8.79,9.15,9.11,5.58,100.0865164445,6.562,3.875,2020-01-24T01:14:00.0
8.97,9.01,9.03,5.62,100.0865164445,6.562,3.937,2020-01-24T01:15:00.0
8.65,8.75,8.83,5.66,100.0337813605,6.562,3.937,2020-01-24T01:16:00.0
9.43,9.19,8.87,5.66,100.0337813605,6.562,3.937,2020-01-24T01:17:00.0
9.11,9.01,8.97,5.7,100.0337813605,6.562,4.0,2020-01-24T01:18:00.0
9.219999999999999,9.1,9.0,5.720000000000001,100.0074074365,6.562,4.0,2020-01-24T01:19:00.0
9.33,9.19,9.03,5.74,99.9810335125,6.562,4.0,2020-01-24T01:20:00.0
8.97,9.07,9.03,5.76,99.95465480200001,6.562,4.0,2020-01-24T01:21:00.0
9.47,9.25,9.61,5.74,99.9282729005,6.562,4.062,2020-01-24T01:22:00.0
9.33,9.39,9.39,5.76,99.9282729005,6.562,4.062,2020-01-24T01:23:00.0
9.11,9.25,9.15,5.79,99.9282729005,6.562,4.062,2020-01-24T01:24:00.0
9.03,9.35,9.21,5.78,99.8754995245,6.562,4.125,2020-01-24T01:25:00.0
9.19,8.93,8.89,5.79,99.8754995245,6.562,4.062,2020-01-24T01:26:00.0
9.39,9.03,9.63,5.76,99.8754995245,6.625,4.062,2020-01-24T01:27:00.0
9.19,9.43,9.29,5.78,99.8754995245,6.625,4.062,2020-01-24T01:28:00.0
8.93,9.33,9.29,5.78,99.82271338450002,6.625,4.062,2020-01-24T01:29:00.0
9.25,9.35,9.15,5.8,99.82271338450002,6.625,4.062,2020-01-24T01:30:00.0
9.15,9.19,9.11,5.8,99.79631552800001,6.687,4.062,2020-01-24T01:31:00.0
9.57,9.21,9.25,5.78,99.82271338450002,6.687,4.125,2020-01-24T01:32:00.0
9.49,9.33,9.35,5.79,99.7699144805,6.687,4.062,2020-01-24T01:33:00.0
9.25,9.49,9.21,5.83,99.79631552800001,6.75,4.062,2020-01-24T01:34:00.0
9.19,9.25,8.97,5.82,99.7699144805,6.75,4.125,2020-01-24T01:35:00.0
8.89,9.25,8.71,5.79,99.82271338450002,6.75,4.125,2020-01-24T01:36:00.0
9.57,9.19,9.19,5.8,99.82271338450002,6.75,4.187,2020-01-24T01:37:00.0
9.63,9.61,9.47,5.81,99.82271338450002,6.75,4.187,2020-01-24T01:38:00.0
9.15,9.21,9.53,5.85,99.82271338450002,6.687,4.187,2020-01-24T01:39:00.0
9.01,9.33,9.35,5.87,99.82271338450002,6.687,4.187,2020-01-24T01:40:00.0
9.11,9.03,9.43,5.88,99.79631552800001,6.687,4.25,2020-01-24T01:41:00.0
9.47,9.39,9.43,5.88,99.82271338450002,6.75,4.25,2020-01-24T01:42:00.0
9.11,9.47,9.21,5.92,99.82271338450002,6.75,4.25,2020-01-24T01:43:00.0
9.29,9.25,9.47,5.93,99.84910805000001,6.75,4.25,2020-01-24T01:44:00.0
9.07,9.35,9.25,6.0,99.90188780800001,6.812,4.25,2020-01-24T01:45:00.0
9.21,9.29,9.49,6.04,99.9282729005,6.812,4.25,2020-01-24T01:46:00.0
9.71,9.29,9.57,6.04,99.95465480200001,6.812,4.187,2020-01-24T01:47:00.0
9.07,9.25,9.57,6.04,99.9810335125,6.812,4.125,2020-01-24T01:48:00.0
9.25,9.29,9.29,6.04,100.0337813605,6.812,4.125,2020-01-24T01:49:00.0
9.43,9.25,9.25,6.01,100.0337813605,6.75,4.125,2020-01-24T01:50:00.0
8.79,8.89,9.03,5.96,100.1392387645,6.75,4.125,2020-01-24T01:51:00.0
9.21,9.21,9.07,5.91,100.19194832050002,6.687,4.0,2020-01-24T01:52:00.0
9.01,9.47,9.43,5.89,100.24464511250001,6.687,3.937,2020-01-24T01:53:00.0
8.71,9.07,9.01,5.86,100.29732914050001,6.687,3.937,2020-01-24T01:54:00.0
8.71,8.75,8.71,5.76,100.29732914050001,6.625,3.812,2020-01-24T01:55:00.0
8.01,8.75,9.07,5.68,100.37633125,6.562,3.687,2020-01-24T01:56:00.0
8.93,8.23,8.93,5.54,100.428983368,6.562,3.562,2020-01-24T01:57:00.0
8.61,8.75,8.69,5.46,100.50793761250002,6.5,3.5,2020-01-24T01:58:00.0
8.69,8.51,8.55,5.39,100.56055782050001,6.375,3.375,2020-01-24T01:59:00.0
8.33,8.59,8.45,5.3,100.6657599445,6.375,3.312,2020-01-24T02:00:00.0
8.51,8.71,8.23,5.24,100.7183418605,6.312,3.25,2020-01-24T02:01:00.0
8.59,8.59,8.37,5.16,100.7709110125,6.25,3.187,2020-01-24T02:02:00.0
7.83,7.79,8.41,5.12,100.82346740050001,6.25,3.125,2020-01-24T02:03:00.0
8.15,8.41,8.41,5.06,100.87601102450002,6.25,3.062,2020-01-24T02:04:00.0
7.77,7.79,8.19,5.02,100.98105998050002,6.125,3.0,2020-01-24T02:05:00.0
7.97,8.09,8.29,4.98,101.0335653125,6.125,3.0,2020-01-24T02:06:00.0
8.47,8.19,8.09,4.96,101.11229937800002,6.062,3.0,2020-01-24T02:07:00.0
8.51,7.87,8.09,4.96,101.16477280000001,6.062,3.0,2020-01-24T02:08:00.0
8.09,8.71,8.47,4.96,101.21723345800001,6.062,3.0,2020-01-24T02:09:00.0
7.91,8.33,7.83,5.0,101.2434590005,6.062,3.0,2020-01-24T02:10:00.0
7.73,8.27,8.15,4.96,101.29590051250001,6.062,3.062,2020-01-24T02:11:00.0
8.13,8.13,8.33,4.92,101.34832926050001,6.062,3.062,2020-01-24T02:12:00.0
8.09,8.37,8.01,4.98,101.4007452445,6.062,3.0,2020-01-24T02:13:00.0
7.83,8.23,8.09,4.98,101.42694845,6.062,3.062,2020-01-24T02:14:00.0
8.29,8.29,7.95,4.98,101.4531484645,6.062,3.062,2020-01-24T02:15:00.0
8.23,8.29,8.09,5.01,101.50553892050002,6.062,3.062,2020-01-24T02:16:00.0
8.65,8.33,8.37,4.99,101.50553892050002,6.062,3.062,2020-01-24T02:17:00.0
8.29,8.69,8.23,5.03,101.55791661250001,6.062,3.062,2020-01-24T02:18:00.0
8.1,8.51,8.16,5.03,101.57100864225,6.062,3.0934999999999997,2020-01-24T02:19:00.0
7.91,8.33,8.09,5.03,101.584100672,6.062,3.125,2020-01-24T02:20:00.0
8.27,8.09,8.27,5.01,101.636459218,6.062,3.125,2020-01-24T02:21:00.0
8.51,8.45,8.33,4.98,101.66263370450001,6.062,3.125,2020-01-24T02:22:00.0
8.399999999999999,8.36,8.309999999999999,5.02,101.6888034045,6.093500000000001,3.125,2020-01-24T02:23:00.0
8.29,8.27,8.29,5.06,101.7149731045,6.125,3.125,2020-01-24T02:24:00.0
8.19,8.29,8.37,5.08,101.7149731045,6.125,3.125,2020-01-24T02:25:00.0
7.87,8.19,8.09,5.09,101.7149731045,6.187,3.125,2020-01-24T02:26:00.0
8.37,8.29,8.23,5.06,101.7149731045,6.25,3.187,2020-01-24T02:27:00.0
8.59,8.47,8.55,5.06,101.76729974050001,6.25,3.187,2020-01-24T02:28:00.0
8.41,8.47,8.87,5.14,101.76729974050001,6.25,3.187,2020-01-24T02:29:00.0
8.51,8.15,8.33,5.17,101.79345827200001,6.312,3.187,2020-01-24T02:30:00.0
8.15,8.19,8.29,5.18,101.76729974050001,6.312,3.25,2020-01-24T02:31:00.0
8.75,8.45,8.13,5.18,101.8196136125,6.312,3.25,2020-01-24T02:32:00.0
8.55,8.51,8.55,5.2,101.8196136125,6.312,3.187,2020-01-24T02:33:00.0
8.27,8.65,8.05,5.17,101.845765762,6.312,3.187,2020-01-24T02:34:00.0
7.97,8.33,8.23,5.16,101.87191472050002,6.312,3.187,2020-01-24T02:35:00.0
8.12,8.469999999999999,8.41,5.140000000000001,101.89805889250002,6.312,3.187,2020-01-24T02:36:00.0
8.27,8.61,8.59,5.12,101.9242030645,6.312,3.187,2020-01-24T02:37:00.0
