TempPlant1,TempPlant5,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1,time
8.37,8.23,8.13,5.42,100.56055782050001,6.562,3.062,2020-01-24T06:05:00.0
8.23,7.97,8.05,5.45,100.56055782050001,6.562,3.062,2020-01-24T06:06:00.0
7.91,8.15,7.79,5.44,100.61316526450001,6.5,3.062,2020-01-24T06:07:00.0
8.09,8.09,7.73,5.46,100.6657599445,6.562,3.062,2020-01-24T06:08:00.0
7.83,7.79,7.61,5.55,100.7183418605,6.5,3.062,2020-01-24T06:09:00.0
7.65,7.79,7.59,5.59,100.7709110125,6.5,3.062,2020-01-24T06:10:00.0
7.87,7.79,7.19,5.58,100.6657599445,6.5,3.187,2020-01-24T06:11:00.0
7.27,7.45,7.05,5.6,100.61316526450001,6.562,3.25,2020-01-24T06:12:00.0
7.19,7.09,7.01,5.58,100.56055782050001,6.562,3.25,2020-01-24T06:13:00.0
7.01,7.05,6.91,5.58,100.58686313800001,6.625,3.25,2020-01-24T06:14:00.0
6.91,6.91,6.61,5.5,100.56055782050001,6.625,3.25,2020-01-24T06:15:00.0
7.05,6.75,6.29,5.5,100.56055782050001,6.625,3.187,2020-01-24T06:16:00.0
7.37,6.87,6.17,5.54,100.50793761250002,6.625,3.125,2020-01-24T06:17:00.0
6.69,6.83,5.89,5.5,100.481622722,6.625,3.062,2020-01-24T06:18:00.0
6.39,6.73,6.13,5.45,100.4553046405,6.625,3.0,2020-01-24T06:19:00.0
6.53,6.57,5.89,5.46,100.4553046405,6.625,3.0,2020-01-24T06:20:00.0
6.57,6.33,5.85,5.4,100.4553046405,6.625,3.0,2020-01-24T06:21:00.0
6.53,6.35,5.81,5.44,100.481622722,6.625,3.0,2020-01-24T06:22:00.0
6.39,6.33,5.77,5.43,100.428983368,6.625,2.937,2020-01-24T06:23:00.0
6.43,6.39,5.63,5.42,100.4553046405,6.625,2.937,2020-01-24T06:24:00.0
6.41,6.26,5.699999999999999,5.4,100.37631689050001,6.625,2.937,2020-01-24T06:25:00.0
6.39,6.13,5.77,5.38,100.29732914050001,6.625,2.937,2020-01-24T06:26:00.0
6.39,6.11,5.73,5.25,100.29732914050001,6.625,2.937,2020-01-24T06:27:00.0
6.13,6.21,5.89,5.2,100.40265890450002,6.625,2.937,2020-01-24T06:28:00.0
5.85,6.35,5.81,5.12,100.481622722,6.625,2.937,2020-01-24T06:29:00.0
6.43,6.13,5.71,5.16,100.50793761250002,6.687,2.937,2020-01-24T06:30:00.0
5.99,6.21,5.73,5.19,100.58686313800001,6.687,3.0,2020-01-24T06:31:00.0
6.29,6.25,5.59,5.22,100.50793761250002,6.687,3.062,2020-01-24T06:32:00.0
6.13,6.25,5.63,5.24,100.4553046405,6.687,3.062,2020-01-24T06:33:00.0
6.21,5.93,5.81,5.34,100.61316526450001,6.687,3.062,2020-01-24T06:34:00.0
6.51,5.95,5.67,5.44,100.69205249800001,6.687,3.062,2020-01-24T06:35:00.0
6.33,5.99,5.49,5.53,100.7183418605,6.75,3.125,2020-01-24T06:36:00.0
6.23,6.1,5.67,5.585,100.66575356250002,6.75,3.0934999999999997,2020-01-24T06:37:00.0
6.13,6.21,5.85,5.64,100.61316526450001,6.75,3.062,2020-01-24T06:38:00.0
6.47,6.07,5.71,5.64,100.61316526450001,6.75,3.125,2020-01-24T06:39:00.0
6.21,5.99,5.67,5.65,100.56055782050001,6.75,3.125,2020-01-24T06:40:00.0
6.21,5.89,5.59,5.68,100.50793761250002,6.812,3.062,2020-01-24T06:41:00.0
6.11,5.89,5.67,5.68,100.50793761250002,6.75,3.125,2020-01-24T06:42:00.0
6.43,5.95,5.71,5.68,100.4553046405,6.812,3.125,2020-01-24T06:43:00.0
6.13,5.67,5.77,5.69,100.40265890450002,6.75,3.125,2020-01-24T06:44:00.0
6.13,5.73,5.77,5.75,100.40265890450002,6.75,3.187,2020-01-24T06:45:00.0
6.33,5.89,5.81,5.74,100.37633125,6.75,3.187,2020-01-24T06:46:00.0
6.33,5.77,5.77,5.7,100.35000040450001,6.75,3.187,2020-01-24T06:47:00.0
5.95,5.81,5.85,5.76,100.35000040450001,6.75,3.187,2020-01-24T06:48:00.0
6.43,5.89,5.77,5.82,100.323666368,6.75,3.187,2020-01-24T06:49:00.0
6.21,5.73,5.67,5.82,100.24464511250001,6.687,3.125,2020-01-24T06:50:00.0
6.25,5.85,5.71,5.76,100.19194832050002,6.75,3.062,2020-01-24T06:51:00.0
6.53,5.99,5.81,5.76,100.11287920000001,6.75,3.0,2020-01-24T06:52:00.0
6.13,6.03,5.81,5.84,100.1392387645,6.75,3.0,2020-01-24T06:53:00.0
6.33,5.85,5.77,5.88,100.0337813605,6.75,3.0,2020-01-24T06:54:00.0
6.33,5.99,5.77,5.88,99.7699144805,6.75,3.0,2020-01-24T06:55:00.0
6.53,5.99,5.89,5.88,99.66427838050001,6.812,3.0,2020-01-24T06:56:00.0
6.35,6.17,5.77,5.92,99.71710281250002,6.75,3.062,2020-01-24T06:57:00.0
6.57,5.89,5.81,6.06,99.8754995245,6.812,3.125,2020-01-24T06:58:00.0
6.57,6.29,6.03,6.14,99.7699144805,6.812,3.187,2020-01-24T06:59:00.0
6.720000000000001,6.29,6.01,6.22,99.63782149050002,6.812,3.2184999999999997,2020-01-24T07:00:00.0
6.87,6.29,5.99,6.3,99.50572850050001,6.812,3.25,2020-01-24T07:01:00.0
6.65,6.39,6.03,6.14,99.2412234205,6.875,3.25,2020-01-24T07:02:00.0
6.57,6.57,5.99,5.96,98.9763992405,6.875,3.25,2020-01-24T07:03:00.0
6.65,6.53,6.11,5.89,99.0823672045,6.875,3.312,2020-01-24T07:04:00.0
6.73,6.53,6.13,5.86,99.1353320405,6.875,3.312,2020-01-24T07:05:00.0
6.65,6.13,6.21,5.82,99.1882841125,6.937,3.375,2020-01-24T07:06:00.0
6.75,6.25,6.33,5.84,99.2412234205,6.875,3.375,2020-01-24T07:07:00.0
6.87,6.51,6.43,5.99,99.45285301250001,6.937,3.375,2020-01-24T07:08:00.0
7.11,6.51,6.33,6.2,99.61144118450001,6.937,3.375,2020-01-24T07:09:00.0
6.91,6.57,6.03,6.34,99.45285301250001,7.0,3.437,2020-01-24T07:10:00.0
6.97,6.57,6.03,6.4,99.2412234205,7.0,3.437,2020-01-24T07:11:00.0
6.87,6.69,6.43,6.38,98.87038022050001,7.062,3.5,2020-01-24T07:12:00.0
6.87,6.47,6.17,6.5,99.02938960450001,7.062,3.562,2020-01-24T07:13:00.0
6.69,6.51,6.07,6.72,98.9763992405,7.062,3.625,2020-01-24T07:14:00.0
6.69,6.75,6.29,6.72,98.6581890125,7.125,3.625,2020-01-24T07:15:00.0
6.83,6.47,6.11,6.75,98.55201682450001,7.187,3.625,2020-01-24T07:16:00.0
6.87,6.67,6.34,6.6899999999999995,98.28620343450001,7.218500000000001,3.625,2020-01-24T07:17:00.0
6.91,6.87,6.57,6.63,98.0203900445,7.25,3.625,2020-01-24T07:18:00.0
7.29,6.97,6.65,6.56,97.83401912200002,7.25,3.625,2020-01-24T07:19:00.0
6.91,6.87,6.75,6.58,98.0203900445,7.312,3.625,2020-01-24T07:20:00.0
6.93,6.91,6.65,6.56,97.96715716450001,7.375,3.625,2020-01-24T07:21:00.0
7.01,6.83,6.73,6.54,98.12681751250001,7.375,3.562,2020-01-24T07:22:00.0
6.83,7.11,6.91,6.5,98.0203900445,7.437,3.5,2020-01-24T07:23:00.0
7.45,6.75,6.75,6.62,98.04700169800002,7.437,3.5,2020-01-24T07:24:00.0
7.05,7.23,6.75,6.66,97.91391152050001,7.437,3.437,2020-01-24T07:25:00.0
7.09,7.27,6.69,6.72,97.80738194050001,7.5,3.437,2020-01-24T07:26:00.0
7.27,7.15,6.75,6.84,97.80738194050001,7.562,3.5,2020-01-24T07:27:00.0
7.27,7.29,6.87,6.83,97.59416961250001,7.625,3.5,2020-01-24T07:28:00.0
7.33,7.23,6.83,6.8,97.3273670125,7.625,3.5,2020-01-24T07:29:00.0
7.17,7.26,6.970000000000001,6.779999999999999,97.2739618185,7.656000000000001,3.5309999999999997,2020-01-24T07:30:00.0
7.01,7.29,7.11,6.76,97.2205566245,7.687,3.562,2020-01-24T07:31:00.0
7.19,7.37,7.29,6.7,97.2205566245,7.687,3.562,2020-01-24T07:32:00.0
6.93,7.27,6.75,6.72,97.3273670125,7.75,3.5,2020-01-24T07:33:00.0
7.41,7.27,7.19,6.8,97.27396820050001,7.75,3.5,2020-01-24T07:34:00.0
7.01,7.05,7.09,6.86,97.2205566245,7.75,3.5,2020-01-24T07:35:00.0
7.55,7.27,7.15,6.86,96.9265648,7.75,3.5,2020-01-24T07:36:00.0
6.93,7.51,7.09,6.82,96.73927806050001,7.812,3.5,2020-01-24T07:37:00.0
7.19,7.47,7.29,6.85,96.4714543405,7.875,3.5,2020-01-24T07:38:00.0
7.29,7.51,7.37,6.86,96.337422818,7.875,3.5,2020-01-24T07:39:00.0
7.55,7.59,7.15,6.94,96.4714543405,7.875,3.562,2020-01-24T07:40:00.0
7.45,7.61,7.37,6.94,96.31060694050001,7.937,3.562,2020-01-24T07:41:00.0
7.83,7.87,7.51,7.02,96.14964466450002,7.937,3.562,2020-01-24T07:42:00.0
7.83,8.09,7.69,7.16,95.907985858,7.937,3.562,2020-01-24T07:43:00.0
8.05,8.15,7.97,7.29,95.7198503125,7.937,3.562,2020-01-24T07:44:00.0
8.09,8.09,8.09,7.42,95.47773200200001,7.937,3.562,2020-01-24T07:45:00.0
7.97,8.37,8.23,7.52,95.34311014450002,8.0,3.687,2020-01-24T07:46:00.0
8.29,8.29,8.23,7.7,95.100589768,8.062,3.75,2020-01-24T07:47:00.0
8.29,8.41,8.33,7.81,94.830819538,8.062,3.812,2020-01-24T07:48:00.0
8.29,8.51,8.23,7.92,94.722822098,8.125,3.875,2020-01-24T07:49:00.0
8.51,8.41,8.19,7.96,94.34442899200002,8.187,3.875,2020-01-24T07:50:00.0
8.29,8.51,8.37,8.05,94.1549979005,8.25,3.937,2020-01-24T07:51:00.0
8.09,8.51,8.65,8.0,94.1549979005,8.312,3.937,2020-01-24T07:52:00.0
8.45,8.89,8.55,8.05,94.1008460125,8.375,3.937,2020-01-24T07:53:00.0
8.37,8.61,8.65,8.16,93.88411082050001,8.437,4.062,2020-01-24T07:54:00.0
8.65,8.71,8.69,8.18,93.3957099445,8.562,4.062,2020-01-24T07:55:00.0
8.83,8.75,8.83,8.31,93.34137936050001,8.562,4.062,2020-01-24T07:56:00.0
9.15,8.79,8.69,8.42,93.28703601250001,8.625,4.125,2020-01-24T07:57:00.0
9.07,9.07,8.79,8.52,92.770137602,8.625,4.125,2020-01-24T07:58:00.0
8.79,8.87,9.15,8.54,92.52488892050002,8.75,4.187,2020-01-24T07:59:00.0
8.79,8.51,8.71,8.62,92.552151538,8.75,4.187,2020-01-24T08:00:00.0
9.19,8.83,8.55,8.74,92.9062751845,8.812,4.25,2020-01-24T08:01:00.0
9.07,8.97,8.69,8.92,92.93349312800001,8.875,4.187,2020-01-24T08:02:00.0
9.33,8.61,8.65,9.2,93.1239293845,8.937,4.312,2020-01-24T08:03:00.0
9.75,8.97,8.97,9.49,92.6884167605,9.0,4.375,2020-01-24T08:04:00.0
9.47,8.69,9.15,9.7,92.08825306450001,9.062,4.375,2020-01-24T08:05:00.0
9.89,8.45,9.25,9.79,91.10283561250002,9.125,4.312,2020-01-24T08:06:00.0
9.35,8.87,8.83,9.84,91.1576895205,9.125,4.312,2020-01-24T08:07:00.0
9.61,8.93,9.07,9.99,91.26735904450001,9.187,4.312,2020-01-24T08:08:00.0
9.81,8.93,8.79,10.16,91.26735904450001,9.25,4.312,2020-01-24T08:09:00.0
9.89,8.93,9.25,10.01,88.98125472800001,9.25,4.437,2020-01-24T08:10:00.0
9.61,9.03,9.15,9.68,87.73261050050002,9.312,4.437,2020-01-24T08:11:00.0
