TempPlant2,TempPlant3,TempPlant4,Air_temp_loc,Humedity,air_temp,Ambient_1,time
8.13,8.15,7.87,5.27,102.86321061250001,6.562,3.062,2020-01-24T06:05:00.0
8.19,8.01,8.23,5.3,102.86321061250001,6.562,3.062,2020-01-24T06:06:00.0
8.33,8.23,7.61,5.3,102.86321061250001,6.5,3.062,2020-01-24T06:07:00.0
8.01,7.83,7.91,5.32,102.86321061250001,6.562,3.062,2020-01-24T06:08:00.0
8.15,7.61,7.59,5.38,102.889235122,6.5,3.062,2020-01-24T06:09:00.0
7.97,7.69,7.51,5.35,102.889235122,6.5,3.062,2020-01-24T06:10:00.0
7.79,7.41,7.51,5.38,102.9152564405,6.5,3.187,2020-01-24T06:11:00.0
7.51,7.69,7.33,5.4,102.9152564405,6.562,3.25,2020-01-24T06:12:00.0
7.37,7.69,7.55,5.41,102.9672895045,6.562,3.25,2020-01-24T06:13:00.0
7.58,7.42,7.5,5.5,102.9672895045,6.625,3.25,2020-01-24T06:14:00.0
7.79,7.15,7.45,5.48,102.9672895045,6.625,3.25,2020-01-24T06:15:00.0
7.37,7.33,6.87,5.5,102.9672895045,6.625,3.187,2020-01-24T06:16:00.0
7.41,7.05,7.19,5.44,103.01930980450001,6.625,3.125,2020-01-24T06:17:00.0
7.59,7.19,6.93,5.4,103.01930980450001,6.625,3.062,2020-01-24T06:18:00.0
7.23,7.15,7.19,5.38,103.01930980450001,6.625,3.0,2020-01-24T06:19:00.0
7.37,7.15,6.87,5.33,103.01930980450001,6.625,3.0,2020-01-24T06:20:00.0
7.09,6.79,7.05,5.32,103.0713173405,6.625,3.0,2020-01-24T06:21:00.0
7.33,6.93,7.05,5.28,103.0713173405,6.625,3.0,2020-01-24T06:22:00.0
7.23,7.05,6.97,5.26,103.0713173405,6.625,2.937,2020-01-24T06:23:00.0
7.37,7.01,6.87,5.23,103.0713173405,6.625,2.937,2020-01-24T06:24:00.0
7.11,6.75,7.27,5.29,103.097316322,-0.062,2.937,2020-01-24T06:25:00.0
6.91,7.01,6.79,5.23,103.12331211250002,6.625,2.937,2020-01-24T06:26:00.0
6.75,6.17,6.51,5.16,103.12331211250002,6.625,2.937,2020-01-24T06:27:00.0
7.23,6.33,6.83,5.09,103.17529412050001,6.625,2.937,2020-01-24T06:28:00.0
6.75,6.43,6.65,5.03,103.17529412050001,6.625,2.937,2020-01-24T06:29:00.0
6.91,6.53,6.75,5.01,103.17529412050001,6.687,2.937,2020-01-24T06:30:00.0
6.97,6.61,6.29,4.95,103.17529412050001,6.687,3.0,2020-01-24T06:31:00.0
6.87,6.29,6.65,5.01,103.201280338,6.687,3.062,2020-01-24T06:32:00.0
6.87,6.79,6.79,5.06,103.2272633645,6.687,3.062,2020-01-24T06:33:00.0
6.79,6.21,6.69,5.15,103.2272633645,6.687,3.062,2020-01-24T06:34:00.0
6.97,6.73,6.57,5.18,103.2272633645,6.687,3.062,2020-01-24T06:35:00.0
6.61,6.61,6.65,5.22,103.17529412050001,6.75,3.125,2020-01-24T06:36:00.0
6.720000000000001,6.390000000000001,6.67,5.234999999999999,103.17529412050001,6.75,3.0934999999999997,2020-01-24T06:37:00.0
6.83,6.17,6.69,5.25,103.17529412050001,6.75,3.062,2020-01-24T06:38:00.0
6.79,6.43,6.47,5.27,103.17529412050001,6.75,3.125,2020-01-24T06:39:00.0
6.83,6.11,6.91,5.23,103.149304712,6.75,3.125,2020-01-24T06:40:00.0
6.39,6.03,6.65,5.22,103.17529412050001,6.812,3.062,2020-01-24T06:41:00.0
6.75,6.35,6.53,5.24,103.17529412050001,6.75,3.125,2020-01-24T06:42:00.0
6.53,6.21,6.51,5.22,103.17529412050001,6.812,3.125,2020-01-24T06:43:00.0
6.53,6.17,6.75,5.26,103.17529412050001,6.75,3.125,2020-01-24T06:44:00.0
6.51,6.33,6.73,5.3,103.17529412050001,6.75,3.187,2020-01-24T06:45:00.0
6.73,6.21,6.87,5.33,103.17529412050001,6.75,3.187,2020-01-24T06:46:00.0
6.53,6.25,6.53,5.34,103.17529412050001,6.75,3.187,2020-01-24T06:47:00.0
6.83,6.29,6.53,5.32,103.149304712,6.75,3.187,2020-01-24T06:48:00.0
6.43,6.39,6.69,5.35,103.149304712,6.75,3.187,2020-01-24T06:49:00.0
