TempPlant2,TempPlant3,TempPlant5,Air_temp_loc,Humedity,air_temp,Ambient_1,time
4.67,4.89,4.41,4.43,105.57836125,6.562,3.062,2020-01-24T06:05:00.0
5.05,5.27,5.29,4.48,105.55266860450001,6.562,3.062,2020-01-24T06:06:00.0
4.89,5.15,5.71,4.48,105.55266860450001,6.5,3.062,2020-01-24T06:07:00.0
4.85,5.33,4.97,4.52,105.55266860450001,6.562,3.062,2020-01-24T06:08:00.0
5.01,5.11,4.45,4.56,105.55266860450001,6.5,3.062,2020-01-24T06:09:00.0
4.57,5.55,4.93,4.54,105.55266860450001,6.5,3.062,2020-01-24T06:10:00.0
5.11,5.29,5.05,4.52,105.55266860450001,6.5,3.187,2020-01-24T06:11:00.0
5.05,5.55,4.79,4.48,105.6554200405,6.562,3.25,2020-01-24T06:12:00.0
4.93,5.63,5.45,4.48,105.70677661250002,6.562,3.25,2020-01-24T06:13:00.0
4.97,5.29,5.11,4.43,105.7581204205,6.625,3.25,2020-01-24T06:14:00.0
4.97,5.59,5.45,4.36,105.7581204205,6.625,3.25,2020-01-24T06:15:00.0
5.15,5.11,5.29,4.32,105.80945146450001,6.625,3.187,2020-01-24T06:16:00.0
5.05,5.51,5.89,4.32,105.80945146450001,6.625,3.125,2020-01-24T06:17:00.0
5.07,5.49,5.33,4.28,105.8607697445,6.625,3.062,2020-01-24T06:18:00.0
4.89,5.55,5.05,4.24,105.83511220000001,6.625,3.0,2020-01-24T06:19:00.0
5.07,5.77,5.37,4.25,105.8607697445,6.625,3.0,2020-01-24T06:20:00.0
5.33,5.45,5.15,4.2,105.8607697445,6.625,3.0,2020-01-24T06:21:00.0
4.81,5.41,4.71,4.16,105.83511220000001,6.625,3.0,2020-01-24T06:22:00.0
5.07,5.19,5.11,4.16,105.8607697445,6.625,2.937,2020-01-24T06:23:00.0
5.01,5.71,4.97,4.16,105.80945146450001,6.625,2.937,2020-01-24T06:24:00.0
4.949999999999999,5.3,5.24,4.17,105.83511060450002,6.625,2.937,2020-01-24T06:25:00.0
4.89,4.89,5.51,4.18,105.8607697445,6.625,2.937,2020-01-24T06:26:00.0
5.15,5.49,5.41,4.23,105.8607697445,6.625,2.937,2020-01-24T06:27:00.0
4.93,5.63,5.33,4.22,105.8607697445,6.625,2.937,2020-01-24T06:28:00.0
5.23,5.37,4.37,4.23,105.8607697445,6.625,2.937,2020-01-24T06:29:00.0
5.27,5.49,4.97,4.23,105.80945146450001,6.687,2.937,2020-01-24T06:30:00.0
5.07,5.67,5.49,4.28,105.8607697445,6.687,3.0,2020-01-24T06:31:00.0
5.37,5.71,5.77,4.26,105.80945146450001,6.687,3.062,2020-01-24T06:32:00.0
5.23,5.63,5.49,4.29,105.80945146450001,6.687,3.062,2020-01-24T06:33:00.0
5.23,5.71,5.41,4.32,105.7581204205,6.687,3.062,2020-01-24T06:34:00.0
5.15,5.95,4.97,4.35,105.73245011200001,6.687,3.062,2020-01-24T06:35:00.0
5.05,5.27,5.49,4.4,105.70677661250002,6.75,3.125,2020-01-24T06:36:00.0
5.05,5.41,5.390000000000001,4.42,105.65541365850001,6.75,3.0934999999999997,2020-01-24T06:37:00.0
5.05,5.55,5.29,4.44,105.6040507045,6.75,3.062,2020-01-24T06:38:00.0
5.11,5.45,5.19,4.44,105.6040507045,6.75,3.125,2020-01-24T06:39:00.0
5.27,5.81,5.45,4.46,105.6040507045,6.75,3.125,2020-01-24T06:40:00.0
4.85,5.67,5.19,4.45,105.55266860450001,6.812,3.062,2020-01-24T06:41:00.0
5.27,5.81,5.33,4.45,105.55266860450001,6.75,3.125,2020-01-24T06:42:00.0
5.07,5.59,4.97,4.42,105.55266860450001,6.812,3.125,2020-01-24T06:43:00.0
5.07,5.51,5.63,4.46,105.55266860450001,6.75,3.125,2020-01-24T06:44:00.0
5.29,5.59,4.67,4.48,105.55266860450001,6.75,3.187,2020-01-24T06:45:00.0
5.07,5.55,5.27,4.46,105.50127374050001,6.75,3.187,2020-01-24T06:46:00.0
5.23,5.71,5.27,4.48,105.50127374050001,6.75,3.187,2020-01-24T06:47:00.0
5.29,5.37,5.11,4.51,105.52697276800001,6.75,3.187,2020-01-24T06:48:00.0
5.29,5.07,5.23,4.54,105.52697276800001,6.75,3.187,2020-01-24T06:49:00.0
4.97,5.37,5.55,4.56,105.50127374050001,6.687,3.125,2020-01-24T06:50:00.0
5.33,5.55,5.59,4.54,105.50127374050001,6.75,3.062,2020-01-24T06:51:00.0
5.19,5.55,4.85,4.51,105.47557152200001,6.75,3.0,2020-01-24T06:52:00.0
5.01,5.49,5.77,4.48,105.44986611250002,6.75,3.0,2020-01-24T06:53:00.0
5.27,5.77,5.41,4.47,105.3984457205,6.75,3.0,2020-01-24T06:54:00.0
5.49,5.63,5.51,4.47,105.3984457205,6.75,3.0,2020-01-24T06:55:00.0
5.41,5.71,5.01,4.42,105.3984457205,6.812,3.0,2020-01-24T06:56:00.0
5.45,5.81,5.89,4.49,105.3984457205,6.75,3.062,2020-01-24T06:57:00.0
5.59,5.93,5.71,4.58,105.42415751200002,6.812,3.125,2020-01-24T06:58:00.0
5.51,5.71,5.51,4.65,105.3984457205,6.812,3.187,2020-01-24T06:59:00.0
5.77,6.21,5.81,4.64,105.3984457205,6.875,3.187,2020-01-24T07:00:00.0
5.63,6.25,5.89,4.7,105.3984457205,6.812,3.25,2020-01-24T07:01:00.0
5.99,5.93,6.07,4.75,105.44986611250002,6.875,3.25,2020-01-24T07:02:00.0
5.45,6.03,5.63,4.83,105.3984457205,6.875,3.25,2020-01-24T07:03:00.0
5.89,6.13,5.73,4.91,105.3984457205,6.875,3.312,2020-01-24T07:04:00.0
5.77,5.85,5.41,4.96,105.3984457205,6.875,3.312,2020-01-24T07:05:00.0
5.71,6.33,6.13,5.01,105.3984457205,6.937,3.375,2020-01-24T07:06:00.0
6.13,6.47,6.11,4.98,105.3470125645,6.875,3.375,2020-01-24T07:07:00.0
6.21,6.35,6.11,5.02,105.2955666445,6.937,3.375,2020-01-24T07:08:00.0
6.11,5.81,5.73,4.96,105.2955666445,6.937,3.375,2020-01-24T07:09:00.0
