TempPlant1,TempPlant2,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1,time
5.41,5.33,4.53,4.19,105.3984457205,6.562,3.062,2020-01-24T06:05:00.0
5.19,5.73,4.75,4.1,105.3984457205,6.562,3.062,2020-01-24T06:06:00.0
4.63,6.25,4.71,4.15,105.44986611250002,6.5,3.062,2020-01-24T06:07:00.0
5.15,5.55,4.59,4.22,105.6040507045,6.562,3.062,2020-01-24T06:08:00.0
5.19,6.25,4.67,4.24,105.50127374050001,6.5,3.062,2020-01-24T06:09:00.0
5.19,5.99,4.67,4.34,105.3984201925,6.5,3.1245,2020-01-24T06:10:00.0
5.19,5.73,4.67,4.44,105.2955666445,6.5,3.187,2020-01-24T06:11:00.0
5.55,5.29,5.11,4.47,105.3984457205,6.562,3.25,2020-01-24T06:12:00.0
5.19,6.03,4.97,4.38,105.3470125645,6.562,3.25,2020-01-24T06:13:00.0
5.23,6.11,5.15,4.36,105.42415751200002,6.625,3.25,2020-01-24T06:14:00.0
5.05,6.11,4.81,4.26,105.50127374050001,6.625,3.25,2020-01-24T06:15:00.0
5.41,6.25,5.23,4.32,105.2955666445,6.625,3.187,2020-01-24T06:16:00.0
5.41,5.85,5.19,4.26,105.3470125645,6.625,3.125,2020-01-24T06:17:00.0
5.67,5.89,5.01,4.2,105.2955666445,6.625,3.062,2020-01-24T06:18:00.0
5.11,6.11,5.01,4.16,105.44986611250002,6.625,3.0,2020-01-24T06:19:00.0
5.11,6.07,5.01,4.18,105.44986611250002,6.625,3.0,2020-01-24T06:20:00.0
4.79,6.39,4.81,4.21,105.44986611250002,6.625,3.0,2020-01-24T06:21:00.0
5.11,5.85,5.11,4.22,105.3984457205,6.625,3.0,2020-01-24T06:22:00.0
5.15,5.85,5.17,4.16,105.3984457205,6.625,2.9684999999999997,2020-01-24T06:23:00.0
5.19,5.85,5.23,4.1,105.3984457205,6.625,2.937,2020-01-24T06:24:00.0
5.49,5.95,5.07,4.12,105.3470125645,-0.062,2.937,2020-01-24T06:25:00.0
5.29,6.03,5.15,4.14,105.44986611250002,6.625,2.937,2020-01-24T06:26:00.0
