TempPlant1,TempPlant2,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1,time
5.01,4.81,4.27,4.29,100.7709110125,6.437,3.75,2020-01-24T00:00:00.0
4.71,5.19,4.23,4.29,100.82346740050001,6.437,3.75,2020-01-24T00:01:00.0
4.71,5.45,4.45,4.28,100.7183418605,6.437,3.75,2020-01-24T00:02:00.0
4.63,5.41,4.15,4.27,100.82346740050001,6.437,3.75,2020-01-24T00:03:00.0
4.81,5.37,4.41,4.3,100.87601102450002,6.437,3.75,2020-01-24T00:04:00.0
5.19,5.27,4.33,4.3,100.954802528,6.437,3.75,2020-01-24T00:05:00.0
4.49,4.93,4.53,4.25,100.98105998050002,6.5,3.75,2020-01-24T00:06:00.0
4.89,5.41,4.67,4.28,101.08605788050001,6.5,3.75,2020-01-24T00:07:00.0
5.01,5.23,4.57,4.3,101.08605788050001,6.5,3.75,2020-01-24T00:08:00.0
4.85,5.45,4.19,4.28,101.05981319200001,6.5,3.75,2020-01-24T00:09:00.0
4.53,5.63,4.23,4.26,101.16477280000001,6.5,3.75,2020-01-24T00:10:00.0
4.89,4.97,4.49,4.27,101.11229937800002,6.562,3.687,2020-01-24T00:11:00.0
5.05,5.01,4.45,4.28,101.13853768450001,6.562,3.687,2020-01-24T00:12:00.0
4.81,5.29,4.57,4.22,101.1910047245,6.562,3.687,2020-01-24T00:13:00.0
4.85,5.05,4.31,4.18,100.98105998050002,6.625,3.687,2020-01-24T00:14:00.0
5.23,5.07,4.63,4.2,101.13853768450001,6.625,3.625,2020-01-24T00:15:00.0
4.81,5.19,4.53,4.11,100.98105998050002,6.625,3.687,2020-01-24T00:16:00.0
4.85,5.11,4.23,4.23,101.08605788050001,6.625,3.687,2020-01-24T00:17:00.0
4.45,5.77,3.89,4.22,101.2434590005,6.625,3.687,2020-01-24T00:18:00.0
4.85,5.23,4.37,4.34,101.4531484645,6.625,3.625,2020-01-24T00:19:00.0
4.93,5.29,4.49,4.3,101.34832926050001,6.625,3.687,2020-01-24T00:20:00.0
4.79,4.93,4.63,4.32,101.584100672,6.625,3.687,2020-01-24T00:21:00.0
5.05,5.07,4.31,4.33,101.66263370450001,6.687,3.687,2020-01-24T00:22:00.0
4.85,5.29,4.59,4.26,101.55791661250001,6.625,3.687,2020-01-24T00:23:00.0
4.67,5.07,4.41,4.23,101.7149731045,6.625,3.687,2020-01-24T00:24:00.0
4.71,5.19,4.41,4.23,101.688805,6.625,3.625,2020-01-24T00:25:00.0
4.75,4.79,4.63,4.26,101.688805,6.625,3.687,2020-01-24T00:26:00.0
4.45,5.33,4.45,4.24,101.7149731045,6.625,3.625,2020-01-24T00:27:00.0
4.93,5.51,4.27,4.24,101.8196136125,6.625,3.625,2020-01-24T00:28:00.0
4.75,4.81,4.45,4.22,101.87191472050002,6.625,3.625,2020-01-24T00:29:00.0
4.79,5.23,4.41,4.27,101.9764786445,6.625,3.625,2020-01-24T00:30:00.0
4.85,5.01,4.79,4.26,101.8196136125,6.625,3.625,2020-01-24T00:31:00.0
4.45,4.93,4.33,4.22,102.0809915125,6.562,3.625,2020-01-24T00:32:00.0
5.01,5.07,4.19,4.14,102.0287414605,6.562,3.562,2020-01-24T00:33:00.0
4.63,5.27,4.45,4.06,102.1854533245,6.562,3.5,2020-01-24T00:34:00.0
4.45,4.81,4.31,4.04,102.55066760050002,6.5,3.5,2020-01-24T00:35:00.0
4.67,4.49,4.05,3.98,102.55066760050002,6.437,3.437,2020-01-24T00:36:00.0
4.23,5.05,4.19,4.0,102.47246005000001,6.437,3.375,2020-01-24T00:37:00.0
4.23,5.29,4.23,3.96,102.524601608,6.5,3.375,2020-01-24T00:38:00.0
4.71,4.85,4.27,4.04,102.47246005000001,6.437,3.312,2020-01-24T00:39:00.0
4.67,5.07,4.23,3.95,102.55066760050002,6.437,3.312,2020-01-24T00:40:00.0
4.89,5.07,4.01,3.98,102.60279001250001,6.437,3.312,2020-01-24T00:41:00.0
4.59,5.19,4.57,4.04,102.7590806645,6.437,3.312,2020-01-24T00:42:00.0
4.23,5.29,4.11,4.0,102.7069965445,6.437,3.312,2020-01-24T00:43:00.0
4.71,5.07,4.37,4.07,102.55066760050002,6.437,3.375,2020-01-24T00:44:00.0
4.65,4.890000000000001,4.300000000000001,4.0649999999999995,102.55066760050002,6.406000000000001,3.375,2020-01-24T00:45:00.0
4.59,4.71,4.23,4.06,102.55066760050002,6.375,3.375,2020-01-24T00:46:00.0
4.79,4.71,4.19,4.02,102.49853242450001,6.375,3.375,2020-01-24T00:47:00.0
4.85,4.63,4.27,4.03,102.7069965445,6.375,3.375,2020-01-24T00:48:00.0
4.63,4.93,4.37,4.05,102.62884643200002,6.375,3.312,2020-01-24T00:49:00.0
4.85,5.01,4.23,4.04,102.60279001250001,6.437,3.375,2020-01-24T00:50:00.0
4.45,5.11,4.45,4.06,102.6548996605,6.437,3.375,2020-01-24T00:51:00.0
4.59,5.11,4.31,4.15,102.6548996605,6.437,3.375,2020-01-24T00:52:00.0
4.81,4.93,4.23,4.17,102.7590806645,6.5,3.375,2020-01-24T00:53:00.0
4.57,4.45,4.45,4.1,102.7590806645,6.5,3.375,2020-01-24T00:54:00.0
4.63,4.97,4.31,4.16,102.7069965445,6.5,3.375,2020-01-24T00:55:00.0
4.41,5.37,4.33,4.12,102.7069965445,6.562,3.437,2020-01-24T00:56:00.0
4.67,4.71,4.49,4.2,102.6548996605,6.562,3.437,2020-01-24T00:57:00.0
4.8,4.95,4.49,4.21,102.7330258405,6.593500000000001,3.437,2020-01-24T00:58:00.0
