TempPlant1,TempPlant3,TempPlant5,Air_temp_loc,Humedity,air_temp,Ambient_1,time
4.59,4.71,5.33,4.64,105.3470125645,6.562,3.062,2020-01-24T06:05:00.0
4.93,5.11,5.23,4.62,105.3984457205,6.562,3.062,2020-01-24T06:06:00.0
5.01,4.81,5.71,4.68,105.3984457205,6.5,3.062,2020-01-24T06:07:00.0
4.89,4.59,5.51,4.72,105.44986611250002,6.562,3.062,2020-01-24T06:08:00.0
5.19,4.53,5.33,4.76,105.47557152200001,6.5,3.062,2020-01-24T06:09:00.0
5.27,5.19,5.99,4.7,106.3220598845,6.5,3.062,2020-01-24T06:10:00.0
5.15,5.11,5.81,4.9,105.14115230050001,6.5,3.187,2020-01-24T06:11:00.0
5.15,4.97,5.73,4.96,105.218373832,6.562,3.25,2020-01-24T06:12:00.0
5.23,5.07,5.93,4.94,105.24410796050002,6.562,3.25,2020-01-24T06:13:00.0
5.29,4.97,5.81,4.84,105.1926365125,6.625,3.25,2020-01-24T06:14:00.0
5.05,5.29,5.67,4.88,105.14115230050001,6.625,3.25,2020-01-24T06:15:00.0
5.27,5.05,5.81,4.86,105.24410796050002,6.625,3.187,2020-01-24T06:16:00.0
5.59,4.85,5.49,4.78,105.24410796050002,6.625,3.125,2020-01-24T06:17:00.0
5.33,5.29,5.71,4.76,105.1926365125,6.625,3.062,2020-01-24T06:18:00.0
5.49,5.49,5.59,4.7,105.1926365125,6.625,3.0,2020-01-24T06:19:00.0
5.23,5.63,5.55,4.72,105.24410796050002,6.625,3.0,2020-01-24T06:20:00.0
5.29,5.95,5.55,4.7,105.0896553245,6.625,3.0,2020-01-24T06:21:00.0
5.51,5.89,5.63,4.7,105.24410796050002,6.625,3.0,2020-01-24T06:22:00.0
5.29,5.45,5.05,4.72,105.1926365125,6.625,2.937,2020-01-24T06:23:00.0
5.15,5.89,5.45,4.69,105.16689600200002,6.625,2.937,2020-01-24T06:24:00.0
5.220000000000001,5.83,5.45,4.725,105.12827566325001,6.625,2.937,2020-01-24T06:25:00.0
5.29,5.77,5.45,4.76,105.0896553245,6.625,2.937,2020-01-24T06:26:00.0
5.49,5.19,5.37,4.72,105.0896553245,6.625,2.937,2020-01-24T06:27:00.0
5.63,5.23,5.55,4.71,105.115405408,6.625,2.937,2020-01-24T06:28:00.0
5.27,5.59,5.67,4.68,105.0896553245,6.625,2.937,2020-01-24T06:29:00.0
5.55,5.05,5.51,4.78,105.03814558450001,6.687,2.937,2020-01-24T06:30:00.0
5.15,5.15,5.77,4.82,105.03814558450001,6.687,3.0,2020-01-24T06:31:00.0
5.37,5.55,5.29,4.89,105.0896553245,6.687,3.062,2020-01-24T06:32:00.0
5.29,5.55,5.29,4.81,105.03814558450001,6.687,3.062,2020-01-24T06:33:00.0
5.29,5.71,5.55,4.83,105.012385928,6.687,3.062,2020-01-24T06:34:00.0
5.11,6.11,5.45,4.72,104.8835397805,6.687,3.062,2020-01-24T06:35:00.0
5.15,5.85,5.77,4.77,104.909315392,6.75,3.125,2020-01-24T06:36:00.0
5.220000000000001,5.67,5.81,4.805,104.97373048825,6.75,3.0934999999999997,2020-01-24T06:37:00.0
5.29,5.49,5.85,4.84,105.03814558450001,6.75,3.062,2020-01-24T06:38:00.0
5.27,5.49,5.93,4.86,104.8319789845,6.75,3.125,2020-01-24T06:39:00.0
4.85,5.99,5.51,4.83,104.8319789845,6.75,3.125,2020-01-24T06:40:00.0
5.33,5.27,5.93,4.78,104.8319789845,6.812,3.062,2020-01-24T06:41:00.0
5.01,5.51,6.11,4.81,104.7804054245,6.75,3.125,2020-01-24T06:42:00.0
5.19,6.03,6.07,4.84,104.8319789845,6.812,3.125,2020-01-24T06:43:00.0
5.1,5.7,6.0,4.85,104.79329642125,6.781000000000001,3.1559999999999997,2020-01-24T06:44:00.0
5.01,5.37,5.93,4.86,104.75461385800001,6.75,3.187,2020-01-24T06:45:00.0
5.05,5.71,6.03,4.9,104.67722001250002,6.75,3.187,2020-01-24T06:46:00.0
5.07,5.55,6.35,4.92,104.7804054245,6.75,3.187,2020-01-24T06:47:00.0
