time,TempPlant1,TempPlant4,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-02-11T00:00:00.0,5.29,5.07,4.75,5.26,92.96070788050001,6.312,5.187
2020-02-11T00:01:00.0,5.51,5.23,4.89,5.28,93.1783110245,6.312,5.187
2020-02-11T00:02:00.0,5.37,5.51,4.71,5.31,93.205497058,6.312,5.187
2020-02-11T00:03:00.0,5.55,5.67,4.85,5.31,93.25985955200001,6.375,5.187
2020-02-11T00:04:00.0,5.55,5.05,4.97,5.33,93.0151278125,6.312,5.187
2020-02-11T00:05:00.0,5.59,5.11,5.11,5.36,93.04233299200001,6.312,5.187
2020-02-11T00:06:00.0,5.59,5.33,4.97,5.32,92.987919442,6.312,5.187
2020-02-11T00:07:00.0,5.77,5.41,5.19,5.32,93.1239293845,6.312,5.187
2020-02-11T00:08:00.0,5.27,4.85,4.97,5.36,93.1239293845,6.375,5.187
2020-02-11T00:09:00.0,5.41,5.51,4.97,5.35,92.96070788050001,6.375,5.187
2020-02-11T00:10:00.0,5.29,5.45,5.07,5.33,93.06953498050001,6.312,5.187
2020-02-11T00:11:00.0,5.29,5.49,5.19,5.36,93.0151278125,6.375,5.187
2020-02-11T00:12:00.0,5.27,5.51,4.75,5.33,92.96070788050001,6.312,5.187
2020-02-11T00:13:00.0,5.33,5.19,4.89,5.32,93.0151278125,6.312,5.125
2020-02-11T00:14:00.0,5.33,4.97,5.15,5.3,93.15112180000001,6.312,5.125
2020-02-11T00:15:00.0,5.63,5.37,4.67,5.34,93.1239293845,6.312,5.187
2020-02-11T00:16:00.0,5.73,5.27,4.97,5.33,93.1783110245,6.312,5.187
2020-02-11T00:17:00.0,5.67,5.95,5.15,5.33,92.96070788050001,6.312,5.125
2020-02-11T00:18:00.0,5.59,6.03,5.11,5.32,92.9062751845,6.25,5.125
2020-02-11T00:19:00.0,5.41,5.49,4.97,5.34,92.96070788050001,6.25,5.125
2020-02-11T00:20:00.0,5.63,5.05,4.97,5.32,92.7973715005,6.25,5.125
2020-02-11T00:21:00.0,5.33,5.89,5.05,5.28,92.96070788050001,6.25,5.062
2020-02-11T00:22:00.0,5.71,5.59,4.79,5.28,93.0151278125,6.25,5.062
2020-02-11T00:23:00.0,5.37,5.63,4.97,5.26,92.8518297245,6.187,5
2020-02-11T00:24:00.0,5.23,5.37,4.89,5.24,93.096733778,6.187,5
2020-02-11T00:25:00.0,5.29,5.11,4.53,5.23,93.04233299200001,6.125,5
2020-02-11T00:26:00.0,5.51,5.29,5.05,5.22,92.82460220800002,6.125,5
2020-02-11T00:27:00.0,,,,,,,
2020-02-11T00:28:00.0,5.29,5.23,4.67,5.19,93.06953498050001,6.125,4.937
2020-02-11T00:29:00.0,5.27,5.07,4.67,5.18,93.0151278125,6.125,4.937
2020-02-11T00:30:00.0,5.07,4.97,4.67,5.16,93.1239293845,6.062,4.937
2020-02-11T00:31:00.0,5.23,4.81,4.71,5.14,93.0151278125,6.062,4.937
2020-02-11T00:32:00.0,5.49,4.97,4.85,5.14,93.096733778,6.062,4.937
2020-02-11T00:33:00.0,5.51,5.49,4.81,5.16,92.715660232,6.062,5
