time,TempPlant1,TempPlant3,TempPlant5,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-02-13T06:05:00.0,1.89,1.63,1.83,2.18,93.7756666405,3,1.875
2020-02-13T06:06:00.0,1.79,0.91,1.93,2.23,93.25985955200001,3,1.937
2020-02-13T06:07:00.0,2.43,1.71,1.89,2.2,93.06953498050001,3,1.937
2020-02-13T06:08:00.0,2.05,1.85,2.13,2.2,93.096733778,3,1.937
2020-02-13T06:09:00.0,1.89,1.97,1.89,2.2,92.7973715005,3,1.937
2020-02-13T06:10:00.0,2.05,1.75,2.13,2.3,92.03361614450002,3,1.937
2020-02-13T06:11:00.0,2.17,1.75,1.85,2.29,92.14287722050001,3,1.937
2020-02-13T06:12:00.0,,,,,,,
2020-02-13T06:13:00.0,2.01,1.51,1.71,2.28,91.5413094845,2.875,1.937
2020-02-13T06:14:00.0,2.21,2.31,1.97,2.26,91.32217466050001,2.812,1.937
2020-02-13T06:15:00.0,1.75,1.85,1.97,2.3,90.9930895045,2.812,2
2020-02-13T06:16:00.0,2.17,1.85,1.93,2.32,90.60857606050001,2.812,2
2020-02-13T06:17:00.0,1.79,1.93,1.79,2.33,90.855835072,2.75,1.937
2020-02-13T06:18:00.0,1.97,0.87,2.09,2.36,90.93819730450001,2.75,2
2020-02-13T06:19:00.0,2.01,1.89,2.13,2.44,91.130264162,2.812,2
2020-02-13T06:20:00.0,2.13,2.25,2.01,2.45,90.9930895045,2.75,2.062
2020-02-13T06:21:00.0,1.85,2.13,1.85,2.5,90.8832923405,2.75,2.125
2020-02-13T06:22:00.0,2.17,2.05,2.05,2.57,90.855835072,2.75,2.125
2020-02-13T06:23:00.0,2.09,2.01,2.31,2.62,90.49860020050001,2.75,2.125
2020-02-13T06:24:00.0,2.25,1.97,2.01,2.69,90.44359312450001,2.812,2.125
2020-02-13T06:25:00.0,,,,,,,
2020-02-13T06:26:00.0,,,,,,,
2020-02-13T06:27:00.0,2.01,2.05,2.05,2.62,91.40437415200002,2.812,2.062
2020-02-13T06:28:00.0,2.21,1.85,2.21,2.59,91.86962880050001,2.812,2.062
2020-02-13T06:29:00.0,,,,,,,
2020-02-13T06:30:00.0,,,,,,,
2020-02-13T06:31:00.0,2.35,2.25,2.21,2.62,92.63392024450002,2.812,2
2020-02-13T06:32:00.0,2.13,2.47,2.01,2.64,92.74290051250001,2.812,1.937
2020-02-13T06:33:00.0,,,,,,,
2020-02-13T06:34:00.0,2.35,2.17,2.43,2.67,92.170184512,2.75,1.937
2020-02-13T06:35:00.0,2.39,2.31,2.47,2.72,91.86962880050001,2.812,1.937
2020-02-13T06:36:00.0,2.39,2.05,2.51,2.78,91.92430401250002,2.812,1.937
2020-02-13T06:37:00.0,2.73,1.85,2.59,2.86,91.62343239200001,2.812,2
2020-02-13T06:38:00.0,2.39,2.35,2.69,3.02,91.32217466050001,2.812,2
2020-02-13T06:39:00.0,2.85,2.81,2.99,3.17,90.55359451250001,2.875,2
2020-02-13T06:40:00.0,2.89,2.55,3.49,3.39,89.534133568,2.875,2.062
2020-02-13T06:41:00.0,2.91,2.85,3.37,3.56,89.61695530450001,3,2.125
2020-02-13T06:42:00.0,3.15,2.89,3.55,3.72,88.8982128125,3.062,2.125
2020-02-13T06:43:00.0,2.95,3.23,3.81,3.86,88.0106454205,3.125,2.125
2020-02-13T06:44:00.0,3.75,3.33,3.45,4.02,88.0662141125,3.25,2.187
2020-02-13T06:45:00.0,3.41,4.19,3.79,4.11,86.72904264050001,3.312,2.25
2020-02-13T06:46:00.0,3.37,3.81,3.85,3.98,86.868674368,3.375,2.25
2020-02-13T06:47:00.0,3.33,3.29,4.05,3.9,87.0640247645,3.437,2.25
2020-02-13T06:48:00.0,,,,,,,
2020-02-13T06:49:00.0,3.53,3.71,3.85,3.84,87.871667848,3.5,2.187
2020-02-13T06:50:00.0,,,,,,,
2020-02-13T06:51:00.0,,,,,,,
2020-02-13T06:52:00.0,,,,,,,
2020-02-13T06:53:00.0,3.75,2.95,3.75,3.79,87.1198104445,3.562,2.187
2020-02-13T06:54:00.0,3.93,3.29,3.89,3.94,88.3993582205,3.562,2.25
2020-02-13T06:55:00.0,,,,,,,
2020-02-13T06:56:00.0,4.07,2.81,3.93,4.21,85.805472482,3.687,2.312
2020-02-13T06:57:00.0,3.97,4.15,4.45,4.36,84.230249938,3.687,2.375
2020-02-13T06:58:00.0,4.23,4.01,4.57,4.54,84.1455806125,3.75,2.375
2020-02-13T06:59:00.0,,,,,,,
2020-02-13T07:00:00.0,4.33,4.53,4.31,4.6,82.0195138,3.812,2.5
2020-02-13T07:01:00.0,,,,,,,
2020-02-13T07:02:00.0,4.31,4.05,4.53,4.57,82.4461631125,3.875,2.562
2020-02-13T07:03:00.0,4.41,3.93,4.71,4.58,81.50658689800001,3.875,2.562
2020-02-13T07:04:00.0,4.31,4.41,4.41,4.51,81.36392372050001,3.875,2.562
2020-02-13T07:05:00.0,4.15,4.23,4.23,4.5,81.79167392800001,3.937,2.562
2020-02-13T07:06:00.0,4.15,4.23,4.41,4.41,81.4780606445,3.875,2.562
2020-02-13T07:07:00.0,4.27,3.81,4.41,4.48,82.3324601645,3.875,2.5
2020-02-13T07:08:00.0,4.31,4.07,4.37,4.48,82.50299544050002,3.937,2.5
2020-02-13T07:09:00.0,4.05,3.85,4.23,4.42,83.35394868050001,3.937,2.5
2020-02-13T07:10:00.0,4.41,3.67,4.07,4.38,84.399502432,3.937,2.5
2020-02-13T07:11:00.0,4.27,4.07,4.79,4.36,83.97615580450001,3.937,2.437
2020-02-13T07:12:00.0,4.27,3.81,4.37,4.4,84.06088256800001,3.937,2.437
2020-02-13T07:13:00.0,3.89,3.67,4.53,4.34,84.08911844050002,3.937,2.437
2020-02-13T07:14:00.0,4.33,3.63,4.11,4.35,84.82213108450001,3.937,2.437
2020-02-13T07:15:00.0,4.33,3.85,4.31,4.26,85.300242272,3.937,2.437
2020-02-13T07:16:00.0,4.19,3.67,4.01,4.12,86.16971798050001,3.875,2.437
2020-02-13T07:17:00.0,4.15,3.63,4.01,3.91,85.46876721800001,3.937,2.375
2020-02-13T07:18:00.0,3.81,3.49,3.79,3.84,85.97365280000001,3.875,2.312
2020-02-13T07:19:00.0,3.97,3.25,4.01,3.86,86.5613792645,3.812,2.312
2020-02-13T07:20:00.0,4.01,4.11,4.11,3.92,85.69328845000001,3.812,2.312
2020-02-13T07:21:00.0,4.23,3.15,4.23,4.02,85.6091169205,3.75,2.312
2020-02-13T07:22:00.0,4.07,3.15,4.31,4.17,85.1034846445,3.75,2.375
2020-02-13T07:23:00.0,,,,,,,
2020-02-13T07:24:00.0,,,,,,,
2020-02-13T07:25:00.0,4.67,3.59,5.01,4.8,82.61662180450001,3.875,2.5
2020-02-13T07:26:00.0,5.05,4.19,5.19,5.04,81.70618132450001,3.937,2.562
2020-02-13T07:27:00.0,5.15,4.71,5.49,5.19,81.36392372050001,4.062,2.562
2020-02-13T07:28:00.0,5.19,4.53,5.01,5.09,79.73192500000002,4.125,2.562
2020-02-13T07:29:00.0,5.19,4.53,5.37,5.12,80.649411208,4.125,2.625
2020-02-13T07:30:00.0,5.19,4.53,5.41,5.12,80.27707652450002,4.187,2.625
2020-02-13T07:31:00.0,5.51,4.49,6.07,5.35,80.3057368,4.187,2.625
2020-02-13T07:32:00.0,5.33,4.79,5.37,5.32,78.3784430405,4.25,2.75
2020-02-13T07:33:00.0,5.29,4.33,5.59,5.26,79.44454045,4.312,2.687
2020-02-13T07:34:00.0,5.49,5.05,5.67,5.21,78.8399942245,4.312,2.687
2020-02-13T07:35:00.0,5.23,4.75,5.05,5.14,79.5307893205,4.312,2.687
2020-02-13T07:36:00.0,5.37,4.05,5.29,5.19,79.4732932645,4.375,2.687
2020-02-13T07:37:00.0,4.97,4.41,5.23,5.22,80.076365248,4.375,2.687
2020-02-13T07:38:00.0,5.07,4.79,5.11,5.17,78.72468301250001,4.375,2.687
2020-02-13T07:39:00.0,5.41,4.41,5.59,5.24,79.70320090450001,4.375,2.687
2020-02-13T07:40:00.0,5.49,4.71,5.77,5.19,78.23404076800001,4.375,2.687
2020-02-13T07:41:00.0,5.01,4.11,5.19,5.24,77.771417408,4.375,2.687
2020-02-13T07:42:00.0,5.07,4.45,5.01,4.98,77.51083278050001,4.375,2.75
2020-02-13T07:43:00.0,5.05,3.53,5.05,4.74,78.89763068450002,4.375,2.75
2020-02-13T07:44:00.0,5.07,4.01,4.89,4.66,80.39169848050001,4.312,2.75
2020-02-13T07:45:00.0,5.51,4.53,4.79,5.54,78.2629276045,4.375,2.687
2020-02-13T07:46:00.0,5.73,4.05,5.01,5.96,77.51083278050001,4.5,2.812
2020-02-13T07:47:00.0,5.15,4.79,5.15,6.17,75.1831650205,4.687,2.875
2020-02-13T07:48:00.0,5.05,4.19,4.97,5.8,76.145802592,4.812,2.812
2020-02-13T07:49:00.0,5.27,5.07,5.27,6.16,75.97103605000001,4.875,2.812
2020-02-13T07:50:00.0,5.95,4.53,5.59,6.98,73.12970298050001,5,2.875
2020-02-13T07:51:00.0,6.07,5.45,5.99,8,71.0012582045,5.187,3.062
2020-02-13T07:52:00.0,6.57,6.29,6.73,9.02,68.3174398445,5.562,3.25
2020-02-13T07:53:00.0,6.65,6.43,6.57,9.54,65.69851299200002,5.937,3.312
2020-02-13T07:54:00.0,6.57,5.77,6.91,9.2,62.07719061250001,6.375,3.375
2020-02-13T07:55:00.0,6.29,6.07,6.43,9.32,62.811179084500004,6.625,3.437
2020-02-13T07:56:00.0,,,,,,,
2020-02-13T07:57:00.0,6.39,5.89,6.75,9.67,61.09568018050001,7.062,3.5
2020-02-13T07:58:00.0,7.01,7.05,7.55,10.62,63.6042591125,7.312,3.625
2020-02-13T07:59:00.0,7.01,5.93,7.51,10.06,58.596628288000005,7.5,3.625
2020-02-13T08:00:00.0,7.11,5.85,7.51,10.34,59.80248892450001,7.625,3.625
2020-02-13T08:01:00.0,6.65,6.13,7.33,10.52,58.937234240500004,7.687,3.625
2020-02-13T08:02:00.0,7.15,5.85,7.41,10.43,60.110902164500004,7.875,3.625
2020-02-13T08:03:00.0,7.47,6.35,8.45,10.8,59.46286580000001,8,3.687
2020-02-13T08:04:00.0,,,,,,,
2020-02-13T08:05:00.0,7.27,5.77,8.19,10.87,56.856648032,8.25,3.812
2020-02-13T08:06:00.0,7.47,5.85,8.33,10.26,59.9875751605,8.25,3.75
2020-02-13T08:07:00.0,7.79,6.61,8.79,10.9,60.819041632,8.25,3.75
2020-02-13T08:08:00.0,8.13,6.03,9.25,10.86,57.38591414050001,8.375,3.875
2020-02-13T08:09:00.0,7.87,6.51,9.29,10.78,57.479218312,8.5,3.875
2020-02-13T08:10:00.0,9.07,6.57,10.27,11.52,57.074692820500005,8.562,3.937
2020-02-13T08:11:00.0,9.01,6.47,10.03,11.85,55.26331651250001,8.75,4.062
2020-02-13T08:12:00.0,8.45,6.57,10.27,12.11,55.10666080000001,8.875,4.062
2020-02-13T08:13:00.0,9.43,6.61,10.43,12.22,54.290765122,9,4.062
2020-02-13T08:14:00.0,8.75,6.25,10.05,12.01,54.10217516800001,9.187,4.062
2020-02-13T08:15:00.0,8.61,6.57,9.63,11.3,55.231991752000006,9.187,4
2020-02-13T08:16:00.0,9.07,6.61,9.75,10.91,58.968179272,9.187,3.875
2020-02-13T08:17:00.0,8.55,7.01,9.47,11.1,56.981264200000005,9.187,3.937
2020-02-13T08:18:00.0,8.45,6.17,9.47,10.5,57.727889032000014,9.187,4
2020-02-13T08:19:00.0,8.51,6.17,8.61,9.8,59.67903428050001,9.062,3.875
2020-02-13T08:20:00.0,8.87,5.99,9.85,10.18,59.648162642,9.062,3.875
2020-02-13T08:21:00.0,9.15,6.53,9.67,10.1,59.15378245000001,8.812,3.875
2020-02-13T08:22:00.0,8.61,5.95,8.79,10.15,58.47267584800001,8.75,3.875
2020-02-13T08:23:00.0,9.11,6.47,9.61,9.9,60.5421446125,8.625,3.875
2020-02-13T08:24:00.0,8.89,6.57,9.61,9.82,60.63447233800001,8.437,3.937
2020-02-13T08:25:00.0,8.89,6.69,9.33,9.96,60.819041632,8.375,3.937
2020-02-13T08:26:00.0,9.07,6.33,9.49,9.91,60.51136232200001,8.312,3.875
2020-02-13T08:27:00.0,9.77,6.69,9.53,10.15,60.04924504450001,8.25,4
2020-02-13T08:28:00.0,9.39,6.79,9.67,10.21,60.665241864500004,8.25,4
2020-02-13T08:29:00.0,9.91,6.33,9.89,10.43,57.665740498000005,8.25,4
2020-02-13T08:30:00.0,10.17,6.75,10.19,10.3,59.4319718245,8.25,3.937
2020-02-13T08:31:00.0,10.47,7.41,10.31,10.64,58.68955911250001,8.25,4
2020-02-13T08:32:00.0,10.43,7.37,9.95,10.38,60.26498912200001,8.312,4.062
2020-02-13T08:33:00.0,,,,,,,
2020-02-13T08:34:00.0,10.09,7.09,9.49,9.68,59.524644178,8.312,3.937
2020-02-13T08:35:00.0,10.65,7.91,10.27,10.23,60.63447233800001,8.187,3.937
2020-02-13T08:36:00.0,10.47,7.47,10.03,10.39,58.99912111250001,8.25,4.062
2020-02-13T08:37:00.0,11.21,7.97,10.33,11.08,59.401074658000006,8.312,4.062
2020-02-13T08:38:00.0,11.47,8.61,10.99,11.74,57.29258125000001,8.437,4.187
