time,TempPlant3,TempPlant5,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-02-15T06:05:00.0,10.31,9.99,9.89,7.02,103.79808262450001,6.25,4.937
2020-02-15T06:06:00.0,9.43,9.57,9.77,6.88,103.875801952,6.25,4.875
2020-02-15T06:07:00.0,9.57,9.11,9.11,6.68,104.03115445,6.25,4.875
2020-02-15T06:08:00.0,9.29,8.69,8.79,6.58,104.10878762050001,6.25,4.937
2020-02-15T06:09:00.0,8.83,7.55,8.55,6.38,104.21225384050001,6.25,4.937
2020-02-15T06:10:00.0,8.23,8.09,7.95,6.32,104.2639678045,6.25,4.937
2020-02-15T06:11:00.0,7.97,7.87,7.61,6.26,104.2639678045,6.25,5
2020-02-15T06:12:00.0,7.91,7.69,7.41,6.16,104.31566900450001,6.25,5
2020-02-15T06:13:00.0,7.33,7.09,7.05,6.08,104.36735744050002,6.187,5
2020-02-15T06:14:00.0,7.29,7.05,6.73,6.05,104.4190331125,6.25,5
2020-02-15T06:15:00.0,7.37,7.15,6.97,6.05,104.393196872,6.187,5
2020-02-15T06:16:00.0,6.65,6.79,7.09,6.06,104.4190331125,6.187,5
2020-02-15T06:17:00.0,6.93,6.53,6.65,6.08,104.4190331125,6.187,5.125
2020-02-15T06:18:00.0,7.15,5.93,6.39,6.1,104.4190331125,6.187,5.125
2020-02-15T06:19:00.0,7.23,6.69,6.53,6.1,104.4190331125,6.25,5.187
2020-02-15T06:20:00.0,6.53,6.79,6.21,6.11,104.47069602050001,6.187,5.187
2020-02-15T06:21:00.0,6.83,6.51,6.33,6.08,104.47069602050001,6.25,5.187
2020-02-15T06:22:00.0,6.83,6.17,6.13,6.06,104.52234616450001,6.25,5.187
2020-02-15T06:23:00.0,7.05,6.65,6.35,6.02,104.52234616450001,6.25,5.187
2020-02-15T06:24:00.0,6.79,6.17,6.07,5.95,104.57398354450001,6.25,5.062
2020-02-15T06:25:00.0,,,,,,,
2020-02-15T06:26:00.0,6.65,6.25,6.35,5.89,104.599797448,6.25,5.062
2020-02-15T06:27:00.0,6.35,6.39,6.29,5.87,104.62560816050001,6.25,5
2020-02-15T06:28:00.0,6.43,6.29,6.35,5.94,104.57398354450001,6.25,5
2020-02-15T06:29:00.0,6.73,6.13,5.89,6,104.57398354450001,6.25,5.062
2020-02-15T06:30:00.0,6.65,6.03,5.85,6.03,104.62560816050001,6.25,5.062
2020-02-15T06:31:00.0,6.61,6.03,6.07,6.02,104.57398354450001,6.312,5.125
2020-02-15T06:32:00.0,6.73,6.07,6.21,6.12,104.57398354450001,6.25,5.187
2020-02-15T06:33:00.0,,,,,,,
2020-02-15T06:34:00.0,6.75,6.07,6.11,6.28,104.52234616450001,6.312,5.312
2020-02-15T06:35:00.0,6.93,6.13,5.99,6.21,104.57398354450001,6.312,5.312
2020-02-15T06:36:00.0,6.87,6.21,5.93,6.14,104.62560816050001,6.312,5.25
2020-02-15T06:37:00.0,6.43,5.89,6.21,6.12,104.62560816050001,6.312,5.187
2020-02-15T06:38:00.0,6.79,6.33,6.47,6.11,104.57398354450001,6.375,5.125
2020-02-15T06:39:00.0,6.79,6.13,6.07,6.21,104.57398354450001,6.437,5.125
2020-02-15T06:40:00.0,6.97,6.21,5.67,6.21,104.57398354450001,6.437,5.125
2020-02-15T06:41:00.0,6.79,6.43,6.11,6.22,104.57398354450001,6.437,5.125
2020-02-15T06:42:00.0,6.87,6.07,6.35,6.22,104.57398354450001,6.5,5.125
2020-02-15T06:43:00.0,6.87,6.43,6.29,6.2,104.599797448,6.562,5.125
2020-02-15T06:44:00.0,7.15,6.33,6.29,6.23,104.62560816050001,6.562,5.125
2020-02-15T06:45:00.0,6.73,6.57,6.13,6.24,104.62560816050001,6.625,5.125
2020-02-15T06:46:00.0,6.73,5.99,6.21,6.17,104.62560816050001,6.625,5.187
2020-02-15T06:47:00.0,6.57,6.25,6.21,6.18,104.62560816050001,6.625,5.187
2020-02-15T06:48:00.0,6.47,6.29,6.21,6.21,104.62560816050001,6.625,5.187
2020-02-15T06:49:00.0,6.53,6.29,6.03,6.16,104.62560816050001,6.687,5.187
2020-02-15T06:50:00.0,6.87,6.13,6.13,6.14,104.62560816050001,6.687,5.125
2020-02-15T06:51:00.0,6.75,5.99,6.11,6.1,104.67722001250002,6.687,5.125
2020-02-15T06:52:00.0,6.87,6.13,5.81,6.13,104.67722001250002,6.75,5.125
2020-02-15T06:53:00.0,6.51,6.13,6.11,6.14,104.62560816050001,6.75,5.187
2020-02-15T06:54:00.0,6.13,6.35,6.03,6.16,104.62560816050001,6.75,5.187
2020-02-15T06:55:00.0,6.35,6.21,6.13,6.16,104.67722001250002,6.75,5.187
2020-02-15T06:56:00.0,6.57,6.29,6.11,6.22,104.62560816050001,6.75,5.25
2020-02-15T06:57:00.0,6.75,6.33,6.11,6.26,104.62560816050001,6.75,5.25
2020-02-15T06:58:00.0,6.51,6.17,5.71,6.3,104.62560816050001,6.75,5.312
2020-02-15T06:59:00.0,,,,,,,
2020-02-15T07:00:00.0,6.69,6.35,6.13,6.33,104.62560816050001,6.75,5.375
2020-02-15T07:01:00.0,6.43,6.07,5.89,6.44,104.599797448,6.75,5.375
2020-02-15T07:02:00.0,6.61,6.51,5.81,6.45,104.62560816050001,6.75,5.437
2020-02-15T07:03:00.0,6.93,6.51,6.03,6.44,104.62560816050001,6.687,5.375
2020-02-15T07:04:00.0,6.53,6.21,6.03,6.41,104.62560816050001,6.687,5.375
2020-02-15T07:05:00.0,6.91,6.29,6.21,6.4,104.599797448,6.687,5.375
2020-02-15T07:06:00.0,6.73,6.29,5.73,6.46,104.57398354450001,6.687,5.437
2020-02-15T07:07:00.0,6.35,6.39,6.11,6.47,104.62560816050001,6.75,5.437
2020-02-15T07:08:00.0,6.87,6.51,6.03,6.54,104.57398354450001,6.75,5.437
2020-02-15T07:09:00.0,6.65,5.99,6.25,6.54,104.599797448,6.75,5.437
2020-02-15T07:10:00.0,6.97,6.35,6.21,6.58,104.57398354450001,6.812,5.5
2020-02-15T07:11:00.0,7.01,6.33,6.25,6.62,104.57398354450001,6.75,5.5
2020-02-15T07:12:00.0,6.93,6.47,6.25,6.59,104.52234616450001,6.812,5.562
2020-02-15T07:13:00.0,7.19,6.39,6.11,6.66,104.54816645,6.875,5.562
2020-02-15T07:14:00.0,6.87,6.43,5.99,6.72,104.52234616450001,6.875,5.625
2020-02-15T07:15:00.0,6.75,6.29,6.21,6.76,104.52234616450001,6.875,5.687
2020-02-15T07:16:00.0,6.87,6.21,6.21,6.73,104.57398354450001,6.875,5.75
2020-02-15T07:17:00.0,7.01,6.69,6.47,6.7,104.57398354450001,6.875,5.687
2020-02-15T07:18:00.0,6.93,6.69,6.03,6.66,104.57398354450001,6.937,5.625
2020-02-15T07:19:00.0,6.93,6.13,6.11,6.57,104.599797448,6.875,5.562
2020-02-15T07:20:00.0,7.09,6.61,5.99,6.6,104.599797448,6.875,5.562
2020-02-15T07:21:00.0,6.93,6.39,6.13,6.65,104.599797448,6.812,5.562
2020-02-15T07:22:00.0,6.97,5.23,6.13,6.65,104.57398354450001,6.812,5.562
2020-02-15T07:23:00.0,6.75,6.39,6.13,6.65,104.599797448,6.75,5.562
2020-02-15T07:24:00.0,6.75,6.51,6.43,6.66,104.599797448,6.75,5.5
2020-02-15T07:25:00.0,6.87,6.29,6.07,6.67,104.57398354450001,6.75,5.5
2020-02-15T07:26:00.0,7.05,6.35,6.33,6.62,104.57398354450001,6.687,5.437
2020-02-15T07:27:00.0,6.73,6.21,6.17,6.56,104.62560816050001,6.687,5.437
2020-02-15T07:28:00.0,6.87,6.65,5.89,6.61,104.62560816050001,6.687,5.437
2020-02-15T07:29:00.0,7.23,6.65,6.25,6.61,104.57398354450001,6.625,5.5
2020-02-15T07:30:00.0,6.65,6.51,5.99,6.74,104.52234616450001,6.625,5.562
2020-02-15T07:31:00.0,7.09,6.43,6.17,6.8,104.57398354450001,6.687,5.625
2020-02-15T07:32:00.0,6.87,6.39,6.11,6.81,104.57398354450001,6.687,5.687
2020-02-15T07:33:00.0,7.01,6.33,5.93,6.92,104.52234616450001,6.687,5.687
2020-02-15T07:34:00.0,7.19,6.69,6.29,6.97,104.49652268800001,6.75,5.812
2020-02-15T07:35:00.0,7.15,6.53,6.25,7.04,104.47069602050001,6.812,5.875
