time,TempPlant2,TempPlant3,TempPlant4,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-02-23T00:00:00.0,,,,,,,
2020-02-23T00:01:00.0,6.35,5.95,5.89,,-2.0462,3.562,1
2020-02-23T00:02:00.0,6.25,5.93,5.99,,-2.0462,3.562,1
2020-02-23T00:03:00.0,6.25,6.13,5.77,,-2.0462,3.562,0.937
2020-02-23T00:04:00.0,5.93,5.95,6.35,,-2.0462,3.562,1
2020-02-23T00:05:00.0,6.39,6.29,6.17,,-2.0462,3.562,1
2020-02-23T00:06:00.0,5.89,5.59,6.03,,-2.0462,3.625,0.937
2020-02-23T00:07:00.0,6.07,6.33,5.95,,-2.0462,3.625,0.937
2020-02-23T00:08:00.0,5.99,5.93,5.89,,-2.0462,3.625,1
2020-02-23T00:09:00.0,5.99,6.35,5.85,,-2.0462,3.625,1.062
2020-02-23T00:10:00.0,6.53,6.29,5.81,,-2.0462,3.562,1.062
2020-02-23T00:11:00.0,,,,,,,
2020-02-23T00:12:00.0,6.17,6.61,6.17,,-2.0462,3.625,1.187
2020-02-23T00:13:00.0,6.29,6.13,6.35,,-2.0462,3.625,1.25
2020-02-23T00:14:00.0,6.57,6.69,6.07,,-2.0462,3.562,1.312
2020-02-23T00:15:00.0,6.47,6.29,5.89,,-2.0462,3.562,1.312
2020-02-23T00:16:00.0,5.71,5.99,5.51,,-2.0462,3.625,1.312
2020-02-23T00:17:00.0,6.13,6.87,6.03,,-2.0462,3.562,1.312
2020-02-23T00:18:00.0,6.61,6.43,6.33,,-2.0462,3.562,1.312
2020-02-23T00:19:00.0,6.65,6.29,6.65,,-2.0462,3.562,1.312
2020-02-23T00:20:00.0,6.65,6.47,6.53,,-2.0462,3.562,1.312
2020-02-23T00:21:00.0,5.93,6.17,5.63,,-2.0462,3.562,1.312
2020-02-23T00:22:00.0,6.43,6.57,5.63,,-2.0462,3.562,1.375
2020-02-23T00:23:00.0,6.35,6.93,6.39,,-2.0462,3.562,1.312
2020-02-23T00:24:00.0,6.39,6.47,6.13,,-2.0462,3.562,1.312
2020-02-23T00:25:00.0,,,,,,,
2020-02-23T00:26:00.0,6.35,6.07,6.29,,-2.0462,3.562,1.375
2020-02-23T00:27:00.0,6.33,6.87,6.61,,-2.0462,3.562,1.312
2020-02-23T00:28:00.0,6.53,6.39,6.17,,-2.0462,3.562,1.312
2020-02-23T00:29:00.0,6.57,6.29,5.93,,-2.0462,3.562,1.375
2020-02-23T00:30:00.0,6.39,6.21,6.17,,-2.0462,3.562,1.375
2020-02-23T00:31:00.0,6.51,6.91,6.53,,-2.0462,3.625,1.375
2020-02-23T00:32:00.0,6.47,6.17,6.69,,-2.0462,3.625,1.375
2020-02-23T00:33:00.0,6.33,6.57,6.35,,-2.0462,3.625,1.375
2020-02-23T00:34:00.0,6.07,6.39,6.25,,-2.0462,3.562,1.312
2020-02-23T00:35:00.0,6.33,6.17,6.47,,-2.0462,3.625,1.312
2020-02-23T00:36:00.0,6.35,6.03,6.11,,-2.0462,3.625,1.375
2020-02-23T00:37:00.0,6.25,6.33,6.07,,-2.0462,3.562,1.375
2020-02-23T00:38:00.0,6.65,6.53,6.17,,-2.0462,3.562,1.375
2020-02-23T00:39:00.0,6.47,6.53,6.39,,-2.0462,3.562,1.375
2020-02-23T00:40:00.0,6.61,6.73,6.57,,-2.0462,3.562,1.437
2020-02-23T00:41:00.0,5.85,5.89,5.19,,-2.0462,3.562,1.437
2020-02-23T00:42:00.0,5.77,6.65,5.77,,-2.0462,3.562,1.437
2020-02-23T00:43:00.0,,,,,,,
2020-02-23T00:44:00.0,6.39,6.75,6.61,,-2.0462,3.5,1.5
2020-02-23T00:45:00.0,6.57,6.51,6.39,,-2.0462,3.5,1.5
2020-02-23T00:46:00.0,6.03,5.95,5.81,,-2.0462,3.5,1.5
2020-02-23T00:47:00.0,6.39,6.51,6.11,,-2.0462,3.5,1.5
2020-02-23T00:48:00.0,6.53,6.61,6.87,,-2.0462,3.562,1.5
2020-02-23T00:49:00.0,6.73,6.57,6.47,,-2.0462,3.5,1.437
2020-02-23T00:50:00.0,6.39,6.39,6.35,,-2.0462,3.562,1.437
2020-02-23T00:51:00.0,5.89,5.93,6.17,,-2.0462,3.562,1.437
2020-02-23T00:52:00.0,6.79,6.69,6.33,,-2.0462,3.562,1.437
2020-02-23T00:53:00.0,6.83,6.47,6.35,,-2.0462,3.562,1.437
2020-02-23T00:54:00.0,6.69,6.39,6.73,,-2.0462,3.562,1.437
2020-02-23T00:55:00.0,6.07,6.93,6.51,,-2.0462,3.562,1.437
2020-02-23T00:56:00.0,6.21,6.29,6.13,,-2.0462,3.562,1.437
2020-02-23T00:57:00.0,6.53,6.43,6.29,,-2.0462,3.625,1.437
2020-02-23T00:58:00.0,,,,,,,
2020-02-23T00:59:00.0,6.53,6.91,6.39,,-2.0462,3.625,1.437
2020-02-23T01:00:00.0,6.47,6.39,6.43,,-2.0462,3.625,1.437
2020-02-23T01:01:00.0,6.21,6.53,6.17,,-2.0462,3.625,1.437
2020-02-23T01:02:00.0,6.33,6.87,6.33,,-2.0462,3.687,1.437
2020-02-23T01:03:00.0,6.47,6.75,6.61,,-2.0462,3.687,1.437
2020-02-23T01:04:00.0,6.57,6.51,6.33,,-2.0462,3.687,1.375
2020-02-23T01:05:00.0,,,,,,,
