time,TempPlant2,TempPlant4,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-03-07T00:00:00.0,-0.01999999999998181,0.71,-0.4800000000000182,0.56,105.73245011200001,3.625,1.687
2020-03-07T00:01:00.0,-0.39999999999997726,0.55,-0.06000000000005912,0.7,105.83511220000001,3.625,1.687
2020-03-07T00:02:00.0,-0.36000000000001364,0.95,-0.39999999999997726,0.83,105.7581204205,3.625,1.75
2020-03-07T00:03:00.0,-0.01999999999998181,1.01,0.13,0.98,105.8607697445,3.625,1.75
2020-03-07T00:04:00.0,0.55,1.25,0.05,1.14,105.8607697445,3.625,1.75
2020-03-07T00:05:00.0,0.21,1.05,0.37,1.38,105.96336801250001,3.625,1.812
2020-03-07T00:06:00.0,1.21,1.29,-0.13999999999998636,1.4,105.83511220000001,3.562,1.812
2020-03-07T00:07:00.0,1.13,1.29,0.33,1.44,105.7581204205,3.625,1.875
2020-03-07T00:08:00.0,0.97,1.47,0.01,1.46,105.73245011200001,3.625,1.875
2020-03-07T00:09:00.0,1.17,1.13,0.25,1.5,105.6554200405,3.687,1.875
2020-03-07T00:10:00.0,0.37,1.33,0.55,1.55,105.6040507045,3.687,1.875
2020-03-07T00:11:00.0,1.51,1.41,0.13,1.62,105.55266860450001,3.687,1.875
2020-03-07T00:12:00.0,1.51,1.79,0.79,1.78,105.55266860450001,3.687,1.875
2020-03-07T00:13:00.0,1.79,1.93,0.83,1.93,105.52697276800001,3.75,1.875
2020-03-07T00:14:00.0,1.59,1.89,1.01,2.06,105.44986611250002,3.75,2.125
2020-03-07T00:15:00.0,0.83,1.75,1.41,2.18,105.3470125645,3.812,2.125
2020-03-07T00:16:00.0,0.87,2.13,1.13,2.22,105.14115230050001,3.812,2.187
2020-03-07T00:17:00.0,1.71,2.13,0.83,2.22,104.98662308050001,3.875,2.187
2020-03-07T00:18:00.0,1.71,2.13,1.09,2.23,104.85776097800002,3.937,2.187
2020-03-07T00:19:00.0,0.87,2.13,1.09,2.22,104.7804054245,4,2.187
2020-03-07T00:20:00.0,1.85,1.89,1.13,2.22,104.7288191005,4,2.187
2020-03-07T00:21:00.0,1.89,2.01,1.43,2.22,104.67722001250002,4.062,2.187
