time,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
2020-01-24T00:00:00.0,9.33,8.79,8.93,8.97,9.01,8.97,9.01,9.11,8.93,9.15,8.93,9.01
2020-01-24T00:01:00.0,8.79,8.97,9.01,9.01,8.93,8.97,8.87,8.75,8.87,9.15,8.51,8.75
2020-01-24T00:02:00.0,8.83,8.69,8.87,9.03,8.75,8.71,9.19,9.01,9.29,8.87,9.07,8.97
2020-01-24T00:03:00.0,8.79,8.69,8.93,8.97,8.87,8.97,9.01,9.03,8.79,9.01,8.65,9.07
2020-01-24T00:04:00.0,9.11,8.79,8.01,8.93,8.79,8.69,9.11,9.11,8.65,9.29,8.71,8.69
2020-01-24T00:05:00.0,8.79,8.87,9.01,9.01,8.65,8.75,8.93,8.89,8.69,8.71,8.61,8.93
2020-01-24T00:06:00.0,8.79,8.97,8.89,8.69,8.83,8.69,8.83,8.89,9.03,8.55,8.65,9.03
2020-01-24T00:07:00.0,8.75,9.11,8.93,9.01,8.89,9.01,9.15,8.75,9.11,8.79,9.03,9.15
2020-01-24T00:08:00.0,8.71,8.97,9.07,9.01,8.59,8.89,9.15,9.03,8.79,8.47,8.89,8.83
2020-01-24T00:09:00.0,8.79,9.15,9.03,8.71,8.89,8.97,9.21,9.07,9.11,9.25,9.07,9.11
2020-01-24T00:10:00.0,8.79,8.97,8.97,8.97,9.15,9.21,8.97,9.15,9.11,8.89,8.79,8.93
2020-01-24T00:11:00.0,9.19,8.69,8.71,8.79,8.71,8.93,9.01,8.79,8.59,8.93,8.61,8.69
2020-01-24T00:12:00.0,8.71,8.89,8.83,8.83,8.97,8.69,8.33,8.79,8.71,8.55,8.93,8.69
2020-01-24T00:13:00.0,8.75,9.15,8.83,8.75,8.93,8.83,9.07,8.89,8.75,8.75,8.79,8.75
2020-01-24T00:14:00.0,9.21,9.01,8.89,8.719999999999999,8.899999999999999,8.74,8.97,8.65,9.35,8.69,8.79,8.79
2020-01-24T00:15:00.0,8.89,8.97,8.89,8.69,8.87,8.65,8.61,8.79,8.69,8.87,8.61,8.83
2020-01-24T00:16:00.0,8.59,8.79,9.01,8.51,8.75,8.75,8.61,8.83,8.27,9.21,8.75,8.93
2020-01-24T00:17:00.0,8.87,8.69,8.97,8.75,8.69,8.97,8.65,8.71,8.33,8.55,8.71,9.01
2020-01-24T00:18:00.0,8.83,8.87,8.97,8.75,8.71,8.97,8.97,9.19,8.59,8.93,9.01,8.69
2020-01-24T00:19:00.0,8.89,8.97,8.71,8.79,8.75,8.69,8.79,9.33,8.89,8.93,8.79,8.83
2020-01-24T00:20:00.0,8.71,8.89,8.47,8.65,8.69,8.71,8.27,9.03,8.87,8.71,8.69,8.71
2020-01-24T00:21:00.0,8.41,8.87,7.95,8.61,8.61,8.71,8.59,8.59,8.69,8.93,8.59,8.61
2020-01-24T00:22:00.0,8.97,8.89,8.79,9.11,8.89,8.79,8.97,8.93,8.45,8.61,8.79,9.11
2020-01-24T00:23:00.0,8.79,8.87,8.61,9.19,8.87,8.65,8.93,8.93,8.83,8.79,8.87,8.65
2020-01-24T00:24:00.0,8.97,8.93,8.87,8.83,8.83,8.79,9.07,8.75,8.89,8.87,8.71,8.75
2020-01-24T00:25:00.0,8.83,8.83,8.75,8.71,8.93,8.79,8.71,8.93,8.55,8.93,8.79,8.45
2020-01-24T00:26:00.0,8.65,8.55,8.93,8.45,8.61,8.69,8.65,8.59,8.71,8.33,8.71,8.71
2020-01-24T00:27:00.0,8.69,8.61,8.75,8.71,8.83,8.93,8.79,8.75,8.19,9.11,8.69,8.97
2020-01-24T00:28:00.0,9.03,9.01,7.97,8.79,8.51,8.59,9.03,8.71,8.83,9.01,8.71,9.15
2020-01-24T00:29:00.0,8.69,8.87,8.47,8.89,8.55,8.47,8.41,8.83,8.59,8.51,8.51,8.59
2020-01-24T00:30:00.0,8.65,8.93,8.83,8.69,8.61,8.61,8.65,8.87,9.07,8.79,8.87,8.89
2020-01-24T00:31:00.0,8.79,8.79,8.79,8.79,8.69,8.55,8.79,8.47,8.33,8.29,8.75,8.47
2020-01-24T00:32:00.0,8.55,8.61,9.29,8.87,8.79,8.75,8.69,8.69,8.93,8.75,8.87,9.39
2020-01-24T00:33:00.0,8.93,8.55,8.75,8.79,8.83,8.75,8.75,9.07,8.51,8.65,8.65,8.69
2020-01-24T00:34:00.0,8.71,8.69,8.59,8.97,8.79,8.61,8.59,8.71,8.29,8.83,8.79,8.51
2020-01-24T00:35:00.0,8.33,8.15,8.55,8.55,8.51,8.61,8.89,8.59,8.33,8.37,8.61,8.37
2020-01-24T00:36:00.0,8.58,8.24,8.55,8.61,8.45,8.55,8.37,8.29,8.27,8.15,8.33,8.51
2020-01-24T00:37:00.0,8.83,8.33,8.55,8.61,8.55,8.23,8.41,8.83,8.51,8.19,8.45,8.61
2020-01-24T00:38:00.0,8.41,8.51,8.59,8.29,8.65,8.47,8.69,8.69,8.75,8.87,8.59,8.65
2020-01-24T00:39:00.0,8.37,8.41,8.41,8.23,8.27,8.61,8.19,8.41,8.45,8.33,8.51,8.41
2020-01-24T00:40:00.0,8.41,8.37,8.45,8.41,8.59,8.41,8.51,8.37,8.23,8.65,8.61,8.79
2020-01-24T00:41:00.0,8.15,8.79,7.61,8.59,8.59,8.41,8.37,8.47,7.91,8.15,8.19,8.05
2020-01-24T00:42:00.0,8.61,8.33,8.47,8.45,8.45,8.27,8.42,8.83,8.02,8.19,8.45,8.65
2020-01-24T00:43:00.0,8.45,8.47,8.71,8.55,8.33,8.59,8.47,9.19,8.13,8.29,8.51,8.47
2020-01-24T00:44:00.0,8.45,8.55,8.27,8.61,8.33,8.47,8.47,8.65,8.45,8.65,8.55,8.51
2020-01-24T00:45:00.0,8.27,8.61,8.19,8.51,8.41,8.47,8.47,8.37,8.55,8.45,8.23,8.47
2020-01-24T00:46:00.0,9.01,8.83,8.61,8.37,8.33,8.69,8.47,8.59,8.29,8.41,8.69,8.51
2020-01-24T00:47:00.0,8.59,8.65,8.55,8.45,8.55,8.59,8.23,8.45,8.33,8.55,8.15,8.19
2020-01-24T00:48:00.0,8.47,8.65,8.61,8.65,8.47,8.45,8.45,8.61,8.41,8.51,8.59,8.51
2020-01-24T00:49:00.0,8.19,8.47,8.51,8.65,8.61,8.65,8.37,8.559999999999999,8.43,8.71,8.37,8.29
2020-01-24T00:50:00.0,8.59,8.29,8.45,8.45,8.37,8.27,8.29,8.51,8.45,8.51,8.51,8.47
2020-01-24T00:51:00.0,8.13,8.59,8.47,8.41,8.41,8.47,7.97,8.23,8.41,8.27,8.19,8.05
2020-01-24T00:52:00.0,8.71,8.59,7.45,8.55,8.51,8.41,8.51,8.79,8.47,8.37,8.45,8.41
2020-01-24T00:53:00.0,8.37,8.83,8.79,8.29,8.27,8.59,8.47,8.61,8.79,8.41,8.75,8.47
2020-01-24T00:54:00.0,8.51,8.59,8.65,8.15,8.51,8.29,8.29,8.45,8.51,8.23,8.37,8.59
2020-01-24T00:55:00.0,8.42,8.52,8.46,8.37,8.37,8.47,8.13,8.71,8.65,8.75,8.71,8.75
