time,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
2020-01-24T00:00:00.0,9.03,8.97,8.87,9.07,8.93,9.03,8.79,8.87,9.11,9.03,9.01,8.37
2020-01-24T00:01:00.0,8.69,8.79,8.83,8.69,8.79,8.79,8.89,8.93,8.87,8.87,8.87,8.71
2020-01-24T00:02:00.0,8.75,9.15,8.71,8.79,8.79,8.69,8.55,9.11,8.89,8.65,8.79,9.15
2020-01-24T00:03:00.0,8.79,8.79,8.97,8.93,8.89,9.03,8.97,9.07,8.83,9.03,8.69,8.75
2020-01-24T00:04:00.0,8.83,8.89,8.89,9.01,8.69,8.71,8.65,9.11,9.01,8.71,9.11,8.93
2020-01-24T00:05:00.0,8.97,9.33,8.87,8.79,8.79,9.03,8.71,9.03,8.79,8.69,9.19,8.83
2020-01-24T00:06:00.0,8.71,8.51,9.01,8.79,8.79,8.89,8.61,8.59,8.65,8.51,8.87,8.71
2020-01-24T00:07:00.0,8.65,8.89,8.71,8.79,8.79,9.07,9.25,8.79,9.03,9.03,8.89,8.87
2020-01-24T00:08:00.0,9.15,9.19,8.93,8.71,9.03,8.89,8.75,9.19,9.03,8.83,8.71,8.87
2020-01-24T00:09:00.0,8.87,8.75,8.97,8.89,8.89,8.93,8.89,8.61,8.93,9.03,8.71,9.15
2020-01-24T00:10:00.0,8.61,8.93,9.01,9.25,8.79,8.89,8.97,8.93,9.35,8.79,9.03,8.93
2020-01-24T00:11:00.0,8.87,8.51,8.89,8.89,8.51,8.93,8.71,8.89,8.89,8.55,8.89,8.71
2020-01-24T00:12:00.0,8.89,8.89,8.69,8.87,8.97,8.93,8.59,8.89,8.61,8.71,8.93,8.65
2020-01-24T00:13:00.0,8.55,8.93,8.79,8.59,8.71,8.83,8.65,8.83,8.69,8.75,9.29,8.79
2020-01-24T00:14:00.0,9.03,9.03,8.79,8.65,8.79,8.85,8.87,8.61,8.65,8.69,8.65,9.01
2020-01-24T00:15:00.0,9.11,8.59,8.79,8.71,8.87,8.87,8.97,9.07,8.69,8.89,9.19,8.93
2020-01-24T00:16:00.0,8.89,8.71,8.89,8.65,8.37,8.69,8.51,8.69,8.55,8.59,8.75,8.97
2020-01-24T00:17:00.0,8.87,8.97,8.69,9.19,8.71,8.87,9.01,8.75,8.93,8.75,8.45,8.87
2020-01-24T00:18:00.0,8.79,8.89,8.47,8.97,8.51,8.59,8.37,9.11,8.93,8.59,8.97,8.87
2020-01-24T00:19:00.0,8.87,9.07,8.87,9.03,9.07,8.79,9.03,9.11,9.11,8.37,8.55,9.19
2020-01-24T00:20:00.0,8.87,8.65,8.87,8.65,8.55,8.61,8.97,9.21,8.83,8.79,9.19,8.69
2020-01-24T00:21:00.0,8.41,8.29,8.51,8.45,8.29,8.65,8.61,8.69,8.51,8.59,8.79,9.03
2020-01-24T00:22:00.0,8.83,9.35,8.93,9.01,8.75,8.89,8.59,8.79,8.55,8.97,8.79,8.61
2020-01-24T00:23:00.0,8.83,8.93,8.79,8.61,8.79,8.61,8.55,8.65,8.47,8.87,8.89,8.15
2020-01-24T00:24:00.0,9.07,8.75,8.97,8.83,8.69,8.83,8.87,8.55,8.55,8.93,8.89,8.71
2020-01-24T00:25:00.0,8.61,8.75,8.97,8.93,8.59,8.79,8.59,8.41,8.55,8.41,9.11,9.07
2020-01-24T00:26:00.0,8.51,8.51,8.55,8.55,8.41,8.47,8.37,8.65,8.27,8.65,8.87,8.55
2020-01-24T00:27:00.0,8.87,8.79,8.97,8.71,8.93,8.71,8.79,8.75,8.65,9.21,8.71,8.87
2020-01-24T00:28:00.0,8.61,8.27,8.97,8.83,8.59,8.83,8.89,8.89,8.69,8.87,8.97,8.89
2020-01-24T00:29:00.0,9.03,8.69,8.69,8.83,8.71,8.71,8.79,9.11,8.59,8.61,8.59,8.59
2020-01-24T00:30:00.0,9.03,8.83,8.69,8.83,8.79,8.97,9.29,8.71,8.89,8.75,8.59,8.87
2020-01-24T00:31:00.0,8.59,8.69,8.37,8.61,8.41,8.47,7.97,8.59,8.69,8.27,8.75,8.75
2020-01-24T00:32:00.0,9.01,9.01,9.07,8.71,8.69,8.61,8.71,8.71,8.51,8.83,8.89,8.87
