time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
2020-01-24T00:00:00.0,5.01,4.81,4.27,5.11,4.59,4.97,4.57,5.15,4.67,4.71,5.51,4.81
2020-01-24T00:01:00.0,4.71,5.19,4.23,5.15,4.71,4.89,4.45,4.89,4.11,4.59,5.05,4.57
2020-01-24T00:02:00.0,4.71,5.45,4.45,4.81,4.49,4.63,4.27,5.05,4.11,4.89,5.01,4.37
2020-01-24T00:03:00.0,4.63,5.41,4.15,4.97,4.05,4.81,4.41,4.81,4.57,4.57,5.19,4.33
2020-01-24T00:04:00.0,4.81,5.37,4.41,4.79,4.67,4.67,4.31,4.85,4.33,4.550000000000001,5.1,4.37
2020-01-24T00:05:00.0,5.19,5.27,4.33,4.67,4.75,5.11,4.27,4.81,4.49,4.53,5.01,4.41
2020-01-24T00:06:00.0,4.49,4.93,4.53,5.49,4.53,4.81,4.85,4.89,4.53,5.07,4.81,4.59
2020-01-24T00:07:00.0,4.89,5.41,4.67,4.85,4.67,4.93,4.31,4.57,4.49,4.41,4.93,4.53
2020-01-24T00:08:00.0,5.01,5.23,4.57,4.79,4.57,4.93,4.41,4.85,4.53,4.53,4.75,4.59
2020-01-24T00:09:00.0,4.85,5.45,4.19,5.05,4.57,4.81,4.45,4.85,4.71,4.85,5.19,4.33
2020-01-24T00:10:00.0,4.53,5.63,4.23,5.55,4.45,4.93,4.71,4.85,4.45,5.23,5.15,4.57
2020-01-24T00:11:00.0,4.89,4.97,4.49,5.67,4.71,4.89,4.67,4.85,4.41,5.19,4.93,4.75
2020-01-24T00:12:00.0,5.05,5.01,4.45,4.75,4.71,4.71,4.71,4.79,4.59,4.89,5.23,4.75
2020-01-24T00:13:00.0,4.81,5.29,4.57,5.23,4.63,4.81,4.33,4.75,4.63,4.53,5.05,4.33
2020-01-24T00:14:00.0,4.85,5.05,4.31,5.19,4.41,4.71,4.75,4.59,4.67,4.31,4.89,4.49
2020-01-24T00:15:00.0,5.23,5.07,4.63,5.45,4.45,4.85,4.45,4.71,4.53,4.41,5.15,4.37
2020-01-24T00:16:00.0,4.81,5.19,4.53,5.41,4.49,4.76,4.57,4.75,4.59,4.63,4.93,4.41
2020-01-24T00:17:00.0,4.85,5.11,4.23,5.37,4.53,4.67,4.53,4.75,4.63,4.89,5.29,4.57
2020-01-24T00:18:00.0,4.45,5.77,3.89,4.75,4.45,4.89,4.41,4.85,4.57,4.75,4.81,4.49
2020-01-24T00:19:00.0,4.85,5.23,4.37,4.97,4.57,4.75,4.63,4.89,4.49,4.89,5.11,4.57
2020-01-24T00:20:00.0,4.93,5.29,4.49,5.51,4.49,5.15,4.45,4.75,4.67,4.67,5.01,4.79
2020-01-24T00:21:00.0,4.79,4.93,4.63,5.33,4.33,4.89,4.37,4.75,4.45,4.97,5.19,4.75
2020-01-24T00:22:00.0,5.05,5.07,4.31,5.41,4.27,4.93,4.53,4.89,4.67,4.85,5.05,4.45
