time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
2020-01-24T00:00:00.0,4.19,4.41,4.27,4.57,5.27,5.15,4.41,4.23,4.45,4.79,5.19,5.01
2020-01-24T00:01:00.0,3.85,4.27,4.89,4.89,5.27,5.19,4.71,4.23,4.33,4.59,4.67,4.79
2020-01-24T00:02:00.0,4.31,4.23,4.53,4.49,5.05,4.81,4.81,4.19,4.31,4.63,4.63,5.01
2020-01-24T00:03:00.0,4.05,4.01,4.33,4.89,5.07,4.93,4.67,4.37,4.45,4.23,5.27,4.93
2020-01-24T00:04:00.0,4.19,4.19,5.05,4.93,5.05,5.19,4.37,4.33,4.79,4.34,5.01,4.91
2020-01-24T00:05:00.0,4.05,4.11,5.05,4.67,4.93,4.93,4.49,4.27,4.85,4.45,4.75,4.89
2020-01-24T00:06:00.0,4.15,4.15,4.81,5.11,5.19,5.05,4.45,4.41,4.59,4.37,4.93,5.01
2020-01-24T00:07:00.0,3.79,3.67,4.67,4.63,5.67,5.15,4.31,4.15,4.57,4.53,4.81,4.89
2020-01-24T00:08:00.0,4.07,4.27,4.81,4.81,5.23,4.89,4.85,4.33,4.23,4.49,5.07,4.81
2020-01-24T00:09:00.0,4.75,3.97,4.71,4.85,4.53,5.01,4.75,4.31,4.57,4.63,5.01,4.63
2020-01-24T00:10:00.0,4.07,4.23,4.71,4.67,4.59,4.89,4.67,4.57,5.01,4.53,5.27,5.01
2020-01-24T00:11:00.0,4.07,4.23,5.19,4.71,5.05,5.19,4.45,4.27,4.75,4.63,5.07,4.63
2020-01-24T00:12:00.0,4.11,4.23,4.63,4.59,4.89,4.89,5.07,4.37,4.37,4.67,4.79,4.89
2020-01-24T00:13:00.0,4.05,4.05,4.67,4.57,4.75,5.37,4.53,4.23,4.49,4.67,5.05,4.81
2020-01-24T00:14:00.0,3.63,4.05,4.71,4.57,4.67,5.05,4.49,4.37,4.53,4.53,4.97,5.01
2020-01-24T00:15:00.0,4.19,4.23,4.71,4.53,5.01,5.19,4.71,4.11,4.79,4.67,4.93,4.75
2020-01-24T00:16:00.0,4.31,3.97,4.71,4.550000000000001,4.8,5.08,4.79,4.41,4.49,4.37,5.19,4.89
2020-01-24T00:17:00.0,3.93,4.19,4.67,4.57,4.59,4.97,5.01,4.45,4.89,4.59,4.89,4.85
2020-01-24T00:18:00.0,4.33,3.85,4.93,4.75,4.93,5.15,4.63,4.19,4.53,4.45,4.89,4.75
2020-01-24T00:19:00.0,4.27,3.97,5.19,4.97,5.71,4.63,4.57,4.41,4.63,4.45,5.01,4.75
2020-01-24T00:20:00.0,4.15,4.07,4.57,4.71,4.53,5.23,4.67,4.19,4.49,4.57,4.79,4.89
2020-01-24T00:21:00.0,3.81,3.85,4.79,4.67,5.11,4.97,4.57,4.53,4.79,4.41,5.23,4.75
2020-01-24T00:22:00.0,3.97,4.19,4.57,4.71,4.71,5.33,4.81,4.33,4.89,4.53,4.67,4.75
2020-01-24T00:23:00.0,3.81,3.81,4.59,4.53,4.71,5.05,4.33,4.23,5.19,4.49,5.19,5.11
2020-01-24T00:24:00.0,4.31,4.11,4.81,4.63,4.59,5.07,4.79,4.15,4.49,4.79,4.97,4.89
2020-01-24T00:25:00.0,4.01,4.23,4.63,4.89,5.01,5.07,4.37,4.15,4.75,4.63,4.93,4.97
2020-01-24T00:26:00.0,3.97,3.79,4.59,4.63,4.81,5.15,4.59,4.19,4.93,4.19,4.85,4.81
2020-01-24T00:27:00.0,4.31,4.27,4.59,4.59,4.93,5.05,4.81,4.23,5.11,4.41,4.97,4.89
2020-01-24T00:28:00.0,3.79,4.15,4.81,4.49,4.75,5.19,4.05,4.41,4.63,4.45,4.79,5.01
2020-01-24T00:29:00.0,4.31,4.05,4.67,4.85,4.45,5.05,4.49,4.49,4.75,4.79,4.93,4.67
2020-01-24T00:30:00.0,4.07,4.11,4.71,4.53,5.23,5.07,4.79,4.37,4.59,4.79,4.89,5.11
2020-01-24T00:31:00.0,4.15,4.23,4.63,4.57,5.11,5.07,4.89,3.93,4.59,4.57,5.11,4.85
2020-01-24T00:32:00.0,4.23,4.23,4.53,4.67,5.01,5.19,4.79,3.93,4.37,4.33,4.93,4.79
2020-01-24T00:33:00.0,4.15,3.85,4.49,4.67,4.11,4.93,4.33,3.93,4.63,4.45,4.41,4.63
2020-01-24T00:34:00.0,3.63,3.79,4.45,4.31,4.89,5.45,4.45,4.23,4.37,4.57,4.57,4.85
2020-01-24T00:35:00.0,4.15,3.97,4.59,4.49,4.37,5.11,4.45,4.33,4.11,4.33,4.59,4.45
2020-01-24T00:36:00.0,4.05,3.71,4.41,4.49,4.15,5.05,4.53,3.79,4.27,4.89,4.63,4.71
2020-01-24T00:37:00.0,3.63,3.55,4.63,4.45,4.59,5.01,4.27,3.79,4.27,4.41,4.33,4.59
2020-01-24T00:38:00.0,3.79,3.79,4.57,4.31,4.63,4.89,4.49,3.97,4.45,4.37,4.75,4.63
2020-01-24T00:39:00.0,3.85,4.05,4.49,4.37,4.45,5.07,4.19,3.97,4.27,4.11,4.79,4.67
2020-01-24T00:40:00.0,3.79,3.67,4.75,4.15,4.71,4.85,4.75,4.07,4.67,4.45,4.63,4.33
2020-01-24T00:41:00.0,3.79,3.67,4.41,4.41,5.37,5.15,4.41,4.19,4.41,4.49,4.97,4.75
2020-01-24T00:42:00.0,4.89,3.85,4.37,4.41,4.63,4.89,4.53,3.97,4.41,4.11,4.41,4.75
2020-01-24T00:43:00.0,4.05,3.79,4.89,4.27,4.57,5.05,4.49,4.15,4.23,4.41,4.59,4.75
2020-01-24T00:44:00.0,3.45,3.55,4.75,4.33,5.33,4.89,4.23,4.07,4.67,4.01,4.75,4.59
2020-01-24T00:45:00.0,3.58,3.6799999999999997,4.54,4.53,4.15,5.07,4.53,4.19,4.59,4.33,4.57,4.71
2020-01-24T00:46:00.0,3.71,3.81,4.33,4.27,5.19,4.79,4.45,4.19,4.45,4.33,5.05,4.57
2020-01-24T00:47:00.0,3.55,3.59,4.49,4.37,4.71,4.89,4.27,4.07,4.93,4.19,4.67,4.85
2020-01-24T00:48:00.0,3.81,4.27,4.75,4.33,4.93,4.59,4.85,3.97,4.37,4.31,4.33,4.79
2020-01-24T00:49:00.0,3.89,3.93,4.41,4.53,4.79,5.07,4.67,4.05,4.75,4.31,4.71,4.57
2020-01-24T00:50:00.0,3.75,3.79,4.45,4.31,4.63,4.89,4.53,4.15,4.41,4.33,4.85,4.85
2020-01-24T00:51:00.0,3.55,3.75,4.97,4.31,4.89,4.75,4.49,4.05,4.79,4.19,4.81,4.71
2020-01-24T00:52:00.0,4.27,3.89,4.93,4.75,5.11,5.07,4.81,4.27,4.27,4.31,4.63,4.71
2020-01-24T00:53:00.0,3.41,3.79,4.53,4.57,4.41,4.81,4.67,4.19,4.37,4.41,4.85,4.53
