time,OS1,OS2,OS3,OS4,OS5,OS6,OS7,OS8,OS9
2020-01-24T00:00:00.0,4.31,4.49,3.89,4.85,5.63,4.41,4.41,4.37,4.01
2020-01-24T00:01:00.0,4.59,4.57,4.19,4.79,5.51,4.45,4.01,4.45,4.05
2020-01-24T00:02:00.0,4.45,4.41,3.97,4.79,5.07,4.71,4.11,5.27,4.15
2020-01-24T00:03:00.0,4.19,4.97,2.95,5.15,5.63,4.57,4.45,4.85,4.05
2020-01-24T00:04:00.0,4.33,4.49,3.97,4.85,5.37,4.71,4.05,4.15,3.79
2020-01-24T00:05:00.0,4.45,4.59,4.41,5.07,5.51,4.59,4.49,4.15,4.07
2020-01-24T00:06:00.0,4.49,4.49,4.31,4.93,5.51,4.85,4.11,4.79,4.05
2020-01-24T00:07:00.0,4.59,4.75,4.27,4.79,5.29,4.59,4.23,3.81,3.93
2020-01-24T00:08:00.0,4.67,4.85,4.45,5.15,5.51,4.45,4.49,4.71,4.05
2020-01-24T00:09:00.0,4.63,4.63,4.05,5.07,5.49,4.71,4.37,4.19,3.89
2020-01-24T00:10:00.0,4.59,4.59,4.37,4.79,5.29,4.75,4.11,4.37,4.23
2020-01-24T00:11:00.0,4.37,4.81,4.05,4.85,5.33,4.85,4.33,4.15,3.53
2020-01-24T00:12:00.0,4.33,4.45,3.93,5.23,5.45,4.57,4.31,4.27,4.01
2020-01-24T00:13:00.0,4.37,4.75,4.11,5.01,5.41,4.97,4.37,4.27,4.23
2020-01-24T00:14:00.0,4.19,4.71,4.01,4.97,5.41,4.67,4.37,4.11,3.93
2020-01-24T00:15:00.0,4.41,4.31,4.19,5.41,5.29,4.85,4.31,3.89,3.93
2020-01-24T00:16:00.0,4.57,4.67,4.11,5.05,5.71,4.89,4.07,4.53,4.19
2020-01-24T00:17:00.0,4.57,4.85,4.11,5.07,5.73,4.67,4.31,4.81,4.05
2020-01-24T00:18:00.0,4.57,4.05,4.15,4.85,5.71,4.11,4.53,4.37,4.07
2020-01-24T00:19:00.0,4.27,4.49,4.33,5.23,5.27,4.79,4.49,4.59,3.85
2020-01-24T00:20:00.0,4.59,4.49,4.01,5.23,5.19,4.57,4.15,4.59,3.89
2020-01-24T00:21:00.0,4.45,4.71,4.15,4.93,5.63,4.71,4.33,3.75,4.11
2020-01-24T00:22:00.0,4.37,4.67,4.05,4.89,5.49,4.33,4.59,4.15,3.93
2020-01-24T00:23:00.0,4.93,4.71,4.33,5.15,5.49,4.33,4.33,4.01,4.01
2020-01-24T00:24:00.0,4.53,4.23,3.97,5.27,5.07,4.59,4.31,4.33,3.93
2020-01-24T00:25:00.0,4.71,4.45,4.19,4.81,5.37,4.79,4.53,4.31,4.01
2020-01-24T00:26:00.0,4.45,4.93,3.97,4.89,5.51,4.81,4.23,4.85,4.11
2020-01-24T00:27:00.0,4.33,4.45,4.15,4.93,5.41,4.81,4.41,4.11,3.97
2020-01-24T00:28:00.0,4.23,4.15,3.97,4.85,5.49,4.53,4.45,3.81,4.05
2020-01-24T00:29:00.0,4.63,4.67,4.23,5.05,5.49,4.41,4.23,4.57,4.27
2020-01-24T00:30:00.0,4.57,4.67,4.15,5.19,5.15,4.53,4.37,4.97,4.01
2020-01-24T00:31:00.0,4.49,4.45,4.33,4.89,5.49,4.31,4.11,4.11,4.11
2020-01-24T00:32:00.0,4.54,4.32,4.1899999999999995,4.45,5.19,4.45,4.27,4.89,3.79
2020-01-24T00:33:00.0,4.59,4.19,4.05,4.89,5.37,4.53,4.19,4.71,3.37
2020-01-24T00:34:00.0,4.37,4.19,3.93,4.93,5.41,4.41,4.31,4.89,3.97
2020-01-24T00:35:00.0,4.07,4.05,3.93,5.01,5.33,4.11,4.11,4.07,3.89
2020-01-24T00:36:00.0,4.49,4.05,4.11,5.01,5.29,4.33,4.37,4.23,3.85
2020-01-24T00:37:00.0,4.33,4.15,4.11,4.89,5.37,4.37,3.97,3.97,4.11
2020-01-24T00:38:00.0,4.01,4.11,3.59,5.19,5.33,4.15,4.19,4.49,3.85
2020-01-24T00:39:00.0,4.41,4.41,3.89,5.05,5.23,4.71,4.11,4.15,3.85
2020-01-24T00:40:00.0,4.31,4.41,3.71,5.15,4.97,4.33,4.11,5.41,3.89
2020-01-24T00:41:00.0,4.49,4.45,4.23,5.05,5.45,4.23,4.11,4.41,3.89
2020-01-24T00:42:00.0,4.75,4.05,3.75,4.75,5.27,4.11,4.11,3.85,4.19
2020-01-24T00:43:00.0,4.15,4.27,3.75,4.75,5.33,4.27,4.05,4.45,4.07
2020-01-24T00:44:00.0,3.93,4.11,3.93,4.81,5.29,4.27,4.11,4.67,3.79
2020-01-24T00:45:00.0,4.05,4.33,3.63,4.79,5.19,4.41,4.37,4.67,4.05
2020-01-24T00:46:00.0,3.93,4.23,3.81,4.85,5.07,4.33,4.33,4.57,3.81
2020-01-24T00:47:00.0,4.45,4.19,4.01,5.05,5.41,4.49,3.81,4.67,3.71
2020-01-24T00:48:00.0,4.37,4.33,3.89,4.89,5.11,4.33,4.19,4.45,3.89
2020-01-24T00:49:00.0,4.41,4.31,4.05,4.89,5.55,4.59,4.15,4.41,4.01
2020-01-24T00:50:00.0,4.37,4.41,3.81,4.89,5.07,4.23,4.07,3.45,3.79
2020-01-24T00:51:00.0,4.33,4.33,3.93,4.97,5.23,4.53,4.19,4.19,4.07
2020-01-24T00:52:00.0,4.23,4.31,3.93,4.97,5.33,4.53,4.23,4.89,3.85
2020-01-24T00:53:00.0,4.53,4.45,3.71,4.81,5.23,4.31,4.23,4.49,4.01
2020-01-24T00:54:00.0,4.49,4.37,3.85,5.11,5.23,4.23,4.57,4.33,4.11
2020-01-24T00:55:00.0,4.19,4.67,4.33,5.07,5.59,4.15,4.23,4.31,4.11
2020-01-24T00:56:00.0,4.33,4.53,3.89,4.67,5.27,4.57,4.31,4.63,3.93
2020-01-24T00:57:00.0,4.19,4.07,3.75,5.07,5.59,4.57,4.23,4.07,3.89
2020-01-24T00:58:00.0,4.33,4.57,3.85,5.19,5.41,4.41,4.15,4.31,3.79
2020-01-24T00:59:00.0,4.31,3.93,3.63,4.89,5.33,4.37,4.45,3.97,4.27
2020-01-24T01:00:00.0,4.27,4.41,3.89,4.97,5.29,4.27,4.15,4.33,4.31
2020-01-24T01:01:00.0,4.37,4.41,3.93,4.79,5.23,4.31,3.81,4.45,4.11
2020-01-24T01:02:00.0,4.53,4.41,3.93,4.89,5.51,4.31,4.49,4.07,3.23
2020-01-24T01:03:00.0,4.33,4.45,4.15,4.91,5.42,4.27,4.23,4.220000000000001,3.71
2020-01-24T01:04:00.0,4.49,4.59,3.79,4.93,5.33,4.23,3.97,4.37,4.19
2020-01-24T01:05:00.0,4.31,4.57,4.19,4.89,5.15,4.63,4.49,4.57,3.89
2020-01-24T01:06:00.0,4.93,4.63,3.93,4.85,5.37,4.75,4.49,4.67,4.05
2020-01-24T01:07:00.0,4.79,4.27,4.05,4.79,5.51,4.57,4.45,4.41,4.11
2020-01-24T01:08:00.0,4.27,4.67,4.05,4.67,5.67,4.37,4.53,4.63,4.05
2020-01-24T01:09:00.0,4.49,4.45,4.01,5.07,5.45,4.41,4.45,3.97,4.07
2020-01-24T01:10:00.0,4.63,4.49,4.15,5.07,5.71,4.37,4.23,5.07,4.07
2020-01-24T01:11:00.0,4.59,4.11,3.85,4.71,5.59,4.37,4.57,4.19,4.31
2020-01-24T01:12:00.0,4.59,4.28,4.11,5.05,5.29,4.57,4.41,4.59,4.15
2020-01-24T01:13:00.0,4.59,4.45,4.37,4.93,5.41,4.49,4.33,4.97,4.05
2020-01-24T01:14:00.0,4.67,4.41,4.27,5.05,5.51,4.57,4.49,4.31,4.19
2020-01-24T01:15:00.0,4.59,4.63,4.27,5.07,5.33,4.57,4.63,4.41,4.15
