time,TempPlant1,TempPlant3,TempPlant4,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-01-24T00:00:00.0,4.59,5.23,4.27,4.44,101.61028154050001,6.437,3.75
2020-01-24T00:01:00.0,4.71,4.79,4.11,4.44,101.61028154050001,6.437,3.75
2020-01-24T00:02:00.0,4.49,5.05,4.07,4.44,101.66263370450001,6.437,3.75
2020-01-24T00:03:00.0,4.53,4.71,4.07,4.42,101.66263370450001,6.437,3.75
2020-01-24T00:04:00.0,4.81,4.89,4.33,4.44,101.76729974050001,6.437,3.75
2020-01-24T00:05:00.0,4.81,4.67,4.37,4.45,101.79345827200001,6.437,3.75
2020-01-24T00:06:00.0,4.59,4.63,4.37,4.44,101.76729974050001,6.5,3.75
2020-01-24T00:07:00.0,4.49,4.53,4.33,4.44,101.8196136125,6.5,3.75
2020-01-24T00:08:00.0,4.57,4.79,4.19,4.46,101.87191472050002,6.5,3.75
2020-01-24T00:09:00.0,4.59,4.93,4.19,4.46,101.87191472050002,6.5,3.75
2020-01-24T00:10:00.0,4.85,4.81,4.19,4.45,101.9242030645,6.5,3.75
2020-01-24T00:11:00.0,4.71,4.59,4.19,4.46,101.95034245000002,6.562,3.687
2020-01-24T00:12:00.0,4.67,5.01,4.57,4.47,101.9764786445,6.562,3.687
2020-01-24T00:13:00.0,4.49,4.59,4.07,4.45,101.9764786445,6.562,3.687
2020-01-24T00:14:00.0,4.37,4.37,4.41,4.46,102.0287414605,6.625,3.687
2020-01-24T00:15:00.0,4.59,5.23,4.15,4.42,102.0287414605,6.625,3.625
2020-01-24T00:16:00.0,4.41,5.19,4.45,4.42,102.0287414605,6.625,3.687
2020-01-24T00:17:00.0,4.37,5.11,4.41,4.44,102.0287414605,6.625,3.687
2020-01-24T00:18:00.0,4.37,5.01,4.11,4.45,102.0809915125,6.625,3.687
2020-01-24T00:19:00.0,4.23,5.05,4.37,4.48,102.1332288005,6.625,3.625
2020-01-24T00:20:00.0,4.41,4.81,4.07,4.48,102.15934265800001,6.625,3.687
2020-01-24T00:21:00.0,4.45,5.01,4.27,4.48,102.1332288005,6.625,3.687
2020-01-24T00:22:00.0,4.49,4.71,3.89,4.48,102.1854533245,6.687,3.687
2020-01-24T00:23:00.0,4.59,4.57,4.33,4.47,102.1854533245,6.625,3.687
2020-01-24T00:24:00.0,4.59,4.11,4.31,4.48,102.28986408050001,6.625,3.687
2020-01-24T00:25:00.0,4.57,3.79,4.37,4.46,102.23766508450001,6.625,3.625
2020-01-24T00:26:00.0,4.37,4.67,4.31,4.46,102.23766508450001,6.625,3.687
2020-01-24T00:27:00.0,4.23,3.85,4.19,4.46,102.1854533245,6.625,3.625
2020-01-24T00:28:00.0,4.67,4.37,4.41,4.47,102.23766508450001,6.625,3.625
2020-01-24T00:29:00.0,4.49,5.19,4.11,4.46,102.28986408050001,6.625,3.625
2020-01-24T00:30:00.0,4.23,4.79,4.45,4.46,102.34205031250002,6.625,3.625
2020-01-24T00:31:00.0,4.45,3.97,4.01,4.44,102.34205031250002,6.625,3.625
2020-01-24T00:32:00.0,4.49,4.23,3.97,4.42,102.3942237805,6.562,3.625
2020-01-24T00:33:00.0,4.07,4.59,4.05,4.35,102.420305728,6.562,3.562
2020-01-24T00:34:00.0,4.19,4.11,4.11,4.32,102.49853242450001,6.562,3.5
2020-01-24T00:35:00.0,3.97,4.63,3.97,4.27,102.49853242450001,6.5,3.5
2020-01-24T00:36:00.0,4.19,4.63,4.19,4.26,102.49853242450001,6.437,3.437
2020-01-24T00:37:00.0,3.93,4.63,4.27,4.24,102.55066760050002,6.437,3.375
2020-01-24T00:38:00.0,3.97,3.81,4.49,4.22,102.55066760050002,6.5,3.375
2020-01-24T00:39:00.0,,,,,,,
2020-01-24T00:40:00.0,4.07,3.63,3.81,4.22,102.55066760050002,6.437,3.312
2020-01-24T00:41:00.0,4.11,4.71,4.11,4.24,102.60279001250001,6.437,3.312
2020-01-24T00:42:00.0,4.01,3.75,3.89,4.23,102.60279001250001,6.437,3.312
2020-01-24T00:43:00.0,3.93,4.41,4.37,4.26,102.60279001250001,6.437,3.312
2020-01-24T00:44:00.0,4.31,4.11,3.93,4.26,102.60279001250001,6.437,3.375
2020-01-24T00:45:00.0,4.15,5.07,3.97,4.24,102.7069965445,6.437,3.375
2020-01-24T00:46:00.0,4.23,4.05,3.85,4.24,102.6548996605,6.375,3.375
2020-01-24T00:47:00.0,3.97,4.97,4.15,4.24,102.680949698,6.375,3.375
2020-01-24T00:48:00.0,4.07,4.97,4.07,4.26,102.7069965445,6.375,3.375
2020-01-24T00:49:00.0,4.33,5.01,3.79,4.28,102.7069965445,6.375,3.312
2020-01-24T00:50:00.0,4.31,5.15,4.05,4.29,102.7330402,6.437,3.375
2020-01-24T00:51:00.0,4.37,4.15,4.05,4.32,102.7590806645,6.437,3.375
2020-01-24T00:52:00.0,4.49,4.75,3.93,4.34,102.7069965445,6.437,3.375
2020-01-24T00:53:00.0,4.11,4.67,3.85,4.36,102.7590806645,6.5,3.375
2020-01-24T00:54:00.0,4.53,4.79,4.19,4.34,102.7069965445,6.5,3.375
2020-01-24T00:55:00.0,4.27,4.27,4.37,4.36,102.7330402,6.5,3.375
2020-01-24T00:56:00.0,4.23,4.85,4.27,4.37,102.7330402,6.562,3.437
2020-01-24T00:57:00.0,4.31,4.37,4.11,4.38,102.7590806645,6.562,3.437
2020-01-24T00:58:00.0,4.33,5.15,3.97,4.4,102.7590806645,6.562,3.437
2020-01-24T00:59:00.0,4.45,4.41,4.19,4.39,102.8111520205,6.625,3.437
2020-01-24T01:00:00.0,4.41,4.37,4.19,4.39,102.7590806645,6.625,3.5
2020-01-24T01:01:00.0,4.23,4.11,4.23,4.4,102.8111520205,6.625,3.5
2020-01-24T01:02:00.0,4.41,4.33,4.19,4.38,102.78511793800001,6.625,3.562
2020-01-24T01:03:00.0,,,,,,,
2020-01-24T01:04:00.0,4.49,4.81,4.23,4.42,102.8111520205,6.687,3.562
2020-01-24T01:05:00.0,4.49,4.75,4.05,4.44,102.9152564405,6.687,3.562
2020-01-24T01:06:00.0,4.41,4.67,4.05,4.48,102.86321061250001,6.687,3.625
2020-01-24T01:07:00.0,4.37,4.41,4.19,4.5,102.9152564405,6.687,3.625
2020-01-24T01:08:00.0,4.41,4.67,4.19,4.54,102.9152564405,6.687,3.687
2020-01-24T01:09:00.0,4.57,5.33,4.23,4.54,102.9152564405,6.687,3.687
2020-01-24T01:10:00.0,4.63,4.37,4.23,4.56,102.94127456800001,6.625,3.687
2020-01-24T01:11:00.0,4.45,4.89,4.31,4.57,102.9672895045,6.625,3.75
2020-01-24T01:12:00.0,4.67,4.67,3.97,4.62,103.01930980450001,6.625,3.812
2020-01-24T01:13:00.0,4.31,3.85,4.37,4.65,103.01930980450001,6.625,3.812
2020-01-24T01:14:00.0,4.33,4.81,4.37,4.69,103.045315168,6.562,3.875
2020-01-24T01:15:00.0,4.53,4.89,4.19,4.7,103.12331211250002,6.562,3.937
2020-01-24T01:16:00.0,4.63,4.59,4.19,4.73,103.0713173405,6.562,3.937
2020-01-24T01:17:00.0,4.75,4.15,4.07,4.74,103.0713173405,6.562,3.937
2020-01-24T01:18:00.0,4.67,4.93,4.37,4.74,103.097316322,6.562,4
2020-01-24T01:19:00.0,4.85,4.97,4.27,4.76,103.0713173405,6.562,4
2020-01-24T01:20:00.0,4.53,4.11,4.45,4.78,103.0713173405,6.562,4
2020-01-24T01:21:00.0,4.85,4.53,4.41,4.78,103.0713173405,6.562,4
2020-01-24T01:22:00.0,4.41,5.37,4.37,4.8,103.0713173405,6.562,4.062
2020-01-24T01:23:00.0,4.71,4.41,4.23,4.8,103.0713173405,6.562,4.062
2020-01-24T01:24:00.0,4.75,4.85,4.63,4.82,103.01930980450001,6.562,4.062
2020-01-24T01:25:00.0,4.97,4.67,4.57,4.8,103.045315168,6.562,4.125
2020-01-24T01:26:00.0,4.67,5.23,4.15,4.8,103.045315168,6.562,4.062
2020-01-24T01:27:00.0,4.57,5.19,4.59,4.81,103.0713173405,6.625,4.062
2020-01-24T01:28:00.0,4.67,4.53,4.33,4.8,103.0713173405,6.625,4.062
2020-01-24T01:29:00.0,4.75,4.75,4.53,4.8,103.0713173405,6.625,4.062
2020-01-24T01:30:00.0,4.75,4.89,4.15,4.8,103.0713173405,6.625,4.062
2020-01-24T01:31:00.0,4.85,4.97,4.31,4.78,103.097316322,6.687,4.062
2020-01-24T01:32:00.0,4.81,5.07,4.41,4.79,103.12331211250002,6.687,4.125
2020-01-24T01:33:00.0,4.79,5.05,4.53,4.79,103.17529412050001,6.687,4.062
2020-01-24T01:34:00.0,4.81,4.81,4.31,4.8,103.17529412050001,6.75,4.062
2020-01-24T01:35:00.0,4.71,4.89,4.57,4.84,103.17529412050001,6.75,4.125
2020-01-24T01:36:00.0,4.57,4.63,4.11,4.84,103.201280338,6.75,4.125
2020-01-24T01:37:00.0,4.93,4.75,4.33,4.86,103.201280338,6.75,4.187
2020-01-24T01:38:00.0,4.89,5.05,4.57,4.86,103.2272633645,6.75,4.187
