time,TempPlant3,TempPlant5,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-01-24T00:00:00.0,4.79,5.19,5.01,4.21,51.291267564500004,6.437,3.75
2020-01-24T00:01:00.0,4.59,4.67,4.79,4.24,50.5925402605,6.437,3.75
2020-01-24T00:02:00.0,4.63,4.63,5.01,4.28,49.955993400500006,6.437,3.75
2020-01-24T00:03:00.0,4.23,5.27,4.93,4.27,49.509651140500004,6.437,3.75
2020-01-24T00:04:00.0,,,,,,,
2020-01-24T00:05:00.0,4.45,4.75,4.89,4.2,48.7750168,6.437,3.75
2020-01-24T00:06:00.0,4.37,4.93,5.01,4.2,48.2949980125,6.5,3.75
2020-01-24T00:07:00.0,4.53,4.81,4.89,4.18,47.81426125,6.5,3.75
2020-01-24T00:08:00.0,4.49,5.07,4.81,4.14,47.493371200000006,6.5,3.75
2020-01-24T00:09:00.0,4.63,5.01,4.63,4.16,47.236429408000006,6.5,3.75
2020-01-24T00:10:00.0,4.53,5.27,5.01,4.16,46.94712578050001,6.5,3.75
2020-01-24T00:11:00.0,4.63,5.07,4.63,4.14,46.59318144800001,6.562,3.687
2020-01-24T00:12:00.0,4.67,4.79,4.89,4.14,46.142148418000005,6.562,3.687
2020-01-24T00:13:00.0,4.67,5.05,4.81,4.16,45.884134450000005,6.562,3.687
2020-01-24T00:14:00.0,4.53,4.97,5.01,4.09,45.6582047005,6.625,3.687
2020-01-24T00:15:00.0,4.67,4.93,4.75,4.1,45.39980781250001,6.625,3.625
2020-01-24T00:16:00.0,4.37,5.19,4.89,4.16,45.011829560500004,6.625,3.687
2020-01-24T00:17:00.0,4.59,4.89,4.85,4.2,44.591001250000005,6.625,3.687
2020-01-24T00:18:00.0,4.45,4.89,4.75,4.3,44.07231840200001,6.625,3.687
2020-01-24T00:19:00.0,4.45,5.01,4.75,4.34,43.81267064200001,6.625,3.625
2020-01-24T00:20:00.0,4.57,4.79,4.89,4.32,43.585311324500005,6.625,3.687
2020-01-24T00:21:00.0,4.41,5.23,4.75,4.34,43.325280644500005,6.625,3.687
2020-01-24T00:22:00.0,4.53,4.67,4.75,4.31,43.2602410645,6.687,3.687
2020-01-24T00:23:00.0,4.49,5.19,5.11,4.3,43.065045740500004,6.625,3.687
2020-01-24T00:24:00.0,4.79,4.97,4.89,4.3,42.837172672,6.625,3.687
2020-01-24T00:25:00.0,4.63,4.93,4.97,4.3,42.64172845,6.625,3.625
2020-01-24T00:26:00.0,4.19,4.85,4.81,4.3,42.511368482,6.625,3.687
2020-01-24T00:27:00.0,4.41,4.97,4.89,4.32,42.315732800000006,6.625,3.625
2020-01-24T00:28:00.0,4.45,4.79,5.01,4.34,42.054706528000004,6.625,3.625
2020-01-24T00:29:00.0,4.79,4.93,4.67,4.33,41.924116808,6.625,3.625
2020-01-24T00:30:00.0,4.79,4.89,5.11,4.3,41.858802802,6.625,3.625
2020-01-24T00:31:00.0,4.57,5.11,4.85,4.3,41.662784200000004,6.625,3.625
2020-01-24T00:32:00.0,4.33,4.93,4.79,4.24,41.662784200000004,6.562,3.625
2020-01-24T00:33:00.0,4.45,4.41,4.63,4.2,41.59741913800001,6.562,3.562
2020-01-24T00:34:00.0,4.57,4.57,4.85,4.1,41.5647318205,6.562,3.5
2020-01-24T00:35:00.0,4.33,4.59,4.45,4.12,41.4993476125,6.5,3.5
2020-01-24T00:36:00.0,4.89,4.63,4.71,4.08,41.4339506405,6.437,3.437
2020-01-24T00:37:00.0,4.41,4.33,4.59,4.09,41.335831250000005,6.437,3.375
2020-01-24T00:38:00.0,4.37,4.75,4.63,4.06,41.2376831405,6.5,3.375
2020-01-24T00:39:00.0,4.11,4.79,4.67,4.04,41.204960722,6.437,3.312
2020-01-24T00:40:00.0,4.45,4.63,4.33,4.07,41.0085592,6.437,3.312
2020-01-24T00:41:00.0,4.49,4.97,4.75,4.08,40.877561032,6.437,3.312
2020-01-24T00:42:00.0,4.11,4.41,4.75,4.09,40.81204280200001,6.437,3.312
2020-01-24T00:43:00.0,4.41,4.59,4.75,4.06,40.7792789005,6.437,3.312
2020-01-24T00:44:00.0,4.01,4.75,4.59,4.04,40.680968050000004,6.437,3.375
2020-01-24T00:45:00.0,4.33,4.57,4.71,4.07,40.582628480500006,6.437,3.375
2020-01-24T00:46:00.0,4.33,5.05,4.57,4.06,40.48426019200001,6.375,3.375
2020-01-24T00:47:00.0,4.19,4.67,4.85,4.06,40.3530578,6.375,3.375
2020-01-24T00:48:00.0,4.31,4.33,4.79,4.09,40.287437458,6.375,3.375
2020-01-24T00:49:00.0,4.31,4.71,4.57,4.12,40.156158482,6.375,3.312
2020-01-24T00:50:00.0,4.33,4.85,4.85,4.12,40.05766574450001,6.437,3.375
2020-01-24T00:51:00.0,4.19,4.81,4.71,4.13,39.959144288000005,6.437,3.375
2020-01-24T00:52:00.0,4.31,4.63,4.71,4.14,39.893447362,6.437,3.375
2020-01-24T00:53:00.0,4.41,4.85,4.53,4.18,39.69628000000001,6.5,3.375
2020-01-24T00:54:00.0,3.97,4.81,4.85,4.18,39.63053201800001,6.5,3.375
2020-01-24T00:55:00.0,4.41,5.01,5.05,4.16,39.63053201800001,6.5,3.375
2020-01-24T00:56:00.0,4.59,4.85,4.59,4.16,39.56477127200001,6.562,3.437
2020-01-24T00:57:00.0,4.57,4.79,4.89,4.18,39.498997762,6.562,3.437
2020-01-24T00:58:00.0,4.57,4.57,4.81,4.16,39.56477127200001,6.562,3.437
2020-01-24T00:59:00.0,4.23,4.75,4.67,4.16,39.498997762,6.625,3.437
2020-01-24T01:00:00.0,4.49,4.75,5.07,4.14,39.433211488000005,6.625,3.5
2020-01-24T01:01:00.0,4.45,4.79,4.81,4.1,39.36741245,6.625,3.5
2020-01-24T01:02:00.0,4.31,4.53,5.05,4.1,39.301600648000004,6.625,3.562
2020-01-24T01:03:00.0,,,,,,,
2020-01-24T01:04:00.0,4.53,4.85,5.07,4.1,39.20285901250001,6.687,3.562
2020-01-24T01:05:00.0,4.15,5.01,4.67,4.15,39.16993875200001,6.687,3.562
2020-01-24T01:06:00.0,4.63,5.15,5.01,4.16,38.972350178000006,6.687,3.625
2020-01-24T01:07:00.0,3.93,4.75,4.97,4.2,38.90646179200001,6.687,3.625
2020-01-24T01:08:00.0,4.79,4.75,4.97,4.22,38.84056064200001,6.687,3.687
2020-01-24T01:09:00.0,4.37,5.05,5.11,4.24,38.84056064200001,6.687,3.687
2020-01-24T01:10:00.0,4.67,4.85,5.07,4.26,38.70872005000001,6.625,3.687
2020-01-24T01:11:00.0,4.31,5.01,4.67,4.3,38.576828402000004,6.625,3.75
2020-01-24T01:12:00.0,4.15,5.23,4.89,4.32,38.54384751250001,6.625,3.812
2020-01-24T01:13:00.0,4.75,4.85,4.85,4.33,38.4778761605,6.625,3.812
2020-01-24T01:14:00.0,4.79,5.01,5.01,4.32,38.34589516450001,6.562,3.875
2020-01-24T01:15:00.0,4.27,4.97,4.93,4.37,38.24687591200001,6.562,3.937
2020-01-24T01:16:00.0,4.11,5.15,4.63,4.34,38.24687591200001,6.562,3.937
2020-01-24T01:17:00.0,4.49,5.05,4.97,4.36,38.24687591200001,6.562,3.937
2020-01-24T01:18:00.0,4.49,5.01,4.89,4.37,38.1478279405,6.562,4
2020-01-24T01:19:00.0,4.41,4.97,4.97,4.38,38.04875125000001,6.562,4
2020-01-24T01:20:00.0,4.33,5.05,4.93,4.4,37.982684168000006,6.562,4
2020-01-24T01:21:00.0,4.53,4.81,4.93,4.42,37.982684168000006,6.562,4
2020-01-24T01:22:00.0,4.53,4.81,4.81,4.38,37.982684168000006,6.562,4.062
2020-01-24T01:23:00.0,4.85,5.01,4.93,4.39,37.81746062050001,6.562,4.062
2020-01-24T01:24:00.0,,,,,,,
2020-01-24T01:25:00.0,,,,,,,
2020-01-24T01:26:00.0,4.67,5.23,4.97,4.4,37.784406338000004,6.562,4.062
2020-01-24T01:27:00.0,4.63,4.75,5.07,4.38,37.7513488645,6.625,4.062
2020-01-24T01:28:00.0,4.41,5.37,4.71,4.4,37.68522434450001,6.625,4.062
2020-01-24T01:29:00.0,4.63,5.29,5.05,4.4,37.652157298,6.625,4.062
2020-01-24T01:30:00.0,4.67,5.23,5.19,4.4,37.586013632000004,6.625,4.062
2020-01-24T01:31:00.0,4.63,4.97,4.89,4.43,37.586013632000004,6.687,4.062
2020-01-24T01:32:00.0,4.01,5.07,4.85,4.42,37.453688008,6.687,4.125
2020-01-24T01:33:00.0,4.45,5.15,4.93,4.43,37.453688008,6.687,4.062
2020-01-24T01:34:00.0,4.67,5.49,4.93,4.42,37.3544102845,6.75,4.062
2020-01-24T01:35:00.0,4.93,4.85,4.63,4.42,37.32131132800001,6.75,4.125
2020-01-24T01:36:00.0,4.53,5.15,4.89,4.47,37.188883592,6.75,4.125
2020-01-24T01:37:00.0,4.53,5.11,4.97,4.48,37.188883592,6.75,4.187
