time,TempPlant1,TempPlant5,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-01-24T06:05:00.0,4.63,4.81,4.49,4.2,99.1882841125,6.562,3.062
2020-01-24T06:06:00.0,4.89,5.07,4.41,4.24,99.1882841125,6.562,3.062
2020-01-24T06:07:00.0,4.79,4.89,4.63,4.27,99.161809672,6.5,3.062
2020-01-24T06:08:00.0,5.01,5.07,4.71,4.35,99.1882841125,6.562,3.062
2020-01-24T06:09:00.0,4.63,5.29,4.67,4.4,99.1353320405,6.5,3.062
2020-01-24T06:10:00.0,4.81,5.15,4.81,4.46,99.1353320405,6.5,3.062
2020-01-24T06:11:00.0,5.19,4.81,4.59,4.5,99.108851218,6.5,3.187
2020-01-24T06:12:00.0,4.67,5.05,4.85,4.53,99.0823672045,6.562,3.25
2020-01-24T06:13:00.0,5.23,5.19,4.75,4.6,99.0823672045,6.562,3.25
2020-01-24T06:14:00.0,4.89,4.97,5.01,4.56,99.0823672045,6.625,3.25
2020-01-24T06:15:00.0,4.79,5.41,4.85,4.51,99.1353320405,6.625,3.25
2020-01-24T06:16:00.0,4.93,5.15,5.07,4.46,99.1353320405,6.625,3.187
2020-01-24T06:17:00.0,4.85,5.11,5.01,4.4,99.1353320405,6.625,3.125
2020-01-24T06:18:00.0,4.71,5.19,4.71,4.38,99.1353320405,6.625,3.062
2020-01-24T06:19:00.0,5.19,5.05,5.07,4.4,99.161809672,6.625,3
2020-01-24T06:20:00.0,5.07,5.33,4.85,4.38,99.1882841125,6.625,3
2020-01-24T06:21:00.0,4.71,5.11,5.05,4.38,99.161809672,6.625,3
2020-01-24T06:22:00.0,5.07,5.23,4.53,4.4,99.1353320405,6.625,3
2020-01-24T06:23:00.0,5.23,5.11,4.57,4.34,99.1353320405,6.625,2.937
2020-01-24T06:24:00.0,4.75,4.97,4.71,4.36,99.1353320405,6.625,2.937
2020-01-24T06:25:00.0,5.11,5.45,4.71,4.36,99.1353320405,-0.062,2.937
2020-01-24T06:26:00.0,4.49,5.23,4.81,4.39,99.1353320405,6.625,2.937
2020-01-24T06:27:00.0,4.81,5.29,5.01,4.34,99.1353320405,6.625,2.937
2020-01-24T06:28:00.0,5.33,5.23,5.05,4.33,99.1353320405,6.625,2.937
2020-01-24T06:29:00.0,4.85,5.07,4.89,4.36,99.1353320405,6.625,2.937
2020-01-24T06:30:00.0,4.93,5.23,5.27,4.38,99.108851218,6.687,2.937
2020-01-24T06:31:00.0,4.75,4.31,5.01,4.4,99.108851218,6.687,3
2020-01-24T06:32:00.0,5.01,5.45,4.85,4.45,99.108851218,6.687,3.062
2020-01-24T06:33:00.0,4.57,5.27,5.07,4.46,99.0823672045,6.687,3.062
2020-01-24T06:34:00.0,5.11,5.41,5.01,4.5,99.0823672045,6.687,3.062
