TempPlant2,TempPlant3,TempPlant5,Ambient_1_5
6.03,5.93,5.89,3.562
5.85,5.95,5.99,3.562
5.93,6.25,6.03,3.625
6.07,5.59,6.13,3.625
5.63,5.63,5.81,3.625
5.63,5.81,6.11,3.625
5.85,5.89,5.55,3.625
5.55,5.37,5.37,3.562
5.81,5.93,5.81,3.5
5.33,5.95,5.23,3.5
5.93,5.11,5.63,3.437
5.81,5.11,5.51,3.375
5.93,5.23,5.33,3.375
5.67,5.37,5.51,3.312
5.49,5.51,5.45,3.312
5.63,5.71,5.63,3.312
5.81,5.29,5.45,3.312
5.41,5.41,5.67,3.375
5.29,5.41,5.41,3.375
5.27,5.05,5.33,3.312
5.63,5.01,5.19,3.375
5.41,5.23,5.49,3.375
5.37,5.11,5.27,3.375
5.63,4.89,5.27,3.437
5.45,5.27,5.11,3.375
5.33,5.07,5.27,3.375
5.45,5.45,5.37,3.312
5.41,5.51,5.49,3.375
5.41,5.01,5.23,3.375
5.49,5.33,5.23,3.375
5.07,5.19,5.55,3.375
5.01,5.05,5.05,3.375
5.19,5.01,5.41,3.375
4.97,4.85,4.85,3.375
5.23,4.89,5.01,3.375
5.29,4.97,4.89,3.375
5.19,4.85,4.85,3.312
4.85,5.05,5.15,3.25
4.97,5.11,5.11,3.25
4.75,4.81,5.07,3.312
4.63,4.75,4.63,3.25
4.93,4.75,4.81,3.25
5.05,5.27,4.31,3.187
5.11,4.75,4.93,3.125
4.81,4.85,5.05,3.125
4.79,5.05,5.33,3.125
4.93,5.07,5.27,3.125
4.53,4.89,5.05,3.062
4.89,4.33,5.05,3.062
4.93,4.81,4.89,3.062
4.79,4.97,4.79,3.062
4.59,5.01,4.89,3.062
4.71,4.85,4.59,3.062
4.79,4.81,4.37,3
4.57,4.57,4.59,3
4.71,4.33,4.41,2.937
4.63,4.15,4.75,2.875
4.57,4.53,4.63,2.875
4.57,4.45,4.31,2.875
4.53,4.45,5.01,2.875
4.81,4.27,4.67,2.875
4.71,4.41,4.57,2.875
4.85,4.33,4.37,2.875
4.75,4.19,4.49,2.812
4.45,3.93,4.85,2.812
4.27,4.23,4.75,2.75
4.19,4.11,4.19,2.75
4.31,3.75,4.19,2.687
4.37,4.27,4.07,2.687
4.05,4.01,4.53,2.687
4.15,3.97,4.33,2.687
4.07,3.93,4.23,2.625
4.01,4.07,4.27,2.625
