Date,NodeID,FrameID,MeasurementCounter,PlantTemp1,PlantTemp2,PlantTemp3,PlantTemp4,PlantTemp5,PlantTemp6,AirTempLoc,Humidity,AirTemp
2020-02-15 09-00-14,10,16,53301,,,,,,,,,4.937
2020-02-15 09-00-14,10,17,,63.03,111.18,119.59,,,,,,4.937
2020-02-15 09-00-14,10,18,,63.03,111.18,119.59,46.97,40.95,40.96,,,8.625
2020-02-15 09-00-14,11,16,24032,,,,,,,,,4.937
2020-02-15 09-00-14,11,17,,8.83,8.55,8.89,,,,,,4.937
2020-02-15 09-00-14,11,18,,8.83,8.55,8.89,8.71,8.27,7.69,,,8.625
2020-02-15 09-00-14,11,19,,8.83,8.55,8.89,8.71,8.27,7.69,-39.389999999999986,-2.0462,8.625
2020-02-15 09-00-15,12,16,31961,,,,,,,,,4.937
2020-02-15 09-00-15,12,17,,7.51,7.29,7.79,,,,,,4.937
2020-02-15 09-00-15,12,18,,7.51,7.29,7.79,8.05,7.73,7.15,,,8.625
2020-02-15 09-00-15,12,19,,7.51,7.29,7.79,8.05,7.73,7.15,7.12,34.128954208,8.625
2020-02-15 09-00-15,13,16,31773,,,,,,,,,4.937
2020-02-15 09-00-15,13,17,,8.45,8.87,8.51,,,,,,4.937
2020-02-15 09-00-15,13,18,,8.45,8.87,8.51,8.19,7.65,7.59,,,8.625
2020-02-15 09-00-15,13,19,,8.45,8.87,8.51,8.19,7.65,7.59,7.64,97.14041532800002,8.625
2020-02-15 09-00-16,14,16,32135,,,,,,,,,4.937
2020-02-15 09-00-16,14,17,,7.15,8.87,8.23,,,,,,4.937
2020-02-15 09-00-16,14,18,,7.15,8.87,8.23,9.03,8.75,8.13,,,8.625
2020-02-15 09-00-16,14,19,,7.15,8.87,8.23,9.03,8.75,8.13,7.08,104.7804054245,8.625
2020-02-15 09-00-16,15,16,0,,,,,,,,,4.937
2020-02-15 09-00-16,15,17,,0.0,0.0,0.0,,,,,,4.937
2020-02-15 09-00-16,15,18,,0.0,0.0,0.0,0.0,0.0,0.0,,,8.625
2020-02-15 09-00-16,15,19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0462,8.625
2020-02-15 09-00-17,16,16,25008,,,,,,,,,4.937
2020-02-15 09-00-17,16,17,,6.69,7.91,6.39,,,,,,4.937
2020-02-15 09-00-17,16,18,,6.69,7.91,6.39,7.05,6.65,7.33,,,8.625
