Date,NodeID,FrameID,MeasurementCounter,PlantTemp1,PlantTemp2,PlantTemp3,PlantTemp4,PlantTemp5,PlantTemp6,AirTempLoc,Humidity,AirTemp
2020-02-21 09-00-14,10,16,61942,,,,,,,,,4.625
2020-02-21 09-00-14,10,17,,85.85,121.09,123.94,,,,,,4.625
2020-02-21 09-00-14,10,18,,85.85,121.09,123.94,45.66,40.95,81.92,,,6.437
2020-02-21 09-00-14,11,16,32626,,,,,,,,,4.625
2020-02-21 09-00-14,11,17,,8.93,7.91,7.69,,,,,,4.625
2020-02-21 09-00-14,11,18,,8.93,7.91,7.69,8.01,8.01,7.65,,,6.437
2020-02-21 09-00-14,11,19,,8.93,7.91,7.69,8.01,8.01,7.65,-39.389999999999986,-2.0462,6.437
2020-02-21 09-00-15,12,16,40448,,,,,,,,,4.625
2020-02-21 09-00-15,12,17,,8.05,7.09,7.09,,,,,,4.625
2020-02-21 09-00-15,12,18,,8.05,7.09,7.09,7.61,7.79,8.27,,,6.437
2020-02-21 09-00-15,12,19,,8.05,7.09,7.09,7.61,7.79,8.27,7.56,87.1755833605,6.437
2020-02-21 09-00-15,13,16,40144,,,,,,,,,4.625
2020-02-21 09-00-15,13,17,,6.83,7.95,7.83,,,,,,4.625
2020-02-21 09-00-15,13,18,,6.83,7.95,7.83,7.55,8.61,7.83,,,6.437
2020-02-21 09-00-15,13,19,,6.83,7.95,7.83,7.55,8.61,7.83,6.61,90.96564500000001,6.437
2020-02-21 09-00-16,14,16,40701,,,,,,,,,4.625
2020-02-21 09-00-16,14,17,,8.09,8.87,8.09,,,,,,4.625
2020-02-21 09-00-16,14,18,,8.09,8.87,8.09,8.27,8.01,7.19,,,6.437
2020-02-21 09-00-16,14,19,,8.09,8.87,8.09,8.27,8.01,7.19,7.98,87.4542564805,6.437
2020-02-21 09-00-16,15,16,0,,,,,,,,,4.625
2020-02-21 09-00-16,15,17,,0.0,0.0,0.0,,,,,,4.625
2020-02-21 09-00-16,15,18,,0.0,0.0,0.0,0.0,0.0,0.0,,,6.437
